date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,80.45,80.55,78.85,79.40,79.40,"378,517","Aug 25, 2023"
24-08-2023,80.90,81.00,79.50,80.30,80.30,"270,427","Aug 24, 2023"
23-08-2023,80.25,81.10,79.95,80.10,80.10,"296,134","Aug 23, 2023"
22-08-2023,80.65,80.95,80.00,80.25,80.25,"294,249","Aug 22, 2023"
21-08-2023,80.10,80.75,78.60,80.05,80.05,"509,900","Aug 21, 2023"
18-08-2023,80.00,80.60,79.95,80.15,80.15,"357,084","Aug 18, 2023"
17-08-2023,79.10,80.70,79.10,80.20,80.20,"602,542","Aug 17, 2023"
16-08-2023,79.05,79.60,78.85,79.05,79.05,"931,964","Aug 16, 2023"
14-08-2023,78.00,79.45,77.30,79.00,79.00,"666,830","Aug 14, 2023"
11-08-2023,80.95,82.20,78.00,78.35,78.35,"2,489,570","Aug 11, 2023"
10-08-2023,79.95,81.60,77.65,78.20,78.20,"1,099,269","Aug 10, 2023"
09-08-2023,82.75,83.35,78.40,79.05,79.05,"1,292,417","Aug 09, 2023"
08-08-2023,86.40,86.95,81.95,82.70,82.70,"689,667","Aug 08, 2023"
07-08-2023,86.30,86.35,84.80,85.30,85.30,"138,856","Aug 07, 2023"
04-08-2023,86.30,87.25,85.15,85.85,85.85,"242,369","Aug 04, 2023"
03-08-2023,86.45,87.10,84.40,85.50,85.50,"302,183","Aug 03, 2023"
02-08-2023,86.60,87.30,84.85,86.40,86.40,"557,649","Aug 02, 2023"
01-08-2023,82.00,88.00,82.00,86.30,86.30,"1,471,649","Aug 01, 2023"
31-07-2023,81.90,83.00,81.75,82.85,82.85,"258,947","Jul 31, 2023"
28-07-2023,81.90,82.00,81.05,81.90,81.90,"95,367","Jul 28, 2023"
27-07-2023,82.00,82.65,81.50,81.75,81.75,"125,400","Jul 27, 2023"
26-07-2023,81.50,82.20,80.50,81.95,81.95,"191,371","Jul 26, 2023"
25-07-2023,80.50,81.90,79.90,81.15,81.15,"236,323","Jul 25, 2023"
24-07-2023,81.40,82.70,80.00,80.45,80.45,"219,599","Jul 24, 2023"
21-07-2023,81.70,82.90,80.90,81.40,81.40,"314,907","Jul 21, 2023"
20-07-2023,81.05,83.25,80.65,82.65,82.65,"444,163","Jul 20, 2023"
19-07-2023,81.00,81.35,80.00,80.70,80.70,"219,503","Jul 19, 2023"
18-07-2023,81.35,81.55,79.40,80.35,80.35,"347,265","Jul 18, 2023"
17-07-2023,81.85,83.60,80.25,80.65,80.65,"687,764","Jul 17, 2023"
14-07-2023,80.65,83.45,79.10,81.40,81.40,"1,281,135","Jul 14, 2023"
13-07-2023,80.95,81.25,80.20,80.45,80.45,"199,840","Jul 13, 2023"
12-07-2023,81.20,81.70,80.30,80.60,80.60,"157,206","Jul 12, 2023"
11-07-2023,81.85,81.85,80.60,81.20,81.20,"341,321","Jul 11, 2023"
10-07-2023,83.35,83.40,81.15,81.85,81.85,"251,125","Jul 10, 2023"
07-07-2023,83.90,83.90,82.65,83.05,83.05,"203,133","Jul 07, 2023"
06-07-2023,84.15,84.25,83.00,83.30,83.30,"364,443","Jul 06, 2023"
05-07-2023,84.10,84.35,83.45,83.85,83.85,"162,828","Jul 05, 2023"
04-07-2023,84.80,86.90,83.30,84.15,84.15,"298,309","Jul 04, 2023"
03-07-2023,85.30,85.85,83.50,84.15,84.15,"341,539","Jul 03, 2023"
30-06-2023,85.60,85.70,84.00,84.70,84.70,"322,590","Jun 30, 2023"
28-06-2023,86.00,86.00,86.00,86.00,86.00,-,"Jun 28, 2023"
27-06-2023,87.75,87.90,85.60,86.00,86.00,"422,034","Jun 27, 2023"
26-06-2023,86.90,87.90,85.50,87.30,87.30,"431,647","Jun 26, 2023"
23-06-2023,86.85,88.15,85.50,86.10,86.10,"423,227","Jun 23, 2023"
22-06-2023,93.00,93.10,86.00,86.40,86.40,"1,473,629","Jun 22, 2023"
21-06-2023,86.40,90.50,85.00,90.50,90.50,"952,618","Jun 21, 2023"
20-06-2023,87.25,87.25,85.00,86.20,86.20,"198,695","Jun 20, 2023"
19-06-2023,87.75,88.00,85.00,86.80,86.80,"240,012","Jun 19, 2023"
16-06-2023,88.85,88.90,85.85,87.20,87.20,"638,709","Jun 16, 2023"
15-06-2023,85.50,88.20,85.50,87.10,87.10,"741,965","Jun 15, 2023"
14-06-2023,88.40,88.40,84.70,85.50,85.50,"696,005","Jun 14, 2023"
13-06-2023,92.00,92.00,88.40,88.40,88.40,"800,496","Jun 13, 2023"
12-06-2023,96.90,97.00,93.05,93.05,93.05,"491,463","Jun 12, 2023"
09-06-2023,101.55,101.55,95.55,97.95,97.95,"1,214,144","Jun 09, 2023"
08-06-2023,92.15,96.75,88.10,96.75,96.75,"385,737","Jun 08, 2023"
07-06-2023,396.00,409.60,388.00,405.40,405.40,"1,119,580","Jun 07, 2023"
06-06-2023,390.70,395.45,384.40,393.35,393.35,"556,503","Jun 06, 2023"
05-06-2023,393.00,399.80,388.50,390.70,390.70,"431,500","Jun 05, 2023"
02-06-2023,405.05,406.90,390.00,391.10,391.10,"533,499","Jun 02, 2023"
01-06-2023,403.30,409.05,400.65,403.35,403.35,"453,737","Jun 01, 2023"
31-05-2023,385.00,402.40,383.40,400.40,400.40,"780,601","May 31, 2023"
30-05-2023,390.00,395.00,384.00,385.80,385.80,"894,527","May 30, 2023"
29-05-2023,407.80,416.85,382.00,400.00,400.00,"3,379,967","May 29, 2023"
26-05-2023,390.40,415.00,388.00,404.65,404.65,"1,851,822","May 26, 2023"
25-05-2023,390.05,396.05,386.00,387.40,387.40,"362,980","May 25, 2023"
24-05-2023,394.00,399.50,388.00,389.95,389.95,"252,862","May 24, 2023"
23-05-2023,398.05,407.00,392.30,395.85,395.85,"571,159","May 23, 2023"
22-05-2023,390.00,404.40,381.05,396.75,396.75,"1,103,371","May 22, 2023"
19-05-2023,376.40,396.50,376.05,386.25,386.25,"2,351,869","May 19, 2023"
18-05-2023,366.80,374.85,366.70,373.15,373.15,"364,536","May 18, 2023"
17-05-2023,364.05,368.90,362.05,366.80,366.80,"89,022","May 17, 2023"
16-05-2023,367.35,370.90,363.10,364.05,364.05,"157,145","May 16, 2023"
15-05-2023,367.00,374.50,361.10,365.60,365.60,"234,842","May 15, 2023"
12-05-2023,374.70,374.70,364.05,365.15,365.15,"144,539","May 12, 2023"
11-05-2023,372.00,376.00,369.60,371.00,371.00,"170,475","May 11, 2023"
10-05-2023,366.00,370.80,362.40,369.05,369.05,"355,932","May 10, 2023"
09-05-2023,362.20,379.70,361.95,364.70,364.70,"794,158","May 09, 2023"
08-05-2023,365.00,366.00,359.95,362.00,362.00,"154,833","May 08, 2023"
05-05-2023,365.00,374.10,359.00,362.25,362.25,"448,244","May 05, 2023"
04-05-2023,358.70,363.60,355.30,362.25,362.25,"179,634","May 04, 2023"
03-05-2023,359.75,360.15,354.00,358.70,358.70,"212,712","May 03, 2023"
02-05-2023,364.75,367.90,358.00,359.80,359.80,"148,915","May 02, 2023"
28-04-2023,358.00,366.85,356.00,360.85,360.85,"180,487","Apr 28, 2023"
27-04-2023,355.00,359.20,354.30,355.70,355.70,"76,137","Apr 27, 2023"
26-04-2023,354.90,357.85,352.30,353.25,353.25,"94,207","Apr 26, 2023"
25-04-2023,360.00,360.00,352.35,353.15,353.15,"97,013","Apr 25, 2023"
24-04-2023,361.75,370.45,355.55,356.60,356.60,"187,349","Apr 24, 2023"
21-04-2023,359.50,370.00,359.50,361.65,361.65,"221,087","Apr 21, 2023"
20-04-2023,358.00,366.35,357.15,359.00,359.00,"248,285","Apr 20, 2023"
19-04-2023,358.95,360.00,354.45,356.30,356.30,"110,468","Apr 19, 2023"
18-04-2023,358.00,360.00,354.80,357.40,357.40,"169,908","Apr 18, 2023"
17-04-2023,369.75,369.95,353.00,355.50,355.50,"374,211","Apr 17, 2023"
13-04-2023,368.90,373.95,366.10,369.95,369.95,"298,344","Apr 13, 2023"
12-04-2023,366.90,372.00,361.30,369.95,369.95,"360,038","Apr 12, 2023"
11-04-2023,361.80,377.90,357.40,365.60,365.60,"598,791","Apr 11, 2023"
10-04-2023,353.50,361.05,352.75,360.05,360.05,"254,899","Apr 10, 2023"
06-04-2023,340.25,355.00,332.35,353.50,353.50,"365,469","Apr 06, 2023"
05-04-2023,335.05,343.70,334.90,340.25,340.25,"148,419","Apr 05, 2023"
03-04-2023,328.45,338.65,327.35,336.65,336.65,"183,214","Apr 03, 2023"
31-03-2023,333.05,339.25,325.00,326.35,326.35,"271,137","Mar 31, 2023"
29-03-2023,321.85,336.65,320.20,333.65,333.65,"391,899","Mar 29, 2023"
28-03-2023,326.90,326.90,318.50,322.70,322.70,"162,782","Mar 28, 2023"
27-03-2023,330.00,331.05,323.05,325.20,325.20,"158,983","Mar 27, 2023"
24-03-2023,331.00,334.50,325.35,328.65,328.65,"160,637","Mar 24, 2023"
23-03-2023,336.15,336.55,328.00,330.70,330.70,"175,993","Mar 23, 2023"
22-03-2023,329.30,341.00,329.30,335.50,335.50,"227,540","Mar 22, 2023"
21-03-2023,335.50,335.85,325.25,327.65,327.65,"244,375","Mar 21, 2023"
20-03-2023,342.00,347.95,328.70,332.35,332.35,"284,077","Mar 20, 2023"
17-03-2023,352.00,354.20,345.10,347.25,347.25,"231,189","Mar 17, 2023"
16-03-2023,352.00,352.00,339.15,347.80,347.80,"250,325","Mar 16, 2023"
15-03-2023,352.50,361.70,352.00,353.80,353.80,"328,038","Mar 15, 2023"
14-03-2023,355.00,361.00,340.65,349.25,349.25,"480,967","Mar 14, 2023"
13-03-2023,355.00,362.15,352.70,357.45,357.45,"495,987","Mar 13, 2023"
10-03-2023,355.00,359.50,350.10,357.25,357.25,"445,347","Mar 10, 2023"
09-03-2023,357.90,362.00,354.65,358.90,358.90,"553,876","Mar 09, 2023"
08-03-2023,354.05,359.00,348.00,357.20,357.20,"251,119","Mar 08, 2023"
06-03-2023,346.00,358.95,344.75,356.15,356.15,"836,401","Mar 06, 2023"
03-03-2023,339.00,346.80,335.50,344.15,344.15,"487,471","Mar 03, 2023"
02-03-2023,334.00,339.75,327.05,337.35,337.35,"569,402","Mar 02, 2023"
01-03-2023,317.80,335.35,317.80,333.05,333.05,"671,511","Mar 01, 2023"
28-02-2023,322.70,326.50,315.30,317.55,317.55,"195,229","Feb 28, 2023"
27-02-2023,340.05,340.05,321.00,322.70,322.70,"189,794","Feb 27, 2023"
24-02-2023,339.00,346.60,338.45,342.10,342.10,"339,866","Feb 24, 2023"
23-02-2023,339.30,342.35,330.45,337.50,337.50,"189,668","Feb 23, 2023"
22-02-2023,336.50,342.85,334.75,337.95,337.95,"296,168","Feb 22, 2023"
21-02-2023,344.80,348.05,335.00,336.35,336.35,"251,129","Feb 21, 2023"
20-02-2023,352.60,357.70,343.65,344.80,344.80,"297,321","Feb 20, 2023"
17-02-2023,356.80,361.30,351.30,352.65,352.65,"226,157","Feb 17, 2023"
16-02-2023,371.35,375.00,353.50,358.60,358.60,"1,021,434","Feb 16, 2023"
15-02-2023,353.45,369.70,353.45,368.15,368.15,"838,243","Feb 15, 2023"
14-02-2023,351.20,359.45,351.20,355.05,355.05,"288,968","Feb 14, 2023"
13-02-2023,355.00,359.40,353.30,355.15,355.15,"339,741","Feb 13, 2023"
10-02-2023,355.50,357.65,351.65,353.30,353.30,"500,249","Feb 10, 2023"
09-02-2023,333.85,354.90,328.35,348.60,348.60,"1,124,960","Feb 09, 2023"
08-02-2023,323.80,336.00,322.55,333.20,333.20,"512,349","Feb 08, 2023"
07-02-2023,317.00,323.10,317.00,321.15,321.15,"143,905","Feb 07, 2023"
06-02-2023,313.55,323.15,313.55,317.35,317.35,"158,986","Feb 06, 2023"
03-02-2023,318.50,329.45,309.00,316.55,316.55,"351,660","Feb 03, 2023"
02-02-2023,320.00,333.70,314.05,316.10,316.10,"350,944","Feb 02, 2023"
01-02-2023,334.00,334.00,314.10,320.05,320.05,"575,450","Feb 01, 2023"
31-01-2023,304.60,332.85,302.10,326.55,326.55,"989,036","Jan 31, 2023"
30-01-2023,304.00,308.50,302.20,303.45,303.45,"101,967","Jan 30, 2023"
27-01-2023,315.65,319.50,301.10,303.60,303.60,"241,551","Jan 27, 2023"
25-01-2023,320.00,320.00,313.20,314.95,314.95,"165,720","Jan 25, 2023"
24-01-2023,312.20,325.00,311.15,320.25,320.25,"782,364","Jan 24, 2023"
23-01-2023,309.45,312.50,307.10,310.30,310.30,"131,280","Jan 23, 2023"
20-01-2023,311.80,313.65,307.10,308.80,308.80,"123,280","Jan 20, 2023"
19-01-2023,313.55,314.00,310.20,311.25,311.25,"85,946","Jan 19, 2023"
18-01-2023,315.50,320.00,312.15,313.55,313.55,"384,443","Jan 18, 2023"
17-01-2023,312.90,315.90,310.45,314.75,314.75,"317,459","Jan 17, 2023"
16-01-2023,314.70,318.80,310.15,312.00,312.00,"362,452","Jan 16, 2023"
13-01-2023,311.20,317.40,308.45,314.75,314.75,"308,030","Jan 13, 2023"
12-01-2023,312.75,312.90,307.95,309.25,309.25,"116,580","Jan 12, 2023"
11-01-2023,309.55,315.00,308.80,310.35,310.35,"170,466","Jan 11, 2023"
10-01-2023,313.25,315.30,307.20,308.05,308.05,"120,587","Jan 10, 2023"
09-01-2023,310.00,317.50,310.00,312.85,312.85,"291,842","Jan 09, 2023"
06-01-2023,309.50,314.70,305.50,307.55,307.55,"221,747","Jan 06, 2023"
05-01-2023,311.00,312.80,307.60,310.35,310.35,"124,924","Jan 05, 2023"
04-01-2023,316.90,316.90,308.10,310.40,310.40,"222,037","Jan 04, 2023"
03-01-2023,313.00,317.70,312.35,316.10,316.10,"247,856","Jan 03, 2023"
02-01-2023,314.60,315.35,309.60,312.35,312.35,"280,384","Jan 02, 2023"
30-12-2022,306.90,314.75,306.85,312.20,312.20,"276,854","Dec 30, 2022"
29-12-2022,305.75,310.00,301.25,303.05,303.05,"368,037","Dec 29, 2022"
28-12-2022,315.10,318.35,305.00,305.75,305.75,"287,808","Dec 28, 2022"
