date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,432.00,444.00,425.00,425.75,425.75,"1,363","Aug 25, 2023"
24-08-2023,458.00,458.65,430.00,432.65,432.65,"32,780","Aug 24, 2023"
23-08-2023,418.25,436.85,415.00,436.85,436.85,"9,939","Aug 23, 2023"
22-08-2023,413.95,425.00,413.00,416.05,416.05,"1,832","Aug 22, 2023"
21-08-2023,411.00,414.95,407.55,413.40,413.40,"2,809","Aug 21, 2023"
18-08-2023,413.00,419.95,405.30,410.20,410.20,"1,629","Aug 18, 2023"
17-08-2023,422.90,430.50,408.00,413.20,413.20,"4,264","Aug 17, 2023"
16-08-2023,426.90,426.90,416.00,418.80,418.80,"3,725","Aug 16, 2023"
14-08-2023,424.00,429.95,416.25,420.75,420.75,"1,582","Aug 14, 2023"
11-08-2023,433.00,433.00,421.05,423.75,423.75,"3,555","Aug 11, 2023"
10-08-2023,432.00,445.00,427.00,431.80,431.80,"2,460","Aug 10, 2023"
09-08-2023,435.00,435.00,421.00,431.60,431.60,"5,312","Aug 09, 2023"
08-08-2023,434.70,445.00,430.00,433.45,433.45,"2,646","Aug 08, 2023"
07-08-2023,455.00,455.00,426.30,434.70,434.70,"3,489","Aug 07, 2023"
04-08-2023,436.00,445.00,431.10,435.00,435.00,"5,632","Aug 04, 2023"
03-08-2023,439.60,444.00,423.00,437.30,437.30,"5,668","Aug 03, 2023"
02-08-2023,450.00,454.00,435.05,439.80,439.80,"10,397","Aug 02, 2023"
01-08-2023,459.25,462.00,450.10,454.35,454.35,"1,279","Aug 01, 2023"
31-07-2023,460.00,460.00,438.05,459.25,459.25,"4,459","Jul 31, 2023"
28-07-2023,457.00,463.95,445.00,459.45,459.45,"4,080","Jul 28, 2023"
27-07-2023,473.80,473.80,451.30,456.25,456.25,"2,917","Jul 27, 2023"
26-07-2023,475.00,475.00,460.00,462.65,462.65,"3,794","Jul 26, 2023"
25-07-2023,478.00,481.90,460.00,462.75,462.75,"4,153","Jul 25, 2023"
24-07-2023,490.05,492.00,471.55,477.90,477.90,"11,962","Jul 24, 2023"
21-07-2023,491.80,499.40,488.00,490.15,490.15,"10,241","Jul 21, 2023"
20-07-2023,502.35,502.40,487.00,491.60,491.60,"29,516","Jul 20, 2023"
19-07-2023,475.85,503.00,471.95,498.55,498.55,"105,031","Jul 19, 2023"
18-07-2023,493.40,499.95,456.05,468.90,468.90,"43,942","Jul 18, 2023"
17-07-2023,514.00,517.00,483.05,487.35,487.35,"122,625","Jul 17, 2023"
14-07-2023,436.70,526.55,436.55,522.00,522.00,"456,104","Jul 14, 2023"
13-07-2023,439.95,462.40,428.00,438.80,438.80,"54,589","Jul 13, 2023"
12-07-2023,445.80,448.05,432.00,434.15,434.15,"25,387","Jul 12, 2023"
11-07-2023,405.00,474.00,399.05,441.70,441.70,"188,493","Jul 11, 2023"
10-07-2023,393.25,409.00,385.25,402.55,402.55,"19,167","Jul 10, 2023"
07-07-2023,392.50,394.90,388.00,388.65,388.65,"5,722","Jul 07, 2023"
06-07-2023,389.70,396.90,386.45,387.70,387.70,"4,935","Jul 06, 2023"
05-07-2023,393.90,396.50,385.40,387.05,387.05,"4,193","Jul 05, 2023"
04-07-2023,398.35,398.45,388.50,390.75,390.75,"2,815","Jul 04, 2023"
03-07-2023,398.85,399.55,392.00,394.50,394.50,"3,274","Jul 03, 2023"
30-06-2023,395.00,403.85,394.20,396.65,396.65,"3,754","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,388.20,405.00,388.20,397.65,397.65,"3,876","Jun 27, 2023"
26-06-2023,394.90,395.60,390.00,390.85,390.85,"1,649","Jun 26, 2023"
23-06-2023,401.90,408.25,388.20,393.95,393.95,"7,802","Jun 23, 2023"
22-06-2023,397.50,413.00,395.00,399.80,399.80,"12,194","Jun 22, 2023"
21-06-2023,403.40,414.20,400.10,401.30,401.30,"5,087","Jun 21, 2023"
20-06-2023,402.95,404.90,397.00,399.60,399.60,"5,122","Jun 20, 2023"
19-06-2023,400.55,404.50,398.80,399.95,399.95,"6,634","Jun 19, 2023"
16-06-2023,399.10,414.00,393.50,399.80,399.80,"17,750","Jun 16, 2023"
15-06-2023,407.45,408.45,392.00,394.20,394.20,"6,920","Jun 15, 2023"
14-06-2023,407.50,411.75,400.60,403.80,403.80,"11,112","Jun 14, 2023"
13-06-2023,398.45,428.00,398.05,403.80,403.80,"57,121","Jun 13, 2023"
12-06-2023,393.05,407.95,387.05,397.60,397.60,"10,149","Jun 12, 2023"
09-06-2023,390.00,401.15,385.90,390.90,390.90,"10,520","Jun 09, 2023"
08-06-2023,382.95,419.90,379.00,391.90,391.90,"51,697","Jun 08, 2023"
