date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,249.00,254.60,244.05,252.75,252.75,"510,020","Aug 25, 2023"
24-08-2023,250.00,250.45,242.45,247.50,247.50,"377,190","Aug 24, 2023"
23-08-2023,237.00,248.50,234.90,246.75,246.75,"647,433","Aug 23, 2023"
22-08-2023,228.00,239.95,226.55,236.95,236.95,"377,466","Aug 22, 2023"
21-08-2023,226.50,232.90,221.95,225.30,225.30,"275,791","Aug 21, 2023"
18-08-2023,229.50,231.70,224.00,226.55,226.55,"208,184","Aug 18, 2023"
17-08-2023,239.70,239.85,225.20,227.20,227.20,"365,070","Aug 17, 2023"
16-08-2023,224.90,238.70,221.95,236.45,236.45,"336,732","Aug 16, 2023"
14-08-2023,213.00,231.65,213.00,225.15,225.15,"1,756,174","Aug 14, 2023"
11-08-2023,249.20,249.40,227.65,239.05,239.05,"288,829","Aug 11, 2023"
10-08-2023,263.75,263.75,245.20,247.90,247.90,"585,590","Aug 10, 2023"
09-08-2023,265.00,265.00,258.00,262.70,262.70,"548,602","Aug 09, 2023"
08-08-2023,261.55,266.50,260.05,263.70,263.70,"228,335","Aug 08, 2023"
07-08-2023,260.00,269.70,256.15,260.85,260.85,"383,968","Aug 07, 2023"
04-08-2023,262.55,262.55,259.65,260.30,260.30,"209,119","Aug 04, 2023"
03-08-2023,258.10,263.95,257.00,261.20,261.20,"277,671","Aug 03, 2023"
02-08-2023,258.00,263.65,252.85,261.75,261.75,"557,054","Aug 02, 2023"
01-08-2023,251.80,264.80,250.15,260.45,260.45,"1,152,052","Aug 01, 2023"
31-07-2023,251.55,253.20,244.80,250.40,250.40,"353,349","Jul 31, 2023"
28-07-2023,247.15,256.60,247.15,249.60,249.60,"583,126","Jul 28, 2023"
27-07-2023,252.00,253.00,249.10,250.60,250.60,"211,077","Jul 27, 2023"
26-07-2023,250.55,255.90,247.00,249.10,249.10,"565,662","Jul 26, 2023"
25-07-2023,251.30,252.20,244.35,249.05,249.05,"917,904","Jul 25, 2023"
24-07-2023,230.95,252.00,230.25,249.55,249.55,"2,390,215","Jul 24, 2023"
21-07-2023,230.00,231.00,224.50,229.95,229.95,"431,383","Jul 21, 2023"
20-07-2023,224.05,233.05,221.10,230.35,230.35,"1,027,539","Jul 20, 2023"
19-07-2023,223.95,224.85,221.05,223.40,223.40,"336,963","Jul 19, 2023"
18-07-2023,220.90,226.60,216.50,222.75,222.75,"648,668","Jul 18, 2023"
17-07-2023,215.55,221.90,215.55,219.80,219.80,"590,644","Jul 17, 2023"
14-07-2023,214.75,217.30,213.30,214.90,214.90,"315,233","Jul 14, 2023"
13-07-2023,217.40,222.10,212.00,213.85,213.85,"642,182","Jul 13, 2023"
12-07-2023,215.85,217.20,215.00,216.50,216.50,"374,649","Jul 12, 2023"
11-07-2023,214.00,217.60,212.70,214.75,214.75,"654,607","Jul 11, 2023"
10-07-2023,216.55,221.00,210.60,212.70,212.70,"1,106,390","Jul 10, 2023"
07-07-2023,206.55,218.70,205.45,215.25,215.25,"2,297,409","Jul 07, 2023"
06-07-2023,207.95,209.60,203.85,206.05,206.05,"804,900","Jul 06, 2023"
05-07-2023,188.60,212.30,187.45,207.95,207.95,"4,559,555","Jul 05, 2023"
04-07-2023,184.30,188.50,181.50,186.65,186.65,"334,473","Jul 04, 2023"
03-07-2023,186.50,188.45,181.00,182.50,182.50,"378,396","Jul 03, 2023"
30-06-2023,189.00,192.50,182.05,184.15,184.15,"240,318","Jun 30, 2023"
28-06-2023,188.65,188.65,188.65,188.65,188.65,-,"Jun 28, 2023"
27-06-2023,184.45,189.45,181.05,188.65,188.65,"365,012","Jun 27, 2023"
26-06-2023,180.50,184.60,177.15,183.65,183.65,"274,686","Jun 26, 2023"
23-06-2023,182.35,184.30,178.60,180.60,180.60,"175,078","Jun 23, 2023"
22-06-2023,178.95,186.10,178.90,184.20,184.20,"453,268","Jun 22, 2023"
21-06-2023,183.50,186.70,178.35,179.65,179.65,"491,715","Jun 21, 2023"
20-06-2023,185.60,187.80,181.95,182.70,182.70,"389,116","Jun 20, 2023"
19-06-2023,192.70,195.50,185.85,187.95,187.95,"358,963","Jun 19, 2023"
16-06-2023,190.20,198.90,188.55,190.90,190.90,"383,631","Jun 16, 2023"
15-06-2023,191.90,193.35,187.10,188.80,188.80,"171,690","Jun 15, 2023"
14-06-2023,184.90,194.00,184.45,191.70,191.70,"557,214","Jun 14, 2023"
13-06-2023,188.00,189.50,183.00,184.35,184.35,"289,464","Jun 13, 2023"
12-06-2023,190.90,192.20,186.45,188.05,188.05,"232,697","Jun 12, 2023"
09-06-2023,183.65,195.90,182.50,190.85,190.85,"594,035","Jun 09, 2023"
09-06-2023,4.1 Dividend,,,,,,"Jun 09, 2023"
08-06-2023,195.70,195.95,186.00,187.55,183.45,"511,006","Jun 08, 2023"
07-06-2023,185.00,198.95,184.50,195.70,191.42,"1,855,277","Jun 07, 2023"
06-06-2023,175.30,186.25,170.20,184.50,180.47,"1,571,641","Jun 06, 2023"
05-06-2023,174.15,178.45,173.05,174.85,171.03,"748,462","Jun 05, 2023"
02-06-2023,174.15,179.25,170.75,173.55,169.76,"1,322,395","Jun 02, 2023"
01-06-2023,163.00,173.90,163.00,173.05,169.27,"2,818,377","Jun 01, 2023"
31-05-2023,159.00,167.50,153.45,161.05,157.53,"4,269,608","May 31, 2023"
30-05-2023,143.90,146.75,143.90,144.30,141.15,"176,132","May 30, 2023"
29-05-2023,144.00,145.45,143.00,143.15,140.02,"133,399","May 29, 2023"
26-05-2023,143.35,145.30,141.00,143.85,140.71,"237,985","May 26, 2023"
25-05-2023,142.20,146.90,142.20,142.85,139.73,"236,839","May 25, 2023"
24-05-2023,140.00,148.55,136.60,142.15,139.04,"1,468,764","May 24, 2023"
23-05-2023,152.75,152.75,129.65,135.10,132.15,"1,536,422","May 23, 2023"
22-05-2023,152.10,154.70,151.00,152.00,148.68,"103,998","May 22, 2023"
19-05-2023,152.80,155.90,152.05,153.00,149.66,"129,593","May 19, 2023"
18-05-2023,153.15,157.50,152.70,153.80,150.44,"164,702","May 18, 2023"
17-05-2023,151.85,154.00,150.65,152.55,149.22,"126,083","May 17, 2023"
16-05-2023,153.90,155.60,151.20,151.65,148.33,"168,203","May 16, 2023"
15-05-2023,155.40,158.10,152.80,153.45,150.10,"191,029","May 15, 2023"
12-05-2023,150.95,158.75,150.55,154.70,151.32,"624,510","May 12, 2023"
11-05-2023,149.05,154.05,149.05,151.10,147.80,"200,936","May 11, 2023"
10-05-2023,148.95,150.85,147.40,148.40,145.16,"139,441","May 10, 2023"
09-05-2023,150.00,153.40,146.65,148.20,144.96,"159,342","May 09, 2023"
08-05-2023,154.00,154.00,150.05,152.90,149.56,"177,004","May 08, 2023"
05-05-2023,150.95,152.60,148.00,148.75,145.50,"124,522","May 05, 2023"
04-05-2023,151.00,153.50,149.35,150.15,146.87,"134,239","May 04, 2023"
03-05-2023,149.90,154.50,149.60,151.45,148.14,"238,703","May 03, 2023"
02-05-2023,151.00,152.00,149.15,149.60,146.33,"68,970","May 02, 2023"
28-04-2023,150.80,152.00,149.05,150.10,146.82,"91,573","Apr 28, 2023"
27-04-2023,151.25,152.60,149.40,150.05,146.77,"104,614","Apr 27, 2023"
26-04-2023,148.30,152.25,147.50,150.65,147.36,"219,497","Apr 26, 2023"
25-04-2023,150.65,151.10,147.00,147.70,144.47,"273,205","Apr 25, 2023"
24-04-2023,137.90,154.60,137.90,149.15,145.89,"2,154,486","Apr 24, 2023"
21-04-2023,138.15,139.60,136.85,137.90,134.89,"150,787","Apr 21, 2023"
20-04-2023,140.85,141.15,137.70,138.15,135.13,"151,146","Apr 20, 2023"
19-04-2023,144.50,144.75,139.45,140.45,137.38,"133,986","Apr 19, 2023"
18-04-2023,144.10,145.00,141.05,143.65,140.51,"89,316","Apr 18, 2023"
17-04-2023,145.50,145.50,142.85,143.85,140.71,"115,740","Apr 17, 2023"
13-04-2023,142.45,145.00,141.60,144.30,141.15,"220,303","Apr 13, 2023"
12-04-2023,140.00,143.95,139.30,142.00,138.90,"203,084","Apr 12, 2023"
11-04-2023,138.15,141.30,137.00,138.90,135.86,"176,232","Apr 11, 2023"
10-04-2023,136.05,139.90,135.55,137.95,134.93,"212,684","Apr 10, 2023"
06-04-2023,136.75,136.75,133.10,134.05,131.12,"87,140","Apr 06, 2023"
05-04-2023,136.80,138.20,135.05,136.05,133.08,"106,825","Apr 05, 2023"
03-04-2023,134.30,138.10,133.65,136.25,133.27,"107,440","Apr 03, 2023"
31-03-2023,134.00,135.70,132.75,133.60,130.68,"73,243","Mar 31, 2023"
29-03-2023,125.90,132.95,125.90,131.90,129.02,"138,645","Mar 29, 2023"
28-03-2023,128.90,129.30,125.00,125.75,123.00,"95,766","Mar 28, 2023"
27-03-2023,130.40,131.50,126.50,128.40,125.59,"142,719","Mar 27, 2023"
24-03-2023,133.80,133.80,129.30,129.95,127.11,"105,190","Mar 24, 2023"
23-03-2023,131.65,134.25,130.80,132.65,129.75,"107,261","Mar 23, 2023"
22-03-2023,132.85,133.60,131.70,132.95,130.04,"70,510","Mar 22, 2023"
21-03-2023,131.30,133.35,130.50,132.15,129.26,"135,274","Mar 21, 2023"
20-03-2023,136.80,136.80,127.40,129.60,126.77,"124,900","Mar 20, 2023"
17-03-2023,129.60,131.30,129.10,129.95,127.11,"84,470","Mar 17, 2023"
16-03-2023,128.90,130.00,125.00,128.95,126.13,"109,363","Mar 16, 2023"
15-03-2023,128.65,129.85,127.65,128.25,125.45,"69,742","Mar 15, 2023"
14-03-2023,129.15,132.05,127.00,128.00,125.20,"104,330","Mar 14, 2023"
13-03-2023,133.30,134.65,128.60,129.15,126.33,"252,206","Mar 13, 2023"
10-03-2023,134.00,135.80,132.60,134.15,131.22,"83,175","Mar 10, 2023"
09-03-2023,136.95,137.50,134.30,134.65,131.71,"124,711","Mar 09, 2023"
08-03-2023,138.85,140.65,136.10,136.35,133.37,"184,321","Mar 08, 2023"
06-03-2023,140.15,141.05,137.00,138.85,135.81,"122,460","Mar 06, 2023"
03-03-2023,137.40,139.90,136.75,139.45,136.40,"48,175","Mar 03, 2023"
02-03-2023,136.00,138.50,135.15,136.75,133.76,"95,407","Mar 02, 2023"
01-03-2023,141.35,142.55,135.55,137.50,134.49,"149,906","Mar 01, 2023"
28-02-2023,143.25,143.25,140.55,140.95,137.87,"44,520","Feb 28, 2023"
27-02-2023,142.85,144.35,141.25,142.55,139.43,"99,157","Feb 27, 2023"
24-02-2023,142.20,144.35,141.20,142.15,139.04,"40,223","Feb 24, 2023"
23-02-2023,143.60,144.25,141.10,141.45,138.36,"48,485","Feb 23, 2023"
22-02-2023,143.85,144.95,142.10,142.90,139.78,"52,692","Feb 22, 2023"
21-02-2023,144.00,146.45,141.60,145.05,141.88,"113,356","Feb 21, 2023"
