date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,521.10","2,580.00","2,521.10","2,529.25","2,529.25","2,599","Aug 25, 2023"
24-08-2023,"2,605.35","2,640.05","2,572.05","2,590.80","2,590.80","9,864","Aug 24, 2023"
23-08-2023,"2,562.30","2,606.00","2,540.05","2,577.75","2,577.75","2,648","Aug 23, 2023"
22-08-2023,"2,588.00","2,593.90","2,521.10","2,539.65","2,539.65","1,842","Aug 22, 2023"
21-08-2023,"2,532.05","2,599.90","2,532.00","2,561.95","2,561.95","2,351","Aug 21, 2023"
18-08-2023,"2,575.00","2,579.40","2,520.15","2,530.15","2,530.15","2,271","Aug 18, 2023"
17-08-2023,"2,567.75","2,575.00","2,520.05","2,553.60","2,553.60","2,127","Aug 17, 2023"
16-08-2023,"2,576.95","2,576.95","2,513.05","2,530.45","2,530.45","2,904","Aug 16, 2023"
14-08-2023,"2,618.95","2,618.95","2,535.10","2,547.90","2,547.90","3,619","Aug 14, 2023"
11-08-2023,"2,586.00","2,600.90","2,560.00","2,571.65","2,571.65","2,551","Aug 11, 2023"
10-08-2023,"2,601.00","2,632.45","2,550.55","2,556.55","2,556.55","4,593","Aug 10, 2023"
09-08-2023,"2,599.00","2,601.00","2,565.50","2,571.45","2,571.45","2,585","Aug 09, 2023"
08-08-2023,"2,598.00","2,623.95","2,560.10","2,570.55","2,570.55","3,690","Aug 08, 2023"
07-08-2023,"2,608.20","2,620.00","2,565.10","2,573.75","2,573.75","4,369","Aug 07, 2023"
04-08-2023,"2,582.00","2,632.00","2,566.00","2,577.25","2,577.25","3,235","Aug 04, 2023"
03-08-2023,"2,580.00","2,644.00","2,532.60","2,552.40","2,552.40","5,661","Aug 03, 2023"
02-08-2023,"2,710.00","2,714.25","2,551.90","2,600.35","2,600.35","9,299","Aug 02, 2023"
01-08-2023,"2,688.00","2,731.45","2,626.10","2,670.20","2,670.20","10,869","Aug 01, 2023"
31-07-2023,"2,499.90","2,687.80","2,499.90","2,654.10","2,654.10","28,302","Jul 31, 2023"
28-07-2023,"2,481.95","2,499.35","2,455.00","2,472.65","2,472.65","4,246","Jul 28, 2023"
27-07-2023,"2,475.60","2,516.90","2,439.50","2,452.60","2,452.60","4,427","Jul 27, 2023"
26-07-2023,"2,432.15","2,518.00","2,432.15","2,466.90","2,466.90","4,853","Jul 26, 2023"
25-07-2023,"2,432.30","2,450.00","2,417.10","2,432.15","2,432.15","1,662","Jul 25, 2023"
24-07-2023,"2,420.05","2,459.95","2,401.00","2,412.10","2,412.10","1,264","Jul 24, 2023"
21-07-2023,"2,423.00","2,482.45","2,410.00","2,443.65","2,443.65","1,219","Jul 21, 2023"
20-07-2023,"2,446.55","2,463.50","2,435.00","2,447.45","2,447.45","1,197","Jul 20, 2023"
19-07-2023,"2,445.00","2,476.95","2,407.05","2,418.15","2,418.15","1,616","Jul 19, 2023"
18-07-2023,"2,504.00","2,523.95","2,416.05","2,440.35","2,440.35","3,120","Jul 18, 2023"
17-07-2023,"2,458.00","2,503.95","2,458.00","2,477.85","2,477.85","3,069","Jul 17, 2023"
14-07-2023,"2,440.00","2,451.00","2,394.85","2,429.85","2,429.85","1,432","Jul 14, 2023"
13-07-2023,"2,497.70","2,500.80","2,357.00","2,399.10","2,399.10","2,671","Jul 13, 2023"
12-07-2023,"2,514.95","2,547.85","2,459.00","2,460.75","2,460.75","5,380","Jul 12, 2023"
11-07-2023,"2,370.10","2,522.35","2,370.10","2,478.45","2,478.45","13,088","Jul 11, 2023"
10-07-2023,"2,361.95","2,410.00","2,361.00","2,386.50","2,386.50","2,815","Jul 10, 2023"
07-07-2023,"2,372.45","2,421.00","2,336.55","2,353.40","2,353.40","2,584","Jul 07, 2023"
06-07-2023,"2,401.55","2,410.00","2,351.00","2,396.40","2,396.40","2,469","Jul 06, 2023"
05-07-2023,"2,386.75","2,442.00","2,350.10","2,366.05","2,366.05","3,296","Jul 05, 2023"
04-07-2023,"2,379.20","2,420.00","2,350.00","2,368.75","2,368.75","2,048","Jul 04, 2023"
03-07-2023,"2,399.80","2,430.45","2,370.00","2,382.15","2,382.15","2,897","Jul 03, 2023"
30-06-2023,"2,399.50","2,460.00","2,349.05","2,372.25","2,372.25","13,826","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,"2,291.75","2,339.00","2,268.15","2,296.15","2,296.15","2,324","Jun 27, 2023"
26-06-2023,"2,253.65","2,311.00","2,250.00","2,267.20","2,267.20","1,017","Jun 26, 2023"
23-06-2023,"2,289.65","2,320.00","2,245.15","2,255.85","2,255.85","1,894","Jun 23, 2023"
22-06-2023,"2,300.95","2,325.00","2,259.20","2,264.55","2,264.55","1,603","Jun 22, 2023"
21-06-2023,"2,384.00","2,384.00","2,275.55","2,288.65","2,288.65","2,017","Jun 21, 2023"
20-06-2023,"2,390.00","2,405.95","2,295.00","2,311.85","2,311.85","3,890","Jun 20, 2023"
19-06-2023,"2,380.00","2,410.00","2,365.05","2,388.50","2,388.50","1,061","Jun 19, 2023"
