date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,221.85,221.85,217.20,217.90,217.90,"7,412,702","Aug 25, 2023"
24-08-2023,222.00,222.40,219.65,220.85,220.85,"11,182,959","Aug 24, 2023"
23-08-2023,222.90,222.90,221.05,221.70,221.70,"13,507,905","Aug 23, 2023"
22-08-2023,219.25,222.30,218.85,221.70,221.70,"16,930,149","Aug 22, 2023"
21-08-2023,217.20,219.55,215.70,218.80,218.80,"13,336,739","Aug 21, 2023"
18-08-2023,215.80,216.65,213.30,215.15,215.15,"14,101,163","Aug 18, 2023"
17-08-2023,219.45,219.80,215.15,215.75,215.75,"11,865,239","Aug 17, 2023"
16-08-2023,212.95,217.95,212.05,217.45,217.45,"9,687,712","Aug 16, 2023"
14-08-2023,213.30,214.00,211.80,213.00,213.00,"9,283,695","Aug 14, 2023"
11-08-2023,214.90,216.50,212.65,213.00,213.00,"7,970,536","Aug 11, 2023"
11-08-2023,3 Dividend,,,,,,"Aug 11, 2023"
10-08-2023,219.20,220.85,216.50,217.40,214.40,"10,970,619","Aug 10, 2023"
09-08-2023,218.45,219.70,216.45,218.70,215.68,"12,554,174","Aug 09, 2023"
08-08-2023,220.30,220.40,214.00,217.55,214.55,"15,314,866","Aug 08, 2023"
07-08-2023,219.70,221.35,217.65,217.95,214.94,"12,929,354","Aug 07, 2023"
04-08-2023,221.70,222.20,217.60,217.95,214.94,"12,879,897","Aug 04, 2023"
03-08-2023,219.10,223.60,217.95,220.10,217.06,"29,868,065","Aug 03, 2023"
02-08-2023,225.05,225.15,216.85,219.10,216.08,"22,647,784","Aug 02, 2023"
01-08-2023,219.55,226.65,218.85,225.15,222.04,"63,510,580","Aug 01, 2023"
31-07-2023,212.20,218.95,209.65,218.35,215.34,"43,494,779","Jul 31, 2023"
28-07-2023,201.85,210.45,199.50,210.00,207.10,"39,630,520","Jul 28, 2023"
27-07-2023,201.75,203.00,200.60,201.95,199.16,"16,013,422","Jul 27, 2023"
26-07-2023,201.50,202.15,200.00,201.60,198.82,"13,857,423","Jul 26, 2023"
25-07-2023,196.50,201.35,195.90,200.65,197.88,"18,028,061","Jul 25, 2023"
24-07-2023,195.50,197.00,192.95,195.90,193.20,"9,981,788","Jul 24, 2023"
21-07-2023,192.80,196.35,192.10,195.10,192.41,"11,031,250","Jul 21, 2023"
20-07-2023,192.70,194.25,191.85,192.90,190.24,"8,936,996","Jul 20, 2023"
19-07-2023,191.00,196.60,190.20,192.55,189.89,"31,761,232","Jul 19, 2023"
18-07-2023,187.00,189.15,186.30,187.35,184.76,"7,177,677","Jul 18, 2023"
17-07-2023,188.45,188.95,185.80,186.50,183.93,"9,058,800","Jul 17, 2023"
14-07-2023,187.95,188.35,184.75,187.45,184.86,"12,369,394","Jul 14, 2023"
13-07-2023,191.80,191.80,186.95,187.90,185.31,"10,612,659","Jul 13, 2023"
12-07-2023,193.75,194.75,190.25,190.80,188.17,"9,191,559","Jul 12, 2023"
11-07-2023,192.65,192.95,190.80,192.40,189.74,"11,236,383","Jul 11, 2023"
10-07-2023,192.65,193.35,189.80,191.55,188.91,"10,238,356","Jul 10, 2023"
07-07-2023,196.75,197.75,192.15,192.60,189.94,"12,652,336","Jul 07, 2023"
06-07-2023,193.50,197.15,192.75,196.75,194.03,"16,276,609","Jul 06, 2023"
05-07-2023,194.00,194.75,192.35,193.40,190.73,"6,558,910","Jul 05, 2023"
04-07-2023,191.10,194.80,189.00,194.05,191.37,"13,258,826","Jul 04, 2023"
03-07-2023,190.00,192.60,188.70,191.25,188.61,"7,352,149","Jul 03, 2023"
30-06-2023,188.10,191.65,188.00,189.15,186.54,"9,579,059","Jun 30, 2023"
28-06-2023,186.05,186.05,186.05,186.05,183.48,-,"Jun 28, 2023"
27-06-2023,184.90,186.95,184.80,186.05,183.48,"6,787,438","Jun 27, 2023"
26-06-2023,187.40,187.40,184.45,184.90,182.35,"7,231,775","Jun 26, 2023"
23-06-2023,184.55,187.50,183.75,186.70,184.12,"15,255,365","Jun 23, 2023"
22-06-2023,187.50,187.95,183.35,184.50,181.95,"6,683,123","Jun 22, 2023"
