date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,136.00,136.35,135.30,135.70,135.70,"1,423,511","Aug 25, 2023"
24-08-2023,136.00,137.40,135.70,136.70,136.70,"3,689,329","Aug 24, 2023"
23-08-2023,135.40,136.50,134.50,135.25,135.25,"5,036,244","Aug 23, 2023"
22-08-2023,131.90,135.85,131.80,135.05,135.05,"6,483,762","Aug 22, 2023"
21-08-2023,133.55,134.40,131.00,131.80,131.80,"7,690,217","Aug 21, 2023"
18-08-2023,133.00,133.40,130.75,132.00,132.00,"3,017,109","Aug 18, 2023"
17-08-2023,133.20,134.60,132.00,133.15,133.15,"3,745,513","Aug 17, 2023"
16-08-2023,134.05,137.35,131.50,132.05,132.05,"6,748,471","Aug 16, 2023"
14-08-2023,143.30,143.30,130.10,134.30,134.30,"25,004,345","Aug 14, 2023"
11-08-2023,146.30,148.40,145.35,146.20,146.20,"3,541,076","Aug 11, 2023"
10-08-2023,147.00,147.85,145.10,145.70,145.70,"2,739,756","Aug 10, 2023"
09-08-2023,147.20,147.55,145.45,146.65,146.65,"2,767,776","Aug 09, 2023"
08-08-2023,147.95,149.15,145.40,146.95,146.95,"3,484,555","Aug 08, 2023"
07-08-2023,148.40,153.35,146.10,147.05,147.05,"8,880,175","Aug 07, 2023"
04-08-2023,144.55,150.00,144.05,147.55,147.55,"9,164,577","Aug 04, 2023"
03-08-2023,146.90,146.95,142.55,143.45,143.45,"4,652,137","Aug 03, 2023"
02-08-2023,147.70,149.50,145.35,147.10,147.10,"3,457,502","Aug 02, 2023"
01-08-2023,144.30,148.30,144.30,147.80,147.80,"4,049,882","Aug 01, 2023"
31-07-2023,144.95,147.00,143.10,143.90,143.90,"3,540,808","Jul 31, 2023"
28-07-2023,145.75,145.75,143.35,144.25,144.25,"1,858,471","Jul 28, 2023"
27-07-2023,147.35,147.60,144.60,145.35,145.35,"2,328,815","Jul 27, 2023"
26-07-2023,145.00,149.90,144.65,146.55,146.55,"6,531,157","Jul 26, 2023"
25-07-2023,145.75,145.75,144.05,144.65,144.65,"3,200,507","Jul 25, 2023"
24-07-2023,145.00,145.55,143.55,145.00,145.00,"3,225,243","Jul 24, 2023"
21-07-2023,145.20,147.00,144.60,144.90,144.90,"3,603,611","Jul 21, 2023"
20-07-2023,146.60,146.70,144.00,145.05,145.05,"2,164,494","Jul 20, 2023"
19-07-2023,145.25,147.00,142.40,146.20,146.20,"4,382,058","Jul 19, 2023"
18-07-2023,146.00,146.00,143.55,144.50,144.50,"4,861,207","Jul 18, 2023"
17-07-2023,146.10,146.90,144.45,145.55,145.55,"2,300,508","Jul 17, 2023"
14-07-2023,144.40,146.70,143.00,145.40,145.40,"3,568,741","Jul 14, 2023"
13-07-2023,146.75,147.50,142.15,142.95,142.95,"5,981,950","Jul 13, 2023"
12-07-2023,146.85,149.90,143.35,144.05,144.05,"5,053,787","Jul 12, 2023"
11-07-2023,140.35,148.80,140.05,146.85,146.85,"10,925,412","Jul 11, 2023"
10-07-2023,142.00,142.50,138.65,139.45,139.45,"5,322,493","Jul 10, 2023"
07-07-2023,144.95,147.50,139.00,141.00,141.00,"6,718,342","Jul 07, 2023"
06-07-2023,143.65,144.80,142.60,144.00,144.00,"3,936,608","Jul 06, 2023"
05-07-2023,145.90,146.85,142.70,143.35,143.35,"18,791,002","Jul 05, 2023"
04-07-2023,148.25,149.00,143.00,145.50,145.50,"12,475,586","Jul 04, 2023"
03-07-2023,149.15,149.30,147.40,148.10,148.10,"2,256,552","Jul 03, 2023"
30-06-2023,145.00,149.45,145.00,148.60,148.60,"4,473,653","Jun 30, 2023"
28-06-2023,148.10,148.10,148.10,148.10,148.10,-,"Jun 28, 2023"
27-06-2023,149.00,150.20,146.85,148.10,148.10,"5,027,239","Jun 27, 2023"
26-06-2023,149.70,150.50,147.65,148.90,148.90,"5,401,251","Jun 26, 2023"
23-06-2023,149.60,151.65,148.35,148.90,148.90,"8,904,404","Jun 23, 2023"
22-06-2023,150.40,153.30,147.00,148.70,148.70,"11,716,972","Jun 22, 2023"
21-06-2023,148.25,151.00,147.35,150.40,150.40,"10,363,340","Jun 21, 2023"
20-06-2023,150.80,151.50,146.00,147.05,147.05,"7,731,161","Jun 20, 2023"
19-06-2023,145.30,151.40,144.65,150.45,150.45,"27,610,290","Jun 19, 2023"
16-06-2023,138.90,145.50,138.50,144.35,144.35,"19,129,741","Jun 16, 2023"
15-06-2023,141.45,142.30,137.05,137.90,137.90,"7,779,452","Jun 15, 2023"
14-06-2023,142.65,143.90,140.50,141.10,141.10,"4,854,138","Jun 14, 2023"
13-06-2023,140.35,142.80,137.40,142.05,142.05,"12,280,353","Jun 13, 2023"
12-06-2023,139.25,143.90,138.15,140.00,140.00,"16,562,405","Jun 12, 2023"
09-06-2023,136.95,139.65,135.60,138.75,138.75,"7,872,403","Jun 09, 2023"
08-06-2023,135.45,139.30,133.65,135.60,135.60,"15,019,328","Jun 08, 2023"
07-06-2023,135.00,137.85,132.50,134.50,134.50,"9,130,590","Jun 07, 2023"
06-06-2023,136.80,139.15,133.10,134.00,134.00,"9,137,352","Jun 06, 2023"
05-06-2023,136.85,138.90,132.50,137.60,137.60,"19,609,128","Jun 05, 2023"
02-06-2023,126.40,136.80,125.70,135.75,135.75,"42,069,132","Jun 02, 2023"
01-06-2023,125.05,126.90,124.65,126.15,126.15,"4,949,201","Jun 01, 2023"
31-05-2023,125.20,126.30,124.55,125.05,125.05,"5,233,746","May 31, 2023"
30-05-2023,126.20,126.20,124.30,125.35,125.35,"3,310,957","May 30, 2023"
29-05-2023,126.55,127.40,125.40,126.20,126.20,"5,231,023","May 29, 2023"
26-05-2023,127.70,127.75,125.00,126.30,126.30,"10,368,573","May 26, 2023"
25-05-2023,124.65,128.20,122.15,127.05,127.05,"27,239,097","May 25, 2023"
24-05-2023,128.50,128.50,124.40,125.00,125.00,"5,442,654","May 24, 2023"
23-05-2023,126.80,129.25,125.85,128.40,128.40,"3,804,209","May 23, 2023"
22-05-2023,128.05,128.05,125.60,126.85,126.85,"3,395,750","May 22, 2023"
19-05-2023,126.00,128.85,123.80,128.30,128.30,"4,845,666","May 19, 2023"
18-05-2023,127.25,128.60,125.05,125.75,125.75,"2,634,053","May 18, 2023"
17-05-2023,127.45,128.45,124.75,126.90,126.90,"4,323,654","May 17, 2023"
16-05-2023,126.10,129.35,124.80,127.20,127.20,"4,961,545","May 16, 2023"
15-05-2023,123.80,126.45,123.80,125.45,125.45,"2,687,241","May 15, 2023"
12-05-2023,124.50,126.50,122.45,124.20,124.20,"5,384,735","May 12, 2023"
11-05-2023,128.45,129.05,123.60,125.25,125.25,"3,708,383","May 11, 2023"
10-05-2023,129.85,130.20,127.85,128.35,128.35,"2,270,329","May 10, 2023"
09-05-2023,129.50,130.50,127.60,129.30,129.30,"6,318,630","May 09, 2023"
08-05-2023,130.00,132.35,128.50,129.00,129.00,"10,040,556","May 08, 2023"
05-05-2023,129.00,131.70,127.95,129.85,129.85,"14,423,761","May 05, 2023"
04-05-2023,124.00,129.80,123.25,128.60,128.60,"15,983,154","May 04, 2023"
03-05-2023,124.70,126.75,123.60,124.05,124.05,"8,472,237","May 03, 2023"
02-05-2023,123.30,128.65,122.15,124.75,124.75,"23,035,078","May 02, 2023"
28-04-2023,116.50,124.20,114.80,122.60,122.60,"41,725,462","Apr 28, 2023"
