date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,188.00","1,244.00","1,172.00","1,211.95","1,211.95","1,238,022","Aug 25, 2023"
24-08-2023,"1,210.00","1,217.95","1,184.05","1,190.10","1,190.10","439,315","Aug 24, 2023"
23-08-2023,"1,223.80","1,230.90","1,200.00","1,205.90","1,205.90","436,086","Aug 23, 2023"
22-08-2023,"1,238.30","1,251.25","1,210.30","1,217.65","1,217.65","654,532","Aug 22, 2023"
21-08-2023,"1,194.95","1,247.00","1,194.00","1,229.00","1,229.00","1,240,706","Aug 21, 2023"
18-08-2023,"1,234.00","1,243.95","1,180.00","1,192.80","1,192.80","1,006,391","Aug 18, 2023"
17-08-2023,"1,235.00","1,285.00","1,201.90","1,229.35","1,229.35","2,205,450","Aug 17, 2023"
16-08-2023,"1,125.00","1,236.10","1,125.00","1,222.15","1,222.15","3,509,461","Aug 16, 2023"
14-08-2023,"1,024.85","1,127.90","1,015.00","1,123.75","1,123.75","2,063,545","Aug 14, 2023"
11-08-2023,"1,068.25","1,074.00","1,013.00","1,025.40","1,025.40","753,752","Aug 11, 2023"
10-08-2023,"1,077.70","1,084.55","1,052.00","1,058.55","1,058.55","457,110","Aug 10, 2023"
09-08-2023,"1,085.95","1,114.65","1,070.00","1,072.95","1,072.95","655,172","Aug 09, 2023"
08-08-2023,"1,076.00","1,095.00","1,031.30","1,078.00","1,078.00","1,423,183","Aug 08, 2023"
07-08-2023,"1,146.90","1,172.00","1,113.00","1,136.50","1,136.50","774,731","Aug 07, 2023"
04-08-2023,"1,136.15","1,154.00","1,126.25","1,138.25","1,138.25","480,440","Aug 04, 2023"
03-08-2023,"1,130.00","1,145.00","1,112.00","1,129.65","1,129.65","616,013","Aug 03, 2023"
02-08-2023,"1,165.05","1,176.95","1,109.10","1,130.75","1,130.75","793,736","Aug 02, 2023"
01-08-2023,"1,164.60","1,208.80","1,155.00","1,158.45","1,158.45","1,026,240","Aug 01, 2023"
31-07-2023,"1,178.90","1,188.00","1,141.00","1,150.15","1,150.15","620,485","Jul 31, 2023"
28-07-2023,"1,219.95","1,224.40","1,162.50","1,177.25","1,177.25","910,161","Jul 28, 2023"
27-07-2023,"1,225.55","1,260.00","1,190.10","1,213.60","1,213.60","2,267,913","Jul 27, 2023"
26-07-2023,"1,075.00","1,190.10","1,053.10","1,190.10","1,190.10","1,967,962","Jul 26, 2023"
25-07-2023,"1,195.00","1,200.00","1,073.00","1,081.95","1,081.95","3,431,730","Jul 25, 2023"
24-07-2023,"1,271.00","1,271.00","1,182.00","1,189.00","1,189.00","1,514,552","Jul 24, 2023"
21-07-2023,"1,289.95","1,299.00","1,270.00","1,275.15","1,275.15","743,644","Jul 21, 2023"
20-07-2023,"1,315.55","1,345.00","1,288.00","1,298.95","1,298.95","1,084,221","Jul 20, 2023"
19-07-2023,"1,312.75","1,348.80","1,302.00","1,307.45","1,307.45","1,055,535","Jul 19, 2023"
18-07-2023,"1,346.40","1,350.65","1,275.05","1,309.00","1,309.00","1,233,086","Jul 18, 2023"
17-07-2023,"1,384.00","1,390.45","1,325.25","1,343.45","1,343.45","1,796,952","Jul 17, 2023"
14-07-2023,"1,371.40","1,394.00","1,315.00","1,373.65","1,373.65","2,306,059","Jul 14, 2023"
13-07-2023,"1,405.00","1,465.00","1,299.00","1,362.60","1,362.60","3,943,747","Jul 13, 2023"
12-07-2023,"1,323.05","1,419.00","1,300.20","1,395.15","1,395.15","6,728,650","Jul 12, 2023"
11-07-2023,"1,299.00","1,348.00","1,288.00","1,317.20","1,317.20","4,457,106","Jul 11, 2023"
10-07-2023,"1,263.00","1,408.70","1,260.00","1,288.00","1,288.00","22,548,173","Jul 10, 2023"
07-07-2023,"1,051.00","1,249.00","1,041.05","1,231.95","1,231.95","17,015,939","Jul 07, 2023"
06-07-2023,989.90,"1,077.00",985.10,"1,044.40","1,044.40","6,961,886","Jul 06, 2023"
05-07-2023,991.50,996.00,976.50,988.45,988.45,"1,320,942","Jul 05, 2023"
04-07-2023,998.00,"1,007.65",975.00,989.45,989.45,"1,626,222","Jul 04, 2023"
03-07-2023,980.00,999.00,958.15,988.00,988.00,"1,829,257","Jul 03, 2023"
30-06-2023,960.50,"1,006.85",960.00,972.20,972.20,"3,398,740","Jun 30, 2023"
28-06-2023,952.30,952.30,952.30,952.30,952.30,-,"Jun 28, 2023"
27-06-2023,938.50,969.90,938.50,952.30,952.30,"1,596,193","Jun 27, 2023"
