date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,173.10,175.25,172.85,174.70,174.70,"4,757,433","Aug 25, 2023"
24-08-2023,175.50,176.70,172.80,173.10,173.10,"7,976,333","Aug 24, 2023"
23-08-2023,177.00,177.20,175.00,175.50,175.50,"6,379,611","Aug 23, 2023"
22-08-2023,176.05,177.90,175.60,176.15,176.15,"5,348,036","Aug 22, 2023"
21-08-2023,175.30,176.30,174.30,176.05,176.05,"3,599,820","Aug 21, 2023"
18-08-2023,177.65,177.65,174.15,175.30,175.30,"6,734,650","Aug 18, 2023"
18-08-2023,0.5 Dividend,,,,,,"Aug 18, 2023"
17-08-2023,178.70,179.10,177.10,177.75,177.25,"5,199,363","Aug 17, 2023"
16-08-2023,176.30,179.45,175.80,179.05,178.55,"8,371,665","Aug 16, 2023"
14-08-2023,180.00,180.45,177.35,178.00,177.50,"12,876,956","Aug 14, 2023"
11-08-2023,178.90,179.70,176.70,177.20,176.70,"4,112,277","Aug 11, 2023"
10-08-2023,178.10,179.75,176.90,178.65,178.15,"10,430,692","Aug 10, 2023"
09-08-2023,173.35,177.25,173.30,176.90,176.40,"4,852,294","Aug 09, 2023"
08-08-2023,172.90,173.80,172.60,173.35,172.86,"3,631,238","Aug 08, 2023"
07-08-2023,174.30,174.50,172.10,172.95,172.46,"2,240,015","Aug 07, 2023"
04-08-2023,173.35,174.45,172.10,173.35,172.86,"4,605,271","Aug 04, 2023"
03-08-2023,175.25,175.80,171.50,172.10,171.62,"6,152,393","Aug 03, 2023"
02-08-2023,177.00,178.65,174.00,175.95,175.46,"8,975,495","Aug 02, 2023"
01-08-2023,175.30,177.00,174.30,176.70,176.20,"5,584,773","Aug 01, 2023"
31-07-2023,172.80,177.50,171.40,177.05,176.55,"9,277,749","Jul 31, 2023"
28-07-2023,170.70,174.95,168.90,171.80,171.32,"9,004,252","Jul 28, 2023"
27-07-2023,173.45,173.65,170.70,171.00,170.52,"7,731,146","Jul 27, 2023"
26-07-2023,173.85,174.30,172.00,172.95,172.46,"9,103,949","Jul 26, 2023"
25-07-2023,172.00,173.35,171.30,173.00,172.51,"10,480,578","Jul 25, 2023"
24-07-2023,171.65,172.25,170.25,171.00,170.52,"8,451,631","Jul 24, 2023"
21-07-2023,167.35,171.00,166.50,170.55,170.07,"7,842,863","Jul 21, 2023"
20-07-2023,167.00,168.10,166.00,167.20,166.73,"5,217,131","Jul 20, 2023"
19-07-2023,167.20,167.95,166.10,166.75,166.28,"5,968,174","Jul 19, 2023"
18-07-2023,166.40,168.15,166.05,166.90,166.43,"4,322,257","Jul 18, 2023"
17-07-2023,167.80,168.40,166.15,166.40,165.93,"4,968,847","Jul 17, 2023"
14-07-2023,169.00,169.75,168.20,169.25,168.77,"9,448,062","Jul 14, 2023"
13-07-2023,168.65,169.30,167.20,167.80,167.33,"11,350,009","Jul 13, 2023"
12-07-2023,165.95,169.00,165.25,167.65,167.18,"15,614,026","Jul 12, 2023"
11-07-2023,163.25,165.10,162.90,164.60,164.14,"6,343,183","Jul 11, 2023"
10-07-2023,163.90,165.40,162.50,162.75,162.29,"5,437,687","Jul 10, 2023"
07-07-2023,165.50,166.00,162.80,163.50,163.04,"7,597,171","Jul 07, 2023"
06-07-2023,162.80,165.80,162.55,165.40,164.93,"9,845,699","Jul 06, 2023"
05-07-2023,162.00,164.40,161.35,162.80,162.34,"8,795,342","Jul 05, 2023"
04-07-2023,162.50,162.90,160.00,161.20,160.75,"5,394,282","Jul 04, 2023"
03-07-2023,160.30,163.25,160.00,162.90,162.44,"9,548,822","Jul 03, 2023"
30-06-2023,161.00,161.00,158.95,160.30,159.85,"7,840,112","Jun 30, 2023"
28-06-2023,157.85,157.85,157.85,157.85,157.41,-,"Jun 28, 2023"
27-06-2023,158.85,158.85,157.35,157.85,157.41,"9,730,174","Jun 27, 2023"
26-06-2023,157.00,158.25,155.85,156.90,156.46,"4,273,205","Jun 26, 2023"
23-06-2023,159.00,159.00,155.40,156.90,156.46,"8,722,650","Jun 23, 2023"
22-06-2023,160.20,160.95,157.50,158.95,158.50,"10,629,027","Jun 22, 2023"
21-06-2023,157.00,160.55,156.60,160.20,159.75,"8,284,206","Jun 21, 2023"
20-06-2023,157.55,157.80,156.55,157.25,156.81,"6,059,738","Jun 20, 2023"
19-06-2023,157.90,158.45,156.50,157.80,157.36,"4,718,221","Jun 19, 2023"
16-06-2023,158.25,158.65,156.35,157.00,156.56,"11,466,647","Jun 16, 2023"
15-06-2023,157.50,157.90,156.20,157.65,157.21,"7,426,254","Jun 15, 2023"
14-06-2023,156.10,158.40,155.85,157.85,157.41,"9,695,952","Jun 14, 2023"
13-06-2023,155.20,156.20,154.25,155.65,155.21,"10,073,644","Jun 13, 2023"
12-06-2023,154.85,155.25,152.60,155.05,154.61,"11,017,643","Jun 12, 2023"
09-06-2023,156.70,156.90,153.80,154.25,153.82,"11,764,248","Jun 09, 2023"
08-06-2023,154.50,156.65,154.20,156.10,155.66,"13,850,599","Jun 08, 2023"
07-06-2023,153.60,154.50,152.55,153.85,153.42,"12,180,164","Jun 07, 2023"
06-06-2023,155.50,155.90,153.20,153.65,153.22,"8,118,800","Jun 06, 2023"
05-06-2023,155.50,156.00,154.45,155.40,154.96,"11,850,547","Jun 05, 2023"
02-06-2023,155.00,155.00,153.40,154.70,154.26,"9,851,058","Jun 02, 2023"
01-06-2023,154.70,156.00,153.20,153.65,153.22,"13,982,606","Jun 01, 2023"
31-05-2023,159.00,159.40,150.05,154.90,154.46,"83,741,017","May 31, 2023"
30-05-2023,159.70,161.70,157.25,158.85,158.40,"16,117,505","May 30, 2023"
29-05-2023,160.00,160.25,156.50,159.00,158.55,"43,253,971","May 29, 2023"
26-05-2023,166.05,167.40,162.30,163.75,163.29,"14,873,707","May 26, 2023"
25-05-2023,166.25,167.40,165.25,166.00,165.53,"8,077,606","May 25, 2023"
24-05-2023,165.00,166.45,164.65,166.25,165.78,"6,107,980","May 24, 2023"
23-05-2023,165.60,167.05,164.45,165.00,164.54,"10,119,254","May 23, 2023"
22-05-2023,164.10,166.40,164.10,165.60,165.13,"7,331,865","May 22, 2023"
19-05-2023,166.20,166.75,164.00,164.90,164.44,"5,969,632","May 19, 2023"
18-05-2023,167.50,168.45,166.00,166.35,165.88,"7,433,090","May 18, 2023"
17-05-2023,168.00,168.00,166.10,167.25,166.78,"7,360,259","May 17, 2023"
16-05-2023,168.30,168.50,166.75,168.00,167.53,"12,249,266","May 16, 2023"
15-05-2023,165.50,166.60,164.40,165.60,165.13,"8,559,162","May 15, 2023"
12-05-2023,168.15,169.00,165.00,165.50,165.03,"16,373,574","May 12, 2023"
11-05-2023,166.10,168.65,166.10,167.05,166.58,"7,877,677","May 11, 2023"
10-05-2023,165.25,167.65,165.00,166.95,166.48,"10,901,429","May 10, 2023"
09-05-2023,165.00,166.50,164.40,165.25,164.79,"7,600,834","May 09, 2023"
08-05-2023,160.30,165.35,160.00,165.00,164.54,"9,699,470","May 08, 2023"
05-05-2023,161.05,161.95,159.70,160.30,159.85,"5,488,707","May 05, 2023"
04-05-2023,160.80,161.20,159.20,161.00,160.55,"9,929,482","May 04, 2023"
03-05-2023,162.90,163.35,160.85,161.15,160.70,"8,029,435","May 03, 2023"
02-05-2023,159.50,164.80,159.35,164.25,163.79,"16,612,560","May 02, 2023"
28-04-2023,159.80,159.80,154.85,158.95,158.50,"12,656,744","Apr 28, 2023"
27-04-2023,160.20,160.90,159.60,160.05,159.60,"6,456,825","Apr 27, 2023"
26-04-2023,160.00,161.60,159.75,161.15,160.70,"9,177,783","Apr 26, 2023"
25-04-2023,160.20,161.80,160.00,160.65,160.20,"10,169,778","Apr 25, 2023"
24-04-2023,159.60,160.75,159.30,160.25,159.80,"7,028,440","Apr 24, 2023"
21-04-2023,158.90,159.85,158.70,159.60,159.15,"3,512,214","Apr 21, 2023"
20-04-2023,159.60,160.10,158.50,159.15,158.70,"5,733,670","Apr 20, 2023"
19-04-2023,158.30,160.45,158.05,160.10,159.65,"11,374,283","Apr 19, 2023"
18-04-2023,160.15,160.55,159.40,160.10,159.65,"8,008,560","Apr 18, 2023"
17-04-2023,159.10,160.45,158.00,160.15,159.70,"9,358,885","Apr 17, 2023"
13-04-2023,158.15,160.50,158.00,158.75,158.30,"11,610,851","Apr 13, 2023"
12-04-2023,159.00,159.05,156.60,157.65,157.21,"7,333,339","Apr 12, 2023"
11-04-2023,157.10,159.30,156.40,159.05,158.60,"13,305,621","Apr 11, 2023"
10-04-2023,150.70,157.50,150.00,157.15,156.71,"17,431,401","Apr 10, 2023"
06-04-2023,153.20,153.45,150.40,150.60,150.18,"10,670,936","Apr 06, 2023"
05-04-2023,156.75,157.35,152.55,152.90,152.47,"15,880,397","Apr 05, 2023"
03-04-2023,154.50,157.85,153.10,153.65,153.22,"20,016,785","Apr 03, 2023"
31-03-2023,150.10,153.00,150.05,151.05,150.63,"7,998,472","Mar 31, 2023"
29-03-2023,147.25,150.85,146.50,149.35,148.93,"24,012,834","Mar 29, 2023"
28-03-2023,150.25,150.25,146.65,147.20,146.79,"8,964,539","Mar 28, 2023"
27-03-2023,149.55,152.45,149.25,150.25,149.83,"7,437,261","Mar 27, 2023"
24-03-2023,152.70,153.20,148.80,149.40,148.98,"8,301,726","Mar 24, 2023"
23-03-2023,151.10,153.15,150.30,152.80,152.37,"4,484,564","Mar 23, 2023"
22-03-2023,152.40,152.80,150.85,151.55,151.12,"4,329,409","Mar 22, 2023"
21-03-2023,153.15,153.75,150.95,151.55,151.12,"6,148,489","Mar 21, 2023"
20-03-2023,153.00,154.15,151.60,152.30,151.87,"8,749,355","Mar 20, 2023"
17-03-2023,153.50,154.90,151.95,153.15,152.72,"16,593,429","Mar 17, 2023"
16-03-2023,151.20,153.40,148.00,152.20,151.77,"18,551,936","Mar 16, 2023"
15-03-2023,154.00,154.45,151.80,152.55,152.12,"9,832,270","Mar 15, 2023"
14-03-2023,155.80,156.85,153.05,153.30,152.87,"7,177,342","Mar 14, 2023"
13-03-2023,156.20,158.00,155.20,155.80,155.36,"8,785,721","Mar 13, 2023"
10-03-2023,155.60,156.70,154.20,155.80,155.36,"4,689,681","Mar 10, 2023"
09-03-2023,159.05,159.15,156.05,156.30,155.86,"5,314,022","Mar 09, 2023"
08-03-2023,156.55,158.85,156.40,158.25,157.80,"7,339,476","Mar 08, 2023"
06-03-2023,154.70,159.70,153.55,158.20,157.75,"14,491,522","Mar 06, 2023"
03-03-2023,154.00,155.70,153.45,154.25,153.82,"8,260,104","Mar 03, 2023"
02-03-2023,154.50,155.05,152.65,154.05,153.62,"8,219,892","Mar 02, 2023"
01-03-2023,152.00,155.10,151.85,154.80,154.36,"7,707,977","Mar 01, 2023"
28-02-2023,154.15,155.45,151.20,152.05,151.62,"17,607,584","Feb 28, 2023"
27-02-2023,154.00,156.05,153.00,155.25,154.81,"11,904,749","Feb 27, 2023"
24-02-2023,151.75,155.35,149.75,155.00,154.56,"14,648,507","Feb 24, 2023"
24-02-2023,4 Dividend,,,,,,"Feb 24, 2023"
23-02-2023,153.70,156.20,153.25,154.65,150.23,"18,675,946","Feb 23, 2023"
22-02-2023,154.25,154.50,151.70,153.60,149.21,"9,599,697","Feb 22, 2023"
21-02-2023,154.90,155.90,153.45,154.10,149.69,"7,599,927","Feb 21, 2023"
20-02-2023,157.20,157.80,154.40,154.85,150.42,"8,348,393","Feb 20, 2023"
17-02-2023,155.50,158.80,154.40,156.60,152.12,"19,874,561","Feb 17, 2023"
16-02-2023,150.00,156.45,148.40,155.90,151.44,"30,949,761","Feb 16, 2023"
15-02-2023,149.00,149.40,145.50,147.50,143.28,"12,631,259","Feb 15, 2023"
14-02-2023,148.65,149.20,147.00,148.45,144.20,"6,991,500","Feb 14, 2023"
13-02-2023,147.45,148.80,146.60,148.15,143.91,"6,563,018","Feb 13, 2023"
10-02-2023,146.15,147.00,144.80,146.70,142.50,"6,396,208","Feb 10, 2023"
09-02-2023,144.65,146.40,143.20,146.20,142.02,"8,078,404","Feb 09, 2023"
08-02-2023,145.40,145.90,143.15,143.90,139.78,"10,325,869","Feb 08, 2023"
07-02-2023,143.90,144.95,142.20,144.65,140.51,"8,681,511","Feb 07, 2023"
06-02-2023,141.70,144.20,141.60,143.50,139.40,"6,436,143","Feb 06, 2023"
03-02-2023,143.50,145.35,140.10,144.30,140.17,"9,250,428","Feb 03, 2023"
02-02-2023,143.00,145.00,140.65,143.45,139.35,"11,886,667","Feb 02, 2023"
01-02-2023,145.80,146.00,142.35,144.25,140.12,"11,526,089","Feb 01, 2023"
31-01-2023,145.15,147.90,144.25,144.90,140.76,"19,050,398","Jan 31, 2023"
30-01-2023,147.50,148.85,143.25,144.90,140.76,"12,688,399","Jan 30, 2023"
27-01-2023,152.45,154.15,146.60,147.65,143.43,"13,052,535","Jan 27, 2023"
25-01-2023,151.25,153.40,151.15,152.45,148.09,"9,827,342","Jan 25, 2023"
24-01-2023,152.35,153.20,151.60,152.15,147.80,"8,276,792","Jan 24, 2023"
23-01-2023,152.55,153.10,151.35,152.35,147.99,"16,742,252","Jan 23, 2023"
20-01-2023,152.00,152.50,150.55,151.60,147.26,"17,512,691","Jan 20, 2023"
19-01-2023,148.05,152.10,148.05,151.75,147.41,"18,437,610","Jan 19, 2023"
18-01-2023,148.25,149.75,148.20,149.25,144.98,"12,139,643","Jan 18, 2023"
17-01-2023,148.30,149.00,146.65,147.85,143.62,"18,484,595","Jan 17, 2023"
16-01-2023,147.70,147.80,146.00,147.60,143.38,"9,696,320","Jan 16, 2023"
13-01-2023,146.40,147.50,145.90,146.95,142.75,"8,854,484","Jan 13, 2023"
12-01-2023,147.70,148.25,145.75,146.15,141.97,"13,270,422","Jan 12, 2023"
11-01-2023,149.50,150.00,146.25,146.80,142.60,"12,538,238","Jan 11, 2023"
10-01-2023,148.60,150.30,148.60,149.35,145.08,"18,490,715","Jan 10, 2023"
09-01-2023,149.30,150.20,147.80,148.15,143.91,"18,660,445","Jan 09, 2023"
06-01-2023,146.70,148.10,146.30,147.35,143.14,"16,804,116","Jan 06, 2023"
05-01-2023,145.85,147.00,144.15,146.50,142.31,"16,320,559","Jan 05, 2023"
04-01-2023,148.80,148.85,145.00,146.25,142.07,"13,535,874","Jan 04, 2023"
03-01-2023,149.70,150.60,148.00,149.55,145.27,"14,991,139","Jan 03, 2023"
02-01-2023,147.30,150.80,147.25,150.45,146.15,"9,631,496","Jan 02, 2023"
30-12-2022,145.45,148.75,144.55,146.75,142.55,"9,644,998","Dec 30, 2022"
29-12-2022,142.75,146.00,142.50,144.65,140.51,"36,752,195","Dec 29, 2022"
28-12-2022,143.45,144.65,142.70,143.90,139.78,"9,534,858","Dec 28, 2022"
27-12-2022,142.10,145.40,142.10,144.80,140.66,"8,765,357","Dec 27, 2022"
26-12-2022,140.50,142.85,139.50,141.30,137.26,"7,150,680","Dec 26, 2022"
23-12-2022,140.60,143.50,139.30,139.80,135.80,"8,007,752","Dec 23, 2022"
22-12-2022,145.00,145.15,141.55,142.25,138.18,"9,123,323","Dec 22, 2022"
21-12-2022,146.50,146.80,142.70,143.50,139.40,"10,011,408","Dec 21, 2022"
20-12-2022,145.50,146.20,143.10,145.85,141.68,"6,714,207","Dec 20, 2022"
19-12-2022,147.05,147.55,145.00,145.80,141.63,"10,635,055","Dec 19, 2022"
16-12-2022,148.35,150.50,147.00,147.20,142.99,"20,540,447","Dec 16, 2022"
15-12-2022,147.65,148.85,146.65,147.45,143.23,"11,426,194","Dec 15, 2022"
14-12-2022,144.35,148.60,144.10,147.60,143.38,"17,692,988","Dec 14, 2022"
13-12-2022,143.05,144.65,142.55,144.35,140.22,"12,593,054","Dec 13, 2022"
12-12-2022,140.00,142.50,139.20,142.35,138.28,"8,946,335","Dec 12, 2022"
09-12-2022,142.50,142.95,140.30,140.70,136.68,"9,438,307","Dec 09, 2022"
08-12-2022,141.25,143.00,140.35,142.65,138.57,"10,150,945","Dec 08, 2022"
07-12-2022,140.80,141.75,140.10,140.65,136.63,"9,731,670","Dec 07, 2022"
06-12-2022,142.85,143.15,141.15,142.45,138.38,"10,977,472","Dec 06, 2022"
05-12-2022,141.50,143.95,140.60,143.75,139.64,"18,440,387","Dec 05, 2022"
02-12-2022,141.85,144.80,140.55,140.90,136.87,"24,518,337","Dec 02, 2022"
01-12-2022,141.45,142.00,139.80,140.05,136.04,"27,727,625","Dec 01, 2022"
30-11-2022,139.60,141.80,139.60,141.10,137.06,"17,720,938","Nov 30, 2022"
29-11-2022,140.05,141.10,139.50,140.25,136.24,"13,558,920","Nov 29, 2022"
28-11-2022,139.50,141.20,139.05,139.60,135.61,"8,925,344","Nov 28, 2022"
25-11-2022,139.00,141.30,137.75,140.55,136.53,"9,789,098","Nov 25, 2022"
24-11-2022,136.50,140.00,135.50,139.45,135.46,"11,803,087","Nov 24, 2022"
23-11-2022,135.55,136.65,134.55,136.50,132.60,"9,010,911","Nov 23, 2022"
22-11-2022,134.95,135.90,132.90,135.20,131.33,"11,198,874","Nov 22, 2022"
21-11-2022,136.00,136.35,134.40,135.45,131.58,"16,348,881","Nov 21, 2022"
21-11-2022,6.75 Dividend,,,,,,"Nov 21, 2022"
18-11-2022,143.15,143.25,140.20,141.75,131.14,"19,958,908","Nov 18, 2022"
17-11-2022,141.95,143.80,141.70,143.20,132.48,"13,368,536","Nov 17, 2022"
16-11-2022,142.80,143.30,141.20,142.90,132.20,"11,460,200","Nov 16, 2022"
15-11-2022,140.00,143.35,140.00,142.35,131.69,"24,636,519","Nov 15, 2022"
14-11-2022,140.60,141.00,138.60,139.25,128.83,"12,743,505","Nov 14, 2022"
11-11-2022,140.60,141.30,139.20,140.45,129.94,"18,492,513","Nov 11, 2022"
10-11-2022,137.50,140.85,137.40,139.85,129.38,"15,908,521","Nov 10, 2022"
09-11-2022,138.95,139.00,137.00,138.65,128.27,"12,033,732","Nov 09, 2022"
07-11-2022,138.55,139.00,136.75,138.55,128.18,"9,987,481","Nov 07, 2022"
04-11-2022,136.40,138.40,136.05,137.85,127.53,"7,498,344","Nov 04, 2022"
03-11-2022,136.40,136.70,135.25,136.40,126.19,"7,561,534","Nov 03, 2022"
02-11-2022,135.85,139.20,135.35,136.45,126.24,"21,117,499","Nov 02, 2022"
01-11-2022,134.10,135.70,134.10,135.15,125.03,"11,630,848","Nov 01, 2022"
31-10-2022,134.40,135.20,132.80,134.05,124.01,"8,753,855","Oct 31, 2022"
28-10-2022,132.10,135.60,131.80,133.70,123.69,"22,918,037","Oct 28, 2022"
27-10-2022,130.75,132.20,130.30,131.80,121.93,"13,865,026","Oct 27, 2022"
25-10-2022,132.45,132.90,129.85,130.75,120.96,"10,232,002","Oct 25, 2022"
24-10-2022,133.00,134.00,132.40,132.80,122.86,"2,154,912","Oct 24, 2022"
21-10-2022,129.35,133.40,128.75,131.55,121.70,"11,945,173","Oct 21, 2022"
20-10-2022,127.00,131.00,125.80,129.60,119.90,"18,748,363","Oct 20, 2022"
19-10-2022,128.70,128.70,127.40,127.80,118.23,"7,381,712","Oct 19, 2022"
18-10-2022,128.45,129.10,127.60,128.70,119.07,"6,490,293","Oct 18, 2022"
17-10-2022,127.00,128.20,126.00,127.80,118.23,"9,320,940","Oct 17, 2022"
14-10-2022,132.00,132.80,127.05,127.60,118.05,"13,205,955","Oct 14, 2022"
13-10-2022,131.20,131.85,127.65,129.85,120.13,"13,320,136","Oct 13, 2022"
12-10-2022,131.10,132.00,129.10,131.35,121.52,"9,401,804","Oct 12, 2022"
11-10-2022,133.25,133.50,130.25,131.10,121.29,"13,176,461","Oct 11, 2022"
10-10-2022,133.00,134.00,132.20,133.25,123.27,"10,183,057","Oct 10, 2022"
07-10-2022,132.05,134.25,131.20,134.05,124.01,"13,532,236","Oct 07, 2022"
