date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,572.00,574.00,558.00,561.45,561.45,"4,656","Aug 25, 2023"
24-08-2023,588.00,588.00,567.50,572.50,572.50,"4,124","Aug 24, 2023"
23-08-2023,597.80,599.45,574.00,581.20,581.20,"21,571","Aug 23, 2023"
22-08-2023,553.00,582.05,552.00,580.70,580.70,"8,158","Aug 22, 2023"
21-08-2023,538.00,564.05,537.50,555.75,555.75,"29,997","Aug 21, 2023"
18-08-2023,544.80,548.00,532.00,537.20,537.20,"5,580","Aug 18, 2023"
17-08-2023,539.10,545.50,532.65,535.05,535.05,"15,133","Aug 17, 2023"
16-08-2023,570.00,570.00,530.85,539.10,539.10,"16,714","Aug 16, 2023"
14-08-2023,570.00,579.95,537.40,552.45,552.45,"23,284","Aug 14, 2023"
11-08-2023,599.95,599.95,565.30,565.65,565.65,"32,026","Aug 11, 2023"
10-08-2023,601.30,615.00,583.00,595.05,595.05,"9,160","Aug 10, 2023"
09-08-2023,612.00,625.00,596.40,607.00,607.00,"20,997","Aug 09, 2023"
08-08-2023,599.90,613.35,582.50,610.30,610.30,"28,906","Aug 08, 2023"
07-08-2023,574.15,601.90,573.25,584.15,584.15,"26,582","Aug 07, 2023"
04-08-2023,577.00,586.00,564.05,573.25,573.25,"8,583","Aug 04, 2023"
03-08-2023,565.05,576.85,559.00,569.15,569.15,"4,044","Aug 03, 2023"
02-08-2023,571.65,581.70,552.10,562.50,562.50,"11,482","Aug 02, 2023"
01-08-2023,572.30,585.00,562.00,571.65,571.65,"8,435","Aug 01, 2023"
31-07-2023,590.00,590.00,551.00,572.30,572.30,"241,245","Jul 31, 2023"
28-07-2023,590.00,590.00,565.35,569.45,569.45,"10,998","Jul 28, 2023"
27-07-2023,597.95,597.95,570.00,577.95,577.95,"6,238","Jul 27, 2023"
26-07-2023,561.40,585.00,556.00,576.80,576.80,"5,968","Jul 26, 2023"
25-07-2023,573.00,575.00,550.20,561.40,561.40,"12,260","Jul 25, 2023"
24-07-2023,557.35,582.00,536.05,561.50,561.50,"8,668","Jul 24, 2023"
21-07-2023,571.00,594.00,555.75,557.35,557.35,"28,558","Jul 21, 2023"
20-07-2023,634.80,634.80,581.50,585.00,585.00,"23,156","Jul 20, 2023"
19-07-2023,594.00,612.15,593.00,612.10,612.10,"55,068","Jul 19, 2023"
18-07-2023,565.80,583.05,560.50,583.00,583.00,"58,487","Jul 18, 2023"
17-07-2023,538.00,555.30,535.00,555.30,555.30,"26,044","Jul 17, 2023"
14-07-2023,527.00,532.00,515.20,528.90,528.90,"24,600","Jul 14, 2023"
13-07-2023,528.00,534.00,501.40,520.60,520.60,"19,732","Jul 13, 2023"
12-07-2023,501.40,525.00,501.40,518.10,518.10,"42,554","Jul 12, 2023"
11-07-2023,507.00,509.00,496.15,501.40,501.40,"170,309","Jul 11, 2023"
10-07-2023,518.00,518.00,490.00,507.25,507.25,"28,735","Jul 10, 2023"
07-07-2023,504.00,507.95,497.10,503.25,503.25,"15,785","Jul 07, 2023"
06-07-2023,505.00,510.00,495.10,504.20,504.20,"19,437","Jul 06, 2023"
05-07-2023,499.90,510.60,496.00,504.50,504.50,"25,934","Jul 05, 2023"
04-07-2023,503.85,510.00,486.20,494.45,494.45,"131,958","Jul 04, 2023"
03-07-2023,502.00,515.50,495.50,502.70,502.70,"30,584","Jul 03, 2023"
30-06-2023,500.00,506.00,485.00,499.90,499.90,"29,492","Jun 30, 2023"
28-06-2023,501.45,501.45,501.45,501.45,501.45,-,"Jun 28, 2023"
27-06-2023,492.00,515.75,490.00,501.45,501.45,"53,036","Jun 27, 2023"
26-06-2023,493.50,493.50,483.05,493.50,493.50,"99,602","Jun 26, 2023"
23-06-2023,470.00,470.00,468.00,470.00,470.00,"67,735","Jun 23, 2023"
22-06-2023,435.00,450.00,435.00,447.65,447.65,"32,243","Jun 22, 2023"
21-06-2023,439.00,446.35,428.60,430.25,430.25,"26,412","Jun 21, 2023"
20-06-2023,440.00,445.00,438.25,440.00,440.00,"5,122","Jun 20, 2023"
19-06-2023,429.80,437.50,429.80,436.55,436.55,"8,443","Jun 19, 2023"
16-06-2023,425.00,425.00,415.10,424.90,424.90,"2,502","Jun 16, 2023"
15-06-2023,423.40,427.60,416.35,422.20,422.20,"2,000","Jun 15, 2023"
14-06-2023,423.25,423.95,411.55,423.40,423.40,"3,579","Jun 14, 2023"
13-06-2023,411.50,421.50,411.50,421.25,421.25,"2,152","Jun 13, 2023"
12-06-2023,412.70,419.90,411.00,415.15,415.15,"5,636","Jun 12, 2023"
09-06-2023,416.00,419.95,413.00,416.95,416.95,"5,509","Jun 09, 2023"
08-06-2023,417.00,420.00,415.00,416.40,416.40,"4,338","Jun 08, 2023"
07-06-2023,412.00,423.95,412.00,416.95,416.95,"5,092","Jun 07, 2023"
06-06-2023,419.00,420.00,408.00,414.95,414.95,"5,138","Jun 06, 2023"
05-06-2023,420.00,427.80,413.60,415.60,415.60,"9,892","Jun 05, 2023"
02-06-2023,421.90,422.00,410.00,421.05,421.05,"103,657","Jun 02, 2023"
01-06-2023,416.00,418.00,410.20,415.10,415.10,"1,729","Jun 01, 2023"
31-05-2023,395.10,417.85,395.10,416.05,416.05,"1,835","May 31, 2023"
30-05-2023,413.15,418.70,410.00,411.90,411.90,"2,512","May 30, 2023"
29-05-2023,419.00,428.90,409.15,413.15,413.15,"6,143","May 29, 2023"
26-05-2023,424.90,425.00,415.00,418.70,418.70,"2,114","May 26, 2023"
25-05-2023,415.05,425.00,411.00,415.40,415.40,"1,753","May 25, 2023"
24-05-2023,412.20,424.85,412.20,414.65,414.65,"2,930","May 24, 2023"
23-05-2023,418.45,425.00,410.00,422.90,422.90,"5,003","May 23, 2023"
22-05-2023,424.00,434.80,413.00,420.50,420.50,"7,480","May 22, 2023"
19-05-2023,422.00,430.00,422.00,424.00,424.00,"2,947","May 19, 2023"
18-05-2023,434.00,434.00,420.60,426.85,426.85,"4,368","May 18, 2023"
17-05-2023,425.50,440.00,420.00,435.45,435.45,"17,199","May 17, 2023"
16-05-2023,432.00,436.00,425.00,429.65,429.65,"6,457","May 16, 2023"
15-05-2023,435.20,450.00,427.00,429.90,429.90,"22,850","May 15, 2023"
12-05-2023,420.00,435.45,419.05,435.15,435.15,"39,060","May 12, 2023"
11-05-2023,414.75,414.75,413.00,414.75,414.75,"32,999","May 11, 2023"
10-05-2023,401.00,401.00,391.05,395.00,395.00,"1,802","May 10, 2023"
09-05-2023,398.00,403.95,397.55,398.45,398.45,"1,735","May 09, 2023"
08-05-2023,394.85,400.00,385.10,397.55,397.55,"3,219","May 08, 2023"
05-05-2023,402.00,402.00,392.00,394.85,394.85,"3,638","May 05, 2023"
04-05-2023,391.10,401.00,386.50,400.20,400.20,"8,176","May 04, 2023"
03-05-2023,381.35,400.00,381.35,391.55,391.55,"3,168","May 03, 2023"
02-05-2023,398.45,398.45,387.10,387.50,387.50,"2,106","May 02, 2023"
28-04-2023,393.00,395.90,387.00,391.90,391.90,"1,311","Apr 28, 2023"
27-04-2023,393.00,396.00,385.60,395.35,395.35,"2,681","Apr 27, 2023"
26-04-2023,384.75,397.00,380.10,395.50,395.50,"7,713","Apr 26, 2023"
25-04-2023,384.70,403.50,378.00,396.00,396.00,"110,232","Apr 25, 2023"
24-04-2023,382.20,389.95,372.65,385.00,385.00,"2,453","Apr 24, 2023"
21-04-2023,389.25,390.00,380.50,386.70,386.70,"2,855","Apr 21, 2023"
20-04-2023,384.40,390.00,384.40,389.30,389.30,815,"Apr 20, 2023"
19-04-2023,390.00,390.00,382.65,388.80,388.80,"2,215","Apr 19, 2023"
18-04-2023,381.70,390.00,381.70,388.15,388.15,818,"Apr 18, 2023"
17-04-2023,388.00,390.05,382.00,385.65,385.65,"2,186","Apr 17, 2023"
13-04-2023,384.70,392.00,381.05,383.15,383.15,"1,565","Apr 13, 2023"
12-04-2023,382.05,393.00,380.00,384.70,384.70,"2,928","Apr 12, 2023"
11-04-2023,393.00,397.90,373.60,390.00,390.00,"3,639","Apr 11, 2023"
10-04-2023,388.00,395.00,382.90,393.20,393.20,"1,986","Apr 10, 2023"
06-04-2023,386.00,397.00,384.30,390.90,390.90,697,"Apr 06, 2023"
05-04-2023,386.00,395.00,385.15,386.00,386.00,"1,239","Apr 05, 2023"
03-04-2023,388.50,394.00,383.05,385.15,385.15,"1,228","Apr 03, 2023"
31-03-2023,390.00,395.00,375.50,383.25,383.25,"1,287","Mar 31, 2023"
29-03-2023,380.15,390.00,380.15,389.80,389.80,"1,527","Mar 29, 2023"
28-03-2023,397.90,397.90,375.00,386.90,386.90,"3,352","Mar 28, 2023"
27-03-2023,397.35,397.35,380.00,394.30,394.30,"2,054","Mar 27, 2023"
24-03-2023,412.50,412.50,383.10,386.50,386.50,"1,612","Mar 24, 2023"
23-03-2023,388.00,396.15,381.55,392.90,392.90,"2,695","Mar 23, 2023"
22-03-2023,394.90,399.85,383.00,398.70,398.70,"2,274","Mar 22, 2023"
21-03-2023,380.15,396.90,377.35,395.65,395.65,"2,558","Mar 21, 2023"
20-03-2023,390.00,393.00,375.50,392.40,392.40,"3,698","Mar 20, 2023"
