date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,24.55,25.50,24.10,24.50,24.50,"77,287","Aug 25, 2023"
24-08-2023,24.00,24.65,24.00,24.50,24.50,"172,478","Aug 24, 2023"
23-08-2023,23.90,24.05,23.50,23.70,23.70,"51,955","Aug 23, 2023"
22-08-2023,24.00,24.10,23.40,23.50,23.50,"60,932","Aug 22, 2023"
21-08-2023,23.70,24.00,23.60,23.60,23.60,"42,865","Aug 21, 2023"
18-08-2023,24.45,24.45,23.55,23.70,23.70,"53,495","Aug 18, 2023"
17-08-2023,23.95,24.00,23.55,23.80,23.80,"41,499","Aug 17, 2023"
16-08-2023,24.05,24.25,23.50,23.55,23.55,"51,005","Aug 16, 2023"
14-08-2023,24.50,24.50,23.80,24.05,24.05,"62,322","Aug 14, 2023"
11-08-2023,24.80,25.10,23.80,24.40,24.40,"153,249","Aug 11, 2023"
10-08-2023,24.50,24.90,24.05,24.70,24.70,"154,091","Aug 10, 2023"
09-08-2023,24.50,24.90,24.25,24.35,24.35,"44,591","Aug 09, 2023"
08-08-2023,24.60,25.00,24.10,24.35,24.35,"116,640","Aug 08, 2023"
07-08-2023,24.45,25.15,24.35,24.60,24.60,"126,040","Aug 07, 2023"
04-08-2023,23.75,24.75,23.75,24.30,24.30,"108,221","Aug 04, 2023"
03-08-2023,23.50,24.65,23.50,23.60,23.60,"121,630","Aug 03, 2023"
02-08-2023,26.00,26.15,24.00,24.20,24.20,"285,196","Aug 02, 2023"
01-08-2023,25.00,25.00,25.00,25.00,25.00,"50,950","Aug 01, 2023"
31-07-2023,23.00,23.85,22.50,23.85,23.85,"133,622","Jul 31, 2023"
28-07-2023,23.00,23.15,22.15,22.75,22.75,"70,192","Jul 28, 2023"
27-07-2023,22.65,23.00,22.25,22.60,22.60,"50,337","Jul 27, 2023"
26-07-2023,22.80,22.80,22.15,22.40,22.40,"48,028","Jul 26, 2023"
25-07-2023,22.90,23.05,22.45,22.45,22.45,"45,748","Jul 25, 2023"
24-07-2023,22.35,22.90,21.80,22.65,22.65,"100,714","Jul 24, 2023"
21-07-2023,22.40,22.70,21.90,22.10,22.10,"72,307","Jul 21, 2023"
20-07-2023,21.45,22.75,21.45,22.35,22.35,"65,643","Jul 20, 2023"
19-07-2023,22.95,23.05,22.20,22.40,22.40,"117,177","Jul 19, 2023"
18-07-2023,23.25,23.50,22.05,22.55,22.55,"186,180","Jul 18, 2023"
17-07-2023,23.40,23.65,22.55,23.20,23.20,"136,665","Jul 17, 2023"
14-07-2023,23.65,23.75,23.00,23.40,23.40,"66,604","Jul 14, 2023"
13-07-2023,23.90,23.90,23.00,23.65,23.65,"110,358","Jul 13, 2023"
12-07-2023,22.95,23.85,22.95,23.40,23.40,"105,524","Jul 12, 2023"
11-07-2023,23.65,23.90,22.55,23.20,23.20,"122,676","Jul 11, 2023"
10-07-2023,24.10,24.10,23.50,23.65,23.65,"30,367","Jul 10, 2023"
07-07-2023,24.25,24.35,23.30,23.75,23.75,"68,773","Jul 07, 2023"
06-07-2023,24.70,24.85,23.80,24.00,24.00,"76,842","Jul 06, 2023"
05-07-2023,24.85,25.10,24.00,24.15,24.15,"69,145","Jul 05, 2023"
04-07-2023,24.55,25.30,24.50,24.55,24.55,"188,322","Jul 04, 2023"
03-07-2023,24.40,25.70,24.40,24.55,24.55,"181,383","Jul 03, 2023"
30-06-2023,24.45,25.90,24.40,25.00,25.00,"356,905","Jun 30, 2023"
28-06-2023,24.50,24.50,24.50,24.50,24.50,-,"Jun 28, 2023"
27-06-2023,24.60,25.10,24.40,24.50,24.50,"99,150","Jun 27, 2023"
26-06-2023,24.55,25.00,24.30,24.60,24.60,"86,777","Jun 26, 2023"
23-06-2023,24.75,25.55,24.30,24.55,24.55,"158,030","Jun 23, 2023"
22-06-2023,24.85,25.60,24.45,24.95,24.95,"210,042","Jun 22, 2023"
21-06-2023,25.45,25.50,24.20,24.60,24.60,"155,520","Jun 21, 2023"
20-06-2023,24.90,25.65,24.40,25.00,25.00,"184,832","Jun 20, 2023"
19-06-2023,25.05,25.20,24.30,24.90,24.90,"145,849","Jun 19, 2023"
16-06-2023,23.55,25.80,22.60,24.90,24.90,"645,317","Jun 16, 2023"
15-06-2023,24.20,24.20,23.55,23.70,23.70,"134,481","Jun 15, 2023"
14-06-2023,24.60,24.85,24.00,24.15,24.15,"78,696","Jun 14, 2023"
13-06-2023,24.65,25.00,24.00,24.35,24.35,"143,445","Jun 13, 2023"
12-06-2023,23.50,25.00,23.40,24.45,24.45,"357,859","Jun 12, 2023"
09-06-2023,23.25,23.80,23.25,23.50,23.50,"83,131","Jun 09, 2023"
08-06-2023,23.65,24.10,23.00,23.15,23.15,"181,383","Jun 08, 2023"
07-06-2023,23.35,23.95,22.90,23.65,23.65,"169,541","Jun 07, 2023"
06-06-2023,23.00,23.40,22.65,23.15,23.15,"106,901","Jun 06, 2023"
05-06-2023,23.35,23.65,22.60,22.95,22.95,"227,362","Jun 05, 2023"
02-06-2023,23.00,23.75,21.90,23.10,23.10,"183,207","Jun 02, 2023"
01-06-2023,23.00,23.80,23.00,23.25,23.25,"243,778","Jun 01, 2023"
31-05-2023,22.10,23.40,21.75,23.00,23.00,"300,408","May 31, 2023"
30-05-2023,23.45,23.50,22.75,22.90,22.90,"96,621","May 30, 2023"
29-05-2023,23.00,24.00,22.40,23.35,23.35,"345,509","May 29, 2023"
26-05-2023,20.75,23.30,20.65,22.60,22.60,"870,986","May 26, 2023"
25-05-2023,20.70,20.85,20.50,20.55,20.55,"24,070","May 25, 2023"
24-05-2023,20.55,20.95,20.45,20.60,20.60,"76,251","May 24, 2023"
23-05-2023,20.35,21.15,20.35,20.90,20.90,"84,585","May 23, 2023"
22-05-2023,20.20,21.05,19.90,20.65,20.65,"112,644","May 22, 2023"
19-05-2023,20.35,20.45,20.00,20.05,20.05,"54,509","May 19, 2023"
18-05-2023,20.55,21.05,19.95,20.35,20.35,"112,770","May 18, 2023"
17-05-2023,21.00,21.00,20.55,20.85,20.85,"54,954","May 17, 2023"
16-05-2023,20.85,21.30,20.80,20.90,20.90,"78,363","May 16, 2023"
15-05-2023,21.40,21.40,20.75,20.85,20.85,"54,548","May 15, 2023"
12-05-2023,21.00,21.40,20.95,21.10,21.10,"29,675","May 12, 2023"
11-05-2023,21.20,21.20,20.80,20.85,20.85,"37,468","May 11, 2023"
10-05-2023,21.20,21.20,20.70,21.00,21.00,"34,700","May 10, 2023"
09-05-2023,20.95,21.90,20.90,21.00,21.00,"98,250","May 09, 2023"
08-05-2023,21.50,21.50,20.75,20.90,20.90,"138,925","May 08, 2023"
05-05-2023,21.95,22.10,21.30,21.45,21.45,"89,273","May 05, 2023"
04-05-2023,22.00,22.50,21.60,21.80,21.80,"132,420","May 04, 2023"
03-05-2023,21.60,22.75,21.45,21.90,21.90,"208,578","May 03, 2023"
02-05-2023,21.95,22.20,21.30,21.80,21.80,"100,903","May 02, 2023"
28-04-2023,21.70,22.65,21.35,21.80,21.80,"344,365","Apr 28, 2023"
27-04-2023,19.95,23.20,19.60,21.60,21.60,"712,416","Apr 27, 2023"
26-04-2023,20.45,20.85,19.80,19.85,19.85,"256,017","Apr 26, 2023"
25-04-2023,21.25,21.25,20.55,20.65,20.65,"81,305","Apr 25, 2023"
24-04-2023,20.65,21.50,20.35,21.15,21.15,"166,168","Apr 24, 2023"
21-04-2023,20.45,21.45,20.05,20.50,20.50,"427,021","Apr 21, 2023"
20-04-2023,19.20,19.80,19.10,19.40,19.40,"53,693","Apr 20, 2023"
19-04-2023,19.00,19.30,18.75,19.20,19.20,"39,231","Apr 19, 2023"
18-04-2023,19.10,19.30,18.70,18.90,18.90,"81,365","Apr 18, 2023"
17-04-2023,19.35,19.35,18.55,19.00,19.00,"44,933","Apr 17, 2023"
13-04-2023,19.25,19.40,19.00,19.25,19.25,"51,072","Apr 13, 2023"
12-04-2023,19.35,19.60,18.55,19.15,19.15,"48,164","Apr 12, 2023"
11-04-2023,19.45,19.70,19.00,19.40,19.40,"59,568","Apr 11, 2023"
10-04-2023,19.30,19.75,19.20,19.25,19.25,"63,271","Apr 10, 2023"
06-04-2023,19.70,19.75,18.80,19.30,19.30,"206,605","Apr 06, 2023"
05-04-2023,19.30,19.90,19.10,19.40,19.40,"173,414","Apr 05, 2023"
03-04-2023,17.15,19.75,17.00,19.20,19.20,"381,899","Apr 03, 2023"
31-03-2023,16.35,17.50,16.15,16.70,16.70,"231,564","Mar 31, 2023"
29-03-2023,15.80,16.50,15.40,16.25,16.25,"315,706","Mar 29, 2023"
28-03-2023,15.85,16.15,15.15,15.45,15.45,"370,832","Mar 28, 2023"
27-03-2023,17.10,17.10,15.55,15.85,15.85,"252,250","Mar 27, 2023"
24-03-2023,17.60,17.80,16.40,16.75,16.75,"282,344","Mar 24, 2023"
23-03-2023,17.65,18.20,17.25,17.60,17.60,"191,332","Mar 23, 2023"
22-03-2023,18.25,18.90,17.60,17.80,17.80,"119,459","Mar 22, 2023"
21-03-2023,18.60,18.65,17.65,17.90,17.90,"146,481","Mar 21, 2023"
20-03-2023,18.10,18.75,17.50,18.15,18.15,"182,177","Mar 20, 2023"
17-03-2023,18.50,18.50,18.00,18.10,18.10,"175,814","Mar 17, 2023"
16-03-2023,18.60,18.60,17.75,18.20,18.20,"79,689","Mar 16, 2023"
15-03-2023,17.80,18.60,17.60,18.35,18.35,"252,098","Mar 15, 2023"
14-03-2023,18.45,18.90,17.15,17.60,17.60,"326,051","Mar 14, 2023"
13-03-2023,18.95,19.40,17.90,18.05,18.05,"268,665","Mar 13, 2023"
10-03-2023,19.65,19.75,18.80,19.00,19.00,"355,445","Mar 10, 2023"
09-03-2023,20.65,20.95,19.60,19.80,19.80,"220,462","Mar 09, 2023"
08-03-2023,20.65,20.90,20.15,20.25,20.25,"290,275","Mar 08, 2023"
06-03-2023,21.40,21.40,20.60,20.80,20.80,"67,054","Mar 06, 2023"
03-03-2023,21.35,21.55,20.80,20.95,20.95,"162,835","Mar 03, 2023"
02-03-2023,20.80,21.25,20.65,21.05,21.05,"54,049","Mar 02, 2023"
01-03-2023,20.00,20.90,20.00,20.65,20.65,"63,449","Mar 01, 2023"
28-02-2023,19.90,20.30,19.35,20.05,20.05,"67,058","Feb 28, 2023"
27-02-2023,20.65,20.65,19.60,19.90,19.90,"39,770","Feb 27, 2023"
24-02-2023,20.65,21.60,20.05,20.30,20.30,"221,315","Feb 24, 2023"
23-02-2023,21.00,21.15,19.10,20.30,20.30,"196,656","Feb 23, 2023"
22-02-2023,21.00,21.40,20.15,20.35,20.35,"126,662","Feb 22, 2023"
21-02-2023,21.80,21.80,20.75,21.00,21.00,"121,099","Feb 21, 2023"
