date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,7.65,7.65,7.50,7.55,7.55,"59,831","Aug 25, 2023"
24-08-2023,7.85,7.85,7.40,7.50,7.50,"80,745","Aug 24, 2023"
23-08-2023,7.30,7.65,7.30,7.60,7.60,"83,319","Aug 23, 2023"
22-08-2023,7.25,7.50,7.15,7.35,7.35,"82,667","Aug 22, 2023"
21-08-2023,7.25,7.35,7.00,7.30,7.30,"96,408","Aug 21, 2023"
18-08-2023,7.60,8.05,6.95,7.05,7.05,"426,029","Aug 18, 2023"
17-08-2023,8.40,8.40,7.60,7.60,7.60,"407,197","Aug 17, 2023"
16-08-2023,8.00,8.45,7.90,8.40,8.40,"759,410","Aug 16, 2023"
14-08-2023,7.65,8.15,7.00,7.90,7.90,"1,340,314","Aug 14, 2023"
11-08-2023,6.05,7.25,6.05,7.05,7.05,"1,418,361","Aug 11, 2023"
10-08-2023,6.15,6.30,6.00,6.05,6.05,"127,851","Aug 10, 2023"
09-08-2023,6.05,6.20,6.00,6.10,6.10,"90,170","Aug 09, 2023"
08-08-2023,6.15,6.30,5.95,6.00,6.00,"115,688","Aug 08, 2023"
07-08-2023,5.90,6.10,5.90,6.00,6.00,"96,820","Aug 07, 2023"
04-08-2023,5.90,6.05,5.85,5.90,5.90,"77,352","Aug 04, 2023"
03-08-2023,5.95,5.95,5.85,5.90,5.90,"78,346","Aug 03, 2023"
02-08-2023,5.95,6.05,5.80,5.90,5.90,"81,709","Aug 02, 2023"
01-08-2023,6.05,6.05,5.90,5.95,5.95,"48,828","Aug 01, 2023"
31-07-2023,6.05,6.05,5.95,6.00,6.00,"45,938","Jul 31, 2023"
28-07-2023,6.05,6.10,5.95,6.00,6.00,"26,656","Jul 28, 2023"
27-07-2023,6.05,6.05,5.95,6.00,6.00,"29,871","Jul 27, 2023"
26-07-2023,6.05,6.05,5.95,6.00,6.00,"27,642","Jul 26, 2023"
25-07-2023,6.05,6.10,5.90,6.00,6.00,"94,136","Jul 25, 2023"
24-07-2023,6.10,6.10,5.15,5.90,5.90,"132,499","Jul 24, 2023"
21-07-2023,6.05,6.15,6.00,6.05,6.05,"72,967","Jul 21, 2023"
20-07-2023,6.10,6.15,6.05,6.05,6.05,"26,711","Jul 20, 2023"
19-07-2023,6.15,6.25,6.00,6.05,6.05,"38,609","Jul 19, 2023"
18-07-2023,6.15,6.20,6.10,6.15,6.15,"37,592","Jul 18, 2023"
17-07-2023,6.05,6.25,6.00,6.10,6.10,"57,606","Jul 17, 2023"
14-07-2023,6.10,6.15,6.00,6.05,6.05,"23,069","Jul 14, 2023"
13-07-2023,6.10,6.25,6.00,6.05,6.05,"60,941","Jul 13, 2023"
12-07-2023,6.05,6.15,5.90,6.05,6.05,"40,105","Jul 12, 2023"
11-07-2023,6.05,6.10,5.65,6.00,6.00,"48,891","Jul 11, 2023"
10-07-2023,6.25,6.25,6.00,6.10,6.10,"58,457","Jul 10, 2023"
07-07-2023,6.25,6.25,5.65,6.25,6.25,"68,022","Jul 07, 2023"
06-07-2023,6.20,6.25,6.15,6.25,6.25,"23,182","Jul 06, 2023"
05-07-2023,6.20,6.30,6.15,6.20,6.20,"33,755","Jul 05, 2023"
04-07-2023,6.20,6.25,6.20,6.20,6.20,"17,833","Jul 04, 2023"
03-07-2023,6.40,6.40,6.10,6.25,6.25,"47,411","Jul 03, 2023"
30-06-2023,6.20,6.30,6.10,6.25,6.25,"23,503","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,6.10,6.15,6.05,6.10,6.10,"17,799","Jun 27, 2023"
26-06-2023,6.20,6.30,5.95,6.00,6.00,"69,200","Jun 26, 2023"
23-06-2023,6.15,6.25,6.05,6.20,6.20,"17,004","Jun 23, 2023"
22-06-2023,6.30,6.30,5.95,6.15,6.15,"70,830","Jun 22, 2023"
21-06-2023,6.30,6.45,6.05,6.25,6.25,"103,170","Jun 21, 2023"
20-06-2023,6.20,6.50,6.15,6.25,6.25,"149,730","Jun 20, 2023"
19-06-2023,6.45,6.45,6.15,6.20,6.20,"93,875","Jun 19, 2023"
16-06-2023,6.35,6.45,6.30,6.40,6.40,"36,103","Jun 16, 2023"
15-06-2023,6.45,6.50,6.25,6.30,6.30,"87,025","Jun 15, 2023"
14-06-2023,6.40,6.40,6.25,6.40,6.40,"28,653","Jun 14, 2023"
13-06-2023,6.40,6.50,6.15,6.35,6.35,"86,190","Jun 13, 2023"
12-06-2023,6.50,6.55,6.30,6.40,6.40,"64,391","Jun 12, 2023"
09-06-2023,6.50,6.65,6.20,6.40,6.40,"175,094","Jun 09, 2023"
08-06-2023,6.70,6.90,6.45,6.50,6.50,"386,733","Jun 08, 2023"
07-06-2023,6.95,7.10,6.65,6.85,6.85,"136,476","Jun 07, 2023"
06-06-2023,6.80,6.95,6.65,6.85,6.85,"26,103","Jun 06, 2023"
05-06-2023,6.85,7.00,6.65,6.80,6.80,"50,223","Jun 05, 2023"
02-06-2023,6.65,6.85,6.55,6.80,6.80,"28,430","Jun 02, 2023"
01-06-2023,6.85,6.95,6.05,6.65,6.65,"129,019","Jun 01, 2023"
31-05-2023,6.90,7.00,6.80,6.85,6.85,"17,004","May 31, 2023"
