date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,476.00,480.00,471.30,475.25,475.25,"5,405","Aug 25, 2023"
24-08-2023,482.70,482.70,470.20,471.90,471.90,"5,671","Aug 24, 2023"
23-08-2023,486.35,486.35,458.00,475.65,475.65,"11,420","Aug 23, 2023"
22-08-2023,473.15,475.45,468.10,474.55,474.55,"4,434","Aug 22, 2023"
21-08-2023,465.35,475.00,463.55,467.90,467.90,"8,739","Aug 21, 2023"
18-08-2023,473.85,473.85,462.05,466.35,466.35,"2,588","Aug 18, 2023"
17-08-2023,470.65,474.95,466.10,468.35,468.35,"4,569","Aug 17, 2023"
16-08-2023,471.05,473.90,464.85,465.50,465.50,"9,822","Aug 16, 2023"
14-08-2023,481.75,481.75,464.05,465.90,465.90,"9,319","Aug 14, 2023"
11-08-2023,480.00,486.80,473.00,476.40,476.40,"8,097","Aug 11, 2023"
10-08-2023,490.70,490.70,482.00,482.85,482.85,"4,453","Aug 10, 2023"
09-08-2023,488.00,492.90,479.00,485.10,485.10,"9,166","Aug 09, 2023"
08-08-2023,488.10,488.45,481.15,483.05,483.05,"5,075","Aug 08, 2023"
07-08-2023,490.00,490.10,483.00,485.40,485.40,"7,030","Aug 07, 2023"
04-08-2023,477.20,489.90,477.20,484.75,484.75,"16,769","Aug 04, 2023"
03-08-2023,480.55,484.55,474.55,477.10,477.10,"7,329","Aug 03, 2023"
02-08-2023,485.45,485.45,480.00,480.55,480.55,"6,297","Aug 02, 2023"
01-08-2023,478.80,487.90,478.15,482.60,482.60,"9,609","Aug 01, 2023"
31-07-2023,485.30,490.60,475.00,478.15,478.15,"19,266","Jul 31, 2023"
28-07-2023,492.25,492.25,482.00,486.35,486.35,"7,378","Jul 28, 2023"
27-07-2023,492.25,492.30,480.70,486.80,486.80,"14,740","Jul 27, 2023"
26-07-2023,487.00,498.90,461.00,482.65,482.65,"68,578","Jul 26, 2023"
25-07-2023,523.00,523.80,500.00,515.20,515.20,"13,057","Jul 25, 2023"
24-07-2023,526.10,526.35,513.15,518.10,518.10,"17,047","Jul 24, 2023"
21-07-2023,520.00,524.00,516.10,520.35,520.35,"13,695","Jul 21, 2023"
20-07-2023,525.00,527.95,511.55,516.70,516.70,"13,931","Jul 20, 2023"
19-07-2023,526.30,533.90,509.90,522.75,522.75,"21,227","Jul 19, 2023"
18-07-2023,539.00,539.00,523.10,526.30,526.30,"7,151","Jul 18, 2023"
18-07-2023,1 Dividend,,,,,,"Jul 18, 2023"
17-07-2023,542.00,546.95,533.05,535.15,534.15,"6,666","Jul 17, 2023"
14-07-2023,532.20,541.90,526.05,538.35,537.34,"8,321","Jul 14, 2023"
13-07-2023,553.00,553.00,531.10,532.85,531.85,"15,108","Jul 13, 2023"
12-07-2023,537.20,552.00,523.15,548.05,547.03,"39,491","Jul 12, 2023"
11-07-2023,523.50,536.95,523.00,531.35,530.36,"7,211","Jul 11, 2023"
10-07-2023,515.60,527.00,515.60,523.75,522.77,"4,001","Jul 10, 2023"
07-07-2023,518.30,527.00,518.05,525.95,524.97,"5,729","Jul 07, 2023"
06-07-2023,519.00,526.00,518.80,521.40,520.43,"6,493","Jul 06, 2023"
05-07-2023,518.95,525.75,514.10,518.80,517.83,"10,477","Jul 05, 2023"
04-07-2023,525.80,526.05,517.05,520.80,519.83,"7,652","Jul 04, 2023"
03-07-2023,520.15,524.45,517.05,520.05,519.08,"6,781","Jul 03, 2023"
30-06-2023,521.25,523.20,517.15,520.50,519.53,"8,057","Jun 30, 2023"
28-06-2023,523.75,523.75,523.75,523.75,522.77,-,"Jun 28, 2023"
27-06-2023,532.90,532.90,522.00,523.75,522.77,"11,610","Jun 27, 2023"
26-06-2023,535.00,544.00,523.40,527.05,526.07,"15,733","Jun 26, 2023"
23-06-2023,526.35,533.15,522.10,525.55,524.57,"13,660","Jun 23, 2023"
22-06-2023,534.70,547.00,531.10,535.20,534.20,"8,643","Jun 22, 2023"
21-06-2023,528.70,545.90,528.70,533.10,532.10,"11,703","Jun 21, 2023"
20-06-2023,528.35,531.85,524.00,528.70,527.71,"4,018","Jun 20, 2023"
19-06-2023,533.10,539.20,527.30,528.35,527.36,"4,899","Jun 19, 2023"
16-06-2023,542.00,547.70,531.00,533.10,532.10,"6,670","Jun 16, 2023"
15-06-2023,528.45,541.00,528.45,537.30,536.30,"7,819","Jun 15, 2023"
14-06-2023,543.00,549.00,531.00,536.30,535.30,"13,393","Jun 14, 2023"
13-06-2023,537.80,560.00,527.60,535.50,534.50,"51,808","Jun 13, 2023"
12-06-2023,525.05,541.75,519.00,532.05,531.06,"11,328","Jun 12, 2023"
09-06-2023,533.10,549.00,522.00,524.45,523.47,"13,605","Jun 09, 2023"
08-06-2023,532.55,538.95,524.95,527.25,526.26,"7,021","Jun 08, 2023"
07-06-2023,531.30,541.20,527.20,530.50,529.51,"10,840","Jun 07, 2023"
06-06-2023,534.20,539.45,525.00,527.85,526.86,"6,282","Jun 06, 2023"
05-06-2023,539.20,542.90,532.00,534.10,533.10,"6,614","Jun 05, 2023"
02-06-2023,525.05,542.00,525.05,538.15,537.14,"11,771","Jun 02, 2023"
01-06-2023,531.75,531.90,522.00,523.60,522.62,"6,504","Jun 01, 2023"
31-05-2023,526.50,533.95,522.10,526.50,525.52,"6,913","May 31, 2023"
30-05-2023,545.20,545.45,527.00,528.90,527.91,"11,822","May 30, 2023"
29-05-2023,542.00,550.40,542.00,544.05,543.03,"12,201","May 29, 2023"
26-05-2023,553.00,553.00,535.00,540.20,539.19,"11,507","May 26, 2023"
25-05-2023,555.90,564.70,544.65,546.95,545.93,"28,583","May 25, 2023"
24-05-2023,579.10,588.80,541.65,545.90,544.88,"121,999","May 24, 2023"
23-05-2023,625.70,625.70,601.10,611.65,610.51,"18,270","May 23, 2023"
22-05-2023,632.00,632.00,610.00,619.50,618.34,"22,741","May 22, 2023"
19-05-2023,593.20,639.00,587.60,626.10,624.93,"84,869","May 19, 2023"
18-05-2023,595.00,616.45,589.10,593.20,592.09,"80,836","May 18, 2023"
17-05-2023,546.90,600.10,545.10,587.50,586.40,"109,267","May 17, 2023"
16-05-2023,534.10,548.00,534.05,541.70,540.69,"7,182","May 16, 2023"
15-05-2023,541.15,545.95,531.70,534.00,533.00,"11,722","May 15, 2023"
12-05-2023,541.80,547.90,538.05,540.00,538.99,"6,291","May 12, 2023"
11-05-2023,545.00,551.00,537.55,545.90,544.88,"8,994","May 11, 2023"
10-05-2023,549.90,553.85,538.50,544.05,543.03,"15,456","May 10, 2023"
09-05-2023,541.05,555.05,541.00,549.90,548.87,"7,734","May 09, 2023"
08-05-2023,549.85,558.95,545.70,549.25,548.22,"13,832","May 08, 2023"
05-05-2023,545.00,553.55,543.95,545.40,544.38,"5,233","May 05, 2023"
04-05-2023,545.80,553.00,543.10,550.95,549.92,"12,099","May 04, 2023"
03-05-2023,546.75,560.00,542.05,545.80,544.78,"11,980","May 03, 2023"
02-05-2023,536.50,543.95,532.85,540.80,539.79,"7,188","May 02, 2023"
28-04-2023,532.20,542.30,532.20,537.10,536.10,"3,543","Apr 28, 2023"
27-04-2023,543.60,543.60,532.10,536.35,535.35,"3,723","Apr 27, 2023"
26-04-2023,540.00,546.00,535.25,537.85,536.84,"5,113","Apr 26, 2023"
25-04-2023,534.30,549.00,534.30,542.95,541.94,"4,263","Apr 25, 2023"
24-04-2023,544.90,549.55,531.15,534.30,533.30,"8,802","Apr 24, 2023"
21-04-2023,550.10,554.00,537.05,538.70,537.69,"11,129","Apr 21, 2023"
20-04-2023,542.45,553.00,541.80,549.80,548.77,"9,668","Apr 20, 2023"
19-04-2023,542.10,549.00,531.05,541.80,540.79,"7,107","Apr 19, 2023"
18-04-2023,554.90,570.00,531.00,534.40,533.40,"25,013","Apr 18, 2023"
17-04-2023,548.00,551.00,531.10,541.10,540.09,"7,752","Apr 17, 2023"
13-04-2023,525.80,555.50,524.10,543.85,542.83,"16,015","Apr 13, 2023"
12-04-2023,532.70,532.70,522.45,525.50,524.52,"4,533","Apr 12, 2023"
11-04-2023,532.05,543.65,526.10,531.05,530.06,"21,628","Apr 11, 2023"
10-04-2023,543.40,543.40,525.00,528.70,527.71,"7,155","Apr 10, 2023"
06-04-2023,552.00,557.90,535.00,535.35,534.35,"9,876","Apr 06, 2023"
05-04-2023,529.85,563.00,525.05,557.60,556.56,"25,501","Apr 05, 2023"
03-04-2023,508.00,525.25,501.05,523.90,522.92,"7,007","Apr 03, 2023"
31-03-2023,498.80,511.15,495.00,505.00,504.06,"54,028","Mar 31, 2023"
29-03-2023,491.85,506.00,486.35,499.30,498.37,"91,584","Mar 29, 2023"
28-03-2023,501.60,509.00,485.60,491.85,490.93,"14,501","Mar 28, 2023"
27-03-2023,500.30,504.70,500.00,501.60,500.66,"6,991","Mar 27, 2023"
24-03-2023,500.15,503.10,500.00,500.30,499.37,"5,365","Mar 24, 2023"
23-03-2023,501.65,502.90,495.00,498.10,497.17,"3,617","Mar 23, 2023"
22-03-2023,500.55,509.95,500.00,500.25,499.32,"12,999","Mar 22, 2023"
21-03-2023,501.10,504.85,498.00,499.95,499.02,"8,102","Mar 21, 2023"
20-03-2023,507.50,507.55,498.15,501.10,500.16,"5,483","Mar 20, 2023"
17-03-2023,505.00,506.35,499.00,500.70,499.76,"4,855","Mar 17, 2023"
16-03-2023,504.10,509.90,498.45,503.60,502.66,"15,688","Mar 16, 2023"
15-03-2023,509.00,515.95,502.00,503.15,502.21,"5,803","Mar 15, 2023"
14-03-2023,511.05,518.65,501.20,507.40,506.45,"5,697","Mar 14, 2023"
13-03-2023,515.00,535.00,511.00,513.25,512.29,"3,173","Mar 13, 2023"
10-03-2023,515.90,523.85,515.90,519.90,518.93,"2,179","Mar 10, 2023"
09-03-2023,539.00,539.00,513.75,516.95,515.98,"6,542","Mar 09, 2023"
08-03-2023,515.00,542.00,515.00,534.80,533.80,"4,570","Mar 08, 2023"
06-03-2023,509.50,526.00,509.50,521.75,520.78,"6,501","Mar 06, 2023"
03-03-2023,508.20,511.90,507.00,509.30,508.35,"2,895","Mar 03, 2023"
02-03-2023,508.45,511.15,507.00,507.70,506.75,"4,628","Mar 02, 2023"
01-03-2023,509.00,516.50,508.00,508.25,507.30,"12,383","Mar 01, 2023"
28-02-2023,510.00,522.10,505.55,512.50,511.54,"4,291","Feb 28, 2023"
27-02-2023,521.00,525.00,505.00,505.60,504.66,"13,329","Feb 27, 2023"
24-02-2023,525.00,527.20,516.10,520.65,519.68,"2,792","Feb 24, 2023"
23-02-2023,518.10,526.90,512.10,522.30,521.32,"8,659","Feb 23, 2023"
22-02-2023,516.00,527.75,513.65,526.30,525.32,"4,925","Feb 22, 2023"
21-02-2023,511.00,529.65,511.00,523.10,522.12,"3,674","Feb 21, 2023"
20-02-2023,517.00,532.00,508.85,526.85,525.87,"12,263","Feb 20, 2023"
17-02-2023,525.65,526.95,510.00,511.90,510.94,"4,874","Feb 17, 2023"
16-02-2023,517.15,529.00,513.05,523.25,522.27,"3,346","Feb 16, 2023"
15-02-2023,512.00,530.00,507.00,511.95,510.99,"16,986","Feb 15, 2023"
14-02-2023,508.00,515.05,502.00,512.05,511.09,"3,759","Feb 14, 2023"
13-02-2023,518.60,518.60,509.00,510.05,509.10,"7,749","Feb 13, 2023"
10-02-2023,521.40,521.95,510.10,513.50,512.54,"4,033","Feb 10, 2023"
09-02-2023,510.00,525.70,510.00,516.20,515.24,"6,668","Feb 09, 2023"
08-02-2023,503.00,524.95,503.00,513.80,512.84,"8,292","Feb 08, 2023"
07-02-2023,518.00,522.90,510.00,516.35,515.39,"5,916","Feb 07, 2023"
06-02-2023,523.15,523.30,510.10,520.95,519.98,"9,207","Feb 06, 2023"
03-02-2023,494.50,531.95,494.50,517.45,516.48,"34,319","Feb 03, 2023"
02-02-2023,500.60,511.85,500.00,500.00,499.07,"17,599","Feb 02, 2023"
01-02-2023,520.00,520.00,500.00,500.60,499.66,"21,467","Feb 01, 2023"
31-01-2023,545.30,550.00,520.00,522.45,521.47,"80,913","Jan 31, 2023"
30-01-2023,540.70,553.40,540.00,541.55,540.54,"7,924","Jan 30, 2023"
27-01-2023,545.05,549.40,530.00,542.00,540.99,"11,495","Jan 27, 2023"
25-01-2023,540.00,555.95,539.40,545.05,544.03,"7,769","Jan 25, 2023"
24-01-2023,538.00,563.00,538.00,551.00,549.97,"6,212","Jan 24, 2023"
23-01-2023,565.00,570.00,539.85,549.85,548.82,"10,650","Jan 23, 2023"
20-01-2023,531.10,550.05,531.10,544.85,543.83,"2,121","Jan 20, 2023"
19-01-2023,532.00,550.60,532.00,544.20,543.18,"2,679","Jan 19, 2023"
18-01-2023,546.30,558.00,544.05,545.55,544.53,"5,258","Jan 18, 2023"
17-01-2023,542.25,550.00,542.10,546.25,545.23,"3,406","Jan 17, 2023"
16-01-2023,530.50,545.95,530.50,541.05,540.04,"19,268","Jan 16, 2023"
13-01-2023,530.35,538.00,528.50,536.85,535.85,"3,365","Jan 13, 2023"
12-01-2023,522.15,542.00,522.15,530.35,529.36,"4,564","Jan 12, 2023"
11-01-2023,538.00,540.95,527.50,536.40,535.40,"6,200","Jan 11, 2023"
10-01-2023,540.00,545.80,537.65,541.55,540.54,"3,777","Jan 10, 2023"
09-01-2023,520.25,555.50,520.25,546.50,545.48,"16,678","Jan 09, 2023"
06-01-2023,525.00,532.75,520.20,524.30,523.32,"3,322","Jan 06, 2023"
05-01-2023,534.90,537.95,522.45,530.45,529.46,"5,012","Jan 05, 2023"
04-01-2023,536.00,540.75,526.75,530.20,529.21,"6,138","Jan 04, 2023"
03-01-2023,523.00,549.00,523.00,541.30,540.29,"5,336","Jan 03, 2023"
02-01-2023,528.00,537.60,519.00,529.95,528.96,"3,071","Jan 02, 2023"
30-12-2022,539.00,539.00,519.20,532.00,531.01,"4,835","Dec 30, 2022"
29-12-2022,529.20,535.15,524.30,529.80,528.81,"5,196","Dec 29, 2022"
28-12-2022,528.00,538.70,527.95,532.15,531.16,"4,464","Dec 28, 2022"
27-12-2022,555.00,555.00,522.55,534.20,533.20,"9,306","Dec 27, 2022"
26-12-2022,509.80,560.00,486.05,538.65,537.64,"7,763","Dec 26, 2022"
23-12-2022,505.00,511.35,483.70,491.20,490.28,"23,229","Dec 23, 2022"
22-12-2022,520.05,540.35,507.80,512.70,511.74,"11,602","Dec 22, 2022"
21-12-2022,548.20,552.50,527.05,531.80,530.81,"8,711","Dec 21, 2022"
20-12-2022,547.70,552.60,540.15,548.70,547.67,"4,313","Dec 20, 2022"
19-12-2022,545.45,550.00,544.05,547.75,546.73,"3,168","Dec 19, 2022"
16-12-2022,537.00,549.00,535.00,545.45,544.43,"8,271","Dec 16, 2022"
15-12-2022,555.95,556.95,539.10,541.50,540.49,"5,708","Dec 15, 2022"
14-12-2022,559.90,559.90,551.40,556.80,555.76,"6,374","Dec 14, 2022"
13-12-2022,560.60,565.00,549.15,553.25,552.22,"6,651","Dec 13, 2022"
12-12-2022,546.20,559.00,544.65,554.55,553.51,"6,718","Dec 12, 2022"
09-12-2022,555.55,558.95,541.05,546.20,545.18,"5,971","Dec 09, 2022"
08-12-2022,555.00,558.95,542.10,555.50,554.46,"4,363","Dec 08, 2022"
07-12-2022,545.00,560.00,539.30,549.55,548.52,"12,283","Dec 07, 2022"
06-12-2022,556.80,557.95,546.35,551.75,550.72,"6,290","Dec 06, 2022"
05-12-2022,552.00,559.00,543.05,557.10,556.06,"15,369","Dec 05, 2022"
02-12-2022,542.45,553.05,530.00,550.30,549.27,"14,810","Dec 02, 2022"
01-12-2022,542.75,554.00,532.00,539.85,538.84,"19,542","Dec 01, 2022"
30-11-2022,542.00,542.15,530.20,537.40,536.40,"7,660","Nov 30, 2022"
29-11-2022,534.85,541.60,527.10,537.35,536.35,"9,829","Nov 29, 2022"
28-11-2022,529.90,538.70,521.65,529.55,528.56,"15,247","Nov 28, 2022"
25-11-2022,526.15,536.00,526.15,529.90,528.91,"16,320","Nov 25, 2022"
24-11-2022,508.65,534.95,508.65,521.50,520.53,"23,637","Nov 24, 2022"
23-11-2022,528.65,530.00,504.65,508.65,507.70,"27,816","Nov 23, 2022"
22-11-2022,523.45,532.95,511.00,514.80,513.84,"19,297","Nov 22, 2022"
21-11-2022,521.00,526.60,515.30,524.65,523.67,"4,871","Nov 21, 2022"
18-11-2022,529.60,529.60,518.10,520.75,519.78,"7,636","Nov 18, 2022"
17-11-2022,525.00,530.00,517.15,524.95,523.97,"17,191","Nov 17, 2022"
16-11-2022,525.20,533.55,525.10,528.40,527.41,"9,893","Nov 16, 2022"
15-11-2022,511.10,527.95,511.05,524.55,523.57,"23,127","Nov 15, 2022"
14-11-2022,521.00,537.00,507.00,509.05,508.10,"19,067","Nov 14, 2022"
11-11-2022,525.15,543.95,521.00,525.60,524.62,"27,965","Nov 11, 2022"
10-11-2022,542.00,542.00,508.10,521.90,520.92,"34,532","Nov 10, 2022"
09-11-2022,579.10,580.00,537.10,542.00,540.99,"90,845","Nov 09, 2022"
07-11-2022,575.00,597.00,568.10,590.90,589.80,"27,843","Nov 07, 2022"
04-11-2022,570.50,578.80,565.70,571.45,570.38,"6,308","Nov 04, 2022"
03-11-2022,573.40,580.00,568.00,569.20,568.14,"6,628","Nov 03, 2022"
02-11-2022,574.00,582.00,569.75,574.60,573.53,"6,848","Nov 02, 2022"
01-11-2022,577.00,577.00,568.00,573.90,572.83,"5,595","Nov 01, 2022"
31-10-2022,581.00,585.90,570.55,574.10,573.03,"6,670","Oct 31, 2022"
28-10-2022,570.15,585.00,570.15,578.20,577.12,"5,591","Oct 28, 2022"
27-10-2022,578.00,581.00,570.05,575.55,574.47,"5,256","Oct 27, 2022"
25-10-2022,563.00,579.30,563.00,573.30,572.23,"4,227","Oct 25, 2022"
24-10-2022,577.00,584.90,575.00,575.80,574.72,"1,932","Oct 24, 2022"
21-10-2022,586.90,586.90,561.10,569.25,568.19,"14,305","Oct 21, 2022"
20-10-2022,578.00,589.30,576.00,578.95,577.87,"9,017","Oct 20, 2022"
19-10-2022,591.50,601.45,578.00,581.25,580.16,"14,258","Oct 19, 2022"
18-10-2022,598.10,598.10,584.50,590.25,589.15,"6,644","Oct 18, 2022"
17-10-2022,597.10,607.45,584.00,587.60,586.50,"16,160","Oct 17, 2022"
14-10-2022,605.50,622.80,592.55,598.35,597.23,"14,421","Oct 14, 2022"
13-10-2022,595.00,605.95,593.95,596.50,595.39,"4,888","Oct 13, 2022"
12-10-2022,617.00,683.80,589.95,596.90,595.78,"19,279","Oct 12, 2022"
11-10-2022,619.00,619.00,601.60,605.10,603.97,"7,952","Oct 11, 2022"
10-10-2022,604.00,616.95,604.00,613.60,612.45,"11,990","Oct 10, 2022"
07-10-2022,621.25,630.15,597.60,603.40,602.27,"19,694","Oct 07, 2022"
06-10-2022,627.00,632.00,615.00,619.45,618.29,"9,375","Oct 06, 2022"
04-10-2022,621.65,621.95,609.70,614.15,613.00,"5,443","Oct 04, 2022"
03-10-2022,622.90,622.90,601.55,608.05,606.91,"7,065","Oct 03, 2022"
30-09-2022,595.15,620.00,595.15,608.35,607.21,"9,945","Sep 30, 2022"
29-09-2022,619.00,627.85,596.00,605.60,604.47,"12,581","Sep 29, 2022"
28-09-2022,617.10,617.10,596.00,600.35,599.23,"19,243","Sep 28, 2022"
27-09-2022,600.00,635.00,600.00,610.35,609.21,"28,818","Sep 27, 2022"
26-09-2022,625.00,625.00,537.65,598.40,597.28,"57,634","Sep 26, 2022"
23-09-2022,636.30,636.50,606.50,612.10,610.96,"16,701","Sep 23, 2022"
22-09-2022,634.00,634.00,617.55,625.20,624.03,"11,471","Sep 22, 2022"
21-09-2022,640.00,641.05,616.00,623.60,622.43,"18,105","Sep 21, 2022"
20-09-2022,638.45,640.00,630.45,634.85,633.66,"12,320","Sep 20, 2022"
19-09-2022,638.00,638.75,621.50,629.10,627.92,"12,476","Sep 19, 2022"
16-09-2022,660.00,660.80,621.15,630.75,629.57,"26,590","Sep 16, 2022"
15-09-2022,635.40,689.80,626.45,662.25,661.01,"99,846","Sep 15, 2022"
14-09-2022,628.45,637.40,615.10,626.20,625.03,"12,325","Sep 14, 2022"
13-09-2022,641.05,644.55,624.35,631.65,630.47,"19,206","Sep 13, 2022"
12-09-2022,643.85,643.85,630.05,632.90,631.72,"7,239","Sep 12, 2022"
09-09-2022,641.75,643.90,632.15,638.00,636.81,"13,180","Sep 09, 2022"
08-09-2022,625.00,645.00,625.00,641.75,640.55,"7,014","Sep 08, 2022"
07-09-2022,636.00,643.35,619.30,637.50,636.31,"29,546","Sep 07, 2022"
06-09-2022,659.80,659.90,635.10,639.25,638.06,"27,364","Sep 06, 2022"
05-09-2022,630.05,660.40,630.05,650.50,649.28,"69,435","Sep 05, 2022"
02-09-2022,619.00,628.20,612.00,625.80,624.63,"41,751","Sep 02, 2022"
01-09-2022,619.90,630.00,605.10,610.85,609.71,"30,009","Sep 01, 2022"
30-08-2022,618.00,622.40,608.45,621.20,620.04,"14,611","Aug 30, 2022"
29-08-2022,577.00,614.80,577.00,610.25,609.11,"13,904","Aug 29, 2022"
26-08-2022,610.20,618.60,604.00,611.15,610.01,"16,221","Aug 26, 2022"
25-08-2022,612.25,623.00,605.85,609.90,608.76,"12,351","Aug 25, 2022"
24-08-2022,627.55,627.55,612.00,618.40,617.24,"11,181","Aug 24, 2022"
23-08-2022,598.00,625.00,598.00,619.15,617.99,"34,686","Aug 23, 2022"
22-08-2022,616.00,616.00,593.10,597.30,596.18,"33,386","Aug 22, 2022"
19-08-2022,631.95,635.35,612.20,619.20,618.04,"18,320","Aug 19, 2022"
18-08-2022,626.00,634.80,621.20,627.35,626.18,"16,328","Aug 18, 2022"
17-08-2022,620.00,629.00,617.05,626.30,625.13,"20,776","Aug 17, 2022"
16-08-2022,623.00,627.95,612.85,617.55,616.40,"18,174","Aug 16, 2022"
12-08-2022,627.95,628.75,619.60,621.70,620.54,"12,464","Aug 12, 2022"
11-08-2022,634.80,635.65,618.50,622.55,621.39,"27,047","Aug 11, 2022"
10-08-2022,620.95,642.00,612.90,628.00,626.83,"34,414","Aug 10, 2022"
08-08-2022,615.25,619.90,606.45,616.55,615.40,"16,916","Aug 08, 2022"
05-08-2022,622.00,628.25,607.00,615.40,614.25,"21,447","Aug 05, 2022"
04-08-2022,624.00,633.05,606.30,620.85,619.69,"25,689","Aug 04, 2022"
03-08-2022,645.80,645.80,620.00,623.45,622.29,"33,739","Aug 03, 2022"
02-08-2022,621.70,649.00,617.80,640.30,639.10,"57,892","Aug 02, 2022"
01-08-2022,664.00,664.70,605.00,617.75,616.60,"114,531","Aug 01, 2022"
29-07-2022,688.80,688.80,650.55,656.60,655.37,"71,398","Jul 29, 2022"
28-07-2022,678.00,693.85,671.00,682.80,681.52,"127,546","Jul 28, 2022"
27-07-2022,637.85,668.50,635.35,663.10,661.86,"99,288","Jul 27, 2022"
26-07-2022,643.00,644.30,627.90,632.50,631.32,"43,821","Jul 26, 2022"
25-07-2022,671.00,675.50,640.80,646.95,645.74,"68,310","Jul 25, 2022"
22-07-2022,672.00,688.55,660.00,669.35,668.10,"134,319","Jul 22, 2022"
21-07-2022,749.80,760.00,660.00,666.20,664.96,"305,602","Jul 21, 2022"
20-07-2022,820.00,822.15,722.00,742.75,741.36,"128,546","Jul 20, 2022"
19-07-2022,785.00,814.00,778.85,806.20,804.69,"107,725","Jul 19, 2022"
18-07-2022,751.60,809.95,747.90,781.90,780.44,"162,343","Jul 18, 2022"
15-07-2022,726.20,751.00,726.20,739.80,738.42,"32,763","Jul 15, 2022"
14-07-2022,750.00,758.75,721.00,730.10,728.74,"20,471","Jul 14, 2022"
13-07-2022,763.70,763.70,735.10,745.35,743.96,"46,965","Jul 13, 2022"
13-07-2022,1 Dividend,,,,,,"Jul 13, 2022"
12-07-2022,722.00,790.35,719.00,744.10,741.71,"192,229","Jul 12, 2022"
11-07-2022,724.95,729.00,705.00,716.35,714.05,"23,282","Jul 11, 2022"
08-07-2022,737.00,745.00,710.00,722.80,720.48,"39,116","Jul 08, 2022"
07-07-2022,755.90,762.95,718.00,726.15,723.82,"53,070","Jul 07, 2022"
06-07-2022,760.00,770.80,741.00,749.35,746.94,"106,604","Jul 06, 2022"
05-07-2022,693.50,779.00,693.50,742.95,740.57,"318,081","Jul 05, 2022"
04-07-2022,709.00,719.90,688.00,693.15,690.92,"48,602","Jul 04, 2022"
01-07-2022,708.50,729.00,692.60,712.20,709.91,"227,319","Jul 01, 2022"
30-06-2022,664.35,733.70,661.05,709.30,707.02,"790,851","Jun 30, 2022"
29-06-2022,591.00,687.00,571.00,660.90,658.78,"474,358","Jun 29, 2022"
28-06-2022,589.00,589.00,576.00,579.90,578.04,"5,052","Jun 28, 2022"
27-06-2022,577.30,600.00,575.05,578.15,576.29,"20,235","Jun 27, 2022"
24-06-2022,557.95,576.50,551.10,567.05,565.23,"14,095","Jun 24, 2022"
23-06-2022,550.00,565.00,527.35,542.35,540.61,"14,796","Jun 23, 2022"
22-06-2022,578.25,578.25,544.00,547.45,545.69,"19,642","Jun 22, 2022"
21-06-2022,564.00,584.95,548.25,573.25,571.41,"21,042","Jun 21, 2022"
20-06-2022,603.15,612.45,540.00,547.40,545.64,"25,512","Jun 20, 2022"
17-06-2022,596.50,600.00,575.00,591.30,589.40,"22,445","Jun 17, 2022"
16-06-2022,650.00,655.55,592.20,596.35,594.44,"31,882","Jun 16, 2022"
15-06-2022,648.00,649.80,630.00,637.65,635.60,"38,987","Jun 15, 2022"
14-06-2022,593.30,638.00,587.00,633.25,631.22,"39,866","Jun 14, 2022"
13-06-2022,586.00,602.20,585.05,593.30,591.40,"9,832","Jun 13, 2022"
10-06-2022,613.75,628.95,604.35,611.60,609.64,"16,558","Jun 10, 2022"
09-06-2022,625.00,634.05,613.75,620.60,618.61,"14,343","Jun 09, 2022"
08-06-2022,634.00,647.20,622.90,630.35,628.33,"23,033","Jun 08, 2022"
07-06-2022,658.00,658.95,621.65,628.50,626.48,"34,124","Jun 07, 2022"
06-06-2022,616.60,654.00,590.10,642.50,640.44,"58,015","Jun 06, 2022"
03-06-2022,671.70,671.70,611.00,616.85,614.87,"59,031","Jun 03, 2022"
02-06-2022,648.00,687.90,634.20,666.25,664.11,"189,467","Jun 02, 2022"
01-06-2022,580.75,634.05,573.50,634.05,632.01,"136,377","Jun 01, 2022"
31-05-2022,562.50,590.00,562.50,576.45,574.60,"37,520","May 31, 2022"
30-05-2022,564.10,596.00,558.00,566.95,565.13,"22,377","May 30, 2022"
27-05-2022,577.00,593.95,549.85,560.55,558.75,"44,184","May 27, 2022"
26-05-2022,549.90,581.00,536.00,571.95,570.11,"66,262","May 26, 2022"
25-05-2022,567.10,571.95,530.25,534.40,532.68,"20,202","May 25, 2022"
24-05-2022,580.00,580.00,551.35,559.80,558.00,"23,271","May 24, 2022"
23-05-2022,571.35,584.70,556.50,578.25,576.39,"35,576","May 23, 2022"
20-05-2022,578.80,587.00,551.05,571.35,569.52,"157,381","May 20, 2022"
19-05-2022,563.00,608.70,560.15,568.60,566.77,"497,747","May 19, 2022"
18-05-2022,518.00,549.30,508.45,549.30,547.54,"249,706","May 18, 2022"
17-05-2022,420.00,479.70,420.00,457.75,456.28,"100,234","May 17, 2022"
