date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,0.8000,0.9000,0.8000,0.9000,0.9000,"35,705","Aug 25, 2023"
24-08-2023,0.8500,0.9000,0.8000,0.8500,0.8500,"8,888","Aug 24, 2023"
23-08-2023,0.8000,0.8500,0.8000,0.8500,0.8500,"16,046","Aug 23, 2023"
22-08-2023,0.8000,0.8000,0.8000,0.8000,0.8000,-,"Aug 22, 2023"
21-08-2023,0.9000,0.9000,0.8000,0.8000,0.8000,"6,779","Aug 21, 2023"
18-08-2023,0.8500,0.8500,0.8500,0.8500,0.8500,"2,393","Aug 18, 2023"
17-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"24,213","Aug 17, 2023"
16-08-2023,0.8500,0.9000,0.8500,0.8500,0.8500,"11,857","Aug 16, 2023"
14-08-2023,0.9000,0.9000,0.9000,0.9000,0.9000,550,"Aug 14, 2023"
11-08-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"14,600","Aug 11, 2023"
10-08-2023,1.0000,1.0000,0.9000,0.9000,0.9000,"2,010","Aug 10, 2023"
09-08-2023,0.8500,0.9500,0.8500,0.9500,0.9500,"27,396","Aug 09, 2023"
08-08-2023,0.9500,1.0000,0.9000,0.9000,0.9000,"16,787","Aug 08, 2023"
07-08-2023,0.9500,0.9500,0.9500,0.9500,0.9500,"1,750","Aug 07, 2023"
04-08-2023,0.9500,0.9500,0.9500,0.9500,0.9500,"1,813","Aug 04, 2023"
03-08-2023,1.0500,1.0500,0.9500,0.9500,0.9500,"3,885","Aug 03, 2023"
02-08-2023,1.1000,1.1000,1.0000,1.0000,1.0000,"3,724","Aug 02, 2023"
01-08-2023,1.0500,1.0500,0.9500,1.0500,1.0500,"24,075","Aug 01, 2023"
31-07-2023,0.9500,1.0000,0.9000,1.0000,1.0000,"17,177","Jul 31, 2023"
28-07-2023,0.9000,0.9500,0.8500,0.9500,0.9500,"1,212","Jul 28, 2023"
27-07-2023,0.9000,0.9500,0.8500,0.9000,0.9000,"8,659","Jul 27, 2023"
26-07-2023,0.8500,0.9500,0.8500,0.9000,0.9000,"15,289","Jul 26, 2023"
25-07-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"2,071","Jul 25, 2023"
24-07-2023,0.9000,0.9500,0.9000,0.9500,0.9500,"4,439","Jul 24, 2023"
21-07-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"4,250","Jul 21, 2023"
20-07-2023,0.9500,0.9500,0.9500,0.9500,0.9500,"2,125","Jul 20, 2023"
19-07-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"53,038","Jul 19, 2023"
18-07-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"13,240","Jul 18, 2023"
17-07-2023,0.8500,0.8500,0.7500,0.8500,0.8500,"72,914","Jul 17, 2023"
14-07-2023,0.9000,0.9000,0.8000,0.8000,0.8000,"24,954","Jul 14, 2023"
13-07-2023,0.8500,0.9500,0.8500,0.8500,0.8500,"51,784","Jul 13, 2023"
12-07-2023,1.0000,1.0000,0.9000,0.9000,0.9000,"33,009","Jul 12, 2023"
11-07-2023,1.0000,1.0000,0.9000,0.9500,0.9500,"25,934","Jul 11, 2023"
10-07-2023,1.0000,1.0000,0.9500,0.9500,0.9500,"9,105","Jul 10, 2023"
07-07-2023,1.0000,1.0000,1.0000,1.0000,1.0000,"1,500","Jul 07, 2023"
06-07-2023,1.1000,1.1000,1.0000,1.0500,1.0500,"5,307","Jul 06, 2023"
05-07-2023,1.1000,1.1000,1.0500,1.0500,1.0500,"2,403","Jul 05, 2023"
04-07-2023,1.1000,1.1000,1.0500,1.1000,1.1000,"1,087","Jul 04, 2023"
03-07-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"3,129","Jul 03, 2023"
30-06-2023,1.0500,1.0500,1.0500,1.0500,1.0500,"2,027","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,1.1000,1.1000,1.0000,1.1000,1.1000,3,"Jun 27, 2023"
26-06-2023,1.1000,1.1000,1.0500,1.0500,1.0500,"1,188","Jun 26, 2023"
23-06-2023,1.1500,1.1500,1.1000,1.1000,1.1000,"2,583","Jun 23, 2023"
22-06-2023,1.1500,1.2000,1.1500,1.1500,1.1500,"4,211","Jun 22, 2023"
21-06-2023,1.1500,1.1500,1.1000,1.1500,1.1500,302,"Jun 21, 2023"
20-06-2023,1.1500,1.1500,1.1000,1.1500,1.1500,447,"Jun 20, 2023"
19-06-2023,1.1500,1.1500,1.1500,1.1500,1.1500,102,"Jun 19, 2023"
16-06-2023,1.1500,1.1500,1.1000,1.1500,1.1500,307,"Jun 16, 2023"
15-06-2023,1.1500,1.1500,1.1500,1.1500,1.1500,"4,655","Jun 15, 2023"
14-06-2023,1.1500,1.1500,1.1000,1.1000,1.1000,"1,052","Jun 14, 2023"
13-06-2023,1.2500,1.2500,1.1500,1.1500,1.1500,"6,940","Jun 13, 2023"
12-06-2023,1.3000,1.3000,1.2000,1.2000,1.2000,"3,212","Jun 12, 2023"
09-06-2023,1.2500,1.3000,1.2000,1.2500,1.2500,"27,747","Jun 09, 2023"
08-06-2023,1.2500,1.2500,1.2000,1.2500,1.2500,"5,131","Jun 08, 2023"
07-06-2023,1.2000,1.2000,1.1000,1.2000,1.2000,999,"Jun 07, 2023"
06-06-2023,1.2500,1.2500,1.1500,1.1500,1.1500,"3,552","Jun 06, 2023"
05-06-2023,1.2000,1.2000,1.1500,1.2000,1.2000,408,"Jun 05, 2023"
02-06-2023,1.2000,1.2000,1.1500,1.1500,1.1500,66,"Jun 02, 2023"
01-06-2023,1.2000,1.2000,1.1000,1.1500,1.1500,"9,190","Jun 01, 2023"
31-05-2023,1.2000,1.2000,1.1500,1.1500,1.1500,740,"May 31, 2023"
30-05-2023,1.2000,1.2500,1.1500,1.1500,1.1500,"1,340","May 30, 2023"
29-05-2023,1.2000,1.2000,1.1000,1.2000,1.2000,"11,497","May 29, 2023"
26-05-2023,1.2000,1.2500,1.1500,1.1500,1.1500,"9,171","May 26, 2023"
25-05-2023,1.2000,1.2000,1.1000,1.2000,1.2000,"4,190","May 25, 2023"
24-05-2023,1.1000,1.1500,1.0500,1.1500,1.1500,"15,171","May 24, 2023"
23-05-2023,1.1000,1.1000,1.0500,1.1000,1.1000,"15,849","May 23, 2023"
22-05-2023,1.1500,1.1500,1.1000,1.1000,1.1000,"6,287","May 22, 2023"
19-05-2023,1.1000,1.1500,1.0500,1.1500,1.1500,"18,763","May 19, 2023"
18-05-2023,1.1500,1.1500,1.0500,1.1000,1.1000,"15,860","May 18, 2023"
17-05-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"16,304","May 17, 2023"
16-05-2023,1.1000,1.1500,1.0500,1.0500,1.0500,"17,610","May 16, 2023"
15-05-2023,1.0500,1.1500,1.0500,1.1000,1.1000,"13,542","May 15, 2023"
12-05-2023,1.1500,1.1500,1.0500,1.1000,1.1000,"11,535","May 12, 2023"
11-05-2023,1.1500,1.1500,1.1000,1.1000,1.1000,6,"May 11, 2023"
10-05-2023,1.1000,1.1000,1.1000,1.1000,1.1000,2,"May 10, 2023"
09-05-2023,1.0500,1.1000,1.0500,1.1000,1.1000,330,"May 09, 2023"
08-05-2023,1.1500,1.1500,1.1000,1.1000,1.1000,"6,058","May 08, 2023"
05-05-2023,1.1500,1.1500,1.1500,1.1500,1.1500,18,"May 05, 2023"
04-05-2023,1.1500,1.2000,1.1500,1.1500,1.1500,"6,071","May 04, 2023"
03-05-2023,1.1500,1.1500,1.1500,1.1500,1.1500,"1,743","May 03, 2023"
02-05-2023,1.2000,1.2000,1.1000,1.1000,1.1000,"65,736","May 02, 2023"
28-04-2023,1.1500,1.2000,1.1000,1.1500,1.1500,"3,091","Apr 28, 2023"
27-04-2023,1.1500,1.1500,1.0500,1.1500,1.1500,"65,354","Apr 27, 2023"
26-04-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"22,860","Apr 26, 2023"
25-04-2023,1.1000,1.1000,1.0000,1.0500,1.0500,"10,374","Apr 25, 2023"
24-04-2023,1.1500,1.1500,1.0500,1.0500,1.0500,"2,202","Apr 24, 2023"
21-04-2023,1.1500,1.1500,1.1000,1.1000,1.1000,"2,613","Apr 21, 2023"
20-04-2023,1.2000,1.2000,1.1000,1.1000,1.1000,"15,258","Apr 20, 2023"
19-04-2023,1.1500,1.1500,1.1500,1.1500,1.1500,"12,824","Apr 19, 2023"
18-04-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"21,615","Apr 18, 2023"
17-04-2023,1.0000,1.1000,1.0000,1.0500,1.0500,"1,921","Apr 17, 2023"
13-04-2023,1.1500,1.1500,1.0500,1.0500,1.0500,"7,811","Apr 13, 2023"
12-04-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"9,779","Apr 12, 2023"
11-04-2023,1.0500,1.0500,1.0000,1.0500,1.0500,"9,465","Apr 11, 2023"
10-04-2023,1.0000,1.0000,0.9000,1.0000,1.0000,"5,365","Apr 10, 2023"
06-04-2023,0.9000,0.9500,0.8500,0.9500,0.9500,"7,609","Apr 06, 2023"
05-04-2023,0.9000,1.0000,0.9000,0.9000,0.9000,"42,049","Apr 05, 2023"
03-04-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"26,101","Apr 03, 2023"
31-03-2023,0.9500,0.9500,0.9500,0.9500,0.9500,-,"Mar 31, 2023"
29-03-2023,0.9500,0.9500,0.9500,0.9500,0.9500,-,"Mar 29, 2023"
28-03-2023,0.9500,0.9500,0.9500,0.9500,0.9500,-,"Mar 28, 2023"
27-03-2023,0.9500,0.9500,0.9500,0.9500,0.9500,81,"Mar 27, 2023"
24-03-2023,1.0000,1.0000,1.0000,1.0000,1.0000,-,"Mar 24, 2023"
23-03-2023,1.0000,1.0000,1.0000,1.0000,1.0000,-,"Mar 23, 2023"
22-03-2023,1.0000,1.0000,1.0000,1.0000,1.0000,-,"Mar 22, 2023"
21-03-2023,1.0000,1.0000,1.0000,1.0000,1.0000,-,"Mar 21, 2023"
