date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,27.60,27.95,26.40,27.25,27.25,"539,034","Aug 25, 2023"
24-08-2023,27.65,28.75,27.05,27.45,27.45,"1,634,825","Aug 24, 2023"
23-08-2023,27.75,28.20,26.85,27.55,27.55,"948,632","Aug 23, 2023"
22-08-2023,29.90,29.95,27.40,27.65,27.65,"819,355","Aug 22, 2023"
21-08-2023,29.10,30.15,28.55,29.70,29.70,"1,153,222","Aug 21, 2023"
18-08-2023,26.80,28.80,26.60,28.40,28.40,"1,972,474","Aug 18, 2023"
17-08-2023,25.50,28.30,25.00,26.55,26.55,"1,218,179","Aug 17, 2023"
16-08-2023,25.10,25.70,24.80,25.45,25.45,"234,100","Aug 16, 2023"
14-08-2023,24.95,25.35,24.25,25.10,25.10,"289,079","Aug 14, 2023"
11-08-2023,24.20,26.00,23.70,24.85,24.85,"886,346","Aug 11, 2023"
10-08-2023,22.60,24.30,22.60,23.85,23.85,"389,460","Aug 10, 2023"
09-08-2023,23.00,23.20,22.75,22.95,22.95,"101,622","Aug 09, 2023"
08-08-2023,23.00,23.40,22.75,22.90,22.90,"282,147","Aug 08, 2023"
07-08-2023,23.45,23.50,22.85,22.95,22.95,"112,515","Aug 07, 2023"
04-08-2023,23.15,23.50,22.75,23.10,23.10,"210,269","Aug 04, 2023"
03-08-2023,23.40,23.45,22.80,22.90,22.90,"107,414","Aug 03, 2023"
02-08-2023,23.85,24.10,22.85,23.10,23.10,"149,507","Aug 02, 2023"
01-08-2023,23.65,24.25,23.60,23.85,23.85,"135,016","Aug 01, 2023"
31-07-2023,23.95,23.95,23.45,23.65,23.65,"110,363","Jul 31, 2023"
28-07-2023,23.40,24.30,22.95,23.50,23.50,"277,405","Jul 28, 2023"
27-07-2023,23.30,23.40,22.90,23.10,23.10,"207,261","Jul 27, 2023"
26-07-2023,23.30,23.30,22.60,22.90,22.90,"233,962","Jul 26, 2023"
25-07-2023,23.40,23.50,22.85,22.90,22.90,"130,098","Jul 25, 2023"
24-07-2023,23.25,23.25,22.70,22.90,22.90,"97,180","Jul 24, 2023"
21-07-2023,23.40,23.40,22.75,22.80,22.80,"54,693","Jul 21, 2023"
20-07-2023,23.40,23.40,22.85,22.95,22.95,"179,539","Jul 20, 2023"
19-07-2023,23.45,23.50,22.90,23.00,23.00,"138,234","Jul 19, 2023"
18-07-2023,23.30,23.50,22.85,23.30,23.30,"128,703","Jul 18, 2023"
17-07-2023,23.75,23.85,23.20,23.30,23.30,"103,686","Jul 17, 2023"
14-07-2023,23.45,23.80,23.20,23.35,23.35,"105,092","Jul 14, 2023"
13-07-2023,23.95,24.10,23.25,23.60,23.60,"122,325","Jul 13, 2023"
12-07-2023,24.25,24.25,23.30,23.70,23.70,"106,108","Jul 12, 2023"
11-07-2023,24.35,24.35,23.65,24.00,24.00,"160,188","Jul 11, 2023"
10-07-2023,24.30,24.45,23.75,23.90,23.90,"92,496","Jul 10, 2023"
07-07-2023,24.40,24.55,23.50,23.95,23.95,"198,913","Jul 07, 2023"
06-07-2023,23.50,24.40,23.10,24.05,24.05,"409,953","Jul 06, 2023"
05-07-2023,23.00,23.45,22.60,23.25,23.25,"203,239","Jul 05, 2023"
04-07-2023,22.25,23.20,22.00,22.75,22.75,"279,467","Jul 04, 2023"
03-07-2023,21.95,22.60,21.85,22.15,22.15,"201,857","Jul 03, 2023"
30-06-2023,21.80,22.15,21.55,21.80,21.80,"128,464","Jun 30, 2023"
28-06-2023,21.80,21.80,21.80,21.80,21.80,-,"Jun 28, 2023"
27-06-2023,22.20,22.45,21.65,21.80,21.80,"59,633","Jun 27, 2023"
26-06-2023,21.40,22.80,21.35,22.00,22.00,"149,375","Jun 26, 2023"
23-06-2023,21.70,21.70,21.30,21.40,21.40,"63,724","Jun 23, 2023"
22-06-2023,22.00,22.00,21.60,21.65,21.65,"65,617","Jun 22, 2023"
21-06-2023,22.05,22.30,21.60,21.80,21.80,"142,915","Jun 21, 2023"
20-06-2023,22.20,22.35,21.85,22.00,22.00,"70,813","Jun 20, 2023"
19-06-2023,22.10,22.25,21.90,22.05,22.05,"62,706","Jun 19, 2023"
16-06-2023,21.95,22.25,21.80,22.05,22.05,"149,435","Jun 16, 2023"
15-06-2023,21.90,22.20,21.60,21.75,21.75,"124,330","Jun 15, 2023"
14-06-2023,22.25,22.35,21.65,21.85,21.85,"266,451","Jun 14, 2023"
13-06-2023,22.10,22.40,21.95,22.00,22.00,"84,624","Jun 13, 2023"
12-06-2023,22.00,22.40,21.80,22.10,22.10,"134,123","Jun 12, 2023"
09-06-2023,22.25,22.35,21.85,22.00,22.00,"73,645","Jun 09, 2023"
