date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,130.55,133.00,125.25,125.40,125.40,"1,224","Aug 25, 2023"
24-08-2023,142.00,143.70,130.55,131.75,131.75,"1,849","Aug 24, 2023"
23-08-2023,146.00,146.00,136.00,137.40,137.40,"2,668","Aug 23, 2023"
22-08-2023,140.90,147.80,135.00,139.50,139.50,"50,819","Aug 22, 2023"
21-08-2023,152.00,152.00,131.00,134.40,134.40,"23,231","Aug 21, 2023"
18-08-2023,142.00,144.70,137.95,144.70,144.70,"26,697","Aug 18, 2023"
17-08-2023,122.80,131.55,116.20,131.55,131.55,"15,176","Aug 17, 2023"
16-08-2023,112.00,124.65,111.00,119.60,119.60,"10,966","Aug 16, 2023"
14-08-2023,123.00,123.00,112.10,113.35,113.35,"1,576","Aug 14, 2023"
11-08-2023,123.95,123.95,116.40,117.40,117.40,"4,793","Aug 11, 2023"
10-08-2023,116.00,119.00,113.00,115.95,115.95,"5,800","Aug 10, 2023"
09-08-2023,124.90,124.90,112.95,116.45,116.45,"24,081","Aug 09, 2023"
08-08-2023,117.00,122.85,113.00,122.85,122.85,"55,749","Aug 08, 2023"
07-08-2023,85.30,102.40,85.00,102.40,102.40,"20,808","Aug 07, 2023"
04-08-2023,89.90,89.90,83.10,85.35,85.35,"1,826","Aug 04, 2023"
03-08-2023,86.55,86.70,84.85,85.10,85.10,406,"Aug 03, 2023"
02-08-2023,87.10,87.10,86.05,86.85,86.85,325,"Aug 02, 2023"
01-08-2023,88.20,89.20,86.60,87.10,87.10,"1,022","Aug 01, 2023"
31-07-2023,90.00,94.50,87.00,87.35,87.35,"1,482","Jul 31, 2023"
28-07-2023,88.15,88.15,86.25,87.65,87.65,7,"Jul 28, 2023"
27-07-2023,90.00,90.00,85.05,88.20,88.20,"3,484","Jul 27, 2023"
26-07-2023,87.80,87.80,85.00,85.45,85.45,"4,560","Jul 26, 2023"
25-07-2023,87.95,88.00,86.50,87.75,87.75,174,"Jul 25, 2023"
24-07-2023,88.00,88.00,85.15,87.00,87.00,276,"Jul 24, 2023"
21-07-2023,87.00,89.30,87.00,87.30,87.30,603,"Jul 21, 2023"
20-07-2023,92.05,92.05,87.10,88.85,88.85,401,"Jul 20, 2023"
19-07-2023,87.65,93.95,85.40,88.10,88.10,"1,814","Jul 19, 2023"
18-07-2023,89.55,89.55,87.65,88.15,88.15,407,"Jul 18, 2023"
17-07-2023,89.20,91.20,86.35,89.55,89.55,471,"Jul 17, 2023"
14-07-2023,88.45,88.45,86.80,87.45,87.45,14,"Jul 14, 2023"
13-07-2023,89.15,89.15,86.50,86.65,86.65,"2,390","Jul 13, 2023"
12-07-2023,88.00,89.45,86.55,87.80,87.80,"1,684","Jul 12, 2023"
11-07-2023,94.00,94.00,86.35,87.60,87.60,"2,032","Jul 11, 2023"
10-07-2023,90.00,90.00,85.30,86.35,86.35,"1,410","Jul 10, 2023"
07-07-2023,90.40,90.40,86.55,88.15,88.15,970,"Jul 07, 2023"
06-07-2023,88.00,90.95,88.00,90.45,90.45,197,"Jul 06, 2023"
05-07-2023,87.00,90.00,87.00,90.00,90.00,"3,470","Jul 05, 2023"
04-07-2023,95.00,98.00,86.00,87.45,87.45,"3,680","Jul 04, 2023"
03-07-2023,93.15,93.15,80.55,90.20,90.20,"1,845","Jul 03, 2023"
30-06-2023,89.90,91.20,83.85,86.90,86.90,"1,695","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,89.80,89.80,89.80,89.80,89.80,5,"Jun 27, 2023"
26-06-2023,85.75,89.80,85.75,89.80,89.80,727,"Jun 26, 2023"
23-06-2023,88.60,90.50,84.05,85.75,85.75,207,"Jun 23, 2023"
22-06-2023,90.60,91.00,85.05,88.15,88.15,786,"Jun 22, 2023"
21-06-2023,86.65,86.70,86.65,86.70,86.70,38,"Jun 21, 2023"
20-06-2023,86.55,90.50,86.50,86.65,86.65,385,"Jun 20, 2023"
19-06-2023,90.00,91.75,86.50,88.05,88.05,573,"Jun 19, 2023"
16-06-2023,88.20,90.65,86.75,89.95,89.95,"2,025","Jun 16, 2023"
15-06-2023,86.45,90.70,86.45,87.40,87.40,314,"Jun 15, 2023"
14-06-2023,86.60,86.60,86.60,86.60,86.60,-,"Jun 14, 2023"
13-06-2023,87.05,88.70,86.45,86.60,86.60,717,"Jun 13, 2023"
12-06-2023,86.70,88.50,86.70,87.00,87.00,200,"Jun 12, 2023"
09-06-2023,86.85,90.95,86.85,88.50,88.50,403,"Jun 09, 2023"
08-06-2023,91.00,91.00,85.50,86.90,86.90,912,"Jun 08, 2023"
07-06-2023,92.95,94.95,88.05,88.10,88.10,"2,126","Jun 07, 2023"
06-06-2023,90.90,90.90,86.40,86.65,86.65,202,"Jun 06, 2023"
05-06-2023,88.05,92.75,86.30,90.85,90.85,"1,635","Jun 05, 2023"
02-06-2023,88.35,91.10,86.00,88.45,88.45,386,"Jun 02, 2023"
01-06-2023,87.40,89.60,87.40,88.40,88.40,"1,447","Jun 01, 2023"
31-05-2023,86.15,92.00,86.00,92.00,92.00,"1,096","May 31, 2023"
30-05-2023,94.05,94.05,88.00,90.25,90.25,296,"May 30, 2023"
29-05-2023,91.85,91.85,87.05,89.60,89.60,73,"May 29, 2023"
26-05-2023,91.70,91.85,89.25,90.05,90.05,321,"May 26, 2023"
25-05-2023,88.30,91.95,87.65,91.85,91.85,94,"May 25, 2023"
24-05-2023,89.00,90.75,87.40,88.30,88.30,326,"May 24, 2023"
23-05-2023,88.70,91.25,88.70,91.00,91.00,105,"May 23, 2023"
22-05-2023,86.40,92.25,85.95,88.70,88.70,750,"May 22, 2023"
19-05-2023,86.00,89.25,85.30,89.20,89.20,827,"May 19, 2023"
18-05-2023,87.40,91.75,87.40,89.15,89.15,596,"May 18, 2023"
17-05-2023,91.35,91.35,86.45,87.40,87.40,547,"May 17, 2023"
16-05-2023,91.10,93.55,91.00,91.00,91.00,239,"May 16, 2023"
15-05-2023,91.05,91.05,91.05,91.05,91.05,1,"May 15, 2023"
12-05-2023,89.30,93.50,89.30,91.00,91.00,129,"May 12, 2023"
11-05-2023,95.00,95.00,89.30,89.30,89.30,84,"May 11, 2023"
10-05-2023,89.50,94.10,89.20,94.00,94.00,820,"May 10, 2023"
