date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,1.3000,1.3000,1.2500,1.2500,1.2500,"2,396,613","Aug 25, 2023"
24-08-2023,1.2500,1.2500,1.2500,1.2500,1.2500,"170,530","Aug 24, 2023"
23-08-2023,1.2000,1.2000,1.2000,1.2000,1.2000,"143,415","Aug 23, 2023"
22-08-2023,1.1500,1.1500,1.1500,1.1500,1.1500,"120,553","Aug 22, 2023"
21-08-2023,1.1000,1.1000,1.1000,1.1000,1.1000,"313,781","Aug 21, 2023"
18-08-2023,1.0500,1.0500,1.0500,1.0500,1.0500,"416,195","Aug 18, 2023"
17-08-2023,1.0000,1.0000,0.9500,1.0000,1.0000,"666,606","Aug 17, 2023"
16-08-2023,0.9000,0.9500,0.8500,0.9500,0.9500,"1,013,376","Aug 16, 2023"
14-08-2023,0.8500,0.9000,0.8000,0.9000,0.9000,"640,045","Aug 14, 2023"
11-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"177,040","Aug 11, 2023"
10-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"259,770","Aug 10, 2023"
09-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"276,727","Aug 09, 2023"
08-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"231,511","Aug 08, 2023"
07-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"377,521","Aug 07, 2023"
04-08-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"597,260","Aug 04, 2023"
03-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"273,618","Aug 03, 2023"
02-08-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"333,348","Aug 02, 2023"
01-08-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"416,517","Aug 01, 2023"
31-07-2023,0.8000,0.8500,0.8000,0.8000,0.8000,"512,309","Jul 31, 2023"
28-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"221,968","Jul 28, 2023"
27-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"256,735","Jul 27, 2023"
26-07-2023,0.8500,0.8500,0.7500,0.8500,0.8500,"226,430","Jul 26, 2023"
25-07-2023,0.8500,0.8500,0.7500,0.8000,0.8000,"129,819","Jul 25, 2023"
24-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"213,684","Jul 24, 2023"
21-07-2023,0.8500,0.8500,0.7500,0.8500,0.8500,"173,531","Jul 21, 2023"
20-07-2023,0.8000,0.8500,0.7500,0.8000,0.8000,"358,789","Jul 20, 2023"
19-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"548,239","Jul 19, 2023"
18-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"120,262","Jul 18, 2023"
17-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"139,938","Jul 17, 2023"
14-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"81,668","Jul 14, 2023"
13-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"63,738","Jul 13, 2023"
12-07-2023,0.8000,0.8500,0.8000,0.8000,0.8000,"238,766","Jul 12, 2023"
11-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"201,413","Jul 11, 2023"
10-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"108,545","Jul 10, 2023"
07-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"115,428","Jul 07, 2023"
06-07-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"187,855","Jul 06, 2023"
05-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"177,966","Jul 05, 2023"
04-07-2023,0.8000,0.8500,0.8000,0.8000,0.8000,"222,948","Jul 04, 2023"
03-07-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"137,113","Jul 03, 2023"
30-06-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"238,226","Jun 30, 2023"
28-06-2023,0.8000,0.8000,0.8000,0.8000,0.8000,-,"Jun 28, 2023"
27-06-2023,0.8000,0.8500,0.8000,0.8000,0.8000,"160,062","Jun 27, 2023"
26-06-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"201,802","Jun 26, 2023"
23-06-2023,0.8500,0.8500,0.8000,0.8000,0.8000,"244,364","Jun 23, 2023"
22-06-2023,0.8000,0.8500,0.8000,0.8000,0.8000,"157,485","Jun 22, 2023"
21-06-2023,0.9000,0.9000,0.8000,0.8000,0.8000,"432,096","Jun 21, 2023"
20-06-2023,0.8500,0.9000,0.8500,0.8500,0.8500,"172,677","Jun 20, 2023"
19-06-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"130,877","Jun 19, 2023"
16-06-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"138,625","Jun 16, 2023"
15-06-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"123,719","Jun 15, 2023"
14-06-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"169,526","Jun 14, 2023"
13-06-2023,0.8500,0.9000,0.8500,0.9000,0.9000,"428,149","Jun 13, 2023"
12-06-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"148,276","Jun 12, 2023"
09-06-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"185,626","Jun 09, 2023"
08-06-2023,0.8500,0.8500,0.8500,0.8500,0.8500,"97,345","Jun 08, 2023"
07-06-2023,0.9000,0.9000,0.8000,0.8000,0.8000,"525,348","Jun 07, 2023"
06-06-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"204,397","Jun 06, 2023"
05-06-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"123,942","Jun 05, 2023"
02-06-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"229,700","Jun 02, 2023"
01-06-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"606,831","Jun 01, 2023"
31-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"213,098","May 31, 2023"
30-05-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"389,779","May 30, 2023"
29-05-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"191,179","May 29, 2023"
26-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"173,116","May 26, 2023"
25-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"165,481","May 25, 2023"
24-05-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"279,745","May 24, 2023"
23-05-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"217,523","May 23, 2023"
22-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"375,299","May 22, 2023"
19-05-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"178,410","May 19, 2023"
18-05-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"157,343","May 18, 2023"
17-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"254,690","May 17, 2023"
16-05-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"142,979","May 16, 2023"
15-05-2023,0.8500,0.9000,0.8000,0.8500,0.8500,"134,202","May 15, 2023"
12-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"207,847","May 12, 2023"
11-05-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"395,366","May 11, 2023"
10-05-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"242,826","May 10, 2023"
09-05-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"150,995","May 09, 2023"
08-05-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"392,953","May 08, 2023"
05-05-2023,0.9000,0.9500,0.8500,0.9000,0.9000,"270,558","May 05, 2023"
04-05-2023,0.9500,0.9500,0.8500,0.9000,0.9000,"252,251","May 04, 2023"
03-05-2023,0.9500,0.9500,0.8500,0.9000,0.9000,"291,876","May 03, 2023"
02-05-2023,0.9500,0.9500,0.8500,0.9000,0.9000,"924,693","May 02, 2023"
28-04-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"170,478","Apr 28, 2023"
27-04-2023,0.9500,0.9500,0.8500,0.9500,0.9500,"280,362","Apr 27, 2023"
26-04-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"169,314","Apr 26, 2023"
25-04-2023,0.9000,0.9500,0.8500,0.8500,0.8500,"196,842","Apr 25, 2023"
24-04-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"121,371","Apr 24, 2023"
21-04-2023,0.9000,0.9500,0.8500,0.9500,0.9500,"104,331","Apr 21, 2023"
20-04-2023,0.9500,0.9500,0.8500,0.9000,0.9000,"291,934","Apr 20, 2023"
19-04-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"170,555","Apr 19, 2023"
18-04-2023,0.9500,0.9500,0.8500,0.9500,0.9500,"291,624","Apr 18, 2023"
17-04-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"418,557","Apr 17, 2023"
13-04-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"123,738","Apr 13, 2023"
12-04-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"149,606","Apr 12, 2023"
11-04-2023,1.0000,1.0000,0.9000,0.9000,0.9000,"130,730","Apr 11, 2023"
10-04-2023,0.9000,0.9500,0.8500,0.9500,0.9500,"414,602","Apr 10, 2023"
06-04-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"127,202","Apr 06, 2023"
05-04-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"158,154","Apr 05, 2023"
03-04-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"221,100","Apr 03, 2023"
31-03-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"65,271","Mar 31, 2023"
29-03-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"33,131","Mar 29, 2023"
28-03-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"118,978","Mar 28, 2023"
27-03-2023,0.9500,0.9500,0.8500,0.8500,0.8500,"85,688","Mar 27, 2023"
24-03-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"124,715","Mar 24, 2023"
23-03-2023,0.9000,0.9500,0.8500,0.9000,0.9000,"199,106","Mar 23, 2023"
22-03-2023,0.8500,0.9000,0.8000,0.9000,0.9000,"273,447","Mar 22, 2023"
21-03-2023,0.8500,0.8500,0.8000,0.8500,0.8500,"69,145","Mar 21, 2023"
20-03-2023,0.8500,0.9000,0.8000,0.8000,0.8000,"147,616","Mar 20, 2023"
17-03-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"59,102","Mar 17, 2023"
16-03-2023,0.8000,0.8500,0.8000,0.8500,0.8500,"40,147","Mar 16, 2023"
15-03-2023,0.8500,0.9000,0.8000,0.8000,0.8000,"94,631","Mar 15, 2023"
14-03-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"118,136","Mar 14, 2023"
13-03-2023,0.9500,0.9500,0.9000,0.9000,0.9000,"190,638","Mar 13, 2023"
10-03-2023,0.9500,0.9500,0.9000,0.9500,0.9500,"76,583","Mar 10, 2023"
09-03-2023,0.9000,0.9500,0.9000,0.9500,0.9500,"160,202","Mar 09, 2023"
08-03-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"324,216","Mar 08, 2023"
06-03-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"53,848","Mar 06, 2023"
03-03-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"253,014","Mar 03, 2023"
02-03-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"186,778","Mar 02, 2023"
01-03-2023,0.8000,0.9000,0.8000,0.8500,0.8500,"216,143","Mar 01, 2023"
28-02-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"173,645","Feb 28, 2023"
27-02-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"240,198","Feb 27, 2023"
24-02-2023,0.9000,0.9000,0.8500,0.9000,0.9000,"215,902","Feb 24, 2023"
23-02-2023,0.9000,0.9000,0.8000,0.9000,0.9000,"301,326","Feb 23, 2023"
22-02-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"283,922","Feb 22, 2023"
21-02-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"101,538","Feb 21, 2023"
20-02-2023,0.8500,0.9000,0.8000,0.8500,0.8500,"191,263","Feb 20, 2023"
17-02-2023,0.9000,0.9000,0.8000,0.8500,0.8500,"171,042","Feb 17, 2023"
16-02-2023,0.9000,0.9000,0.8500,0.8500,0.8500,"98,918","Feb 16, 2023"
15-02-2023,0.9500,0.9500,0.8500,0.9000,0.9000,"939,645","Feb 15, 2023"
14-02-2023,1.0000,1.0000,0.9000,0.9000,0.9000,"103,656","Feb 14, 2023"
13-02-2023,1.0000,1.0000,0.9500,0.9500,0.9500,"275,325","Feb 13, 2023"
10-02-2023,1.0000,1.0000,0.9500,0.9500,0.9500,"123,714","Feb 10, 2023"
09-02-2023,1.0000,1.0000,0.9000,1.0000,1.0000,"238,002","Feb 09, 2023"
08-02-2023,0.9500,1.0000,0.9500,0.9500,0.9500,"131,319","Feb 08, 2023"
07-02-2023,1.0000,1.0000,0.9000,1.0000,1.0000,"132,700","Feb 07, 2023"
06-02-2023,1.0000,1.0000,0.9000,0.9500,0.9500,"221,208","Feb 06, 2023"
03-02-2023,1.0000,1.0000,0.9500,0.9500,0.9500,"168,766","Feb 03, 2023"
02-02-2023,1.0500,1.0500,0.9500,1.0000,1.0000,"147,317","Feb 02, 2023"
01-02-2023,1.0000,1.0000,0.9500,1.0000,1.0000,"354,919","Feb 01, 2023"
31-01-2023,0.8500,0.9500,0.8500,0.9500,0.9500,"724,411","Jan 31, 2023"
30-01-2023,0.9000,0.9000,0.9000,0.9000,0.9000,"116,576","Jan 30, 2023"
27-01-2023,1.0500,1.0500,0.9500,0.9500,0.9500,"388,050","Jan 27, 2023"
25-01-2023,1.0500,1.0500,1.0000,1.0000,1.0000,"331,004","Jan 25, 2023"
24-01-2023,1.0500,1.0500,1.0000,1.0500,1.0500,"81,496","Jan 24, 2023"
23-01-2023,1.0500,1.0500,1.0000,1.0000,1.0000,"319,142","Jan 23, 2023"
20-01-2023,1.0500,1.1000,1.0500,1.0500,1.0500,"422,880","Jan 20, 2023"
19-01-2023,1.1000,1.1500,1.0500,1.1000,1.1000,"390,997","Jan 19, 2023"
18-01-2023,1.1000,1.1000,1.0000,1.1000,1.1000,"807,841","Jan 18, 2023"
17-01-2023,1.0000,1.1000,1.0000,1.0500,1.0500,"807,821","Jan 17, 2023"
16-01-2023,1.0500,1.0500,1.0500,1.0500,1.0500,"43,252","Jan 16, 2023"
13-01-2023,1.2000,1.2000,1.1000,1.1000,1.1000,"632,836","Jan 13, 2023"
12-01-2023,1.1500,1.1500,1.1000,1.1500,1.1500,"499,782","Jan 12, 2023"
11-01-2023,1.1000,1.1000,1.1000,1.1000,1.1000,"1,047,911","Jan 11, 2023"
10-01-2023,1.0000,1.1000,1.0000,1.0500,1.0500,"1,762,110","Jan 10, 2023"
09-01-2023,1.0500,1.0500,1.0500,1.0500,1.0500,"62,834","Jan 09, 2023"
