date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,337.95,370.50,337.50,370.50,370.50,"3,466","Aug 25, 2023"
24-08-2023,348.90,348.95,326.35,336.85,336.85,847,"Aug 24, 2023"
23-08-2023,355.90,358.65,326.00,348.25,348.25,293,"Aug 23, 2023"
22-08-2023,361.45,363.95,325.00,338.20,338.20,296,"Aug 22, 2023"
21-08-2023,336.05,364.95,333.05,345.85,345.85,885,"Aug 21, 2023"
18-08-2023,328.70,345.00,328.70,336.05,336.05,245,"Aug 18, 2023"
17-08-2023,333.00,338.60,316.95,327.20,327.20,433,"Aug 17, 2023"
16-08-2023,345.95,345.95,315.00,333.10,333.10,"1,936","Aug 16, 2023"
14-08-2023,308.00,325.60,300.00,316.70,316.70,471,"Aug 14, 2023"
11-08-2023,309.40,309.40,309.25,309.30,309.30,94,"Aug 11, 2023"
10-08-2023,290.10,298.70,290.00,296.05,296.05,52,"Aug 10, 2023"
09-08-2023,283.00,309.00,283.00,302.00,302.00,"1,687","Aug 09, 2023"
08-08-2023,311.00,311.75,300.00,302.00,302.00,73,"Aug 08, 2023"
07-08-2023,305.00,319.00,290.30,308.25,308.25,232,"Aug 07, 2023"
04-08-2023,283.00,300.50,283.00,299.00,299.00,232,"Aug 04, 2023"
03-08-2023,302.00,308.85,282.65,286.20,286.20,244,"Aug 03, 2023"
02-08-2023,299.00,299.00,297.20,297.20,297.20,22,"Aug 02, 2023"
01-08-2023,293.30,301.00,286.10,299.50,299.50,187,"Aug 01, 2023"
31-07-2023,296.95,305.15,295.00,301.15,301.15,97,"Jul 31, 2023"
28-07-2023,300.05,309.00,285.20,290.85,290.85,95,"Jul 28, 2023"
27-07-2023,290.70,304.00,290.05,300.05,300.05,173,"Jul 27, 2023"
26-07-2023,282.05,294.00,275.00,289.55,289.55,216,"Jul 26, 2023"
25-07-2023,280.10,280.10,269.60,280.00,280.00,326,"Jul 25, 2023"
24-07-2023,294.40,294.40,275.85,280.00,280.00,118,"Jul 24, 2023"
21-07-2023,296.00,296.00,281.20,281.70,281.70,241,"Jul 21, 2023"
20-07-2023,291.50,297.00,288.50,296.00,296.00,393,"Jul 20, 2023"
19-07-2023,296.25,297.35,279.00,283.80,283.80,195,"Jul 19, 2023"
18-07-2023,314.50,314.50,288.60,288.80,288.80,"1,788","Jul 18, 2023"
17-07-2023,315.80,315.80,302.60,303.75,303.75,"1,091","Jul 17, 2023"
14-07-2023,322.40,322.40,313.25,318.50,318.50,94,"Jul 14, 2023"
13-07-2023,318.70,318.85,302.00,307.60,307.60,36,"Jul 13, 2023"
12-07-2023,315.35,321.95,300.00,304.00,304.00,248,"Jul 12, 2023"
11-07-2023,313.05,318.35,305.00,311.50,311.50,58,"Jul 11, 2023"
10-07-2023,318.10,319.90,297.25,315.90,315.90,414,"Jul 10, 2023"
07-07-2023,311.20,320.00,310.55,312.90,312.90,72,"Jul 07, 2023"
06-07-2023,316.50,325.75,308.50,310.55,310.55,"1,192","Jul 06, 2023"
05-07-2023,317.90,331.00,317.80,324.60,324.60,352,"Jul 05, 2023"
04-07-2023,322.35,330.55,317.05,317.95,317.95,349,"Jul 04, 2023"
03-07-2023,331.00,338.00,312.35,333.70,333.70,337,"Jul 03, 2023"
30-06-2023,301.15,329.00,301.15,324.40,324.40,482,"Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,337.85,338.00,313.50,330.00,330.00,352,"Jun 27, 2023"
26-06-2023,318.00,339.00,309.60,322.40,322.40,314,"Jun 26, 2023"
23-06-2023,348.80,348.80,320.15,323.05,323.05,283,"Jun 23, 2023"
22-06-2023,321.00,332.20,315.60,332.20,332.20,799,"Jun 22, 2023"
21-06-2023,336.80,336.80,306.00,316.40,316.40,"1,070","Jun 21, 2023"
20-06-2023,328.90,328.95,319.05,320.80,320.80,290,"Jun 20, 2023"
19-06-2023,335.30,335.30,322.00,328.90,328.90,456,"Jun 19, 2023"
16-06-2023,353.00,360.00,335.35,335.45,335.45,418,"Jun 16, 2023"
15-06-2023,350.00,362.25,335.85,353.00,353.00,530,"Jun 15, 2023"
14-06-2023,330.10,346.60,329.90,346.60,346.60,40,"Jun 14, 2023"
13-06-2023,343.65,352.85,327.00,330.10,330.10,307,"Jun 13, 2023"
12-06-2023,353.00,353.00,327.00,336.05,336.05,446,"Jun 12, 2023"
09-06-2023,351.80,351.85,336.00,343.80,343.80,"6,832","Jun 09, 2023"
08-06-2023,353.35,375.00,341.85,351.80,351.80,"2,766","Jun 08, 2023"
07-06-2023,378.00,378.00,343.05,359.80,359.80,652,"Jun 07, 2023"
06-06-2023,360.60,362.25,358.95,360.00,360.00,"1,399","Jun 06, 2023"
05-06-2023,351.75,351.75,336.10,345.00,345.00,"1,895","Jun 05, 2023"
02-06-2023,335.25,335.25,320.25,335.00,335.00,907,"Jun 02, 2023"
01-06-2023,319.30,319.30,291.40,319.30,319.30,"2,887","Jun 01, 2023"
31-05-2023,300.00,305.00,299.95,304.10,304.10,"10,400","May 31, 2023"
30-05-2023,285.05,299.00,285.05,299.00,299.00,"2,400","May 30, 2023"
29-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 29, 2023"
26-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 26, 2023"
25-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 25, 2023"
24-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 24, 2023"
23-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 23, 2023"
22-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 22, 2023"
19-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 19, 2023"
18-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 18, 2023"
17-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 17, 2023"
16-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 16, 2023"
15-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 15, 2023"
12-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 12, 2023"
11-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 11, 2023"
10-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 10, 2023"
09-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 09, 2023"
08-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 08, 2023"
05-05-2023,292.55,292.55,292.55,292.55,292.55,-,"May 05, 2023"
04-05-2023,286.10,299.00,286.10,292.55,292.55,"3,200","May 04, 2023"
03-05-2023,291.00,291.00,291.00,291.00,291.00,"3,200","May 03, 2023"
02-05-2023,290.00,290.00,290.00,290.00,290.00,"1,600","May 02, 2023"
28-04-2023,280.70,280.70,280.70,280.70,280.70,-,"Apr 28, 2023"
27-04-2023,280.70,280.70,280.70,280.70,280.70,-,"Apr 27, 2023"
26-04-2023,280.75,280.75,280.70,280.70,280.70,"3,200","Apr 26, 2023"
25-04-2023,268.00,268.00,268.00,268.00,268.00,-,"Apr 25, 2023"
24-04-2023,268.00,268.00,268.00,268.00,268.00,-,"Apr 24, 2023"
21-04-2023,268.00,268.00,268.00,268.00,268.00,"1,600","Apr 21, 2023"
20-04-2023,259.00,259.00,259.00,259.00,259.00,"1,600","Apr 20, 2023"
19-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 19, 2023"
18-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 18, 2023"
17-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 17, 2023"
13-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 13, 2023"
12-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 12, 2023"
11-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 11, 2023"
10-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 10, 2023"
06-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 06, 2023"
05-04-2023,249.25,249.25,249.25,249.25,249.25,-,"Apr 05, 2023"
03-04-2023,244.00,249.25,244.00,249.25,249.25,"3,200","Apr 03, 2023"
31-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 31, 2023"
29-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 29, 2023"
28-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 28, 2023"
27-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 27, 2023"
24-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 24, 2023"
23-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 23, 2023"
22-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 22, 2023"
21-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 21, 2023"
20-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 20, 2023"
17-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 17, 2023"
16-03-2023,239.75,239.75,239.75,239.75,239.75,-,"Mar 16, 2023"
