date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,35.00,35.85,34.60,35.00,35.00,"384,836","Aug 25, 2023"
24-08-2023,36.50,36.70,34.45,35.55,35.55,"571,978","Aug 24, 2023"
23-08-2023,35.85,37.60,35.85,36.15,36.15,"887,082","Aug 23, 2023"
22-08-2023,36.80,36.95,35.20,36.20,36.20,"785,879","Aug 22, 2023"
21-08-2023,37.90,37.90,35.50,36.40,36.40,"893,789","Aug 21, 2023"
18-08-2023,34.30,36.75,34.15,35.70,35.70,"1,299,219","Aug 18, 2023"
17-08-2023,34.60,35.60,33.75,34.00,34.00,"708,141","Aug 17, 2023"
16-08-2023,35.80,36.05,33.40,34.30,34.30,"722,722","Aug 16, 2023"
14-08-2023,35.00,36.05,33.10,35.00,35.00,"798,626","Aug 14, 2023"
11-08-2023,35.70,36.55,33.15,34.55,34.55,"1,178,364","Aug 11, 2023"
10-08-2023,37.40,37.40,35.40,35.70,35.70,"1,054,398","Aug 10, 2023"
09-08-2023,37.60,39.50,36.00,36.80,36.80,"3,486,432","Aug 09, 2023"
08-08-2023,35.95,35.95,34.60,35.95,35.95,"2,759,964","Aug 08, 2023"
07-08-2023,31.95,33.10,30.70,32.70,32.70,"739,212","Aug 07, 2023"
04-08-2023,30.10,31.55,29.85,31.40,31.40,"571,475","Aug 04, 2023"
03-08-2023,30.75,31.25,29.05,29.95,29.95,"554,838","Aug 03, 2023"
02-08-2023,31.20,32.40,29.00,30.80,30.80,"930,200","Aug 02, 2023"
01-08-2023,33.30,33.95,31.00,31.30,31.30,"774,032","Aug 01, 2023"
31-07-2023,33.00,33.90,32.45,32.90,32.90,"496,010","Jul 31, 2023"
28-07-2023,31.30,34.40,31.10,32.35,32.35,"2,017,999","Jul 28, 2023"
27-07-2023,31.85,32.60,31.00,31.30,31.30,"656,047","Jul 27, 2023"
26-07-2023,32.95,33.20,31.35,31.45,31.45,"537,649","Jul 26, 2023"
25-07-2023,32.35,33.30,31.00,32.45,32.45,"512,949","Jul 25, 2023"
24-07-2023,33.30,34.80,31.75,32.00,32.00,"1,198,089","Jul 24, 2023"
21-07-2023,29.70,32.75,29.55,32.65,32.65,"1,853,714","Jul 21, 2023"
20-07-2023,29.15,31.40,28.75,29.80,29.80,"1,559,785","Jul 20, 2023"
19-07-2023,28.55,29.10,27.10,28.80,28.80,"745,711","Jul 19, 2023"
18-07-2023,30.00,30.00,27.40,28.35,28.35,"1,051,732","Jul 18, 2023"
17-07-2023,27.40,30.05,26.70,30.05,30.05,"1,841,538","Jul 17, 2023"
14-07-2023,26.65,27.60,26.50,27.35,27.35,"510,019","Jul 14, 2023"
13-07-2023,26.65,28.35,25.95,26.30,26.30,"1,147,835","Jul 13, 2023"
12-07-2023,28.40,29.20,26.40,26.65,26.65,"2,743,738","Jul 12, 2023"
11-07-2023,24.15,26.55,24.00,26.55,26.55,"1,597,102","Jul 11, 2023"
10-07-2023,24.70,24.70,23.10,24.15,24.15,"364,543","Jul 10, 2023"
07-07-2023,24.95,24.95,23.10,24.10,24.10,"490,280","Jul 07, 2023"
06-07-2023,25.30,25.30,24.45,24.85,24.85,"285,632","Jul 06, 2023"
05-07-2023,25.50,25.50,24.75,25.30,25.30,"261,119","Jul 05, 2023"
04-07-2023,24.15,25.20,23.55,24.80,24.80,"567,245","Jul 04, 2023"
03-07-2023,23.85,23.85,22.95,23.25,23.25,"370,443","Jul 03, 2023"
30-06-2023,23.85,24.50,23.55,23.65,23.65,"435,253","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,24.60,25.10,23.20,23.75,23.75,"434,531","Jun 27, 2023"
26-06-2023,25.20,25.95,24.35,24.55,24.55,"402,069","Jun 26, 2023"
23-06-2023,25.40,26.40,24.75,25.20,25.20,"924,829","Jun 23, 2023"
22-06-2023,27.30,28.00,25.00,25.40,25.40,"1,073,941","Jun 22, 2023"
21-06-2023,26.05,27.70,25.85,26.85,26.85,"2,175,405","Jun 21, 2023"
20-06-2023,24.90,25.35,22.00,25.35,25.35,"1,577,246","Jun 20, 2023"
19-06-2023,23.05,23.05,23.05,23.05,23.05,"17,790","Jun 19, 2023"
16-06-2023,24.25,24.25,24.25,24.25,24.25,-,"Jun 16, 2023"
15-06-2023,24.25,24.25,24.25,24.25,24.25,-,"Jun 15, 2023"
14-06-2023,25.00,25.00,23.85,24.25,24.25,"1,053,899","Jun 14, 2023"
