date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,271.50,274.40,264.30,270.05,270.05,"14,709,351","Aug 25, 2023"
24-08-2023,275.45,276.55,270.20,270.70,270.70,"8,349,667","Aug 24, 2023"
23-08-2023,274.00,275.25,271.65,273.35,273.35,"8,628,839","Aug 23, 2023"
22-08-2023,271.40,277.20,270.10,273.10,273.10,"12,666,246","Aug 22, 2023"
21-08-2023,269.70,271.95,266.60,270.05,270.05,"11,693,150","Aug 21, 2023"
18-08-2023,270.75,274.40,265.20,268.50,268.50,"12,782,606","Aug 18, 2023"
17-08-2023,264.15,271.85,263.65,270.85,270.85,"18,261,763","Aug 17, 2023"
16-08-2023,263.00,266.95,260.60,264.20,264.20,"8,611,451","Aug 16, 2023"
14-08-2023,262.90,268.50,257.95,264.05,264.05,"13,095,211","Aug 14, 2023"
11-08-2023,271.50,272.55,261.60,264.05,264.05,"19,807,328","Aug 11, 2023"
10-08-2023,270.05,270.90,263.55,267.05,267.05,"10,308,401","Aug 10, 2023"
09-08-2023,269.95,271.15,265.35,270.05,270.05,"10,187,822","Aug 09, 2023"
08-08-2023,270.00,276.80,260.05,269.00,269.00,"30,634,867","Aug 08, 2023"
07-08-2023,258.55,267.95,257.70,266.85,266.85,"15,673,718","Aug 07, 2023"
04-08-2023,260.15,262.90,257.15,258.60,258.60,"8,195,058","Aug 04, 2023"
03-08-2023,255.00,261.95,253.25,260.15,260.15,"11,082,737","Aug 03, 2023"
02-08-2023,258.00,264.35,249.55,256.30,256.30,"12,897,629","Aug 02, 2023"
01-08-2023,262.15,263.15,256.55,258.85,258.85,"8,969,904","Aug 01, 2023"
31-07-2023,256.00,262.00,254.00,261.40,261.40,"11,389,062","Jul 31, 2023"
28-07-2023,254.30,260.15,252.10,255.85,255.85,"13,107,446","Jul 28, 2023"
27-07-2023,244.95,255.15,243.10,253.35,253.35,"21,043,456","Jul 27, 2023"
26-07-2023,238.50,244.50,236.90,242.70,242.70,"9,630,578","Jul 26, 2023"
25-07-2023,241.95,243.45,235.40,238.25,238.25,"11,801,735","Jul 25, 2023"
24-07-2023,230.00,244.00,229.15,239.75,239.75,"22,346,371","Jul 24, 2023"
21-07-2023,225.90,228.35,224.85,227.00,227.00,"5,645,236","Jul 21, 2023"
20-07-2023,227.00,228.50,225.05,226.20,226.20,"5,594,049","Jul 20, 2023"
19-07-2023,222.00,227.00,220.65,226.40,226.40,"7,651,184","Jul 19, 2023"
18-07-2023,223.40,226.25,220.05,221.70,221.70,"11,430,982","Jul 18, 2023"
17-07-2023,225.00,226.90,222.50,223.40,223.40,"6,350,877","Jul 17, 2023"
14-07-2023,226.00,226.40,222.90,224.60,224.60,"6,206,024","Jul 14, 2023"
13-07-2023,228.20,228.65,222.00,224.65,224.65,"8,495,280","Jul 13, 2023"
12-07-2023,227.70,230.05,225.60,227.25,227.25,"9,500,728","Jul 12, 2023"
11-07-2023,224.55,230.40,224.50,227.10,227.10,"22,017,028","Jul 11, 2023"
10-07-2023,221.30,225.45,217.60,224.50,224.50,"9,469,488","Jul 10, 2023"
07-07-2023,223.50,224.25,218.85,221.30,221.30,"7,226,033","Jul 07, 2023"
06-07-2023,223.25,226.65,222.15,223.65,223.65,"7,187,154","Jul 06, 2023"
05-07-2023,222.00,225.35,221.10,223.30,223.30,"7,708,297","Jul 05, 2023"
04-07-2023,219.85,223.80,216.55,221.25,221.25,"11,898,079","Jul 04, 2023"
03-07-2023,216.95,223.35,215.50,219.75,219.75,"10,227,371","Jul 03, 2023"
30-06-2023,220.00,220.25,214.30,215.90,215.90,"13,561,395","Jun 30, 2023"
28-06-2023,207.85,207.85,207.85,207.85,207.85,-,"Jun 28, 2023"
27-06-2023,201.20,208.95,200.90,207.85,207.85,"15,237,777","Jun 27, 2023"
26-06-2023,200.25,203.65,198.10,199.85,199.85,"7,424,746","Jun 26, 2023"
23-06-2023,202.95,204.00,198.85,200.15,200.15,"7,258,270","Jun 23, 2023"
22-06-2023,208.95,209.40,201.00,203.25,203.25,"9,326,013","Jun 22, 2023"
21-06-2023,204.75,211.90,204.20,208.80,208.80,"16,604,952","Jun 21, 2023"
20-06-2023,197.75,204.50,196.50,203.95,203.95,"7,781,286","Jun 20, 2023"
19-06-2023,197.10,199.55,195.75,197.25,197.25,"7,397,549","Jun 19, 2023"
16-06-2023,196.85,198.40,194.25,197.10,197.10,"9,861,048","Jun 16, 2023"
16-06-2023,4.5 Dividend,,,,,,"Jun 16, 2023"
15-06-2023,200.50,203.30,199.30,200.90,196.40,"8,432,262","Jun 15, 2023"
14-06-2023,204.40,204.40,199.75,201.05,196.55,"10,438,154","Jun 14, 2023"
13-06-2023,202.55,204.15,198.00,203.05,198.50,"11,349,466","Jun 13, 2023"
12-06-2023,199.45,203.00,198.80,202.15,197.62,"6,765,017","Jun 12, 2023"
09-06-2023,198.00,199.50,195.65,198.70,194.25,"6,323,263","Jun 09, 2023"
08-06-2023,196.20,199.15,194.85,196.85,192.44,"8,465,643","Jun 08, 2023"
07-06-2023,195.45,197.25,195.00,196.45,192.05,"6,298,160","Jun 07, 2023"
06-06-2023,194.40,197.20,191.65,194.50,190.14,"10,567,472","Jun 06, 2023"
05-06-2023,191.55,197.50,190.45,193.65,189.31,"15,595,565","Jun 05, 2023"
02-06-2023,184.00,191.00,183.35,190.45,186.18,"19,369,171","Jun 02, 2023"
