date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,515.05","2,536.90","2,508.80","2,527.90","2,527.90","431,446","Aug 25, 2023"
24-08-2023,"2,525.05","2,544.00","2,515.55","2,521.60","2,521.60","565,703","Aug 24, 2023"
23-08-2023,"2,510.00","2,582.50","2,500.00","2,506.95","2,506.95","879,174","Aug 23, 2023"
22-08-2023,"2,499.00","2,499.80","2,482.00","2,494.30","2,494.30","273,033","Aug 22, 2023"
21-08-2023,"2,477.45","2,493.25","2,472.30","2,486.75","2,486.75","272,682","Aug 21, 2023"
18-08-2023,"2,503.20","2,513.00","2,470.00","2,477.60","2,477.60","345,376","Aug 18, 2023"
17-08-2023,"2,540.45","2,550.00","2,499.00","2,503.15","2,503.15","252,328","Aug 17, 2023"
16-08-2023,"2,535.00","2,557.45","2,515.00","2,539.65","2,539.65","213,059","Aug 16, 2023"
14-08-2023,"2,544.90","2,545.00","2,510.60","2,537.40","2,537.40","149,281","Aug 14, 2023"
11-08-2023,"2,550.05","2,552.00","2,517.00","2,544.65","2,544.65","394,433","Aug 11, 2023"
10-08-2023,"2,619.00","2,619.00","2,510.55","2,520.10","2,520.10","747,380","Aug 10, 2023"
09-08-2023,"2,619.90","2,625.00","2,595.10","2,603.60","2,603.60","244,304","Aug 09, 2023"
08-08-2023,"2,611.05","2,628.00","2,594.80","2,623.80","2,623.80","294,364","Aug 08, 2023"
07-08-2023,"2,609.80","2,623.60","2,600.00","2,610.60","2,610.60","132,591","Aug 07, 2023"
04-08-2023,"2,590.05","2,618.65","2,584.55","2,609.80","2,609.80","176,758","Aug 04, 2023"
03-08-2023,"2,626.95","2,636.55","2,570.05","2,584.50","2,584.50","206,189","Aug 03, 2023"
02-08-2023,"2,639.90","2,643.95","2,608.85","2,626.75","2,626.75","182,882","Aug 02, 2023"
01-08-2023,"2,615.00","2,640.80","2,602.05","2,634.80","2,634.80","182,792","Aug 01, 2023"
31-07-2023,"2,615.85","2,626.85","2,590.20","2,614.95","2,614.95","221,454","Jul 31, 2023"
28-07-2023,"2,595.00","2,628.40","2,587.15","2,615.85","2,615.85","336,411","Jul 28, 2023"
27-07-2023,"2,613.00","2,628.35","2,596.05","2,602.75","2,602.75","141,783","Jul 27, 2023"
27-07-2023,11 Dividend,,,,,,"Jul 27, 2023"
26-07-2023,"2,611.95","2,629.75","2,593.05","2,618.00","2,607.00","149,847","Jul 26, 2023"
25-07-2023,"2,648.00","2,648.00","2,587.80","2,607.40","2,596.44","218,299","Jul 25, 2023"
24-07-2023,"2,655.10","2,665.00","2,636.15","2,651.60","2,640.46","255,346","Jul 24, 2023"
21-07-2023,"2,663.00","2,685.00","2,652.65","2,662.80","2,651.61","211,117","Jul 21, 2023"
20-07-2023,"2,695.95","2,695.95","2,667.40","2,676.60","2,665.35","213,260","Jul 20, 2023"
19-07-2023,"2,666.50","2,691.70","2,643.30","2,685.95","2,674.66","401,289","Jul 19, 2023"
18-07-2023,"2,639.60","2,666.25","2,623.55","2,658.10","2,646.93","371,797","Jul 18, 2023"
17-07-2023,"2,600.00","2,649.00","2,600.00","2,639.60","2,628.51","231,762","Jul 17, 2023"
14-07-2023,"2,617.90","2,628.30","2,595.00","2,623.50","2,612.48","297,136","Jul 14, 2023"
13-07-2023,"2,622.45","2,655.00","2,608.30","2,618.20","2,607.20","325,809","Jul 13, 2023"
12-07-2023,"2,579.05","2,627.70","2,551.50","2,622.45","2,611.43","812,161","Jul 12, 2023"
11-07-2023,"2,595.95","2,688.00","2,586.00","2,638.85","2,627.76","633,719","Jul 11, 2023"
10-07-2023,"2,611.95","2,620.75","2,581.05","2,595.85","2,584.94","280,989","Jul 10, 2023"
07-07-2023,"2,655.00","2,662.00","2,606.35","2,612.95","2,601.97","310,425","Jul 07, 2023"
06-07-2023,"2,620.00","2,658.65","2,615.00","2,649.00","2,637.87","326,780","Jul 06, 2023"
05-07-2023,"2,575.00","2,626.60","2,575.00","2,608.85","2,597.89","543,932","Jul 05, 2023"
04-07-2023,"2,571.45","2,588.00","2,558.60","2,570.45","2,559.65","438,598","Jul 04, 2023"
03-07-2023,"2,599.20","2,613.55","2,570.00","2,571.45","2,560.65","473,016","Jul 03, 2023"
30-06-2023,"2,602.10","2,645.90","2,585.30","2,597.10","2,586.19","722,273","Jun 30, 2023"
28-06-2023,"2,621.35","2,621.35","2,621.35","2,621.35","2,610.34",-,"Jun 28, 2023"
27-06-2023,"2,636.00","2,656.20","2,616.95","2,621.35","2,610.34","362,724","Jun 27, 2023"
26-06-2023,"2,650.00","2,669.00","2,623.95","2,630.90","2,619.85","243,751","Jun 26, 2023"
23-06-2023,"2,650.40","2,683.60","2,636.00","2,658.30","2,647.13","789,589","Jun 23, 2023"
22-06-2023,"2,683.95","2,688.50","2,632.10","2,636.30","2,625.22","163,415","Jun 22, 2023"
21-06-2023,"2,700.00","2,703.00","2,660.30","2,671.25","2,660.03","347,029","Jun 21, 2023"
20-06-2023,"2,674.90","2,701.00","2,670.80","2,678.50","2,667.25","447,600","Jun 20, 2023"
19-06-2023,"2,709.00","2,718.95","2,668.00","2,673.30","2,662.07","300,224","Jun 19, 2023"
16-06-2023,"2,694.00","2,705.00","2,667.65","2,697.70","2,686.36","435,650","Jun 16, 2023"
15-06-2023,"2,714.05","2,724.85","2,672.40","2,680.70","2,669.44","401,002","Jun 15, 2023"
14-06-2023,"2,686.00","2,729.65","2,675.75","2,693.10","2,681.78","513,278","Jun 14, 2023"
13-06-2023,"2,666.00","2,735.00","2,656.55","2,686.65","2,675.36","874,863","Jun 13, 2023"
12-06-2023,"2,616.25","2,659.80","2,607.75","2,640.75","2,629.65","234,521","Jun 12, 2023"
09-06-2023,"2,638.00","2,652.95","2,610.50","2,614.95","2,603.96","100,618","Jun 09, 2023"
