date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,62.90,63.35,62.40,62.55,62.55,"144,990","Aug 25, 2023"
24-08-2023,62.90,63.65,62.55,62.90,62.90,"180,719","Aug 24, 2023"
23-08-2023,63.00,63.00,62.55,62.80,62.80,"116,774","Aug 23, 2023"
22-08-2023,62.30,63.60,62.30,63.00,63.00,"177,508","Aug 22, 2023"
21-08-2023,62.50,62.80,62.00,62.15,62.15,"255,952","Aug 21, 2023"
18-08-2023,62.05,62.80,61.90,62.10,62.10,"145,303","Aug 18, 2023"
17-08-2023,63.45,63.45,61.55,61.95,61.95,"444,183","Aug 17, 2023"
16-08-2023,64.00,64.00,62.70,62.85,62.85,"337,228","Aug 16, 2023"
14-08-2023,65.25,65.25,63.35,63.75,63.75,"471,076","Aug 14, 2023"
11-08-2023,65.50,65.55,64.75,64.85,64.85,"91,780","Aug 11, 2023"
10-08-2023,66.00,66.60,64.80,65.05,65.05,"266,440","Aug 10, 2023"
09-08-2023,64.25,65.95,64.15,65.75,65.75,"275,004","Aug 09, 2023"
08-08-2023,64.60,64.95,64.00,64.40,64.40,"170,893","Aug 08, 2023"
07-08-2023,64.35,64.55,63.95,64.15,64.15,"99,879","Aug 07, 2023"
04-08-2023,64.00,64.80,64.00,64.15,64.15,"156,589","Aug 04, 2023"
03-08-2023,64.25,64.60,63.40,63.80,63.80,"211,030","Aug 03, 2023"
02-08-2023,65.50,65.80,64.00,64.25,64.25,"280,708","Aug 02, 2023"
01-08-2023,65.90,66.45,64.90,65.35,65.35,"268,930","Aug 01, 2023"
31-07-2023,65.75,66.50,65.00,65.50,65.50,"205,279","Jul 31, 2023"
28-07-2023,65.10,66.15,65.10,65.75,65.75,"323,577","Jul 28, 2023"
27-07-2023,66.00,66.35,64.95,65.10,65.10,"322,410","Jul 27, 2023"
26-07-2023,65.90,66.35,65.55,65.70,65.70,"357,862","Jul 26, 2023"
25-07-2023,65.70,67.60,65.20,65.40,65.40,"775,442","Jul 25, 2023"
24-07-2023,70.50,70.60,65.35,65.80,65.80,"2,043,500","Jul 24, 2023"
21-07-2023,70.40,71.65,69.90,70.60,70.60,"815,960","Jul 21, 2023"
20-07-2023,69.00,71.50,68.55,70.45,70.45,"2,572,020","Jul 20, 2023"
19-07-2023,66.55,68.35,66.50,67.70,67.70,"1,153,263","Jul 19, 2023"
18-07-2023,66.00,66.55,65.05,65.15,65.15,"194,403","Jul 18, 2023"
17-07-2023,65.50,66.40,65.20,65.70,65.70,"163,033","Jul 17, 2023"
14-07-2023,64.40,67.70,64.40,65.20,65.20,"418,853","Jul 14, 2023"
13-07-2023,65.20,66.25,64.10,64.35,64.35,"301,880","Jul 13, 2023"
12-07-2023,65.80,65.80,64.65,64.75,64.75,"109,244","Jul 12, 2023"
11-07-2023,64.90,66.25,64.90,65.15,65.15,"170,399","Jul 11, 2023"
10-07-2023,66.90,66.90,64.70,64.90,64.90,"302,341","Jul 10, 2023"
07-07-2023,66.25,68.40,65.25,66.90,66.90,"820,356","Jul 07, 2023"
06-07-2023,62.40,67.60,62.35,66.50,66.50,"2,497,636","Jul 06, 2023"
05-07-2023,61.20,62.75,61.20,62.30,62.30,"171,455","Jul 05, 2023"
04-07-2023,62.00,62.30,61.20,61.50,61.50,"129,097","Jul 04, 2023"
03-07-2023,61.75,62.35,61.40,61.75,61.75,"128,704","Jul 03, 2023"
