date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,435.70,435.70,420.00,424.25,424.25,"40,456","Aug 25, 2023"
24-08-2023,442.55,449.10,432.00,435.70,435.70,"28,498","Aug 24, 2023"
23-08-2023,445.70,448.20,434.55,442.55,442.55,"29,555","Aug 23, 2023"
22-08-2023,448.10,452.00,440.00,441.35,441.35,"38,466","Aug 22, 2023"
21-08-2023,431.85,447.00,430.95,442.65,442.65,"64,981","Aug 21, 2023"
18-08-2023,425.00,442.95,422.60,431.85,431.85,"83,996","Aug 18, 2023"
17-08-2023,430.00,445.00,422.00,429.70,429.70,"130,950","Aug 17, 2023"
16-08-2023,400.00,452.40,392.05,437.05,437.05,"799,430","Aug 16, 2023"
14-08-2023,424.05,428.05,377.50,380.10,380.10,"284,983","Aug 14, 2023"
11-08-2023,456.00,476.95,456.00,471.35,471.35,"59,488","Aug 11, 2023"
10-08-2023,485.20,490.30,470.20,473.20,473.20,"29,065","Aug 10, 2023"
09-08-2023,490.50,495.90,473.55,480.50,480.50,"43,272","Aug 09, 2023"
08-08-2023,480.00,498.95,469.20,485.70,485.70,"113,097","Aug 08, 2023"
07-08-2023,515.05,521.30,471.00,480.90,480.90,"330,909","Aug 07, 2023"
04-08-2023,418.40,499.65,416.90,499.65,499.65,"640,021","Aug 04, 2023"
03-08-2023,432.20,438.85,405.00,416.40,416.40,"28,292","Aug 03, 2023"
02-08-2023,439.00,439.90,428.80,432.20,432.20,"26,009","Aug 02, 2023"
01-08-2023,430.00,441.80,425.30,435.05,435.05,"31,766","Aug 01, 2023"
31-07-2023,425.90,440.00,425.85,434.35,434.35,"67,166","Jul 31, 2023"
28-07-2023,418.80,422.40,408.25,419.60,419.60,"21,982","Jul 28, 2023"
27-07-2023,416.15,429.80,410.45,416.20,416.20,"49,971","Jul 27, 2023"
26-07-2023,393.65,415.00,393.20,410.00,410.00,"56,029","Jul 26, 2023"
25-07-2023,399.00,402.35,393.00,394.45,394.45,"11,161","Jul 25, 2023"
24-07-2023,392.20,403.30,392.20,397.15,397.15,"12,220","Jul 24, 2023"
21-07-2023,397.45,400.05,394.00,394.75,394.75,"12,232","Jul 21, 2023"
20-07-2023,405.65,406.00,395.05,400.85,400.85,"16,611","Jul 20, 2023"
19-07-2023,409.00,409.00,398.30,401.30,401.30,"24,831","Jul 19, 2023"
18-07-2023,404.90,412.65,398.00,403.20,403.20,"42,912","Jul 18, 2023"
17-07-2023,399.50,405.55,392.00,395.00,395.00,"28,705","Jul 17, 2023"
14-07-2023,398.00,398.80,382.40,385.75,385.75,"18,734","Jul 14, 2023"
13-07-2023,379.55,403.00,379.30,388.75,388.75,"41,118","Jul 13, 2023"
12-07-2023,387.05,390.00,374.20,379.55,379.55,"30,375","Jul 12, 2023"
11-07-2023,399.90,399.90,386.10,389.45,389.45,"31,839","Jul 11, 2023"
10-07-2023,397.35,400.50,390.10,395.30,395.30,"24,712","Jul 10, 2023"
07-07-2023,410.00,410.90,394.10,396.35,396.35,"16,553","Jul 07, 2023"
06-07-2023,401.50,409.50,400.60,404.60,404.60,"11,010","Jul 06, 2023"
05-07-2023,414.70,417.05,396.50,401.50,401.50,"22,025","Jul 05, 2023"
04-07-2023,401.30,417.40,401.05,409.75,409.75,"26,599","Jul 04, 2023"
03-07-2023,395.60,407.95,395.60,399.50,399.50,"13,749","Jul 03, 2023"
30-06-2023,393.10,402.85,393.10,395.55,395.55,"16,932","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,403.10,408.00,401.60,403.65,403.65,"10,376","Jun 27, 2023"
