date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,124.90","1,133.00","1,111.00","1,113.70","1,113.70","90,880","Aug 25, 2023"
24-08-2023,"1,129.75","1,139.00","1,117.00","1,118.50","1,118.50","73,821","Aug 24, 2023"
23-08-2023,"1,120.95","1,139.80","1,118.00","1,120.30","1,120.30","118,367","Aug 23, 2023"
22-08-2023,"1,130.00","1,130.00","1,115.05","1,117.35","1,117.35","88,318","Aug 22, 2023"
21-08-2023,"1,120.00","1,134.10","1,111.00","1,116.40","1,116.40","79,564","Aug 21, 2023"
18-08-2023,"1,125.50","1,131.95","1,110.15","1,115.00","1,115.00","116,043","Aug 18, 2023"
17-08-2023,"1,147.50","1,150.00","1,120.00","1,122.75","1,122.75","151,054","Aug 17, 2023"
16-08-2023,"1,141.95","1,165.20","1,130.00","1,133.50","1,133.50","133,122","Aug 16, 2023"
14-08-2023,"1,195.55","1,203.95","1,138.50","1,140.85","1,140.85","240,879","Aug 14, 2023"
11-08-2023,"1,223.70","1,225.00","1,190.05","1,195.45","1,195.45","384,421","Aug 11, 2023"
10-08-2023,"1,262.60","1,273.20","1,255.00","1,255.20","1,255.20","51,754","Aug 10, 2023"
09-08-2023,"1,263.75","1,266.05","1,249.00","1,258.05","1,258.05","50,690","Aug 09, 2023"
08-08-2023,"1,276.85","1,283.90","1,247.70","1,255.55","1,255.55","66,092","Aug 08, 2023"
07-08-2023,"1,281.90","1,290.45","1,261.95","1,264.40","1,264.40","55,581","Aug 07, 2023"
04-08-2023,"1,269.00","1,287.30","1,258.10","1,270.90","1,270.90","75,040","Aug 04, 2023"
03-08-2023,"1,273.95","1,274.45","1,246.70","1,257.30","1,257.30","68,251","Aug 03, 2023"
02-08-2023,"1,288.00","1,295.95","1,265.30","1,275.45","1,275.45","96,287","Aug 02, 2023"
01-08-2023,"1,225.00","1,323.00","1,224.95","1,282.70","1,282.70","683,902","Aug 01, 2023"
31-07-2023,"1,233.00","1,236.00","1,222.00","1,224.10","1,224.10","96,500","Jul 31, 2023"
28-07-2023,"1,243.00","1,243.00","1,225.05","1,228.45","1,228.45","60,418","Jul 28, 2023"
27-07-2023,"1,253.70","1,256.00","1,233.55","1,236.20","1,236.20","69,161","Jul 27, 2023"
26-07-2023,"1,258.20","1,264.90","1,247.00","1,247.60","1,247.60","63,980","Jul 26, 2023"
25-07-2023,"1,271.00","1,271.00","1,247.95","1,250.45","1,250.45","122,793","Jul 25, 2023"
24-07-2023,"1,286.00","1,292.30","1,269.00","1,272.55","1,272.55","71,869","Jul 24, 2023"
21-07-2023,"1,300.00","1,300.70","1,282.60","1,286.00","1,286.00","66,195","Jul 21, 2023"
20-07-2023,"1,300.05","1,310.00","1,295.00","1,297.60","1,297.60","66,134","Jul 20, 2023"
19-07-2023,"1,305.00","1,315.00","1,297.00","1,299.35","1,299.35","61,103","Jul 19, 2023"
18-07-2023,"1,309.95","1,319.40","1,300.00","1,303.65","1,303.65","71,553","Jul 18, 2023"
17-07-2023,"1,301.65","1,315.80","1,295.00","1,301.70","1,301.70","75,024","Jul 17, 2023"
14-07-2023,"1,294.35","1,305.00","1,286.65","1,289.95","1,289.95","71,907","Jul 14, 2023"
13-07-2023,"1,301.00","1,325.00","1,290.75","1,292.55","1,292.55","92,304","Jul 13, 2023"
12-07-2023,"1,305.80","1,319.80","1,295.00","1,297.10","1,297.10","78,837","Jul 12, 2023"
11-07-2023,"1,319.95","1,332.00","1,300.05","1,305.80","1,305.80","66,200","Jul 11, 2023"
10-07-2023,"1,327.95","1,334.95","1,306.50","1,310.40","1,310.40","61,001","Jul 10, 2023"
07-07-2023,"1,331.60","1,343.40","1,325.00","1,328.85","1,328.85","54,930","Jul 07, 2023"
06-07-2023,"1,352.00","1,354.00","1,319.00","1,329.70","1,329.70","143,652","Jul 06, 2023"
05-07-2023,"1,357.00","1,357.00","1,344.00","1,351.35","1,351.35","60,203","Jul 05, 2023"
04-07-2023,"1,365.00","1,367.95","1,345.00","1,351.05","1,351.05","68,540","Jul 04, 2023"
03-07-2023,"1,315.00","1,362.00","1,315.00","1,357.65","1,357.65","228,086","Jul 03, 2023"
30-06-2023,"1,318.90","1,324.00","1,311.05","1,312.85","1,312.85","53,706","Jun 30, 2023"
28-06-2023,"1,315.05","1,315.05","1,315.05","1,315.05","1,315.05",-,"Jun 28, 2023"
27-06-2023,"1,319.55","1,325.00","1,311.70","1,315.05","1,315.05","50,673","Jun 27, 2023"
26-06-2023,"1,320.00","1,332.65","1,303.40","1,314.25","1,314.25","62,082","Jun 26, 2023"
23-06-2023,"1,320.00","1,340.00","1,307.05","1,320.60","1,320.60","74,464","Jun 23, 2023"
22-06-2023,"1,348.00","1,354.00","1,308.00","1,317.10","1,317.10","97,491","Jun 22, 2023"
21-06-2023,"1,359.00","1,371.90","1,337.60","1,345.90","1,345.90","88,242","Jun 21, 2023"
20-06-2023,"1,357.00","1,363.95","1,340.05","1,356.95","1,356.95","68,220","Jun 20, 2023"
19-06-2023,"1,379.00","1,393.95","1,340.05","1,355.30","1,355.30","206,606","Jun 19, 2023"
16-06-2023,"1,289.00","1,377.95","1,289.00","1,357.65","1,357.65","714,063","Jun 16, 2023"
15-06-2023,"1,289.00","1,293.95","1,282.30","1,285.10","1,285.10","50,273","Jun 15, 2023"
14-06-2023,"1,292.00","1,297.35","1,275.45","1,285.80","1,285.80","77,323","Jun 14, 2023"
13-06-2023,"1,290.00","1,299.25","1,275.10","1,282.20","1,282.20","77,427","Jun 13, 2023"
12-06-2023,"1,310.65","1,314.25","1,283.30","1,286.10","1,286.10","105,378","Jun 12, 2023"
09-06-2023,"1,324.95","1,330.70","1,304.00","1,306.25","1,306.25","80,722","Jun 09, 2023"
08-06-2023,"1,325.70","1,342.35","1,319.75","1,322.20","1,322.20","81,884","Jun 08, 2023"
07-06-2023,"1,337.00","1,342.60","1,317.00","1,322.35","1,322.35","94,071","Jun 07, 2023"
06-06-2023,"1,326.45","1,338.00","1,319.55","1,331.20","1,331.20","82,640","Jun 06, 2023"
05-06-2023,"1,329.00","1,350.00","1,318.00","1,322.45","1,322.45","117,212","Jun 05, 2023"
02-06-2023,"1,349.45","1,349.95","1,325.35","1,328.45","1,328.45","108,934","Jun 02, 2023"
01-06-2023,"1,369.00","1,370.90","1,336.50","1,343.50","1,343.50","83,773","Jun 01, 2023"
31-05-2023,"1,360.10","1,373.10","1,351.90","1,356.70","1,356.70","62,380","May 31, 2023"
30-05-2023,"1,395.00","1,396.95","1,361.00","1,368.15","1,368.15","104,164","May 30, 2023"
29-05-2023,"1,369.90","1,397.00","1,351.35","1,380.80","1,380.80","161,546","May 29, 2023"
26-05-2023,"1,355.05","1,384.70","1,340.00","1,366.35","1,366.35","261,298","May 26, 2023"
25-05-2023,"1,385.00","1,404.95","1,341.50","1,346.75","1,346.75","352,552","May 25, 2023"
24-05-2023,"1,440.00","1,450.00","1,389.90","1,393.75","1,393.75","904,297","May 24, 2023"
23-05-2023,"1,490.00","1,535.00","1,490.00","1,519.35","1,519.35","197,019","May 23, 2023"
22-05-2023,"1,577.65","1,579.20","1,480.00","1,490.00","1,490.00","363,363","May 22, 2023"
19-05-2023,"1,621.05","1,644.30","1,555.10","1,569.30","1,569.30","366,154","May 19, 2023"
18-05-2023,"1,558.00","1,619.00","1,557.00","1,607.70","1,607.70","559,401","May 18, 2023"
