date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,246.15,247.40,241.40,242.00,242.00,"9,635,113","Aug 25, 2023"
24-08-2023,250.00,252.65,245.80,246.30,246.30,"14,236,566","Aug 24, 2023"
23-08-2023,250.00,250.00,247.20,249.60,249.60,"6,365,715","Aug 23, 2023"
22-08-2023,248.00,250.15,246.70,247.80,247.80,"8,330,873","Aug 22, 2023"
21-08-2023,242.30,247.70,241.70,247.20,247.20,"6,847,145","Aug 21, 2023"
18-08-2023,243.65,243.65,240.10,241.00,241.00,"9,219,181","Aug 18, 2023"
17-08-2023,248.05,248.80,242.20,243.70,243.70,"11,475,857","Aug 17, 2023"
16-08-2023,244.60,248.65,243.05,248.05,248.05,"6,893,604","Aug 16, 2023"
14-08-2023,244.85,245.30,240.75,244.50,244.50,"6,891,365","Aug 14, 2023"
11-08-2023,245.50,246.25,242.80,244.30,244.30,"17,899,555","Aug 11, 2023"
10-08-2023,240.55,242.65,240.05,241.80,241.80,"7,471,838","Aug 10, 2023"
09-08-2023,243.00,243.50,239.75,240.35,240.35,"13,831,606","Aug 09, 2023"
08-08-2023,245.25,245.25,240.65,241.50,241.50,"11,378,795","Aug 08, 2023"
08-08-2023,4.75 Dividend,,,,,,"Aug 08, 2023"
07-08-2023,248.80,248.95,246.00,247.95,243.20,"4,759,475","Aug 07, 2023"
04-08-2023,248.00,249.05,246.60,247.35,242.61,"5,554,793","Aug 04, 2023"
03-08-2023,249.00,250.60,246.10,248.70,243.94,"8,161,515","Aug 03, 2023"
02-08-2023,252.90,253.80,246.60,248.55,243.79,"15,619,054","Aug 02, 2023"
01-08-2023,262.00,262.00,250.50,251.80,246.98,"23,546,777","Aug 01, 2023"
31-07-2023,262.00,267.00,259.15,266.05,260.95,"18,202,301","Jul 31, 2023"
28-07-2023,251.80,261.15,250.10,258.20,253.25,"13,138,844","Jul 28, 2023"
27-07-2023,252.00,253.40,249.70,250.70,245.90,"8,127,580","Jul 27, 2023"
26-07-2023,253.90,255.65,250.00,251.00,246.19,"9,673,629","Jul 26, 2023"
25-07-2023,248.95,251.50,248.15,251.15,246.34,"7,875,013","Jul 25, 2023"
24-07-2023,244.05,248.15,242.85,247.45,242.71,"11,119,172","Jul 24, 2023"
21-07-2023,243.25,246.30,242.20,244.10,239.42,"13,849,807","Jul 21, 2023"
20-07-2023,243.95,245.85,242.30,244.25,239.57,"7,686,812","Jul 20, 2023"
19-07-2023,241.00,246.20,240.55,243.25,238.59,"17,216,156","Jul 19, 2023"
18-07-2023,241.00,243.70,239.60,241.15,236.53,"11,205,445","Jul 18, 2023"
17-07-2023,242.50,244.95,239.20,241.00,236.38,"8,605,621","Jul 17, 2023"
14-07-2023,243.00,244.40,236.70,240.05,235.45,"54,064,374","Jul 14, 2023"
13-07-2023,251.75,252.20,241.70,243.10,238.44,"22,943,588","Jul 13, 2023"
12-07-2023,254.00,254.75,251.15,252.05,247.22,"7,043,158","Jul 12, 2023"
11-07-2023,252.00,255.40,250.05,253.50,248.64,"5,614,534","Jul 11, 2023"
10-07-2023,255.45,256.40,248.50,250.00,245.21,"11,489,286","Jul 10, 2023"
07-07-2023,262.55,262.55,254.70,255.45,250.56,"9,861,888","Jul 07, 2023"
06-07-2023,259.95,263.60,254.40,262.70,257.67,"12,528,785","Jul 06, 2023"
05-07-2023,249.70,253.95,249.50,253.25,248.40,"4,005,681","Jul 05, 2023"
04-07-2023,252.50,252.50,249.20,249.60,244.82,"6,478,476","Jul 04, 2023"
03-07-2023,254.55,254.95,249.50,250.50,245.70,"9,350,430","Jul 03, 2023"
30-06-2023,256.50,259.70,251.20,255.15,250.26,"13,244,985","Jun 30, 2023"
28-06-2023,249.55,249.55,249.55,249.55,244.77,-,"Jun 28, 2023"
27-06-2023,248.10,250.05,247.65,249.55,244.77,"8,357,181","Jun 27, 2023"
26-06-2023,250.00,250.25,247.15,248.50,243.74,"5,479,022","Jun 26, 2023"
23-06-2023,253.60,254.65,249.55,250.10,245.31,"4,195,045","Jun 23, 2023"
22-06-2023,258.00,258.00,252.70,253.55,248.69,"5,573,224","Jun 22, 2023"
21-06-2023,248.80,259.05,248.75,258.20,253.25,"23,379,070","Jun 21, 2023"
20-06-2023,243.85,249.70,243.75,248.75,243.98,"10,069,774","Jun 20, 2023"
