date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,5.80,5.85,5.55,5.65,5.65,"526,790","Aug 25, 2023"
24-08-2023,5.85,6.00,5.60,5.75,5.75,"770,950","Aug 24, 2023"
23-08-2023,5.60,5.85,5.35,5.85,5.85,"1,103,903","Aug 23, 2023"
22-08-2023,5.85,5.85,5.60,5.60,5.60,"955,167","Aug 22, 2023"
21-08-2023,6.35,6.35,5.75,5.90,5.90,"1,499,981","Aug 21, 2023"
18-08-2023,6.65,6.65,6.00,6.05,6.05,"7,561,157","Aug 18, 2023"
17-08-2023,7.20,7.30,6.60,6.65,6.65,"6,613,038","Aug 17, 2023"
16-08-2023,6.60,7.15,6.40,7.05,7.05,"19,434,043","Aug 16, 2023"
14-08-2023,6.25,6.60,5.75,6.60,6.60,"22,078,894","Aug 14, 2023"
11-08-2023,4.75,5.50,4.75,5.50,5.50,"10,725,966","Aug 11, 2023"
10-08-2023,4.55,4.60,4.50,4.60,4.60,"913,872","Aug 10, 2023"
09-08-2023,4.50,4.55,4.45,4.50,4.50,"615,567","Aug 09, 2023"
08-08-2023,4.50,4.60,4.50,4.50,4.50,"636,863","Aug 08, 2023"
07-08-2023,4.50,4.55,4.40,4.50,4.50,"766,948","Aug 07, 2023"
04-08-2023,4.50,4.50,4.40,4.45,4.45,"460,780","Aug 04, 2023"
03-08-2023,4.40,4.55,4.35,4.45,4.45,"814,455","Aug 03, 2023"
02-08-2023,4.45,4.45,4.35,4.40,4.40,"638,704","Aug 02, 2023"
01-08-2023,4.50,4.55,4.40,4.45,4.45,"927,657","Aug 01, 2023"
31-07-2023,4.45,4.50,4.40,4.45,4.45,"582,800","Jul 31, 2023"
28-07-2023,4.45,4.50,4.40,4.45,4.45,"384,968","Jul 28, 2023"
27-07-2023,4.50,4.50,4.40,4.45,4.45,"419,055","Jul 27, 2023"
26-07-2023,4.50,4.55,4.40,4.45,4.45,"724,235","Jul 26, 2023"
25-07-2023,4.40,4.50,4.35,4.45,4.45,"1,063,930","Jul 25, 2023"
24-07-2023,4.35,4.55,4.30,4.35,4.35,"597,258","Jul 24, 2023"
21-07-2023,4.35,4.40,4.30,4.30,4.30,"569,724","Jul 21, 2023"
20-07-2023,4.40,4.45,4.35,4.35,4.35,"553,636","Jul 20, 2023"
19-07-2023,4.50,4.50,4.35,4.40,4.40,"634,772","Jul 19, 2023"
18-07-2023,4.45,4.60,4.40,4.45,4.45,"785,677","Jul 18, 2023"
