date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,109.50,113.50,107.70,110.15,110.15,"596,065","Aug 25, 2023"
24-08-2023,106.60,115.05,106.50,109.40,109.40,"1,261,850","Aug 24, 2023"
23-08-2023,103.00,109.80,102.30,105.70,105.70,"979,461","Aug 23, 2023"
22-08-2023,101.35,105.35,101.00,102.70,102.70,"217,621","Aug 22, 2023"
21-08-2023,102.00,102.35,100.30,100.90,100.90,"145,114","Aug 21, 2023"
18-08-2023,103.65,105.40,100.40,101.70,101.70,"383,552","Aug 18, 2023"
17-08-2023,100.45,104.00,100.00,103.65,103.65,"367,345","Aug 17, 2023"
16-08-2023,96.90,100.80,96.75,100.00,100.00,"298,275","Aug 16, 2023"
14-08-2023,103.10,103.10,94.25,97.85,97.85,"917,962","Aug 14, 2023"
11-08-2023,107.50,107.50,104.30,106.10,106.10,"214,515","Aug 11, 2023"
10-08-2023,106.10,107.80,105.20,107.20,107.20,"428,230","Aug 10, 2023"
09-08-2023,102.45,107.80,102.05,106.35,106.35,"754,092","Aug 09, 2023"
08-08-2023,101.25,103.80,100.30,102.20,102.20,"182,968","Aug 08, 2023"
07-08-2023,103.50,104.40,100.00,100.60,100.60,"275,227","Aug 07, 2023"
04-08-2023,103.90,105.70,103.20,103.60,103.60,"181,545","Aug 04, 2023"
03-08-2023,101.00,104.95,99.85,103.60,103.60,"566,821","Aug 03, 2023"
02-08-2023,103.90,105.45,98.70,100.60,100.60,"462,281","Aug 02, 2023"
01-08-2023,106.20,106.40,103.55,104.30,104.30,"209,737","Aug 01, 2023"
31-07-2023,104.55,108.45,104.50,105.60,105.60,"648,880","Jul 31, 2023"
28-07-2023,101.25,105.20,101.00,103.60,103.60,"519,082","Jul 28, 2023"
27-07-2023,101.40,103.50,99.75,100.45,100.45,"373,029","Jul 27, 2023"
26-07-2023,101.00,101.75,99.80,100.85,100.85,"176,030","Jul 26, 2023"
25-07-2023,101.45,102.15,100.05,100.40,100.40,"157,529","Jul 25, 2023"
24-07-2023,98.25,103.40,97.75,100.70,100.70,"708,641","Jul 24, 2023"
21-07-2023,97.90,99.50,97.10,97.70,97.70,"459,599","Jul 21, 2023"
20-07-2023,99.75,99.80,97.30,97.60,97.60,"156,633","Jul 20, 2023"
19-07-2023,97.65,100.30,97.60,99.20,99.20,"309,513","Jul 19, 2023"
18-07-2023,100.50,101.65,95.70,97.00,97.00,"334,513","Jul 18, 2023"
17-07-2023,101.10,102.90,99.45,100.15,100.15,"200,044","Jul 17, 2023"
14-07-2023,100.95,102.70,100.20,100.95,100.95,"175,497","Jul 14, 2023"
13-07-2023,103.35,106.40,100.10,100.70,100.70,"496,317","Jul 13, 2023"
12-07-2023,103.85,104.70,102.55,102.85,102.85,"197,670","Jul 12, 2023"
11-07-2023,102.40,105.90,102.05,103.25,103.25,"459,944","Jul 11, 2023"
10-07-2023,103.50,104.00,101.25,102.35,102.35,"291,338","Jul 10, 2023"
07-07-2023,102.40,104.95,100.35,102.70,102.70,"1,287,696","Jul 07, 2023"
06-07-2023,94.90,106.00,94.55,102.35,102.35,"4,133,957","Jul 06, 2023"
05-07-2023,94.45,96.00,93.45,94.35,94.35,"194,366","Jul 05, 2023"
04-07-2023,95.00,95.70,93.10,94.10,94.10,"131,641","Jul 04, 2023"
03-07-2023,92.55,95.00,92.40,94.50,94.50,"257,481","Jul 03, 2023"
30-06-2023,93.25,94.25,92.00,92.35,92.35,"146,814","Jun 30, 2023"
28-06-2023,94.25,94.25,94.25,94.25,94.25,-,"Jun 28, 2023"
27-06-2023,94.50,97.40,93.90,94.25,94.25,"235,003","Jun 27, 2023"
26-06-2023,97.95,98.00,94.10,94.40,94.40,"279,704","Jun 26, 2023"
23-06-2023,96.90,99.40,96.15,98.30,98.30,"785,115","Jun 23, 2023"
22-06-2023,93.20,98.00,92.25,96.50,96.50,"646,950","Jun 22, 2023"
21-06-2023,97.45,99.00,93.05,93.30,93.30,"539,624","Jun 21, 2023"
20-06-2023,91.90,97.95,91.00,96.70,96.70,"1,143,775","Jun 20, 2023"
19-06-2023,93.70,94.35,91.05,91.35,91.35,"193,186","Jun 19, 2023"
16-06-2023,93.95,95.00,93.05,93.45,93.45,"183,567","Jun 16, 2023"
15-06-2023,93.90,95.55,91.95,93.10,93.10,"529,866","Jun 15, 2023"
14-06-2023,88.30,95.60,88.30,93.55,93.55,"1,683,030","Jun 14, 2023"
13-06-2023,87.50,89.10,86.95,88.30,88.30,"163,499","Jun 13, 2023"
12-06-2023,87.10,88.60,86.85,87.35,87.35,"152,835","Jun 12, 2023"
09-06-2023,85.85,88.75,85.85,87.10,87.10,"159,178","Jun 09, 2023"
08-06-2023,89.10,90.40,85.40,85.85,85.85,"226,135","Jun 08, 2023"
07-06-2023,87.00,89.90,86.75,89.05,89.05,"350,811","Jun 07, 2023"
06-06-2023,87.10,87.80,85.60,86.80,86.80,"137,534","Jun 06, 2023"
05-06-2023,86.05,87.55,85.90,87.10,87.10,"175,835","Jun 05, 2023"
02-06-2023,87.75,87.75,85.20,85.85,85.85,"241,653","Jun 02, 2023"
01-06-2023,83.05,88.00,83.05,87.30,87.30,"820,428","Jun 01, 2023"
31-05-2023,83.55,84.45,82.55,83.10,83.10,"162,631","May 31, 2023"
30-05-2023,82.75,86.00,82.30,83.55,83.55,"545,353","May 30, 2023"
29-05-2023,84.00,85.50,81.75,82.25,82.25,"313,128","May 29, 2023"
26-05-2023,82.45,84.35,81.00,83.20,83.20,"188,640","May 26, 2023"
25-05-2023,81.20,82.65,81.20,82.00,82.00,"142,833","May 25, 2023"
