date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,271.00,275.05,267.60,273.85,273.85,"13,610","Aug 25, 2023"
24-08-2023,273.05,274.15,266.10,272.05,272.05,"19,760","Aug 24, 2023"
23-08-2023,279.00,280.70,269.00,270.10,270.10,"35,345","Aug 23, 2023"
22-08-2023,279.50,281.75,275.10,278.25,278.25,"23,019","Aug 22, 2023"
21-08-2023,271.95,278.65,257.00,275.50,275.50,"44,417","Aug 21, 2023"
18-08-2023,268.05,274.65,262.25,267.95,267.95,"33,314","Aug 18, 2023"
17-08-2023,270.20,273.10,261.70,267.40,267.40,"6,988","Aug 17, 2023"
16-08-2023,274.75,276.00,266.00,270.05,270.05,"22,837","Aug 16, 2023"
14-08-2023,269.85,282.30,265.35,271.30,271.30,"58,336","Aug 14, 2023"
11-08-2023,268.95,269.90,256.15,260.40,260.40,"18,329","Aug 11, 2023"
10-08-2023,260.60,267.00,257.85,264.25,264.25,"64,659","Aug 10, 2023"
09-08-2023,249.90,260.00,247.95,258.50,258.50,"70,699","Aug 09, 2023"
08-08-2023,250.00,250.00,242.25,247.95,247.95,"23,897","Aug 08, 2023"
07-08-2023,246.00,249.85,245.00,249.40,249.40,"14,892","Aug 07, 2023"
04-08-2023,254.90,255.00,246.05,247.70,247.70,"18,514","Aug 04, 2023"
03-08-2023,249.25,254.85,245.00,247.85,247.85,"9,464","Aug 03, 2023"
02-08-2023,255.00,255.90,243.30,248.10,248.10,"14,191","Aug 02, 2023"
01-08-2023,253.45,257.00,251.35,255.00,255.00,"5,253","Aug 01, 2023"
31-07-2023,258.00,260.00,249.55,250.70,250.70,"26,508","Jul 31, 2023"
28-07-2023,254.15,256.25,245.00,250.00,250.00,"24,294","Jul 28, 2023"
27-07-2023,258.90,260.20,251.00,251.75,251.75,"13,437","Jul 27, 2023"
26-07-2023,261.30,264.70,251.00,256.40,256.40,"24,261","Jul 26, 2023"
25-07-2023,250.95,263.95,247.70,258.00,258.00,"15,316","Jul 25, 2023"
24-07-2023,259.85,261.50,247.70,249.40,249.40,"12,747","Jul 24, 2023"
21-07-2023,265.50,265.50,255.00,255.95,255.95,"14,435","Jul 21, 2023"
20-07-2023,265.95,266.00,259.30,261.30,261.30,"7,491","Jul 20, 2023"
19-07-2023,265.65,265.65,256.00,259.30,259.30,"7,994","Jul 19, 2023"
18-07-2023,266.25,268.40,256.70,259.95,259.95,"11,278","Jul 18, 2023"
17-07-2023,276.10,276.10,252.55,264.60,264.60,"17,113","Jul 17, 2023"
14-07-2023,269.70,269.70,263.60,265.20,265.20,"4,659","Jul 14, 2023"
13-07-2023,274.90,274.90,257.00,265.30,265.30,"17,628","Jul 13, 2023"
12-07-2023,274.40,274.95,267.90,272.75,272.75,"8,905","Jul 12, 2023"
11-07-2023,278.00,278.00,268.60,273.95,273.95,"3,583","Jul 11, 2023"
10-07-2023,279.40,281.70,262.60,267.60,267.60,"29,084","Jul 10, 2023"
07-07-2023,285.90,285.90,273.00,276.90,276.90,"7,950","Jul 07, 2023"
