date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,227.00","1,262.00","1,223.10","1,242.85","1,242.85","382,414","Aug 25, 2023"
24-08-2023,"1,220.05","1,239.85","1,203.55","1,223.55","1,223.55","293,523","Aug 24, 2023"
23-08-2023,"1,245.00","1,275.00","1,214.45","1,220.05","1,220.05","363,287","Aug 23, 2023"
22-08-2023,"1,265.00","1,280.10","1,247.00","1,255.35","1,255.35","220,348","Aug 22, 2023"
21-08-2023,"1,284.00","1,318.95","1,248.65","1,259.90","1,259.90","134,878","Aug 21, 2023"
18-08-2023,"1,280.00","1,304.40","1,256.05","1,280.50","1,280.50","175,491","Aug 18, 2023"
17-08-2023,"1,301.95","1,307.65","1,243.75","1,287.75","1,287.75","325,444","Aug 17, 2023"
16-08-2023,"1,333.00","1,336.45","1,285.95","1,297.40","1,297.40","389,421","Aug 16, 2023"
14-08-2023,"1,310.00","1,357.50","1,294.00","1,336.45","1,336.45","208,433","Aug 14, 2023"
11-08-2023,"1,359.65","1,366.75","1,336.00","1,339.25","1,339.25","98,508","Aug 11, 2023"
10-08-2023,"1,371.00","1,394.75","1,347.30","1,354.35","1,354.35","150,434","Aug 10, 2023"
09-08-2023,"1,384.75","1,393.70","1,350.20","1,364.75","1,364.75","143,983","Aug 09, 2023"
08-08-2023,"1,346.10","1,400.00","1,346.10","1,394.20","1,394.20","259,564","Aug 08, 2023"
07-08-2023,"1,378.85","1,403.95","1,325.95","1,339.40","1,339.40","337,560","Aug 07, 2023"
04-08-2023,"1,473.00","1,473.00","1,366.00","1,384.40","1,384.40","510,051","Aug 04, 2023"
03-08-2023,"1,403.00","1,450.50","1,401.05","1,447.40","1,447.40","211,933","Aug 03, 2023"
02-08-2023,"1,469.90","1,469.90","1,412.20","1,438.10","1,438.10","1,040,799","Aug 02, 2023"
01-08-2023,"1,451.95","1,478.00","1,429.00","1,447.85","1,447.85","439,169","Aug 01, 2023"
31-07-2023,"1,394.00","1,470.00","1,389.50","1,450.80","1,450.80","488,770","Jul 31, 2023"
28-07-2023,"1,382.00","1,394.75","1,378.85","1,389.50","1,389.50","91,968","Jul 28, 2023"
27-07-2023,"1,361.85","1,389.80","1,361.85","1,381.45","1,381.45","101,289","Jul 27, 2023"
26-07-2023,"1,390.00","1,403.95","1,356.80","1,361.80","1,361.80","216,144","Jul 26, 2023"
25-07-2023,"1,404.00","1,414.60","1,370.00","1,387.00","1,387.00","177,470","Jul 25, 2023"
24-07-2023,"1,410.00","1,418.95","1,393.35","1,403.75","1,403.75","241,180","Jul 24, 2023"
21-07-2023,"1,336.30","1,409.00","1,326.00","1,400.30","1,400.30","593,974","Jul 21, 2023"
20-07-2023,"1,384.00","1,390.00","1,330.05","1,336.35","1,336.35","272,641","Jul 20, 2023"
19-07-2023,"1,390.90","1,395.85","1,373.00","1,376.60","1,376.60","177,805","Jul 19, 2023"
18-07-2023,"1,378.85","1,407.00","1,361.00","1,390.90","1,390.90","304,372","Jul 18, 2023"
17-07-2023,"1,386.00","1,399.00","1,372.90","1,377.70","1,377.70","155,029","Jul 17, 2023"
14-07-2023,"1,365.15","1,391.85","1,359.45","1,381.20","1,381.20","384,765","Jul 14, 2023"
13-07-2023,"1,418.95","1,418.95","1,346.00","1,354.00","1,354.00","436,431","Jul 13, 2023"
12-07-2023,"1,342.00","1,400.00","1,338.90","1,393.40","1,393.40","467,226","Jul 12, 2023"
11-07-2023,"1,355.00","1,366.65","1,310.00","1,332.80","1,332.80","406,029","Jul 11, 2023"
10-07-2023,"1,335.05","1,360.00","1,335.05","1,347.90","1,347.90","126,514","Jul 10, 2023"
07-07-2023,"1,373.80","1,376.65","1,342.10","1,355.15","1,355.15","310,049","Jul 07, 2023"
06-07-2023,"1,362.00","1,448.85","1,356.30","1,380.35","1,380.35","957,995","Jul 06, 2023"
05-07-2023,"1,322.75","1,378.00","1,312.35","1,358.55","1,358.55","571,993","Jul 05, 2023"
04-07-2023,"1,288.05","1,395.00","1,261.00","1,329.70","1,329.70","2,054,017","Jul 04, 2023"
03-07-2023,"1,215.00","1,288.90","1,210.60","1,278.10","1,278.10","611,955","Jul 03, 2023"
30-06-2023,"1,213.00","1,230.20","1,196.00","1,208.60","1,208.60","146,610","Jun 30, 2023"
28-06-2023,"1,225.30","1,225.30","1,225.30","1,225.30","1,225.30",-,"Jun 28, 2023"
27-06-2023,"1,202.85","1,231.45","1,199.55","1,225.30","1,225.30","299,271","Jun 27, 2023"
26-06-2023,"1,191.00","1,211.00","1,178.10","1,202.85","1,202.85","99,902","Jun 26, 2023"
23-06-2023,"1,220.00","1,226.00","1,193.10","1,195.80","1,195.80","187,674","Jun 23, 2023"
22-06-2023,"1,235.00","1,236.00","1,210.00","1,217.60","1,217.60","189,613","Jun 22, 2023"
21-06-2023,"1,210.95","1,238.55","1,187.55","1,226.10","1,226.10","530,867","Jun 21, 2023"
20-06-2023,"1,193.00","1,240.00","1,193.00","1,211.70","1,211.70","351,673","Jun 20, 2023"
19-06-2023,"1,194.00","1,203.10","1,187.25","1,197.40","1,197.40","90,105","Jun 19, 2023"
16-06-2023,"1,187.95","1,205.00","1,181.10","1,199.70","1,199.70","136,877","Jun 16, 2023"
15-06-2023,"1,191.00","1,195.55","1,181.00","1,186.85","1,186.85","87,820","Jun 15, 2023"
14-06-2023,"1,213.40","1,215.45","1,180.10","1,186.00","1,186.00","126,649","Jun 14, 2023"
13-06-2023,"1,198.80","1,210.00","1,194.10","1,203.45","1,203.45","293,140","Jun 13, 2023"
12-06-2023,"1,185.00","1,197.20","1,170.25","1,191.40","1,191.40","142,442","Jun 12, 2023"
09-06-2023,"1,215.00","1,219.90","1,187.40","1,191.20","1,191.20","57,617","Jun 09, 2023"
08-06-2023,"1,194.95","1,225.00","1,194.95","1,207.30","1,207.30","304,112","Jun 08, 2023"
07-06-2023,"1,210.00","1,225.00","1,189.05","1,194.55","1,194.55","246,297","Jun 07, 2023"
06-06-2023,"1,218.00","1,218.00","1,193.80","1,206.80","1,206.80","135,750","Jun 06, 2023"
05-06-2023,"1,203.80","1,216.80","1,190.00","1,211.15","1,211.15","156,579","Jun 05, 2023"
02-06-2023,"1,178.95","1,200.00","1,174.20","1,197.60","1,197.60","135,864","Jun 02, 2023"
01-06-2023,"1,166.25","1,186.45","1,165.00","1,173.10","1,173.10","99,534","Jun 01, 2023"
31-05-2023,"1,174.00","1,192.00","1,160.00","1,168.60","1,168.60","207,476","May 31, 2023"
30-05-2023,"1,155.60","1,178.00","1,142.25","1,171.90","1,171.90","151,276","May 30, 2023"
29-05-2023,"1,161.40","1,174.50","1,143.80","1,159.45","1,159.45","108,246","May 29, 2023"
26-05-2023,"1,102.25","1,174.85","1,096.40","1,161.45","1,161.45","280,645","May 26, 2023"
25-05-2023,"1,144.50","1,149.35","1,130.10","1,139.25","1,139.25","66,640","May 25, 2023"
24-05-2023,"1,159.00","1,163.95","1,136.00","1,138.40","1,138.40","57,080","May 24, 2023"
23-05-2023,"1,170.00","1,178.65","1,150.20","1,157.95","1,157.95","58,157","May 23, 2023"
22-05-2023,"1,161.00","1,174.00","1,147.70","1,167.00","1,167.00","169,033","May 22, 2023"
19-05-2023,"1,121.95","1,162.00","1,121.95","1,155.90","1,155.90","378,488","May 19, 2023"
18-05-2023,"1,130.00","1,130.00","1,118.50","1,120.75","1,120.75","151,218","May 18, 2023"
17-05-2023,"1,107.00","1,129.30","1,102.35","1,122.70","1,122.70","141,917","May 17, 2023"
16-05-2023,"1,105.00","1,114.90","1,096.05","1,105.15","1,105.15","66,187","May 16, 2023"
15-05-2023,"1,109.45","1,117.50","1,097.55","1,106.30","1,106.30","63,844","May 15, 2023"
12-05-2023,"1,116.10","1,116.10","1,100.00","1,109.45","1,109.45","76,138","May 12, 2023"
11-05-2023,"1,122.00","1,129.90","1,105.50","1,109.60","1,109.60","50,410","May 11, 2023"
10-05-2023,"1,120.10","1,132.00","1,115.00","1,121.00","1,121.00","54,441","May 10, 2023"
09-05-2023,"1,113.00","1,129.70","1,107.00","1,124.10","1,124.10","123,545","May 09, 2023"
08-05-2023,"1,123.00","1,134.05","1,105.00","1,110.05","1,110.05","157,804","May 08, 2023"
05-05-2023,"1,090.35","1,131.90","1,090.35","1,119.50","1,119.50","328,946","May 05, 2023"
04-05-2023,"1,103.00","1,115.00","1,083.00","1,089.40","1,089.40","138,664","May 04, 2023"
03-05-2023,"1,098.00","1,115.95","1,095.10","1,101.15","1,101.15","172,136","May 03, 2023"
