date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,48.30,49.10,47.70,48.20,48.20,"7,461","Aug 25, 2023"
24-08-2023,48.85,49.35,47.65,48.30,48.30,"10,068","Aug 24, 2023"
23-08-2023,47.15,47.95,46.10,47.30,47.30,"10,715","Aug 23, 2023"
22-08-2023,47.50,47.65,46.10,46.60,46.60,"16,383","Aug 22, 2023"
21-08-2023,48.00,48.00,45.60,46.80,46.80,"24,158","Aug 21, 2023"
18-08-2023,48.20,50.20,46.55,48.00,48.00,"29,325","Aug 18, 2023"
17-08-2023,45.80,47.85,44.85,47.85,47.85,"61,952","Aug 17, 2023"
16-08-2023,45.65,46.65,44.50,45.60,45.60,"7,145","Aug 16, 2023"
14-08-2023,44.50,46.00,43.90,45.65,45.65,"8,026","Aug 14, 2023"
11-08-2023,44.95,44.95,43.80,43.90,43.90,"4,772","Aug 11, 2023"
10-08-2023,44.80,45.15,44.00,44.90,44.90,"1,879","Aug 10, 2023"
09-08-2023,45.40,45.40,43.55,44.75,44.75,"2,678","Aug 09, 2023"
08-08-2023,44.80,45.40,42.70,44.35,44.35,"2,799","Aug 08, 2023"
07-08-2023,45.30,45.50,43.55,44.55,44.55,"2,625","Aug 07, 2023"
04-08-2023,44.10,44.95,44.05,44.60,44.60,755,"Aug 04, 2023"
03-08-2023,44.10,45.20,43.15,43.95,43.95,831,"Aug 03, 2023"
02-08-2023,46.65,46.65,44.00,44.10,44.10,"1,712","Aug 02, 2023"
01-08-2023,45.75,45.75,44.00,44.80,44.80,458,"Aug 01, 2023"
31-07-2023,46.50,46.50,44.05,44.15,44.15,"3,242","Jul 31, 2023"
28-07-2023,43.65,45.25,43.65,44.80,44.80,"1,909","Jul 28, 2023"
27-07-2023,44.40,44.40,42.90,43.65,43.65,"2,765","Jul 27, 2023"
26-07-2023,44.90,44.90,42.65,44.10,44.10,"3,395","Jul 26, 2023"
