date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,860.00,862.95,850.10,854.85,854.85,"199,823","Aug 25, 2023"
24-08-2023,851.45,866.90,851.45,859.05,859.05,"389,328","Aug 24, 2023"
23-08-2023,860.00,862.40,843.80,849.95,849.95,"293,364","Aug 23, 2023"
22-08-2023,865.00,871.20,850.00,858.35,858.35,"386,486","Aug 22, 2023"
21-08-2023,852.10,862.00,845.45,856.65,856.65,"171,713","Aug 21, 2023"
18-08-2023,841.20,858.00,831.75,852.10,852.10,"507,414","Aug 18, 2023"
17-08-2023,842.00,846.15,834.85,841.25,841.25,"291,836","Aug 17, 2023"
16-08-2023,840.30,847.45,831.60,842.75,842.75,"267,991","Aug 16, 2023"
14-08-2023,854.80,857.40,836.30,840.50,840.50,"171,652","Aug 14, 2023"
11-08-2023,856.00,860.70,846.60,854.80,854.80,"306,684","Aug 11, 2023"
10-08-2023,865.00,873.40,853.10,856.00,856.00,"394,889","Aug 10, 2023"
09-08-2023,849.95,867.70,839.80,864.40,864.40,"311,739","Aug 09, 2023"
08-08-2023,850.00,866.90,827.70,847.85,847.85,"1,979,102","Aug 08, 2023"
07-08-2023,876.60,881.80,841.00,874.15,874.15,"2,159,122","Aug 07, 2023"
04-08-2023,870.00,882.00,855.30,876.60,876.60,"692,816","Aug 04, 2023"
03-08-2023,877.00,884.55,865.00,871.10,871.10,"272,167","Aug 03, 2023"
03-08-2023,2 Dividend,,,,,,"Aug 03, 2023"
02-08-2023,883.20,897.60,872.90,883.55,881.55,"847,623","Aug 02, 2023"
02-08-2023,2 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,887.70,894.90,879.55,883.20,879.21,"358,600","Aug 01, 2023"
31-07-2023,880.55,913.75,880.55,886.20,882.19,"145,284","Jul 31, 2023"
28-07-2023,880.10,886.25,871.10,880.55,876.57,"349,181","Jul 28, 2023"
27-07-2023,896.20,897.50,874.10,879.75,875.77,"217,944","Jul 27, 2023"
26-07-2023,900.00,902.30,886.30,891.55,887.52,"83,521","Jul 26, 2023"
25-07-2023,886.70,900.10,883.55,897.60,893.54,"330,236","Jul 25, 2023"
24-07-2023,890.00,915.00,879.50,882.10,878.11,"156,072","Jul 24, 2023"
21-07-2023,908.45,908.90,873.00,887.35,883.34,"843,389","Jul 21, 2023"
20-07-2023,921.10,925.00,905.15,909.35,905.24,"431,743","Jul 20, 2023"
19-07-2023,921.55,927.55,917.20,922.75,918.58,"280,757","Jul 19, 2023"
18-07-2023,925.00,929.95,915.45,920.30,916.14,"326,604","Jul 18, 2023"
17-07-2023,926.15,933.10,913.00,921.05,916.88,"463,860","Jul 17, 2023"
14-07-2023,936.20,941.85,920.20,926.15,921.96,"373,226","Jul 14, 2023"
13-07-2023,930.20,945.00,924.50,928.80,924.60,"799,131","Jul 13, 2023"
12-07-2023,934.70,939.40,920.55,925.35,921.16,"442,706","Jul 12, 2023"
11-07-2023,925.05,937.95,923.60,934.45,930.22,"235,443","Jul 11, 2023"
10-07-2023,934.00,938.75,917.95,921.20,917.03,"309,824","Jul 10, 2023"
07-07-2023,935.05,937.65,924.25,926.45,922.26,"501,029","Jul 07, 2023"
06-07-2023,940.95,953.00,933.90,935.05,930.82,"381,284","Jul 06, 2023"
05-07-2023,937.00,945.00,929.95,940.85,936.59,"218,648","Jul 05, 2023"
04-07-2023,940.00,947.00,934.95,936.05,931.82,"446,403","Jul 04, 2023"
03-07-2023,930.00,942.90,927.00,940.50,936.25,"268,182","Jul 03, 2023"
30-06-2023,938.00,939.90,920.85,924.25,920.07,"416,769","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,934.90,948.45,924.50,929.45,925.25,"679,072","Jun 27, 2023"
26-06-2023,921.80,938.00,908.30,934.25,930.02,"324,920","Jun 26, 2023"
23-06-2023,929.00,937.65,917.60,930.20,925.99,"380,440","Jun 23, 2023"
22-06-2023,949.00,949.00,924.15,932.80,928.58,"482,154","Jun 22, 2023"
21-06-2023,928.90,951.50,927.45,949.35,945.06,"635,614","Jun 21, 2023"
20-06-2023,934.95,939.60,925.00,927.50,923.30,"362,938","Jun 20, 2023"
19-06-2023,939.05,949.95,931.80,934.80,930.57,"338,919","Jun 19, 2023"
16-06-2023,942.00,950.40,939.50,943.85,939.58,"184,309","Jun 16, 2023"
15-06-2023,940.25,951.70,932.80,939.55,935.30,"490,555","Jun 15, 2023"
14-06-2023,934.50,944.05,931.85,939.25,935.00,"233,242","Jun 14, 2023"
13-06-2023,938.95,946.00,931.25,933.85,929.63,"393,076","Jun 13, 2023"
12-06-2023,936.00,939.50,928.80,937.75,933.51,"220,816","Jun 12, 2023"
09-06-2023,920.00,937.30,910.05,932.55,928.33,"685,237","Jun 09, 2023"
08-06-2023,919.75,922.75,896.70,916.55,912.40,"408,187","Jun 08, 2023"
07-06-2023,925.00,926.05,913.40,921.20,917.03,"349,145","Jun 07, 2023"
06-06-2023,915.00,934.70,912.75,922.05,917.88,"930,863","Jun 06, 2023"
05-06-2023,915.55,921.95,907.15,911.75,907.63,"150,261","Jun 05, 2023"
02-06-2023,910.40,919.00,905.05,914.95,910.81,"422,482","Jun 02, 2023"
01-06-2023,904.45,916.40,901.10,908.30,904.19,"290,889","Jun 01, 2023"
31-05-2023,921.50,925.50,898.75,904.10,900.01,"704,655","May 31, 2023"
30-05-2023,888.15,922.80,885.00,919.30,915.14,"1,164,477","May 30, 2023"
29-05-2023,880.00,889.00,872.20,886.90,882.89,"228,720","May 29, 2023"
26-05-2023,882.60,885.10,869.30,875.40,871.44,"232,319","May 26, 2023"
25-05-2023,877.05,888.00,874.15,882.55,878.56,"633,274","May 25, 2023"
24-05-2023,880.00,893.60,877.20,883.05,879.06,"487,934","May 24, 2023"
23-05-2023,877.00,891.10,871.90,884.40,880.40,"805,192","May 23, 2023"
22-05-2023,842.00,884.65,836.30,879.90,875.92,"1,684,588","May 22, 2023"
19-05-2023,798.90,850.00,798.00,843.90,840.08,"6,819,595","May 19, 2023"
18-05-2023,798.00,799.25,763.30,781.60,778.06,"936,356","May 18, 2023"
17-05-2023,771.05,792.70,771.05,789.00,785.43,"535,744","May 17, 2023"
16-05-2023,770.00,776.70,758.60,771.05,767.56,"256,577","May 16, 2023"
15-05-2023,765.70,775.35,764.25,770.25,766.77,"223,516","May 15, 2023"
12-05-2023,780.00,782.30,765.95,768.80,765.32,"263,637","May 12, 2023"
11-05-2023,769.95,779.95,767.55,776.50,772.99,"182,923","May 11, 2023"
10-05-2023,773.80,781.35,765.00,767.00,763.53,"160,702","May 10, 2023"
09-05-2023,773.75,782.60,768.75,770.80,767.31,"263,548","May 09, 2023"
08-05-2023,764.00,779.95,760.15,773.75,770.25,"398,542","May 08, 2023"
05-05-2023,754.90,763.95,749.55,761.25,757.81,"250,588","May 05, 2023"
04-05-2023,750.00,756.50,744.70,754.35,750.94,"140,033","May 04, 2023"
