date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,285.40,289.55,276.80,284.70,284.70,"81,298","Aug 25, 2023"
24-08-2023,296.55,296.65,284.35,286.15,286.15,"95,697","Aug 24, 2023"
23-08-2023,291.10,297.00,291.10,294.55,294.55,"185,076","Aug 23, 2023"
22-08-2023,284.10,293.10,284.10,290.50,290.50,"152,775","Aug 22, 2023"
21-08-2023,288.05,289.45,282.00,285.85,285.85,"79,430","Aug 21, 2023"
18-08-2023,280.25,294.70,280.25,288.05,288.05,"194,749","Aug 18, 2023"
17-08-2023,278.15,284.35,275.05,282.75,282.75,"118,985","Aug 17, 2023"
16-08-2023,265.70,280.00,265.10,277.65,277.65,"241,877","Aug 16, 2023"
14-08-2023,273.85,279.05,264.30,265.70,265.70,"322,292","Aug 14, 2023"
11-08-2023,285.80,286.20,272.60,274.95,274.95,"275,454","Aug 11, 2023"
10-08-2023,292.00,293.80,283.25,284.30,284.30,"125,206","Aug 10, 2023"
09-08-2023,279.15,296.60,276.50,290.80,290.80,"418,697","Aug 09, 2023"
08-08-2023,282.50,289.00,274.00,279.15,279.15,"416,418","Aug 08, 2023"
07-08-2023,300.00,307.95,292.05,294.00,294.00,"312,284","Aug 07, 2023"
04-08-2023,294.50,305.70,289.05,298.15,298.15,"529,923","Aug 04, 2023"
03-08-2023,281.00,305.00,280.80,294.50,294.50,"1,219,080","Aug 03, 2023"
02-08-2023,276.00,285.95,272.05,280.10,280.10,"286,517","Aug 02, 2023"
01-08-2023,274.00,277.25,273.10,275.35,275.35,"125,971","Aug 01, 2023"
31-07-2023,260.90,280.00,259.65,274.65,274.65,"330,469","Jul 31, 2023"
28-07-2023,258.25,262.95,256.05,259.60,259.60,"89,345","Jul 28, 2023"
27-07-2023,255.10,260.00,254.70,257.05,257.05,"69,177","Jul 27, 2023"
26-07-2023,256.50,258.95,253.00,255.35,255.35,"94,768","Jul 26, 2023"
25-07-2023,266.20,271.90,253.05,254.60,254.60,"192,607","Jul 25, 2023"
24-07-2023,262.00,272.00,258.10,265.10,265.10,"227,563","Jul 24, 2023"
21-07-2023,264.05,265.40,259.95,261.30,261.30,"103,027","Jul 21, 2023"
20-07-2023,274.00,275.00,265.35,266.80,266.80,"130,099","Jul 20, 2023"
19-07-2023,262.90,277.45,261.10,273.75,273.75,"311,717","Jul 19, 2023"
18-07-2023,272.95,275.00,260.00,261.60,261.60,"248,044","Jul 18, 2023"
17-07-2023,259.70,284.70,259.40,272.20,272.20,"880,479","Jul 17, 2023"
14-07-2023,251.00,259.30,251.00,258.00,258.00,"141,550","Jul 14, 2023"
13-07-2023,251.00,263.00,248.00,250.05,250.05,"134,194","Jul 13, 2023"
12-07-2023,252.95,255.50,248.10,249.45,249.45,"56,656","Jul 12, 2023"
11-07-2023,255.00,257.55,250.10,251.70,251.70,"48,078","Jul 11, 2023"
10-07-2023,252.00,256.00,250.40,253.60,253.60,"61,805","Jul 10, 2023"
07-07-2023,254.00,257.95,250.20,250.85,250.85,"111,390","Jul 07, 2023"
06-07-2023,259.90,265.15,255.10,256.00,256.00,"105,647","Jul 06, 2023"
05-07-2023,264.95,266.00,257.40,258.90,258.90,"105,955","Jul 05, 2023"
04-07-2023,262.10,270.00,259.85,263.60,263.60,"214,209","Jul 04, 2023"
03-07-2023,255.15,270.00,252.55,261.70,261.70,"279,417","Jul 03, 2023"
30-06-2023,253.35,263.45,253.05,255.25,255.25,"139,881","Jun 30, 2023"
28-06-2023,256.50,256.50,256.50,256.50,256.50,-,"Jun 28, 2023"
27-06-2023,247.50,258.90,247.45,256.50,256.50,"175,635","Jun 27, 2023"
26-06-2023,245.70,251.60,245.00,246.45,246.45,"48,512","Jun 26, 2023"
23-06-2023,253.10,256.95,246.00,248.05,248.05,"117,347","Jun 23, 2023"
22-06-2023,261.70,265.85,252.00,255.05,255.05,"116,527","Jun 22, 2023"
21-06-2023,264.50,269.40,258.20,260.20,260.20,"111,500","Jun 21, 2023"
20-06-2023,255.00,266.30,255.00,263.40,263.40,"183,228","Jun 20, 2023"
19-06-2023,254.00,258.95,252.75,257.30,257.30,"129,999","Jun 19, 2023"
16-06-2023,259.00,262.05,250.40,254.25,254.25,"71,393","Jun 16, 2023"
15-06-2023,256.50,263.00,256.20,258.95,258.95,"160,049","Jun 15, 2023"
14-06-2023,262.00,262.90,253.75,256.00,256.00,"160,659","Jun 14, 2023"
13-06-2023,265.00,272.40,260.00,261.40,261.40,"741,149","Jun 13, 2023"
12-06-2023,238.00,268.00,234.00,261.75,261.75,"860,551","Jun 12, 2023"
09-06-2023,226.70,238.60,224.95,235.85,235.85,"186,498","Jun 09, 2023"
08-06-2023,229.30,229.40,225.80,226.60,226.60,"37,120","Jun 08, 2023"
07-06-2023,229.00,230.70,226.95,227.90,227.90,"49,428","Jun 07, 2023"
06-06-2023,226.10,231.00,224.85,228.30,228.30,"67,114","Jun 06, 2023"
05-06-2023,227.50,235.00,223.80,225.70,225.70,"225,169","Jun 05, 2023"
02-06-2023,222.00,228.00,220.70,223.00,223.00,"107,716","Jun 02, 2023"
01-06-2023,218.50,224.25,218.30,221.60,221.60,"73,097","Jun 01, 2023"
31-05-2023,220.70,221.40,216.00,217.25,217.25,"56,409","May 31, 2023"
30-05-2023,220.40,223.45,220.00,220.70,220.70,"30,705","May 30, 2023"
29-05-2023,221.55,226.75,220.95,222.40,222.40,"73,885","May 29, 2023"
26-05-2023,220.85,222.25,218.00,219.80,219.80,"83,883","May 26, 2023"
25-05-2023,226.25,227.55,218.00,219.10,219.10,"79,598","May 25, 2023"
24-05-2023,225.70,229.05,224.10,227.00,227.00,"37,827","May 24, 2023"
23-05-2023,224.65,234.00,223.15,225.65,225.65,"131,852","May 23, 2023"
22-05-2023,226.00,229.05,223.00,223.80,223.80,"90,837","May 22, 2023"
19-05-2023,219.00,231.25,219.00,229.50,229.50,"193,343","May 19, 2023"
18-05-2023,217.05,234.20,216.95,219.55,219.55,"391,830","May 18, 2023"
17-05-2023,227.00,231.60,209.30,217.45,217.45,"357,472","May 17, 2023"
16-05-2023,234.00,234.50,222.70,226.05,226.05,"88,921","May 16, 2023"
15-05-2023,234.10,243.50,229.35,231.95,231.95,"276,805","May 15, 2023"
12-05-2023,227.25,236.45,224.95,234.10,234.10,"97,449","May 12, 2023"
11-05-2023,224.00,229.95,224.00,227.25,227.25,"91,973","May 11, 2023"
10-05-2023,227.00,229.50,224.20,225.20,225.20,"44,866","May 10, 2023"
09-05-2023,226.05,232.00,224.00,225.75,225.75,"89,540","May 09, 2023"
08-05-2023,225.10,229.80,222.75,226.05,226.05,"72,429","May 08, 2023"
05-05-2023,227.00,230.80,223.05,225.55,225.55,"29,894","May 05, 2023"
04-05-2023,226.00,232.00,225.70,228.70,228.70,"55,707","May 04, 2023"
03-05-2023,228.30,234.90,225.00,226.25,226.25,"77,441","May 03, 2023"
02-05-2023,226.15,232.05,226.15,228.30,228.30,"55,149","May 02, 2023"
28-04-2023,224.35,229.95,222.00,225.50,225.50,"102,610","Apr 28, 2023"
27-04-2023,224.85,229.00,220.25,222.20,222.20,"76,233","Apr 27, 2023"
26-04-2023,217.25,231.45,217.25,222.70,222.70,"97,586","Apr 26, 2023"
25-04-2023,222.05,226.95,219.15,220.55,220.55,"63,002","Apr 25, 2023"
24-04-2023,216.85,226.00,216.35,224.25,224.25,"55,624","Apr 24, 2023"
21-04-2023,223.25,223.25,215.30,220.15,220.15,"44,035","Apr 21, 2023"
20-04-2023,215.10,226.50,215.10,221.70,221.70,"66,433","Apr 20, 2023"
19-04-2023,220.70,221.70,215.05,216.45,216.45,"47,471","Apr 19, 2023"
18-04-2023,213.25,228.00,213.00,218.15,218.15,"203,887","Apr 18, 2023"
17-04-2023,215.90,218.85,215.45,217.55,217.55,"36,051","Apr 17, 2023"
13-04-2023,224.95,224.95,216.60,219.20,219.20,"39,376","Apr 13, 2023"
12-04-2023,220.00,227.00,218.10,223.45,223.45,"80,517","Apr 12, 2023"
11-04-2023,225.05,228.15,219.20,221.40,221.40,"129,018","Apr 11, 2023"
10-04-2023,212.10,229.00,212.10,225.05,225.05,"172,471","Apr 10, 2023"
06-04-2023,203.00,216.60,201.40,214.70,214.70,"122,518","Apr 06, 2023"
05-04-2023,198.00,205.90,198.00,203.25,203.25,"71,637","Apr 05, 2023"
03-04-2023,191.00,199.90,190.80,196.90,196.90,"105,313","Apr 03, 2023"
31-03-2023,195.90,200.90,188.60,191.05,191.05,"125,633","Mar 31, 2023"
29-03-2023,196.00,202.10,190.10,193.85,193.85,"123,464","Mar 29, 2023"
28-03-2023,203.20,204.95,195.30,196.35,196.35,"52,964","Mar 28, 2023"
27-03-2023,208.80,208.80,202.00,203.25,203.25,"47,343","Mar 27, 2023"
24-03-2023,214.95,218.25,205.35,207.55,207.55,"241,179","Mar 24, 2023"
23-03-2023,209.90,211.95,208.70,210.60,210.60,"47,092","Mar 23, 2023"
22-03-2023,208.65,212.40,208.65,210.40,210.40,"48,178","Mar 22, 2023"
21-03-2023,212.20,213.65,207.60,208.10,208.10,"65,099","Mar 21, 2023"
20-03-2023,215.45,215.45,209.10,210.90,210.90,"60,136","Mar 20, 2023"
17-03-2023,216.20,220.00,213.25,215.20,215.20,"56,838","Mar 17, 2023"
16-03-2023,214.90,218.00,212.20,214.85,214.85,"54,158","Mar 16, 2023"
15-03-2023,222.85,223.75,214.00,215.90,215.90,"55,753","Mar 15, 2023"
14-03-2023,222.50,224.00,217.15,219.55,219.55,"60,188","Mar 14, 2023"
13-03-2023,233.05,233.45,220.75,222.50,222.50,"79,769","Mar 13, 2023"
10-03-2023,237.10,239.55,233.05,233.45,233.45,"51,989","Mar 10, 2023"
09-03-2023,239.40,244.95,235.50,239.40,239.40,"155,482","Mar 09, 2023"
08-03-2023,238.50,239.45,233.30,237.05,237.05,"57,456","Mar 08, 2023"
06-03-2023,241.70,244.55,238.00,238.85,238.85,"86,303","Mar 06, 2023"
03-03-2023,237.70,245.40,236.40,239.75,239.75,"282,700","Mar 03, 2023"
02-03-2023,221.30,241.90,216.85,235.90,235.90,"501,036","Mar 02, 2023"
01-03-2023,214.00,222.00,214.00,220.85,220.85,"141,137","Mar 01, 2023"
28-02-2023,213.50,217.70,212.05,213.80,213.80,"39,058","Feb 28, 2023"
27-02-2023,218.40,220.55,213.15,214.20,214.20,"35,231","Feb 27, 2023"
24-02-2023,223.05,225.50,217.30,220.60,220.60,"50,872","Feb 24, 2023"
23-02-2023,223.80,227.30,222.00,223.75,223.75,"47,238","Feb 23, 2023"
22-02-2023,224.90,227.95,221.10,223.15,223.15,"101,632","Feb 22, 2023"
21-02-2023,216.30,233.30,215.00,225.65,225.65,"226,678","Feb 21, 2023"
20-02-2023,217.50,218.05,213.40,215.25,215.25,"43,781","Feb 20, 2023"
17-02-2023,220.80,222.85,215.10,216.50,216.50,"74,946","Feb 17, 2023"
16-02-2023,214.50,224.60,214.00,217.60,217.60,"430,157","Feb 16, 2023"
15-02-2023,227.95,227.95,207.50,208.85,208.85,"318,079","Feb 15, 2023"
14-02-2023,233.10,236.25,226.00,227.25,227.25,"57,189","Feb 14, 2023"
13-02-2023,236.60,237.85,231.35,232.95,232.95,"24,135","Feb 13, 2023"
10-02-2023,238.10,243.00,235.55,236.60,236.60,"43,018","Feb 10, 2023"
09-02-2023,234.30,244.45,234.05,239.05,239.05,"82,070","Feb 09, 2023"
08-02-2023,236.00,237.05,230.00,234.05,234.05,"70,793","Feb 08, 2023"
07-02-2023,234.65,238.90,232.05,234.40,234.40,"62,557","Feb 07, 2023"
06-02-2023,237.00,241.35,232.75,234.65,234.65,"46,130","Feb 06, 2023"
03-02-2023,242.70,243.00,232.55,236.10,236.10,"59,028","Feb 03, 2023"
02-02-2023,234.30,248.80,233.85,238.60,238.60,"142,295","Feb 02, 2023"
01-02-2023,242.00,248.70,232.40,234.50,234.50,"134,378","Feb 01, 2023"
31-01-2023,236.20,241.00,235.00,239.10,239.10,"45,229","Jan 31, 2023"
30-01-2023,236.00,241.95,234.50,236.20,236.20,"32,527","Jan 30, 2023"
27-01-2023,243.00,244.05,235.05,236.40,236.40,"35,729","Jan 27, 2023"
25-01-2023,241.00,244.40,238.90,241.55,241.55,"28,145","Jan 25, 2023"
24-01-2023,240.90,246.95,240.40,242.60,242.60,"70,171","Jan 24, 2023"
23-01-2023,239.40,243.05,235.80,239.30,239.30,"44,595","Jan 23, 2023"
20-01-2023,240.75,241.85,235.75,236.45,236.45,"42,739","Jan 20, 2023"
19-01-2023,241.90,244.20,240.00,240.75,240.75,"35,968","Jan 19, 2023"
18-01-2023,243.95,245.80,241.10,243.15,243.15,"24,354","Jan 18, 2023"
17-01-2023,246.40,246.40,242.45,243.00,243.00,"36,419","Jan 17, 2023"
16-01-2023,249.35,249.55,245.30,245.70,245.70,"40,089","Jan 16, 2023"
13-01-2023,245.05,264.80,243.30,248.35,248.35,"424,900","Jan 13, 2023"
12-01-2023,244.05,247.65,242.70,245.05,245.05,"28,113","Jan 12, 2023"
11-01-2023,243.90,247.85,242.95,244.05,244.05,"22,039","Jan 11, 2023"
10-01-2023,246.80,247.95,242.25,243.75,243.75,"24,822","Jan 10, 2023"
09-01-2023,248.00,248.20,242.25,244.35,244.35,"43,748","Jan 09, 2023"
06-01-2023,246.10,248.30,241.75,243.20,243.20,"37,514","Jan 06, 2023"
05-01-2023,252.10,254.15,245.75,248.60,248.60,"44,212","Jan 05, 2023"
04-01-2023,253.60,255.00,250.00,251.85,251.85,"47,427","Jan 04, 2023"
03-01-2023,253.25,258.00,252.05,252.65,252.65,"32,043","Jan 03, 2023"
02-01-2023,255.25,258.00,250.05,254.40,254.40,"51,681","Jan 02, 2023"
30-12-2022,258.30,260.45,251.10,253.70,253.70,"43,352","Dec 30, 2022"
29-12-2022,251.10,259.55,251.10,255.85,255.85,"59,776","Dec 29, 2022"
28-12-2022,256.70,257.75,252.35,253.50,253.50,"27,317","Dec 28, 2022"
27-12-2022,254.00,257.25,252.40,255.20,255.20,"34,234","Dec 27, 2022"
26-12-2022,251.80,255.00,246.40,250.45,250.45,"44,217","Dec 26, 2022"
23-12-2022,253.00,259.40,248.00,249.05,249.05,"104,476","Dec 23, 2022"
22-12-2022,265.00,265.00,249.20,261.35,261.35,"234,660","Dec 22, 2022"
21-12-2022,271.80,272.40,260.05,261.60,261.60,"112,611","Dec 21, 2022"
20-12-2022,259.00,274.00,253.70,270.10,270.10,"368,652","Dec 20, 2022"
19-12-2022,262.60,263.75,252.05,253.55,253.55,"59,482","Dec 19, 2022"
16-12-2022,262.35,267.15,260.25,261.35,261.35,"40,577","Dec 16, 2022"
15-12-2022,273.20,278.00,264.30,266.30,266.30,"73,804","Dec 15, 2022"
14-12-2022,263.20,278.00,263.20,273.35,273.35,"125,764","Dec 14, 2022"
13-12-2022,267.55,269.50,262.05,263.20,263.20,"29,504","Dec 13, 2022"
12-12-2022,263.45,268.20,260.30,265.55,265.55,"28,924","Dec 12, 2022"
09-12-2022,266.00,270.80,261.00,262.70,262.70,"42,210","Dec 09, 2022"
08-12-2022,261.90,276.90,261.05,265.40,265.40,"91,308","Dec 08, 2022"
07-12-2022,266.55,269.00,258.00,260.85,260.85,"40,055","Dec 07, 2022"
06-12-2022,271.85,274.90,263.10,266.60,266.60,"46,127","Dec 06, 2022"
05-12-2022,273.70,275.75,267.35,271.05,271.05,"35,624","Dec 05, 2022"
02-12-2022,278.45,282.00,270.90,272.75,272.75,"112,249","Dec 02, 2022"
01-12-2022,264.00,286.90,264.00,277.20,277.20,"578,919","Dec 01, 2022"
30-11-2022,267.50,268.35,258.10,262.30,262.30,"112,358","Nov 30, 2022"
29-11-2022,276.80,279.80,262.80,266.75,266.75,"203,332","Nov 29, 2022"
28-11-2022,240.00,283.45,240.00,278.65,278.65,"1,191,357","Nov 28, 2022"
25-11-2022,237.60,243.00,237.60,239.75,239.75,"36,863","Nov 25, 2022"
24-11-2022,240.00,245.95,237.85,238.65,238.65,"55,490","Nov 24, 2022"
23-11-2022,228.85,245.00,227.40,240.00,240.00,"127,445","Nov 23, 2022"
22-11-2022,227.10,228.45,225.95,226.85,226.85,"19,969","Nov 22, 2022"
21-11-2022,228.60,231.20,225.40,227.10,227.10,"26,829","Nov 21, 2022"
18-11-2022,233.40,235.85,227.15,228.65,228.65,"42,115","Nov 18, 2022"
17-11-2022,237.20,239.45,231.70,233.40,233.40,"31,510","Nov 17, 2022"
16-11-2022,234.00,240.25,234.00,236.75,236.75,"30,321","Nov 16, 2022"
