date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,564.00,569.00,530.05,565.30,565.30,"204,799","Aug 25, 2023"
24-08-2023,544.00,564.80,535.05,559.75,559.75,"319,356","Aug 24, 2023"
23-08-2023,538.95,549.00,527.95,534.45,534.45,"193,411","Aug 23, 2023"
22-08-2023,514.80,542.00,514.80,531.35,531.35,"410,798","Aug 22, 2023"
21-08-2023,512.60,516.50,498.60,512.35,512.35,"146,792","Aug 21, 2023"
18-08-2023,500.95,513.80,495.85,501.20,501.20,"116,202","Aug 18, 2023"
17-08-2023,500.60,506.70,496.65,500.10,500.10,"94,666","Aug 17, 2023"
16-08-2023,500.05,508.40,495.90,500.60,500.60,"94,519","Aug 16, 2023"
14-08-2023,491.00,520.00,490.10,502.35,502.35,"271,215","Aug 14, 2023"
11-08-2023,520.00,524.00,490.10,492.00,492.00,"410,994","Aug 11, 2023"
10-08-2023,505.00,508.70,492.10,496.20,496.20,"142,896","Aug 10, 2023"
09-08-2023,501.00,514.00,491.80,501.20,501.20,"227,032","Aug 09, 2023"
08-08-2023,517.00,519.90,499.00,505.10,505.10,"207,937","Aug 08, 2023"
07-08-2023,499.90,520.00,487.40,515.00,515.00,"477,245","Aug 07, 2023"
04-08-2023,474.85,499.85,472.05,497.10,497.10,"509,639","Aug 04, 2023"
03-08-2023,464.50,477.40,460.60,474.85,474.85,"215,128","Aug 03, 2023"
02-08-2023,450.00,475.45,443.20,457.50,457.50,"402,889","Aug 02, 2023"
01-08-2023,440.00,446.80,433.25,440.85,440.85,"93,937","Aug 01, 2023"
31-07-2023,428.70,438.95,422.55,436.60,436.60,"138,341","Jul 31, 2023"
28-07-2023,426.35,426.35,412.30,418.85,418.85,"38,438","Jul 28, 2023"
27-07-2023,406.95,419.90,401.40,418.15,418.15,"85,037","Jul 27, 2023"
26-07-2023,409.70,411.35,400.00,404.55,404.55,"54,975","Jul 26, 2023"
25-07-2023,419.00,420.45,393.35,409.70,409.70,"85,502","Jul 25, 2023"
24-07-2023,421.95,427.80,417.70,418.70,418.70,"63,939","Jul 24, 2023"
21-07-2023,422.70,430.00,413.15,422.70,422.70,"69,324","Jul 21, 2023"
20-07-2023,433.95,434.00,421.25,423.80,423.80,"62,889","Jul 20, 2023"
19-07-2023,433.80,438.00,426.35,433.20,433.20,"122,252","Jul 19, 2023"
18-07-2023,443.20,451.05,430.10,431.35,431.35,"131,393","Jul 18, 2023"
17-07-2023,415.00,442.00,412.00,439.65,439.65,"267,553","Jul 17, 2023"
14-07-2023,400.80,417.40,398.40,409.35,409.35,"104,972","Jul 14, 2023"
13-07-2023,390.65,410.00,388.00,398.55,398.55,"171,079","Jul 13, 2023"
12-07-2023,389.10,393.50,385.00,391.25,391.25,"43,328","Jul 12, 2023"
11-07-2023,390.00,392.95,385.05,391.40,391.40,"53,660","Jul 11, 2023"
10-07-2023,389.95,390.00,382.05,387.50,387.50,"36,326","Jul 10, 2023"
07-07-2023,378.20,386.30,377.50,383.25,383.25,"36,971","Jul 07, 2023"
06-07-2023,386.90,392.50,377.90,381.00,381.00,"52,911","Jul 06, 2023"
05-07-2023,389.00,393.70,382.50,385.00,385.00,"47,175","Jul 05, 2023"
04-07-2023,391.95,391.95,378.20,387.00,387.00,"42,563","Jul 04, 2023"
03-07-2023,385.50,391.30,385.50,388.90,388.90,"51,385","Jul 03, 2023"
30-06-2023,382.30,387.00,376.85,385.60,385.60,"88,836","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,357.85,382.70,357.10,371.70,371.70,"102,046","Jun 27, 2023"
26-06-2023,348.90,360.05,347.05,356.60,356.60,"39,956","Jun 26, 2023"
23-06-2023,357.50,359.00,349.00,349.50,349.50,"60,452","Jun 23, 2023"
22-06-2023,365.85,366.95,355.00,359.40,359.40,"61,817","Jun 22, 2023"
21-06-2023,367.85,368.70,362.05,364.25,364.25,"36,384","Jun 21, 2023"
20-06-2023,365.45,369.90,361.10,365.15,365.15,"55,009","Jun 20, 2023"
19-06-2023,364.95,368.95,358.20,364.65,364.65,"53,624","Jun 19, 2023"
16-06-2023,368.50,370.00,361.35,363.50,363.50,"51,676","Jun 16, 2023"
15-06-2023,368.50,371.60,362.35,364.35,364.35,"64,867","Jun 15, 2023"
14-06-2023,361.50,369.90,361.50,367.45,367.45,"86,077","Jun 14, 2023"
13-06-2023,366.00,371.05,358.00,361.10,361.10,"101,626","Jun 13, 2023"
12-06-2023,372.45,373.45,365.00,366.50,366.50,"41,676","Jun 12, 2023"
09-06-2023,368.80,379.45,367.00,369.25,369.25,"87,868","Jun 09, 2023"
08-06-2023,382.00,382.30,358.70,366.05,366.05,"133,842","Jun 08, 2023"
07-06-2023,387.95,390.25,378.35,380.40,380.40,"70,527","Jun 07, 2023"
06-06-2023,384.00,389.90,383.00,386.30,386.30,"52,913","Jun 06, 2023"
05-06-2023,393.00,394.10,384.00,385.40,385.40,"76,227","Jun 05, 2023"
02-06-2023,391.70,396.00,385.00,387.00,387.00,"76,308","Jun 02, 2023"
01-06-2023,387.00,394.40,385.00,388.90,388.90,"47,630","Jun 01, 2023"
31-05-2023,400.00,402.00,383.20,386.10,386.10,"149,200","May 31, 2023"
