date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,25.55,25.80,24.70,24.95,24.95,"1,769,600","Aug 25, 2023"
24-08-2023,24.95,26.30,24.80,25.55,25.55,"5,126,878","Aug 24, 2023"
23-08-2023,25.35,25.70,24.85,24.95,24.95,"1,244,610","Aug 23, 2023"
22-08-2023,25.10,26.25,25.00,25.30,25.30,"3,989,374","Aug 22, 2023"
21-08-2023,24.30,25.10,23.90,24.80,24.80,"2,437,468","Aug 21, 2023"
18-08-2023,25.20,25.30,24.10,24.25,24.25,"1,771,687","Aug 18, 2023"
17-08-2023,24.65,25.30,24.60,24.95,24.95,"3,429,016","Aug 17, 2023"
16-08-2023,23.80,24.70,23.70,24.30,24.30,"1,862,483","Aug 16, 2023"
14-08-2023,24.00,24.15,23.45,23.80,23.80,"1,007,909","Aug 14, 2023"
11-08-2023,24.55,24.70,23.90,24.00,24.00,"1,273,894","Aug 11, 2023"
10-08-2023,24.00,25.25,24.00,24.40,24.40,"2,801,148","Aug 10, 2023"
09-08-2023,23.95,24.55,23.95,24.25,24.25,"1,416,898","Aug 09, 2023"
08-08-2023,24.10,24.35,23.75,23.85,23.85,"1,227,776","Aug 08, 2023"
07-08-2023,23.70,24.35,23.70,24.00,24.00,"1,412,907","Aug 07, 2023"
04-08-2023,23.45,23.90,23.40,23.50,23.50,"1,093,023","Aug 04, 2023"
03-08-2023,23.40,23.75,23.10,23.45,23.45,"916,743","Aug 03, 2023"
02-08-2023,23.50,23.75,23.00,23.40,23.40,"897,468","Aug 02, 2023"
01-08-2023,23.50,23.75,23.35,23.50,23.50,"560,089","Aug 01, 2023"
31-07-2023,23.35,23.85,23.25,23.35,23.35,"929,969","Jul 31, 2023"
28-07-2023,23.60,23.70,23.20,23.35,23.35,"570,729","Jul 28, 2023"
27-07-2023,23.80,23.80,23.50,23.55,23.55,"457,156","Jul 27, 2023"
26-07-2023,23.80,23.80,23.35,23.65,23.65,"699,072","Jul 26, 2023"
25-07-2023,24.10,24.25,23.35,23.60,23.60,"1,673,788","Jul 25, 2023"
24-07-2023,24.15,24.90,23.85,24.00,24.00,"3,442,514","Jul 24, 2023"
21-07-2023,24.00,24.60,23.70,23.85,23.85,"3,909,136","Jul 21, 2023"
20-07-2023,23.40,24.90,23.40,24.20,24.20,"4,948,047","Jul 20, 2023"
19-07-2023,23.45,23.65,23.15,23.25,23.25,"532,306","Jul 19, 2023"
18-07-2023,23.80,23.80,23.10,23.30,23.30,"658,524","Jul 18, 2023"
17-07-2023,23.50,24.10,23.50,23.65,23.65,"1,009,013","Jul 17, 2023"
14-07-2023,23.65,23.80,23.30,23.45,23.45,"820,385","Jul 14, 2023"
13-07-2023,23.85,24.05,23.20,23.35,23.35,"429,212","Jul 13, 2023"
12-07-2023,23.90,24.35,23.65,23.70,23.70,"752,433","Jul 12, 2023"
11-07-2023,23.70,23.90,23.55,23.75,23.75,"389,251","Jul 11, 2023"
10-07-2023,23.85,24.05,23.60,23.70,23.70,"440,311","Jul 10, 2023"
07-07-2023,24.00,24.85,23.85,24.10,24.10,"1,159,684","Jul 07, 2023"
06-07-2023,23.95,24.40,23.70,23.90,23.90,"748,899","Jul 06, 2023"
05-07-2023,23.65,24.10,23.60,23.80,23.80,"804,681","Jul 05, 2023"
04-07-2023,23.65,24.15,23.50,23.65,23.65,"609,024","Jul 04, 2023"
03-07-2023,24.10,24.25,23.60,23.70,23.70,"634,607","Jul 03, 2023"
30-06-2023,23.50,24.50,23.40,23.90,23.90,"1,264,605","Jun 30, 2023"
28-06-2023,23.60,23.60,23.60,23.60,23.60,-,"Jun 28, 2023"
27-06-2023,23.75,23.90,23.55,23.60,23.60,"436,601","Jun 27, 2023"
26-06-2023,24.20,24.20,23.55,23.65,23.65,"630,845","Jun 26, 2023"
23-06-2023,24.75,25.15,24.00,24.05,24.05,"1,367,809","Jun 23, 2023"
22-06-2023,24.25,25.50,24.25,24.75,24.75,"4,689,502","Jun 22, 2023"
21-06-2023,24.50,24.70,24.10,24.25,24.25,"691,947","Jun 21, 2023"
20-06-2023,23.85,24.90,23.50,24.40,24.40,"1,242,696","Jun 20, 2023"
19-06-2023,24.40,24.60,23.90,23.95,23.95,"471,245","Jun 19, 2023"
16-06-2023,23.90,24.80,23.85,24.15,24.15,"1,016,583","Jun 16, 2023"
15-06-2023,24.00,24.20,23.65,23.75,23.75,"564,264","Jun 15, 2023"
14-06-2023,24.20,24.55,23.70,23.80,23.80,"588,234","Jun 14, 2023"
13-06-2023,24.80,24.85,24.00,24.25,24.25,"767,095","Jun 13, 2023"
12-06-2023,24.90,25.10,24.45,24.65,24.65,"1,147,323","Jun 12, 2023"
09-06-2023,24.00,25.20,24.00,24.70,24.70,"3,977,868","Jun 09, 2023"
