date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,961.05","1,984.00","1,933.00","1,951.95","1,951.95","68,069","Aug 25, 2023"
24-08-2023,"1,996.00","1,998.95","1,951.20","1,964.25","1,964.25","54,601","Aug 24, 2023"
23-08-2023,"1,969.00","2,021.60","1,969.00","1,980.35","1,980.35","132,468","Aug 23, 2023"
22-08-2023,"1,955.05","1,973.35","1,948.20","1,965.10","1,965.10","92,629","Aug 22, 2023"
21-08-2023,"1,950.05","1,974.90","1,947.00","1,952.10","1,952.10","67,767","Aug 21, 2023"
18-08-2023,"1,930.00","1,974.55","1,925.00","1,947.60","1,947.60","145,122","Aug 18, 2023"
17-08-2023,"1,942.00","1,968.00","1,922.20","1,939.10","1,939.10","109,378","Aug 17, 2023"
16-08-2023,"1,935.00","1,981.00","1,911.95","1,941.85","1,941.85","231,207","Aug 16, 2023"
14-08-2023,"1,993.60","1,994.00","1,883.05","1,933.40","1,933.40","181,154","Aug 14, 2023"
11-08-2023,"1,972.60","2,022.00","1,942.45","1,973.85","1,973.85","788,442","Aug 11, 2023"
10-08-2023,"1,968.25","1,984.00","1,950.00","1,972.55","1,972.55","122,187","Aug 10, 2023"
09-08-2023,"1,974.00","1,984.00","1,948.05","1,963.80","1,963.80","124,083","Aug 09, 2023"
08-08-2023,"1,955.00","1,972.80","1,936.20","1,961.50","1,961.50","182,862","Aug 08, 2023"
07-08-2023,"1,908.00","1,972.80","1,895.05","1,948.65","1,948.65","336,480","Aug 07, 2023"
04-08-2023,"1,896.65","1,920.00","1,889.45","1,907.40","1,907.40","119,470","Aug 04, 2023"
03-08-2023,"1,857.60","1,906.50","1,848.40","1,888.70","1,888.70","134,872","Aug 03, 2023"
02-08-2023,"1,884.60","1,899.65","1,825.10","1,857.60","1,857.60","148,895","Aug 02, 2023"
01-08-2023,"1,904.65","1,925.00","1,877.50","1,884.60","1,884.60","108,000","Aug 01, 2023"
31-07-2023,"1,900.45","1,944.00","1,880.05","1,894.25","1,894.25","198,594","Jul 31, 2023"
28-07-2023,"1,900.00","1,907.90","1,875.00","1,900.45","1,900.45","385,903","Jul 28, 2023"
27-07-2023,"1,803.05","1,952.00","1,803.05","1,917.75","1,917.75","1,055,547","Jul 27, 2023"
26-07-2023,"1,768.90","1,817.95","1,768.00","1,802.50","1,802.50","106,559","Jul 26, 2023"
25-07-2023,"1,789.90","1,799.45","1,722.80","1,760.05","1,760.05","151,938","Jul 25, 2023"
24-07-2023,"1,800.00","1,822.70","1,770.00","1,783.55","1,783.55","95,923","Jul 24, 2023"
21-07-2023,"1,818.90","1,823.95","1,795.00","1,800.70","1,800.70","81,155","Jul 21, 2023"
20-07-2023,"1,841.00","1,845.00","1,821.00","1,824.55","1,824.55","56,926","Jul 20, 2023"
19-07-2023,"1,850.05","1,859.95","1,826.55","1,837.45","1,837.45","96,134","Jul 19, 2023"
18-07-2023,"1,866.00","1,876.60","1,803.20","1,839.55","1,839.55","216,597","Jul 18, 2023"
17-07-2023,"1,830.00","1,872.70","1,829.00","1,863.05","1,863.05","230,985","Jul 17, 2023"
14-07-2023,"1,833.95","1,838.80","1,810.00","1,830.45","1,830.45","123,901","Jul 14, 2023"
13-07-2023,"1,817.65","1,853.95","1,805.00","1,821.05","1,821.05","324,249","Jul 13, 2023"
12-07-2023,"1,810.00","1,824.90","1,780.55","1,817.65","1,817.65","184,460","Jul 12, 2023"
11-07-2023,"1,817.70","1,846.95","1,796.10","1,802.30","1,802.30","137,700","Jul 11, 2023"
10-07-2023,"1,751.00","1,852.15","1,751.00","1,802.75","1,802.75","652,059","Jul 10, 2023"
07-07-2023,"1,737.95","1,764.65","1,735.10","1,747.65","1,747.65","177,567","Jul 07, 2023"
06-07-2023,"1,746.10","1,754.55","1,725.05","1,737.65","1,737.65","127,178","Jul 06, 2023"
05-07-2023,"1,726.00","1,789.95","1,725.95","1,746.10","1,746.10","391,384","Jul 05, 2023"
04-07-2023,"1,732.00","1,763.00","1,715.00","1,720.25","1,720.25","233,228","Jul 04, 2023"
03-07-2023,"1,695.00","1,720.45","1,687.05","1,712.60","1,712.60","146,624","Jul 03, 2023"
30-06-2023,"1,699.90","1,719.00","1,675.95","1,694.05","1,694.05","161,483","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,"1,711.00","1,720.00","1,678.00","1,683.05","1,683.05","98,558","Jun 27, 2023"
26-06-2023,"1,669.90","1,718.00","1,661.10","1,711.00","1,711.00","155,072","Jun 26, 2023"
23-06-2023,"1,673.25","1,709.90","1,651.20","1,669.65","1,669.65","193,221","Jun 23, 2023"
23-06-2023,3 Dividend,,,,,,"Jun 23, 2023"
22-06-2023,"1,729.90","1,738.95","1,664.00","1,673.25","1,670.25","143,452","Jun 22, 2023"
21-06-2023,"1,751.90","1,759.90","1,721.30","1,728.90","1,725.80","131,387","Jun 21, 2023"
20-06-2023,"1,737.05","1,755.00","1,722.10","1,746.70","1,743.57","176,364","Jun 20, 2023"
19-06-2023,"1,729.90","1,786.60","1,719.85","1,731.35","1,728.25","368,246","Jun 19, 2023"
16-06-2023,"1,665.80","1,747.00","1,665.00","1,725.80","1,722.71","561,211","Jun 16, 2023"
15-06-2023,"1,670.20","1,695.00","1,650.25","1,659.80","1,656.82","174,810","Jun 15, 2023"
14-06-2023,"1,660.05","1,699.95","1,660.05","1,670.20","1,667.21","260,076","Jun 14, 2023"
13-06-2023,"1,675.00","1,681.00","1,650.30","1,657.70","1,654.73","172,781","Jun 13, 2023"
12-06-2023,"1,655.00","1,673.85","1,642.40","1,663.70","1,660.72","433,889","Jun 12, 2023"
09-06-2023,"1,582.00","1,650.00","1,580.05","1,639.60","1,636.66","408,704","Jun 09, 2023"
08-06-2023,"1,583.00","1,617.00","1,570.00","1,579.05","1,576.22","135,792","Jun 08, 2023"
07-06-2023,"1,621.30","1,629.70","1,582.00","1,588.65","1,585.80","174,448","Jun 07, 2023"
06-06-2023,"1,590.00","1,636.60","1,575.55","1,612.90","1,610.01","371,478","Jun 06, 2023"
05-06-2023,"1,576.00","1,594.00","1,575.20","1,584.30","1,581.46","115,577","Jun 05, 2023"
02-06-2023,"1,560.10","1,598.80","1,560.10","1,575.60","1,572.78","143,326","Jun 02, 2023"
01-06-2023,"1,569.90","1,588.95","1,551.50","1,558.05","1,555.26","78,756","Jun 01, 2023"
31-05-2023,"1,570.00","1,578.00","1,550.10","1,564.65","1,561.84","74,489","May 31, 2023"
30-05-2023,"1,573.05","1,590.45","1,564.20","1,570.95","1,568.13","47,770","May 30, 2023"
29-05-2023,"1,599.00","1,599.90","1,568.00","1,578.60","1,575.77","77,338","May 29, 2023"
