date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,456.95,470.00,450.15,464.10,464.10,"171,831","Aug 25, 2023"
24-08-2023,463.00,465.00,445.00,455.75,455.75,"210,726","Aug 24, 2023"
23-08-2023,469.95,474.80,451.05,457.20,457.20,"77,752","Aug 23, 2023"
22-08-2023,476.60,489.00,459.50,466.10,466.10,"106,811","Aug 22, 2023"
21-08-2023,465.00,478.05,460.00,476.60,476.60,"343,062","Aug 21, 2023"
18-08-2023,445.50,469.00,436.25,465.80,465.80,"343,750","Aug 18, 2023"
17-08-2023,455.05,464.00,440.55,452.05,452.05,"590,648","Aug 17, 2023"
16-08-2023,463.30,478.00,463.30,463.70,463.70,"498,410","Aug 16, 2023"
14-08-2023,509.00,509.00,469.15,487.65,487.65,"1,076,086","Aug 14, 2023"
11-08-2023,480.00,504.00,456.00,493.85,493.85,"3,005,946","Aug 11, 2023"
