date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,924.05,934.00,921.05,931.40,931.40,"57,127","Aug 25, 2023"
24-08-2023,929.00,935.00,924.55,927.00,927.00,"55,724","Aug 24, 2023"
23-08-2023,941.00,941.00,924.95,929.15,929.15,"63,106","Aug 23, 2023"
22-08-2023,929.95,940.45,929.95,938.15,938.15,"68,815","Aug 22, 2023"
21-08-2023,935.00,944.80,926.50,929.95,929.95,"87,845","Aug 21, 2023"
18-08-2023,928.00,945.00,926.05,938.60,938.60,"106,265","Aug 18, 2023"
17-08-2023,924.90,940.00,923.05,928.00,928.00,"101,162","Aug 17, 2023"
17-08-2023,2.5 Dividend,,,,,,"Aug 17, 2023"
16-08-2023,924.95,939.10,917.75,921.65,919.15,"116,930","Aug 16, 2023"
14-08-2023,957.15,959.95,925.05,929.90,927.38,"120,053","Aug 14, 2023"
11-08-2023,950.00,974.00,942.60,957.05,954.45,"795,612","Aug 11, 2023"
10-08-2023,925.00,949.95,920.05,947.70,945.13,"177,404","Aug 10, 2023"
09-08-2023,929.05,940.05,923.00,925.00,922.49,"85,026","Aug 09, 2023"
08-08-2023,925.00,936.00,921.50,929.05,926.53,"60,231","Aug 08, 2023"
07-08-2023,925.95,932.90,920.00,923.70,921.19,"95,795","Aug 07, 2023"
04-08-2023,940.00,943.90,930.00,933.75,931.22,"55,949","Aug 04, 2023"
03-08-2023,921.05,944.65,921.05,939.20,936.65,"96,214","Aug 03, 2023"
02-08-2023,935.40,937.10,916.85,927.05,924.54,"90,984","Aug 02, 2023"
01-08-2023,946.10,948.70,928.05,931.05,928.52,"130,767","Aug 01, 2023"
31-07-2023,956.75,956.85,936.15,946.10,943.53,"124,132","Jul 31, 2023"
28-07-2023,953.00,954.30,939.95,952.10,949.52,"76,835","Jul 28, 2023"
27-07-2023,950.75,956.00,944.50,953.15,950.56,"127,916","Jul 27, 2023"
26-07-2023,947.35,954.60,935.00,947.20,944.63,"157,207","Jul 26, 2023"
25-07-2023,955.00,958.00,931.00,947.35,944.78,"281,753","Jul 25, 2023"
24-07-2023,924.95,959.40,912.30,948.50,945.93,"306,725","Jul 24, 2023"
21-07-2023,929.60,930.95,916.00,921.70,919.20,"68,637","Jul 21, 2023"
20-07-2023,945.00,946.65,925.55,929.65,927.13,"86,346","Jul 20, 2023"
19-07-2023,950.95,956.00,937.00,941.90,939.35,"211,149","Jul 19, 2023"
18-07-2023,911.35,952.00,900.00,939.75,937.20,"380,816","Jul 18, 2023"
17-07-2023,900.00,914.10,899.05,911.35,908.88,"109,041","Jul 17, 2023"
14-07-2023,903.45,906.40,895.55,900.90,898.46,"52,701","Jul 14, 2023"
13-07-2023,915.00,915.00,893.00,900.85,898.41,"123,835","Jul 13, 2023"
12-07-2023,908.30,914.00,898.85,911.00,908.53,"98,809","Jul 12, 2023"
11-07-2023,910.10,913.20,903.00,906.05,903.59,"56,533","Jul 11, 2023"
10-07-2023,914.35,918.70,900.50,907.85,905.39,"70,045","Jul 10, 2023"
07-07-2023,917.50,921.85,908.00,917.00,914.51,"77,200","Jul 07, 2023"
06-07-2023,913.00,924.00,906.55,917.45,914.96,"188,490","Jul 06, 2023"
05-07-2023,903.95,915.00,879.20,903.40,900.95,"185,585","Jul 05, 2023"
04-07-2023,906.05,908.95,900.00,901.35,898.91,"50,836","Jul 04, 2023"
03-07-2023,909.00,913.70,905.00,906.45,903.99,"46,408","Jul 03, 2023"
30-06-2023,900.95,917.10,900.90,909.00,906.53,"111,477","Jun 30, 2023"
28-06-2023,905.80,905.80,905.80,905.80,903.34,-,"Jun 28, 2023"
27-06-2023,909.35,913.80,900.05,905.80,903.34,"52,219","Jun 27, 2023"
26-06-2023,903.05,912.45,894.50,909.35,906.88,"58,149","Jun 26, 2023"
23-06-2023,908.85,908.85,893.05,899.45,897.01,"48,717","Jun 23, 2023"
22-06-2023,916.90,916.90,903.00,905.10,902.64,"65,279","Jun 22, 2023"
21-06-2023,918.70,920.65,910.60,916.90,914.41,"43,270","Jun 21, 2023"
20-06-2023,910.00,923.65,909.30,914.15,911.67,"78,612","Jun 20, 2023"
19-06-2023,923.00,928.90,906.65,909.30,906.83,"83,101","Jun 19, 2023"
16-06-2023,922.65,935.00,917.00,923.35,920.85,"99,677","Jun 16, 2023"
15-06-2023,925.00,925.00,912.00,918.10,915.61,"73,759","Jun 15, 2023"
14-06-2023,902.00,941.85,900.15,924.50,921.99,"147,032","Jun 14, 2023"
13-06-2023,902.20,909.45,898.30,902.15,899.70,"76,323","Jun 13, 2023"
12-06-2023,894.95,916.45,892.00,902.20,899.75,"68,946","Jun 12, 2023"
09-06-2023,898.55,904.65,891.00,895.25,892.82,"56,512","Jun 09, 2023"
08-06-2023,902.65,907.20,895.10,900.40,897.96,"56,635","Jun 08, 2023"
07-06-2023,908.15,911.65,898.55,902.65,900.20,"69,269","Jun 07, 2023"
06-06-2023,916.90,916.90,905.00,907.15,904.69,"46,486","Jun 06, 2023"
05-06-2023,901.45,925.00,901.45,917.65,915.16,"197,850","Jun 05, 2023"
02-06-2023,901.15,909.00,899.05,900.85,898.41,"61,184","Jun 02, 2023"
01-06-2023,902.10,904.00,899.35,900.15,897.71,"48,507","Jun 01, 2023"
31-05-2023,903.90,903.90,896.30,902.10,899.65,"114,436","May 31, 2023"
30-05-2023,875.00,900.00,870.45,897.40,894.97,"135,889","May 30, 2023"
29-05-2023,874.95,882.20,872.00,875.45,873.08,"56,593","May 29, 2023"
26-05-2023,878.55,888.00,870.00,873.00,870.63,"77,464","May 26, 2023"
25-05-2023,869.60,888.95,866.25,875.45,873.08,"57,340","May 25, 2023"
24-05-2023,865.00,879.80,862.05,869.60,867.24,"63,462","May 24, 2023"
23-05-2023,861.70,874.95,860.65,867.25,864.90,"52,004","May 23, 2023"
22-05-2023,865.90,867.00,858.05,861.90,859.56,"58,194","May 22, 2023"
19-05-2023,870.00,874.35,863.50,867.20,864.85,"35,319","May 19, 2023"
18-05-2023,882.80,889.90,870.60,874.25,871.88,"44,600","May 18, 2023"
17-05-2023,872.00,884.95,872.00,880.30,877.91,"69,319","May 17, 2023"
16-05-2023,878.95,887.95,871.20,875.65,873.27,"55,362","May 16, 2023"
15-05-2023,885.00,889.50,872.00,876.25,873.87,"97,515","May 15, 2023"
12-05-2023,905.00,909.80,885.70,891.60,889.18,"141,072","May 12, 2023"
11-05-2023,888.00,906.00,877.05,899.80,897.36,"505,582","May 11, 2023"
10-05-2023,845.25,880.00,842.80,868.90,866.54,"220,299","May 10, 2023"
09-05-2023,843.50,849.60,836.00,842.80,840.51,"62,112","May 09, 2023"
08-05-2023,844.15,848.60,840.65,843.55,841.26,"35,519","May 08, 2023"
05-05-2023,846.50,854.75,840.00,841.65,839.37,"58,475","May 05, 2023"
04-05-2023,847.65,855.00,838.80,850.70,848.39,"58,413","May 04, 2023"
03-05-2023,853.15,853.15,840.00,843.35,841.06,"49,092","May 03, 2023"
02-05-2023,847.50,857.95,845.05,851.65,849.34,"64,052","May 02, 2023"
28-04-2023,843.95,846.25,832.05,843.25,840.96,"67,767","Apr 28, 2023"
27-04-2023,825.75,845.90,823.30,843.95,841.66,"109,939","Apr 27, 2023"
26-04-2023,826.85,834.95,826.80,830.70,828.45,"52,317","Apr 26, 2023"
25-04-2023,822.30,830.40,818.55,827.80,825.55,"60,790","Apr 25, 2023"
24-04-2023,829.95,832.70,820.65,822.30,820.07,"40,178","Apr 24, 2023"
21-04-2023,831.00,855.95,819.15,826.20,823.96,"305,533","Apr 21, 2023"
20-04-2023,812.50,839.95,812.00,825.40,823.16,"268,695","Apr 20, 2023"
19-04-2023,819.00,829.95,807.00,811.80,809.60,"747,581","Apr 19, 2023"
18-04-2023,803.00,820.00,803.00,817.35,815.13,"50,675","Apr 18, 2023"
17-04-2023,811.00,814.65,801.05,808.35,806.16,"64,978","Apr 17, 2023"
13-04-2023,816.00,822.00,806.00,815.05,812.84,"36,412","Apr 13, 2023"
12-04-2023,818.80,822.35,812.75,813.95,811.74,"57,667","Apr 12, 2023"
