date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,240.00,243.50,228.05,234.20,234.20,"2,177,591","Aug 25, 2023"
24-08-2023,229.95,243.65,225.15,240.80,240.80,"3,142,279","Aug 24, 2023"
23-08-2023,226.85,227.60,221.25,224.95,224.95,"1,014,329","Aug 23, 2023"
22-08-2023,224.00,229.70,223.05,225.20,225.20,"955,418","Aug 22, 2023"
21-08-2023,225.00,227.00,220.05,223.40,223.40,"1,152,438","Aug 21, 2023"
18-08-2023,224.50,230.35,220.00,225.35,225.35,"2,028,452","Aug 18, 2023"
17-08-2023,235.50,238.65,221.50,223.15,223.15,"2,554,376","Aug 17, 2023"
16-08-2023,227.20,242.90,225.45,233.35,233.35,"6,877,707","Aug 16, 2023"
14-08-2023,223.00,223.05,213.10,220.10,220.10,"1,900,253","Aug 14, 2023"
11-08-2023,222.00,229.45,222.00,224.60,224.60,"3,151,212","Aug 11, 2023"
10-08-2023,220.90,225.00,216.05,220.40,220.40,"3,377,864","Aug 10, 2023"
09-08-2023,207.30,221.00,205.25,219.85,219.85,"5,817,385","Aug 09, 2023"
08-08-2023,207.20,218.00,201.25,204.20,204.20,"5,256,372","Aug 08, 2023"
07-08-2023,194.80,208.80,194.00,207.20,207.20,"7,746,601","Aug 07, 2023"
04-08-2023,177.05,192.00,176.65,190.95,190.95,"6,104,212","Aug 04, 2023"
03-08-2023,177.00,180.00,173.30,176.15,176.15,"813,263","Aug 03, 2023"
02-08-2023,176.00,178.95,173.00,177.30,177.30,"1,062,961","Aug 02, 2023"
01-08-2023,173.45,177.95,170.60,176.75,176.75,"1,540,047","Aug 01, 2023"
31-07-2023,165.25,174.00,164.60,173.15,173.15,"1,976,738","Jul 31, 2023"
28-07-2023,168.05,168.85,163.25,164.25,164.25,"419,713","Jul 28, 2023"
27-07-2023,170.10,170.10,166.00,167.70,167.70,"234,780","Jul 27, 2023"
26-07-2023,168.75,172.05,167.30,169.25,169.25,"639,704","Jul 26, 2023"
25-07-2023,169.85,171.35,165.65,166.95,166.95,"345,716","Jul 25, 2023"
24-07-2023,166.50,173.00,166.50,169.20,169.20,"632,862","Jul 24, 2023"
21-07-2023,167.00,168.00,162.80,165.00,165.00,"522,158","Jul 21, 2023"
20-07-2023,168.70,170.65,166.95,168.15,168.15,"315,804","Jul 20, 2023"
19-07-2023,171.55,171.90,168.25,170.65,170.65,"266,893","Jul 19, 2023"
18-07-2023,173.10,175.00,169.50,170.55,170.55,"540,093","Jul 18, 2023"
17-07-2023,171.95,174.05,170.95,173.05,173.05,"636,478","Jul 17, 2023"
14-07-2023,172.00,173.95,166.05,171.05,171.05,"2,007,038","Jul 14, 2023"
13-07-2023,175.25,175.90,170.50,171.45,171.45,"439,090","Jul 13, 2023"
12-07-2023,175.00,176.45,172.80,174.70,174.70,"485,027","Jul 12, 2023"
11-07-2023,175.05,176.90,173.95,174.80,174.80,"317,680","Jul 11, 2023"
10-07-2023,174.10,175.85,172.10,174.45,174.45,"498,595","Jul 10, 2023"
07-07-2023,174.80,176.50,172.60,174.10,174.10,"433,446","Jul 07, 2023"
06-07-2023,176.60,179.25,173.00,174.60,174.60,"446,264","Jul 06, 2023"
05-07-2023,174.00,179.30,171.75,175.80,175.80,"860,459","Jul 05, 2023"
04-07-2023,176.00,177.20,173.10,174.95,174.95,"514,303","Jul 04, 2023"
03-07-2023,180.20,181.40,173.30,175.70,175.70,"691,717","Jul 03, 2023"
30-06-2023,178.90,183.50,177.30,179.15,179.15,"968,527","Jun 30, 2023"
28-06-2023,179.45,179.45,179.45,179.45,179.45,-,"Jun 28, 2023"
27-06-2023,174.40,185.15,173.95,179.45,179.45,"2,975,012","Jun 27, 2023"
26-06-2023,171.40,176.30,170.60,174.40,174.40,"1,332,711","Jun 26, 2023"
23-06-2023,173.45,174.90,167.40,172.45,172.45,"1,283,302","Jun 23, 2023"
22-06-2023,172.00,175.85,171.75,172.65,172.65,"526,136","Jun 22, 2023"
21-06-2023,171.70,174.95,170.70,171.45,171.45,"1,611,650","Jun 21, 2023"
20-06-2023,170.50,176.90,169.90,171.20,171.20,"3,223,462","Jun 20, 2023"
19-06-2023,173.00,174.55,168.25,169.25,169.25,"692,271","Jun 19, 2023"
16-06-2023,172.85,174.00,172.15,172.95,172.95,"528,715","Jun 16, 2023"
15-06-2023,167.35,174.65,166.35,172.00,172.00,"1,480,244","Jun 15, 2023"
14-06-2023,166.40,169.90,165.35,168.30,168.30,"609,082","Jun 14, 2023"
13-06-2023,163.00,166.65,162.90,165.65,165.65,"596,542","Jun 13, 2023"
12-06-2023,164.10,166.75,162.20,162.65,162.65,"264,619","Jun 12, 2023"
09-06-2023,169.00,169.70,162.60,164.10,164.10,"400,015","Jun 09, 2023"
08-06-2023,173.80,173.80,166.75,167.50,167.50,"593,409","Jun 08, 2023"
07-06-2023,164.00,167.60,164.00,166.95,166.95,"435,488","Jun 07, 2023"
