date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,411.70,411.70,403.25,409.60,409.60,"4,049","Aug 25, 2023"
24-08-2023,399.80,409.00,396.00,406.45,406.45,"16,857","Aug 24, 2023"
23-08-2023,397.00,404.50,395.50,399.80,399.80,"7,036","Aug 23, 2023"
22-08-2023,385.10,404.35,373.55,391.55,391.55,"24,506","Aug 22, 2023"
21-08-2023,381.00,389.50,361.25,385.10,385.10,"6,309","Aug 21, 2023"
18-08-2023,374.00,381.95,363.00,377.60,377.60,"1,867","Aug 18, 2023"
17-08-2023,375.00,388.95,373.90,374.85,374.85,"3,948","Aug 17, 2023"
16-08-2023,366.05,389.45,366.05,377.30,377.30,"8,103","Aug 16, 2023"
14-08-2023,378.00,386.95,372.00,384.00,384.00,"13,914","Aug 14, 2023"
11-08-2023,390.00,393.00,376.00,387.25,387.25,"12,134","Aug 11, 2023"
10-08-2023,370.00,383.00,370.00,380.95,380.95,"36,669","Aug 10, 2023"
09-08-2023,370.00,377.90,353.00,376.50,376.50,"17,778","Aug 09, 2023"
08-08-2023,367.00,374.00,355.35,368.80,368.80,"19,390","Aug 08, 2023"
07-08-2023,357.00,369.35,340.00,369.35,369.35,"27,770","Aug 07, 2023"
04-08-2023,355.55,364.85,348.10,351.80,351.80,"9,077","Aug 04, 2023"
03-08-2023,335.00,353.50,332.55,350.30,350.30,"11,997","Aug 03, 2023"
02-08-2023,360.00,363.40,343.55,349.90,349.90,"77,313","Aug 02, 2023"
01-08-2023,358.00,380.65,358.00,369.50,369.50,"189,852","Aug 01, 2023"
31-07-2023,297.00,346.05,297.00,346.05,346.05,"435,228","Jul 31, 2023"
28-07-2023,294.85,294.85,282.55,288.40,288.40,"19,719","Jul 28, 2023"
27-07-2023,304.80,305.35,288.50,291.60,291.60,"79,448","Jul 27, 2023"
26-07-2023,268.60,312.00,265.50,298.70,298.70,"335,861","Jul 26, 2023"
25-07-2023,241.00,285.00,237.70,265.50,265.50,"561,501","Jul 25, 2023"
24-07-2023,245.85,249.05,240.35,241.00,241.00,"130,595","Jul 24, 2023"
21-07-2023,242.90,247.70,235.30,243.00,243.00,"55,147","Jul 21, 2023"
