date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,834.95,844.00,822.00,824.95,824.95,"14,023","Aug 25, 2023"
24-08-2023,859.95,864.35,832.20,838.10,838.10,"29,380","Aug 24, 2023"
23-08-2023,833.10,873.85,830.00,854.50,854.50,"36,615","Aug 23, 2023"
22-08-2023,883.95,892.80,832.25,839.20,839.20,"64,571","Aug 22, 2023"
21-08-2023,839.30,870.75,839.30,870.75,870.75,"152,904","Aug 21, 2023"
18-08-2023,866.00,876.10,805.00,829.30,829.30,"99,138","Aug 18, 2023"
17-08-2023,859.95,862.00,801.55,834.40,834.40,"74,707","Aug 17, 2023"
16-08-2023,852.10,862.00,834.00,843.70,843.70,"18,892","Aug 16, 2023"
14-08-2023,860.00,860.00,825.00,835.40,835.40,"91,024","Aug 14, 2023"
11-08-2023,821.15,821.15,821.15,821.15,821.15,"35,675","Aug 11, 2023"
10-08-2023,759.50,782.05,744.00,782.05,782.05,"83,730","Aug 10, 2023"
09-08-2023,750.00,795.00,726.00,744.85,744.85,"57,460","Aug 09, 2023"
08-08-2023,735.20,779.60,735.20,760.70,760.70,"10,377","Aug 08, 2023"
07-08-2023,745.40,774.05,743.00,755.95,755.95,"12,452","Aug 07, 2023"
04-08-2023,730.10,746.80,729.05,737.55,737.55,"6,700","Aug 04, 2023"
03-08-2023,721.00,748.40,715.10,727.50,727.50,"16,099","Aug 03, 2023"
02-08-2023,773.40,773.40,730.00,733.65,733.65,"17,911","Aug 02, 2023"
01-08-2023,725.25,759.00,720.15,754.60,754.60,"52,418","Aug 01, 2023"
31-07-2023,794.00,798.60,754.30,754.30,754.30,"30,264","Jul 31, 2023"
28-07-2023,802.80,827.00,785.05,794.00,794.00,"26,483","Jul 28, 2023"
27-07-2023,784.00,825.35,756.85,807.75,807.75,"74,537","Jul 27, 2023"
26-07-2023,748.70,786.05,748.70,786.05,786.05,"28,913","Jul 26, 2023"
25-07-2023,730.00,775.00,727.65,748.65,748.65,"16,385","Jul 25, 2023"
24-07-2023,740.00,762.00,714.85,741.20,741.20,"14,962","Jul 24, 2023"
21-07-2023,718.20,745.00,700.05,729.70,729.70,"11,666","Jul 21, 2023"
20-07-2023,739.50,739.50,720.00,725.75,725.75,"5,133","Jul 20, 2023"
19-07-2023,736.70,744.40,718.10,722.70,722.70,"12,382","Jul 19, 2023"
18-07-2023,761.00,774.80,723.05,725.15,725.15,"40,907","Jul 18, 2023"
17-07-2023,761.00,797.95,751.55,761.10,761.10,"11,609","Jul 17, 2023"
14-07-2023,755.00,774.00,717.45,761.05,761.05,"36,914","Jul 14, 2023"
13-07-2023,794.95,794.95,755.20,755.20,755.20,"23,816","Jul 13, 2023"
12-07-2023,794.70,799.90,780.05,794.95,794.95,"12,672","Jul 12, 2023"
11-07-2023,815.00,838.00,776.55,784.75,784.75,"70,972","Jul 11, 2023"
10-07-2023,789.90,825.00,781.55,815.05,815.05,"141,686","Jul 10, 2023"
07-07-2023,700.00,771.30,693.10,771.30,771.30,"125,472","Jul 07, 2023"
06-07-2023,705.00,747.00,684.05,701.20,701.20,"106,188","Jul 06, 2023"
05-07-2023,652.40,710.50,650.00,700.85,700.85,"272,403","Jul 05, 2023"
04-07-2023,662.95,675.00,635.35,645.95,645.95,"35,640","Jul 04, 2023"
03-07-2023,675.00,677.65,642.15,657.00,657.00,"102,173","Jul 03, 2023"
30-06-2023,601.65,669.25,601.65,667.65,667.65,"104,563","Jun 30, 2023"
28-06-2023,596.90,596.90,596.90,596.90,596.90,-,"Jun 28, 2023"
27-06-2023,574.00,607.00,574.00,596.90,596.90,"31,278","Jun 27, 2023"
26-06-2023,579.90,579.90,568.50,570.90,570.90,"7,491","Jun 26, 2023"
23-06-2023,572.05,579.90,567.10,570.15,570.15,"17,939","Jun 23, 2023"
22-06-2023,584.70,584.70,567.00,570.50,570.50,"28,922","Jun 22, 2023"
21-06-2023,574.90,599.70,573.95,580.10,580.10,"67,197","Jun 21, 2023"
20-06-2023,575.00,582.00,562.20,577.05,577.05,"66,203","Jun 20, 2023"
19-06-2023,584.90,584.90,563.60,566.50,566.50,"23,546","Jun 19, 2023"
16-06-2023,593.00,593.00,572.00,574.60,574.60,"34,160","Jun 16, 2023"
15-06-2023,586.50,586.50,577.70,579.20,579.20,"29,846","Jun 15, 2023"
14-06-2023,594.50,598.00,578.00,586.50,586.50,"24,868","Jun 14, 2023"
13-06-2023,578.70,592.60,570.00,589.05,589.05,"32,586","Jun 13, 2023"
12-06-2023,578.00,589.60,571.00,575.05,575.05,"14,524","Jun 12, 2023"
09-06-2023,566.90,586.90,561.20,577.10,577.10,"37,644","Jun 09, 2023"
08-06-2023,578.00,590.10,556.00,562.65,562.65,"25,336","Jun 08, 2023"
07-06-2023,584.95,596.75,574.10,578.75,578.75,"23,019","Jun 07, 2023"
06-06-2023,598.50,598.50,567.10,578.15,578.15,"32,944","Jun 06, 2023"
05-06-2023,629.00,630.00,585.50,589.20,589.20,"40,586","Jun 05, 2023"
02-06-2023,663.90,664.00,610.10,619.70,619.70,"155,333","Jun 02, 2023"
01-06-2023,569.90,616.90,561.80,616.90,616.90,"84,814","Jun 01, 2023"
31-05-2023,565.00,574.90,551.30,560.85,560.85,"26,205","May 31, 2023"
30-05-2023,558.00,562.00,547.05,557.15,557.15,"17,628","May 30, 2023"
29-05-2023,548.20,566.90,545.95,551.50,551.50,"17,961","May 29, 2023"
26-05-2023,565.00,568.80,544.60,550.05,550.05,"41,954","May 26, 2023"
25-05-2023,555.00,582.00,546.15,554.75,554.75,"59,787","May 25, 2023"
24-05-2023,575.00,575.00,550.10,551.85,551.85,"54,273","May 24, 2023"
23-05-2023,569.65,591.80,555.10,573.80,573.80,"75,988","May 23, 2023"
22-05-2023,604.80,604.80,561.10,564.20,564.20,"98,161","May 22, 2023"
19-05-2023,599.90,619.70,575.00,603.75,603.75,"313,020","May 19, 2023"
18-05-2023,539.95,589.10,525.55,589.10,589.10,"304,426","May 18, 2023"
17-05-2023,552.75,557.00,518.00,535.55,535.55,"514,641","May 17, 2023"
16-05-2023,548.00,590.00,536.00,566.50,566.50,"2,634,112","May 16, 2023"
15-05-2023,416.10,499.30,416.10,499.30,499.30,"802,022","May 15, 2023"
12-05-2023,418.70,423.90,411.95,416.10,416.10,"36,091","May 12, 2023"
11-05-2023,436.00,449.00,410.55,413.20,413.20,"161,249","May 11, 2023"
10-05-2023,407.35,417.65,403.40,409.35,409.35,"38,752","May 10, 2023"
09-05-2023,401.15,409.90,399.00,403.30,403.30,"8,436","May 09, 2023"
08-05-2023,395.85,409.00,394.85,401.35,401.35,"25,538","May 08, 2023"
05-05-2023,409.00,409.00,387.00,390.15,390.15,"27,071","May 05, 2023"
04-05-2023,400.35,404.45,390.05,394.90,394.90,"11,306","May 04, 2023"
03-05-2023,382.00,399.70,382.00,394.50,394.50,"26,362","May 03, 2023"
02-05-2023,389.80,394.80,382.45,383.70,383.70,"19,826","May 02, 2023"
28-04-2023,398.00,404.95,383.80,386.70,386.70,"53,217","Apr 28, 2023"
27-04-2023,389.70,399.00,385.10,394.60,394.60,"9,108","Apr 27, 2023"
26-04-2023,390.05,393.95,383.00,385.85,385.85,"6,757","Apr 26, 2023"
25-04-2023,393.85,401.05,383.10,388.80,388.80,"18,104","Apr 25, 2023"
24-04-2023,390.95,414.70,382.60,388.90,388.90,"41,520","Apr 24, 2023"
21-04-2023,395.40,400.40,382.15,387.70,387.70,"6,937","Apr 21, 2023"
20-04-2023,405.25,406.60,393.15,394.95,394.95,"10,061","Apr 20, 2023"
19-04-2023,407.90,418.30,401.05,405.25,405.25,"45,942","Apr 19, 2023"
18-04-2023,378.00,435.90,378.00,403.90,403.90,"180,566","Apr 18, 2023"
17-04-2023,374.00,380.25,373.70,375.90,375.90,"2,680","Apr 17, 2023"
13-04-2023,377.00,381.50,373.00,374.70,374.70,"3,797","Apr 13, 2023"
12-04-2023,389.35,389.35,375.30,377.80,377.80,"4,501","Apr 12, 2023"
11-04-2023,379.00,387.00,378.65,383.65,383.65,"8,266","Apr 11, 2023"
10-04-2023,393.00,395.00,376.00,378.20,378.20,"6,798","Apr 10, 2023"
06-04-2023,373.85,381.00,366.75,376.95,376.95,"121,716","Apr 06, 2023"
05-04-2023,375.15,380.00,364.55,368.40,368.40,"8,343","Apr 05, 2023"
03-04-2023,357.15,375.00,357.10,369.70,369.70,"1,730","Apr 03, 2023"
31-03-2023,352.85,362.90,350.60,356.45,356.45,"7,529","Mar 31, 2023"
29-03-2023,346.00,353.95,342.00,347.95,347.95,"7,766","Mar 29, 2023"
28-03-2023,361.05,361.25,336.60,348.75,348.75,"16,315","Mar 28, 2023"
27-03-2023,370.15,376.00,354.00,355.95,355.95,"10,984","Mar 27, 2023"
24-03-2023,377.80,377.80,368.25,369.60,369.60,"2,389","Mar 24, 2023"
23-03-2023,368.50,377.25,367.50,372.30,372.30,"6,026","Mar 23, 2023"
22-03-2023,376.25,376.25,368.45,371.80,371.80,"7,393","Mar 22, 2023"
21-03-2023,379.85,379.85,366.00,370.75,370.75,"14,679","Mar 21, 2023"
20-03-2023,376.00,379.00,372.10,374.25,374.25,"7,612","Mar 20, 2023"
17-03-2023,380.00,389.85,376.00,376.70,376.70,"6,515","Mar 17, 2023"
16-03-2023,374.60,389.00,370.10,379.00,379.00,"4,395","Mar 16, 2023"
15-03-2023,379.35,382.45,374.90,375.05,375.05,"7,438","Mar 15, 2023"
14-03-2023,382.20,388.60,371.80,373.75,373.75,"12,596","Mar 14, 2023"
13-03-2023,385.80,398.00,382.10,384.80,384.80,"19,532","Mar 13, 2023"
10-03-2023,392.95,404.75,384.20,385.80,385.80,"24,313","Mar 10, 2023"
09-03-2023,384.30,391.00,382.00,389.15,389.15,"8,663","Mar 09, 2023"
08-03-2023,383.85,385.75,378.65,384.40,384.40,"1,654","Mar 08, 2023"
06-03-2023,382.05,389.75,377.05,380.00,380.00,"11,785","Mar 06, 2023"
03-03-2023,382.75,389.50,380.00,381.40,381.40,"4,296","Mar 03, 2023"
02-03-2023,388.00,389.95,381.95,383.75,383.75,"13,911","Mar 02, 2023"
01-03-2023,390.65,390.65,377.70,385.05,385.05,"13,149","Mar 01, 2023"
28-02-2023,373.25,389.50,373.05,384.95,384.95,"14,974","Feb 28, 2023"
27-02-2023,371.85,379.30,370.30,373.40,373.40,"7,043","Feb 27, 2023"
24-02-2023,381.10,386.75,373.50,374.85,374.85,"10,681","Feb 24, 2023"
23-02-2023,380.05,390.80,375.30,381.05,381.05,"10,559","Feb 23, 2023"
22-02-2023,390.20,391.75,380.30,382.10,382.10,"16,153","Feb 22, 2023"
21-02-2023,380.30,405.50,373.00,390.20,390.20,"39,420","Feb 21, 2023"
20-02-2023,376.00,378.60,371.45,376.10,376.10,"5,292","Feb 20, 2023"
17-02-2023,382.90,382.90,366.95,372.05,372.05,"8,743","Feb 17, 2023"
16-02-2023,375.80,381.75,375.80,379.40,379.40,"6,729","Feb 16, 2023"
15-02-2023,374.30,379.95,371.20,371.65,371.65,"2,154","Feb 15, 2023"
14-02-2023,377.95,386.90,371.30,374.15,374.15,"6,258","Feb 14, 2023"
13-02-2023,380.00,381.60,371.30,374.00,374.00,"7,054","Feb 13, 2023"
10-02-2023,378.85,382.00,372.05,378.95,378.95,"4,091","Feb 10, 2023"
09-02-2023,373.00,383.95,371.00,373.15,373.15,"10,323","Feb 09, 2023"
08-02-2023,371.45,380.95,369.55,376.60,376.60,"5,331","Feb 08, 2023"
07-02-2023,376.45,376.50,366.40,373.70,373.70,"6,884","Feb 07, 2023"
06-02-2023,371.70,380.20,370.30,371.75,371.75,"5,280","Feb 06, 2023"
03-02-2023,384.00,384.00,368.50,373.75,373.75,"11,831","Feb 03, 2023"
02-02-2023,380.95,399.00,376.00,382.45,382.45,"11,148","Feb 02, 2023"
01-02-2023,374.25,403.90,369.65,375.90,375.90,"41,235","Feb 01, 2023"
31-01-2023,377.10,379.15,365.35,368.80,368.80,"16,919","Jan 31, 2023"
30-01-2023,383.00,383.05,371.00,375.55,375.55,"19,162","Jan 30, 2023"
27-01-2023,373.00,424.00,368.80,377.35,377.35,"271,662","Jan 27, 2023"
25-01-2023,361.95,409.95,352.25,363.90,363.90,"132,318","Jan 25, 2023"
24-01-2023,360.00,362.85,352.40,357.50,357.50,"2,195","Jan 24, 2023"
23-01-2023,361.65,364.45,354.70,359.00,359.00,"4,017","Jan 23, 2023"
20-01-2023,362.20,366.25,352.30,354.60,354.60,"3,230","Jan 20, 2023"
19-01-2023,362.45,363.00,359.30,362.20,362.20,"1,309","Jan 19, 2023"
18-01-2023,364.40,364.50,358.05,361.50,361.50,"1,732","Jan 18, 2023"
17-01-2023,360.75,364.75,357.00,359.00,359.00,"3,306","Jan 17, 2023"
16-01-2023,358.00,364.95,357.05,360.75,360.75,"28,850","Jan 16, 2023"
13-01-2023,373.60,374.70,351.10,354.35,354.35,"55,913","Jan 13, 2023"
12-01-2023,375.05,376.50,368.00,369.85,369.85,"1,284","Jan 12, 2023"
11-01-2023,389.90,393.40,370.00,372.95,372.95,"7,258","Jan 11, 2023"
10-01-2023,382.20,387.70,382.05,387.70,387.70,239,"Jan 10, 2023"
09-01-2023,390.05,395.95,384.10,384.80,384.80,"1,365","Jan 09, 2023"
06-01-2023,388.60,390.10,384.25,384.85,384.85,488,"Jan 06, 2023"
05-01-2023,391.35,393.00,384.65,388.85,388.85,972,"Jan 05, 2023"
04-01-2023,390.10,400.90,385.00,389.30,389.30,"5,827","Jan 04, 2023"
03-01-2023,399.00,402.75,386.95,390.10,390.10,"4,109","Jan 03, 2023"
02-01-2023,390.55,399.00,382.90,395.80,395.80,"2,395","Jan 02, 2023"
30-12-2022,377.85,394.00,373.95,384.80,384.80,"2,185","Dec 30, 2022"
29-12-2022,376.65,380.05,368.45,376.10,376.10,"3,482","Dec 29, 2022"
28-12-2022,367.60,378.90,358.20,372.00,372.00,"5,554","Dec 28, 2022"
27-12-2022,379.65,380.95,367.10,369.25,369.25,"2,767","Dec 27, 2022"
26-12-2022,350.50,375.00,350.50,374.05,374.05,"2,800","Dec 26, 2022"
23-12-2022,363.00,368.95,348.05,350.50,350.50,"11,750","Dec 23, 2022"
22-12-2022,387.55,387.55,352.50,364.75,364.75,"12,803","Dec 22, 2022"
21-12-2022,392.15,393.45,381.00,381.90,381.90,"2,567","Dec 21, 2022"
20-12-2022,388.60,394.90,385.55,389.45,389.45,"1,627","Dec 20, 2022"
19-12-2022,390.00,390.20,382.25,389.00,389.00,"3,284","Dec 19, 2022"
16-12-2022,397.00,397.00,386.90,388.60,388.60,"4,889","Dec 16, 2022"
15-12-2022,398.00,403.15,394.20,394.90,394.90,"1,999","Dec 15, 2022"
14-12-2022,396.85,399.95,396.10,397.20,397.20,"1,981","Dec 14, 2022"
13-12-2022,394.00,398.35,392.60,394.45,394.45,"1,748","Dec 13, 2022"
12-12-2022,400.00,400.00,390.30,394.55,394.55,"1,915","Dec 12, 2022"
09-12-2022,397.00,397.45,391.10,394.15,394.15,"2,163","Dec 09, 2022"
08-12-2022,397.10,398.90,389.20,392.85,392.85,"5,326","Dec 08, 2022"
07-12-2022,399.80,399.80,392.60,397.05,397.05,"1,902","Dec 07, 2022"
