date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"2,119.00","2,169.00","2,107.40","2,151.25","2,151.25","13,908","Aug 25, 2023"
24-08-2023,"2,156.50","2,156.50","2,096.40","2,108.75","2,108.75","17,906","Aug 24, 2023"
23-08-2023,"2,190.55","2,190.55","2,133.00","2,145.20","2,145.20","15,549","Aug 23, 2023"
22-08-2023,"2,190.05","2,209.80","2,162.00","2,179.10","2,179.10","15,010","Aug 22, 2023"
21-08-2023,"2,235.00","2,240.90","2,170.70","2,210.40","2,210.40","22,195","Aug 21, 2023"
18-08-2023,"2,139.10","2,230.00","2,139.10","2,190.65","2,190.65","93,617","Aug 18, 2023"
17-08-2023,"2,106.50","2,170.00","2,075.00","2,158.75","2,158.75","23,062","Aug 17, 2023"
16-08-2023,"2,102.15","2,109.00","2,055.60","2,095.50","2,095.50","18,701","Aug 16, 2023"
14-08-2023,"2,130.00","2,134.80","2,028.05","2,105.90","2,105.90","29,327","Aug 14, 2023"
11-08-2023,"2,115.00","2,159.00","2,114.55","2,126.10","2,126.10","25,447","Aug 11, 2023"
10-08-2023,"2,188.10","2,203.15","2,069.50","2,103.90","2,103.90","57,517","Aug 10, 2023"
09-08-2023,"2,177.90","2,204.95","2,158.65","2,188.10","2,188.10","16,688","Aug 09, 2023"
08-08-2023,"2,130.50","2,180.00","2,115.55","2,166.50","2,166.50","18,501","Aug 08, 2023"
07-08-2023,"2,141.00","2,159.00","2,111.10","2,119.30","2,119.30","17,965","Aug 07, 2023"
04-08-2023,"2,166.90","2,175.00","2,130.00","2,146.05","2,146.05","15,935","Aug 04, 2023"
03-08-2023,"2,174.95","2,182.50","2,135.00","2,155.55","2,155.55","15,556","Aug 03, 2023"
02-08-2023,"2,219.95","2,222.00","2,150.00","2,164.05","2,164.05","22,842","Aug 02, 2023"
01-08-2023,"2,238.60","2,240.00","2,191.00","2,209.05","2,209.05","13,892","Aug 01, 2023"
31-07-2023,"2,198.85","2,232.00","2,190.05","2,218.65","2,218.65","20,411","Jul 31, 2023"
28-07-2023,"2,209.00","2,217.55","2,178.45","2,198.85","2,198.85","10,770","Jul 28, 2023"
27-07-2023,"2,244.00","2,246.95","2,186.90","2,208.20","2,208.20","26,717","Jul 27, 2023"
26-07-2023,"2,252.30","2,281.75","2,209.85","2,230.40","2,230.40","23,189","Jul 26, 2023"
25-07-2023,"2,162.50","2,275.00","2,162.50","2,240.55","2,240.55","26,228","Jul 25, 2023"
24-07-2023,"2,240.00","2,251.45","2,155.00","2,162.30","2,162.30","28,088","Jul 24, 2023"
21-07-2023,"2,268.00","2,276.05","2,208.00","2,233.35","2,233.35","18,383","Jul 21, 2023"
20-07-2023,"2,286.00","2,319.15","2,242.20","2,252.30","2,252.30","54,151","Jul 20, 2023"
19-07-2023,"2,238.00","2,289.95","2,214.20","2,271.30","2,271.30","70,476","Jul 19, 2023"
18-07-2023,"2,184.00","2,223.95","2,161.05","2,214.20","2,214.20","48,916","Jul 18, 2023"
17-07-2023,"2,148.10","2,200.00","2,131.95","2,174.70","2,174.70","46,238","Jul 17, 2023"
14-07-2023,"2,140.00","2,159.90","2,123.30","2,136.85","2,136.85","21,826","Jul 14, 2023"
13-07-2023,"2,142.45","2,188.00","2,115.55","2,129.20","2,129.20","51,389","Jul 13, 2023"
12-07-2023,"2,195.40","2,297.20","2,115.55","2,134.10","2,134.10","150,979","Jul 12, 2023"
11-07-2023,"2,203.70","2,216.90","2,171.00","2,183.95","2,183.95","20,601","Jul 11, 2023"
10-07-2023,"2,205.70","2,223.95","2,185.75","2,192.20","2,192.20","24,738","Jul 10, 2023"
