date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,590.50,604.00,587.05,588.05,588.05,"4,146","Aug 25, 2023"
24-08-2023,607.90,608.95,591.00,596.30,596.30,"15,354","Aug 24, 2023"
23-08-2023,585.00,610.00,585.00,607.50,607.50,"16,627","Aug 23, 2023"
22-08-2023,590.00,612.00,575.25,597.55,597.55,"34,508","Aug 22, 2023"
21-08-2023,589.70,590.00,580.00,584.95,584.95,"8,315","Aug 21, 2023"
18-08-2023,597.65,603.95,588.00,590.80,590.80,"8,169","Aug 18, 2023"
17-08-2023,592.00,597.55,581.60,592.30,592.30,"12,451","Aug 17, 2023"
16-08-2023,589.90,599.05,582.35,588.25,588.25,"23,095","Aug 16, 2023"
14-08-2023,601.45,606.05,578.00,584.70,584.70,"33,212","Aug 14, 2023"
11-08-2023,608.80,614.75,595.80,601.45,601.45,"18,217","Aug 11, 2023"
10-08-2023,614.75,617.95,602.00,608.80,608.80,"18,742","Aug 10, 2023"
09-08-2023,621.95,622.00,601.10,606.90,606.90,"21,257","Aug 09, 2023"
08-08-2023,642.95,642.95,596.00,616.35,616.35,"199,215","Aug 08, 2023"
07-08-2023,569.85,626.80,561.20,626.80,626.80,"201,201","Aug 07, 2023"
04-08-2023,584.95,588.80,567.15,569.85,569.85,"12,499","Aug 04, 2023"
03-08-2023,576.00,587.30,571.00,573.55,573.55,"25,193","Aug 03, 2023"
02-08-2023,604.95,611.25,572.60,575.55,575.55,"33,977","Aug 02, 2023"
01-08-2023,576.00,614.70,576.00,603.05,603.05,"71,592","Aug 01, 2023"
31-07-2023,585.00,595.00,566.05,575.95,575.95,"27,109","Jul 31, 2023"
28-07-2023,571.00,590.55,568.35,578.50,578.50,"21,272","Jul 28, 2023"
27-07-2023,578.90,581.05,560.50,570.95,570.95,"33,534","Jul 27, 2023"
26-07-2023,611.00,611.00,563.15,571.50,571.50,"88,719","Jul 26, 2023"
25-07-2023,606.45,614.45,600.00,602.25,602.25,"12,591","Jul 25, 2023"
24-07-2023,591.25,608.00,591.25,606.45,606.45,"18,762","Jul 24, 2023"
21-07-2023,601.75,608.70,588.05,591.25,591.25,"17,001","Jul 21, 2023"
20-07-2023,610.60,612.35,600.10,601.80,601.80,"26,417","Jul 20, 2023"
19-07-2023,625.00,636.00,609.00,610.60,610.60,"34,611","Jul 19, 2023"
