date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,22.45,22.50,21.60,21.70,21.70,"21,596","Aug 25, 2023"
24-08-2023,22.70,22.75,21.65,21.95,21.95,"40,132","Aug 24, 2023"
23-08-2023,21.90,23.00,21.60,22.30,22.30,"43,281","Aug 23, 2023"
22-08-2023,22.30,22.30,21.90,21.95,21.95,"21,446","Aug 22, 2023"
21-08-2023,22.80,23.20,22.20,22.30,22.30,"18,766","Aug 21, 2023"
18-08-2023,23.45,23.85,22.00,22.35,22.35,"37,278","Aug 18, 2023"
17-08-2023,23.20,23.60,22.80,22.95,22.95,"26,141","Aug 17, 2023"
16-08-2023,24.40,24.40,23.00,23.30,23.30,"37,616","Aug 16, 2023"
14-08-2023,24.90,24.90,23.10,23.35,23.35,"11,506","Aug 14, 2023"
11-08-2023,23.25,24.35,23.00,23.95,23.95,"39,413","Aug 11, 2023"
10-08-2023,24.10,24.60,23.20,23.55,23.55,"42,705","Aug 10, 2023"
09-08-2023,24.95,24.95,23.85,24.10,24.10,"28,078","Aug 09, 2023"
08-08-2023,24.85,25.80,23.80,24.45,24.45,"46,066","Aug 08, 2023"
07-08-2023,24.50,25.95,23.50,24.30,24.30,"112,968","Aug 07, 2023"
04-08-2023,26.00,26.80,23.00,24.25,24.25,"406,362","Aug 04, 2023"
03-08-2023,20.50,25.10,20.50,25.10,25.10,"409,351","Aug 03, 2023"
02-08-2023,21.00,21.40,20.90,20.95,20.95,"12,874","Aug 02, 2023"
01-08-2023,21.35,21.50,20.80,21.10,21.10,"21,980","Aug 01, 2023"
31-07-2023,21.30,21.90,20.20,20.85,20.85,"28,755","Jul 31, 2023"
28-07-2023,20.95,21.50,20.75,21.30,21.30,"23,072","Jul 28, 2023"
27-07-2023,21.80,21.80,20.85,20.95,20.95,"15,317","Jul 27, 2023"
26-07-2023,20.80,21.25,20.75,21.05,21.05,"19,163","Jul 26, 2023"
25-07-2023,20.70,21.35,20.70,21.00,21.00,"18,412","Jul 25, 2023"
24-07-2023,21.90,21.90,20.85,20.95,20.95,"13,946","Jul 24, 2023"
21-07-2023,21.30,22.20,20.70,21.30,21.30,"9,670","Jul 21, 2023"
20-07-2023,21.25,21.40,20.40,20.85,20.85,"21,395","Jul 20, 2023"
19-07-2023,21.15,21.40,20.30,20.85,20.85,"27,829","Jul 19, 2023"
18-07-2023,21.65,21.75,20.15,21.05,21.05,"32,146","Jul 18, 2023"
17-07-2023,21.20,21.90,21.00,21.50,21.50,"17,438","Jul 17, 2023"
