date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,232.70,235.75,225.50,226.80,226.80,"149,020","Aug 25, 2023"
24-08-2023,240.95,245.45,229.00,231.40,231.40,"182,980","Aug 24, 2023"
23-08-2023,233.80,241.20,233.80,239.50,239.50,"91,589","Aug 23, 2023"
22-08-2023,234.95,236.15,232.50,233.80,233.80,"55,244","Aug 22, 2023"
21-08-2023,231.05,236.45,231.05,234.15,234.15,"74,766","Aug 21, 2023"
18-08-2023,238.10,247.20,230.00,231.05,231.05,"178,022","Aug 18, 2023"
17-08-2023,237.75,241.30,234.00,237.25,237.25,"100,822","Aug 17, 2023"
16-08-2023,246.60,246.65,236.00,236.90,236.90,"108,825","Aug 16, 2023"
14-08-2023,247.95,249.00,240.60,246.60,246.60,"94,552","Aug 14, 2023"
11-08-2023,244.20,257.00,240.05,248.45,248.45,"406,804","Aug 11, 2023"
10-08-2023,251.80,256.00,240.55,242.50,242.50,"348,915","Aug 10, 2023"
09-08-2023,241.40,252.40,236.00,250.10,250.10,"499,216","Aug 09, 2023"
08-08-2023,234.50,248.00,234.00,239.80,239.80,"580,495","Aug 08, 2023"
07-08-2023,240.00,249.80,230.15,231.90,231.90,"771,794","Aug 07, 2023"
04-08-2023,224.20,244.80,221.00,237.15,237.15,"819,570","Aug 04, 2023"
03-08-2023,212.00,222.90,209.00,220.65,220.65,"664,842","Aug 03, 2023"
02-08-2023,210.00,212.00,207.10,209.90,209.90,"231,365","Aug 02, 2023"
01-08-2023,211.70,212.55,207.30,208.65,208.65,"250,355","Aug 01, 2023"
31-07-2023,209.55,213.40,209.00,210.45,210.45,"429,629","Jul 31, 2023"
28-07-2023,200.00,212.20,190.35,208.85,208.85,"991,235","Jul 28, 2023"
27-07-2023,205.35,205.35,200.60,203.40,203.40,"110,355","Jul 27, 2023"
26-07-2023,206.95,207.80,203.00,203.30,203.30,"108,087","Jul 26, 2023"
25-07-2023,208.50,209.45,203.40,204.85,204.85,"121,235","Jul 25, 2023"
24-07-2023,208.50,209.95,205.10,205.60,205.60,"61,391","Jul 24, 2023"
21-07-2023,209.15,211.00,204.40,207.80,207.80,"802,008","Jul 21, 2023"
20-07-2023,211.45,215.80,209.65,210.40,210.40,"95,493","Jul 20, 2023"
19-07-2023,208.60,215.95,207.05,210.60,210.60,"336,232","Jul 19, 2023"
18-07-2023,203.00,208.55,203.00,207.30,207.30,"106,141","Jul 18, 2023"
17-07-2023,203.35,205.45,201.40,202.55,202.55,"326,295","Jul 17, 2023"
14-07-2023,204.00,205.55,201.55,203.35,203.35,"102,999","Jul 14, 2023"
13-07-2023,207.80,208.45,201.80,204.00,204.00,"138,659","Jul 13, 2023"
12-07-2023,202.30,208.00,201.15,206.15,206.15,"108,582","Jul 12, 2023"
11-07-2023,203.25,205.00,201.90,202.20,202.20,"75,945","Jul 11, 2023"
10-07-2023,208.30,208.30,201.15,201.90,201.90,"103,587","Jul 10, 2023"
07-07-2023,209.70,209.70,206.25,206.90,206.90,"83,103","Jul 07, 2023"
06-07-2023,210.00,211.35,208.45,209.70,209.70,"81,728","Jul 06, 2023"
05-07-2023,213.00,213.90,208.40,210.40,210.40,"118,078","Jul 05, 2023"
04-07-2023,210.50,215.95,210.50,213.00,213.00,"55,847","Jul 04, 2023"
03-07-2023,214.25,217.75,210.75,212.15,212.15,"76,741","Jul 03, 2023"
30-06-2023,213.00,218.95,213.00,214.10,214.10,"202,926","Jun 30, 2023"
