date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,212.70,213.95,206.10,207.25,207.25,"249,339","Aug 25, 2023"
24-08-2023,213.00,215.55,211.05,211.90,211.90,"112,075","Aug 24, 2023"
23-08-2023,215.00,216.00,211.50,212.85,212.85,"214,478","Aug 23, 2023"
22-08-2023,209.70,214.60,209.10,211.75,211.75,"239,212","Aug 22, 2023"
21-08-2023,219.25,219.30,207.95,209.00,209.00,"419,014","Aug 21, 2023"
18-08-2023,219.60,223.45,216.60,218.20,218.20,"354,051","Aug 18, 2023"
17-08-2023,223.45,223.45,216.50,218.85,218.85,"224,026","Aug 17, 2023"
16-08-2023,215.90,220.90,214.80,219.15,219.15,"135,921","Aug 16, 2023"
14-08-2023,219.50,221.85,212.20,216.50,216.50,"323,413","Aug 14, 2023"
11-08-2023,225.65,226.35,216.90,219.30,219.30,"350,807","Aug 11, 2023"
10-08-2023,224.80,231.90,223.00,224.50,224.50,"774,378","Aug 10, 2023"
09-08-2023,221.00,224.00,218.50,222.05,222.05,"257,310","Aug 09, 2023"
08-08-2023,222.90,226.55,218.00,219.55,219.55,"809,009","Aug 08, 2023"
07-08-2023,222.10,226.90,218.00,221.30,221.30,"578,249","Aug 07, 2023"
04-08-2023,224.65,227.00,219.15,222.10,222.10,"530,998","Aug 04, 2023"
03-08-2023,218.55,230.80,217.00,222.65,222.65,"1,349,217","Aug 03, 2023"
02-08-2023,221.70,229.80,213.20,218.90,218.90,"1,761,743","Aug 02, 2023"
01-08-2023,204.75,221.65,204.70,219.20,219.20,"1,819,297","Aug 01, 2023"
31-07-2023,205.00,212.00,199.65,202.65,202.65,"1,185,073","Jul 31, 2023"
28-07-2023,216.90,221.85,193.90,206.05,206.05,"3,382,459","Jul 28, 2023"
27-07-2023,202.40,216.90,202.20,215.15,215.15,"1,797,240","Jul 27, 2023"
26-07-2023,205.70,206.90,199.55,201.10,201.10,"535,134","Jul 26, 2023"
25-07-2023,198.55,206.60,198.40,205.70,205.70,"1,530,865","Jul 25, 2023"
24-07-2023,190.00,198.00,190.00,196.90,196.90,"1,330,237","Jul 24, 2023"
21-07-2023,188.00,194.40,186.10,187.95,187.95,"683,829","Jul 21, 2023"
20-07-2023,181.90,196.95,181.65,188.80,188.80,"2,711,708","Jul 20, 2023"
19-07-2023,179.05,184.90,178.75,181.70,181.70,"1,299,268","Jul 19, 2023"
18-07-2023,183.45,185.70,175.65,177.50,177.50,"1,245,358","Jul 18, 2023"
17-07-2023,187.00,188.20,173.80,181.55,181.55,"5,930,714","Jul 17, 2023"
14-07-2023,173.50,200.80,173.10,185.40,185.40,"9,659,151","Jul 14, 2023"
13-07-2023,173.60,177.90,170.10,171.35,171.35,"448,134","Jul 13, 2023"
12-07-2023,175.05,177.00,172.10,172.55,172.55,"262,444","Jul 12, 2023"
11-07-2023,172.45,180.40,172.00,174.40,174.40,"881,089","Jul 11, 2023"
10-07-2023,174.90,174.90,168.50,169.80,169.80,"422,616","Jul 10, 2023"
07-07-2023,175.00,175.00,168.95,171.35,171.35,"585,162","Jul 07, 2023"
06-07-2023,173.00,178.00,170.40,176.05,176.05,"590,098","Jul 06, 2023"
05-07-2023,176.00,176.05,169.30,172.25,172.25,"769,135","Jul 05, 2023"
04-07-2023,181.00,185.25,175.05,176.65,176.65,"678,810","Jul 04, 2023"
03-07-2023,172.90,182.00,172.70,180.00,180.00,"762,331","Jul 03, 2023"
30-06-2023,171.50,172.85,169.50,172.05,172.05,"252,269","Jun 30, 2023"
28-06-2023,170.30,170.30,170.30,170.30,170.30,-,"Jun 28, 2023"
27-06-2023,172.30,172.85,168.50,170.30,170.30,"449,960","Jun 27, 2023"
26-06-2023,172.60,173.95,169.30,170.60,170.60,"184,908","Jun 26, 2023"
23-06-2023,177.85,177.85,169.15,171.45,171.45,"395,378","Jun 23, 2023"
22-06-2023,182.45,183.55,175.30,176.55,176.55,"531,469","Jun 22, 2023"
21-06-2023,174.60,193.50,173.60,182.45,182.45,"2,814,999","Jun 21, 2023"
20-06-2023,170.50,175.15,170.50,172.80,172.80,"571,945","Jun 20, 2023"
19-06-2023,168.50,172.00,164.20,170.45,170.45,"544,670","Jun 19, 2023"
16-06-2023,168.70,169.20,165.05,167.70,167.70,"262,956","Jun 16, 2023"
15-06-2023,172.45,172.50,163.50,166.60,166.60,"414,485","Jun 15, 2023"
14-06-2023,173.70,174.30,169.35,170.75,170.75,"499,768","Jun 14, 2023"
13-06-2023,175.70,176.55,170.00,173.25,173.25,"491,053","Jun 13, 2023"
12-06-2023,171.60,177.50,171.60,174.50,174.50,"371,914","Jun 12, 2023"
09-06-2023,170.10,172.00,167.10,170.30,170.30,"257,448","Jun 09, 2023"
08-06-2023,177.80,178.55,166.05,169.70,169.70,"786,781","Jun 08, 2023"
07-06-2023,179.70,180.40,174.10,176.55,176.55,"494,948","Jun 07, 2023"
06-06-2023,180.75,181.45,174.00,176.50,176.50,"390,382","Jun 06, 2023"
05-06-2023,180.75,185.65,178.00,179.90,179.90,"399,018","Jun 05, 2023"
02-06-2023,186.00,189.90,178.00,179.05,179.05,"858,723","Jun 02, 2023"
01-06-2023,177.40,185.25,174.75,184.00,184.00,"1,458,142","Jun 01, 2023"
31-05-2023,175.60,176.95,170.45,174.70,174.70,"431,833","May 31, 2023"
30-05-2023,167.20,177.20,165.20,174.95,174.95,"620,960","May 30, 2023"
29-05-2023,166.80,171.50,165.90,167.20,167.20,"292,504","May 29, 2023"
26-05-2023,159.90,172.00,159.80,165.85,165.85,"465,996","May 26, 2023"
25-05-2023,162.35,162.40,157.60,159.10,159.10,"89,964","May 25, 2023"
24-05-2023,163.45,164.40,160.20,160.65,160.65,"92,351","May 24, 2023"
23-05-2023,161.95,164.40,158.60,159.60,159.60,"166,940","May 23, 2023"
22-05-2023,166.00,167.20,160.60,161.45,161.45,"170,021","May 22, 2023"
19-05-2023,165.00,166.15,161.70,163.60,163.60,"108,667","May 19, 2023"
18-05-2023,167.45,170.25,165.05,165.60,165.60,"255,274","May 18, 2023"
17-05-2023,165.30,167.95,161.65,166.15,166.15,"242,936","May 17, 2023"
16-05-2023,160.00,171.65,160.00,164.00,164.00,"1,022,710","May 16, 2023"
15-05-2023,153.60,166.65,153.20,159.25,159.25,"786,192","May 15, 2023"
12-05-2023,161.00,162.00,151.05,153.10,153.10,"457,759","May 12, 2023"
11-05-2023,166.80,167.15,158.45,159.90,159.90,"205,473","May 11, 2023"
10-05-2023,164.80,167.45,160.60,165.50,165.50,"119,635","May 10, 2023"
09-05-2023,172.20,173.15,162.25,163.45,163.45,"345,894","May 09, 2023"
08-05-2023,171.25,173.90,166.35,171.80,171.80,"313,493","May 08, 2023"
05-05-2023,167.00,176.85,164.10,170.80,170.80,"891,447","May 05, 2023"
04-05-2023,161.50,169.15,160.00,164.75,164.75,"321,678","May 04, 2023"
03-05-2023,163.75,164.55,157.05,158.15,158.15,"150,399","May 03, 2023"
02-05-2023,173.30,173.30,159.05,162.85,162.85,"1,469,872","May 02, 2023"
28-04-2023,147.00,147.85,143.15,144.45,144.45,"154,736","Apr 28, 2023"
27-04-2023,147.95,148.00,144.95,146.25,146.25,"60,950","Apr 27, 2023"
26-04-2023,149.35,152.00,145.05,146.65,146.65,"89,619","Apr 26, 2023"
25-04-2023,148.75,149.00,145.50,148.55,148.55,"123,329","Apr 25, 2023"
