date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,561.00,564.70,551.60,556.15,556.15,"377,412","Aug 25, 2023"
24-08-2023,553.30,567.50,544.50,561.20,561.20,"476,831","Aug 24, 2023"
23-08-2023,523.90,549.35,518.70,546.60,546.60,"641,699","Aug 23, 2023"
22-08-2023,508.00,527.70,508.00,518.70,518.70,"388,096","Aug 22, 2023"
21-08-2023,522.70,529.70,501.55,508.00,508.00,"467,593","Aug 21, 2023"
18-08-2023,519.95,531.80,506.00,517.70,517.70,"300,364","Aug 18, 2023"
17-08-2023,532.00,539.85,512.10,515.95,515.95,"327,278","Aug 17, 2023"
16-08-2023,533.00,554.05,523.70,527.85,527.85,"451,074","Aug 16, 2023"
14-08-2023,548.00,551.70,523.35,530.80,530.80,"434,863","Aug 14, 2023"
11-08-2023,548.00,562.60,540.05,548.95,548.95,"506,853","Aug 11, 2023"
10-08-2023,581.00,584.80,544.05,547.15,547.15,"749,917","Aug 10, 2023"
09-08-2023,577.85,584.90,577.85,580.40,580.40,"409,511","Aug 09, 2023"
08-08-2023,583.00,587.70,567.25,576.10,576.10,"894,489","Aug 08, 2023"
07-08-2023,626.70,669.95,539.95,584.20,584.20,"8,368,688","Aug 07, 2023"
04-08-2023,646.00,657.40,620.10,626.70,626.70,"162,160","Aug 04, 2023"
03-08-2023,669.00,669.00,630.10,636.55,636.55,"198,152","Aug 03, 2023"
02-08-2023,669.80,678.20,655.00,667.70,667.70,"120,236","Aug 02, 2023"
01-08-2023,690.00,701.80,655.00,663.30,663.30,"439,920","Aug 01, 2023"
31-07-2023,721.00,725.00,695.30,701.80,701.80,"120,862","Jul 31, 2023"
28-07-2023,697.15,720.00,695.45,713.95,713.95,"92,976","Jul 28, 2023"
27-07-2023,697.00,709.85,695.00,697.15,697.15,"57,482","Jul 27, 2023"
26-07-2023,684.05,706.00,684.05,694.05,694.05,"59,993","Jul 26, 2023"
25-07-2023,696.95,704.95,677.95,682.20,682.20,"80,644","Jul 25, 2023"
24-07-2023,708.00,725.00,680.65,691.30,691.30,"119,765","Jul 24, 2023"
21-07-2023,705.15,718.25,695.00,703.30,703.30,"90,920","Jul 21, 2023"
20-07-2023,716.10,729.25,701.30,705.05,705.05,"124,926","Jul 20, 2023"
19-07-2023,713.50,718.00,702.35,709.00,709.00,"71,781","Jul 19, 2023"
18-07-2023,715.50,724.10,685.85,706.05,706.05,"102,335","Jul 18, 2023"
17-07-2023,708.70,750.00,698.55,709.90,709.90,"139,405","Jul 17, 2023"
14-07-2023,691.90,708.50,687.00,702.75,702.75,"121,257","Jul 14, 2023"
13-07-2023,691.00,711.05,680.90,685.80,685.80,"98,793","Jul 13, 2023"
12-07-2023,684.00,697.10,678.15,690.00,690.00,"87,825","Jul 12, 2023"
11-07-2023,674.95,692.00,674.05,678.70,678.70,"84,988","Jul 11, 2023"
10-07-2023,685.00,692.40,662.25,672.95,672.95,"87,691","Jul 10, 2023"
07-07-2023,693.80,695.85,671.30,683.95,683.95,"179,812","Jul 07, 2023"
06-07-2023,682.70,711.60,681.00,697.65,697.65,"322,753","Jul 06, 2023"
05-07-2023,642.10,696.70,642.10,679.00,679.00,"931,122","Jul 05, 2023"
04-07-2023,638.70,647.90,623.10,627.15,627.15,"84,543","Jul 04, 2023"
03-07-2023,625.00,641.95,617.40,634.70,634.70,"120,573","Jul 03, 2023"
30-06-2023,624.00,644.50,615.00,617.20,617.20,"92,015","Jun 30, 2023"
28-06-2023,625.05,625.05,625.05,625.05,625.05,-,"Jun 28, 2023"
27-06-2023,619.80,638.00,613.05,625.05,625.05,"93,194","Jun 27, 2023"
26-06-2023,633.75,636.55,610.85,614.25,614.25,"117,152","Jun 26, 2023"
23-06-2023,650.00,654.95,625.00,627.10,627.10,"90,051","Jun 23, 2023"
22-06-2023,651.90,678.50,642.25,646.20,646.20,"99,440","Jun 22, 2023"
21-06-2023,663.90,670.00,645.10,647.75,647.75,"110,177","Jun 21, 2023"
20-06-2023,636.00,666.75,630.10,657.90,657.90,"156,633","Jun 20, 2023"
19-06-2023,642.90,653.00,633.25,635.70,635.70,"70,898","Jun 19, 2023"
16-06-2023,638.50,653.15,633.25,637.75,637.75,"59,564","Jun 16, 2023"
15-06-2023,649.80,657.85,630.00,632.75,632.75,"114,833","Jun 15, 2023"
14-06-2023,653.00,667.15,640.25,649.80,649.80,"110,820","Jun 14, 2023"
13-06-2023,667.00,673.70,650.05,653.65,653.65,"167,808","Jun 13, 2023"
12-06-2023,632.25,674.95,627.15,667.60,667.60,"554,928","Jun 12, 2023"
09-06-2023,646.95,654.70,625.00,625.35,625.35,"497,563","Jun 09, 2023"
08-06-2023,559.85,657.50,550.10,641.45,641.45,"1,387,305","Jun 08, 2023"
07-06-2023,574.90,578.80,539.15,550.10,550.10,"246,358","Jun 07, 2023"
06-06-2023,568.00,577.85,558.00,568.25,568.25,"201,439","Jun 06, 2023"
05-06-2023,543.00,571.65,541.15,558.85,558.85,"380,788","Jun 05, 2023"
02-06-2023,513.00,540.00,513.00,535.55,535.55,"369,732","Jun 02, 2023"
01-06-2023,512.50,522.50,505.10,512.90,512.90,"148,111","Jun 01, 2023"
31-05-2023,517.00,530.00,502.60,512.70,512.70,"57,933","May 31, 2023"
30-05-2023,521.75,532.95,514.10,516.45,516.45,"192,220","May 30, 2023"
29-05-2023,494.95,533.00,483.00,521.75,521.75,"321,586","May 29, 2023"
26-05-2023,494.85,504.00,490.00,492.00,492.00,"101,068","May 26, 2023"
25-05-2023,499.95,509.95,491.30,494.60,494.60,"56,214","May 25, 2023"
24-05-2023,512.75,517.65,495.05,498.55,498.55,"103,421","May 24, 2023"
23-05-2023,522.55,522.60,505.10,512.75,512.75,"107,961","May 23, 2023"
22-05-2023,508.00,523.50,504.00,517.45,517.45,"167,713","May 22, 2023"
19-05-2023,532.80,538.05,483.00,503.80,503.80,"221,806","May 19, 2023"
18-05-2023,557.95,557.95,525.05,529.75,529.75,"222,230","May 18, 2023"
17-05-2023,540.00,548.90,527.35,540.05,540.05,"86,121","May 17, 2023"
16-05-2023,539.00,556.00,530.50,532.95,532.95,"146,195","May 16, 2023"
15-05-2023,516.20,557.75,516.20,537.05,537.05,"435,698","May 15, 2023"
12-05-2023,509.90,519.00,507.55,516.15,516.15,"40,226","May 12, 2023"
11-05-2023,515.00,524.80,502.10,506.70,506.70,"62,833","May 11, 2023"
10-05-2023,517.70,533.00,507.70,512.95,512.95,"99,494","May 10, 2023"
09-05-2023,513.00,535.00,506.05,512.75,512.75,"135,902","May 09, 2023"
08-05-2023,513.20,520.00,502.10,507.60,507.60,"75,207","May 08, 2023"
05-05-2023,511.05,532.60,510.05,512.90,512.90,"90,322","May 05, 2023"
04-05-2023,514.90,521.00,507.25,513.95,513.95,"52,979","May 04, 2023"
03-05-2023,519.90,525.80,506.10,510.20,510.20,"85,614","May 03, 2023"
02-05-2023,495.55,518.55,494.25,513.00,513.00,"135,043","May 02, 2023"
28-04-2023,491.25,502.90,488.55,490.65,490.65,"40,223","Apr 28, 2023"
27-04-2023,502.90,502.90,487.55,491.25,491.25,"44,794","Apr 27, 2023"
26-04-2023,495.65,503.90,486.05,488.05,488.05,"53,105","Apr 26, 2023"
