date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,293.05","1,298.55","1,282.45","1,296.40","1,296.40","487,501","Aug 25, 2023"
24-08-2023,"1,299.90","1,311.65","1,290.15","1,293.75","1,293.75","618,797","Aug 24, 2023"
23-08-2023,"1,289.95","1,304.50","1,286.25","1,300.25","1,300.25","583,458","Aug 23, 2023"
22-08-2023,"1,284.35","1,313.20","1,278.75","1,286.75","1,286.75","1,405,263","Aug 22, 2023"
21-08-2023,"1,282.95","1,289.80","1,274.30","1,278.55","1,278.55","703,317","Aug 21, 2023"
18-08-2023,"1,278.55","1,285.85","1,266.00","1,282.45","1,282.45","886,254","Aug 18, 2023"
17-08-2023,"1,286.50","1,289.95","1,276.25","1,284.45","1,284.45","843,146","Aug 17, 2023"
16-08-2023,"1,295.00","1,299.95","1,281.00","1,291.30","1,291.30","395,774","Aug 16, 2023"
14-08-2023,"1,314.00","1,315.95","1,291.95","1,297.10","1,297.10","888,959","Aug 14, 2023"
11-08-2023,"1,340.00","1,340.00","1,304.90","1,311.50","1,311.50","891,342","Aug 11, 2023"
10-08-2023,"1,344.95","1,358.90","1,330.10","1,334.35","1,334.35","841,571","Aug 10, 2023"
09-08-2023,"1,366.00","1,374.00","1,343.00","1,349.35","1,349.35","1,746,764","Aug 09, 2023"
08-08-2023,"1,306.90","1,358.75","1,293.75","1,349.35","1,349.35","3,458,915","Aug 08, 2023"
07-08-2023,"1,273.00","1,305.70","1,266.55","1,302.55","1,302.55","1,719,680","Aug 07, 2023"
04-08-2023,"1,258.95","1,287.15","1,254.00","1,267.90","1,267.90","1,609,140","Aug 04, 2023"
03-08-2023,"1,259.95","1,274.80","1,251.65","1,253.75","1,253.75","871,719","Aug 03, 2023"
02-08-2023,"1,280.00","1,284.90","1,252.45","1,262.25","1,262.25","888,107","Aug 02, 2023"
01-08-2023,"1,285.00","1,285.00","1,261.10","1,279.95","1,279.95","1,219,778","Aug 01, 2023"
31-07-2023,"1,296.95","1,296.95","1,270.00","1,282.15","1,282.15","1,061,701","Jul 31, 2023"
28-07-2023,"1,301.95","1,301.95","1,281.30","1,289.75","1,289.75","1,051,700","Jul 28, 2023"
27-07-2023,"1,295.00","1,312.00","1,292.75","1,296.50","1,296.50","1,946,045","Jul 27, 2023"
26-07-2023,"1,290.00","1,299.95","1,275.25","1,292.65","1,292.65","2,302,730","Jul 26, 2023"
25-07-2023,"1,318.00","1,320.00","1,290.10","1,301.10","1,301.10","1,362,929","Jul 25, 2023"
24-07-2023,"1,290.70","1,324.40","1,287.90","1,317.15","1,317.15","1,183,272","Jul 24, 2023"
21-07-2023,"1,314.80","1,322.75","1,288.00","1,290.70","1,290.70","524,241","Jul 21, 2023"
20-07-2023,"1,315.00","1,321.60","1,303.15","1,314.05","1,314.05","898,725","Jul 20, 2023"
19-07-2023,"1,314.60","1,321.55","1,307.25","1,310.45","1,310.45","659,900","Jul 19, 2023"
18-07-2023,"1,315.00","1,322.30","1,305.65","1,314.55","1,314.55","1,427,102","Jul 18, 2023"
17-07-2023,"1,321.00","1,328.55","1,296.75","1,314.50","1,314.50","1,055,414","Jul 17, 2023"
14-07-2023,"1,320.50","1,326.05","1,311.35","1,320.30","1,320.30","1,321,159","Jul 14, 2023"
13-07-2023,"1,312.00","1,336.00","1,305.05","1,313.95","1,313.95","1,579,954","Jul 13, 2023"
12-07-2023,"1,291.00","1,306.60","1,291.00","1,300.60","1,300.60","905,809","Jul 12, 2023"
11-07-2023,"1,298.75","1,308.75","1,289.50","1,295.00","1,295.00","821,816","Jul 11, 2023"
10-07-2023,"1,300.70","1,302.00","1,283.20","1,293.30","1,293.30","675,354","Jul 10, 2023"
07-07-2023,"1,292.60","1,318.00","1,288.45","1,294.00","1,294.00","939,840","Jul 07, 2023"
06-07-2023,"1,298.00","1,311.75","1,289.35","1,292.95","1,292.95","726,222","Jul 06, 2023"
05-07-2023,"1,289.55","1,316.70","1,285.10","1,291.55","1,291.55","960,704","Jul 05, 2023"
04-07-2023,"1,320.00","1,320.05","1,282.85","1,289.25","1,289.25","866,223","Jul 04, 2023"
03-07-2023,"1,307.95","1,312.00","1,291.00","1,297.95","1,297.95","599,025","Jul 03, 2023"
30-06-2023,"1,301.05","1,315.45","1,301.00","1,306.90","1,306.90","972,782","Jun 30, 2023"
28-06-2023,"1,286.40","1,286.40","1,286.40","1,286.40","1,286.40",-,"Jun 28, 2023"
