date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,313.70,318.00,302.55,308.60,308.60,"226,890","Aug 25, 2023"
24-08-2023,311.15,316.25,308.95,313.70,313.70,"389,729","Aug 24, 2023"
23-08-2023,288.25,314.90,285.85,306.55,306.55,"736,144","Aug 23, 2023"
22-08-2023,292.40,292.60,286.75,288.25,288.25,"70,936","Aug 22, 2023"
21-08-2023,282.85,293.45,281.00,290.30,290.30,"153,142","Aug 21, 2023"
18-08-2023,288.00,292.60,280.95,282.60,282.60,"147,390","Aug 18, 2023"
17-08-2023,285.00,294.40,284.95,288.65,288.65,"399,631","Aug 17, 2023"
16-08-2023,263.00,282.65,262.30,280.60,280.60,"314,488","Aug 16, 2023"
14-08-2023,268.95,268.95,261.15,264.70,264.70,"65,609","Aug 14, 2023"
11-08-2023,267.00,269.40,264.00,268.35,268.35,"45,097","Aug 11, 2023"
10-08-2023,265.20,268.30,262.45,265.30,265.30,"50,826","Aug 10, 2023"
09-08-2023,269.15,271.25,263.50,265.20,265.20,"56,342","Aug 09, 2023"
08-08-2023,267.70,269.90,267.25,269.15,269.15,"54,126","Aug 08, 2023"
07-08-2023,261.80,268.60,256.75,267.70,267.70,"142,276","Aug 07, 2023"
04-08-2023,269.85,275.60,254.15,257.95,257.95,"259,980","Aug 04, 2023"
03-08-2023,270.90,270.90,266.35,268.80,268.80,"78,663","Aug 03, 2023"
02-08-2023,271.40,273.05,267.60,269.60,269.60,"106,274","Aug 02, 2023"
01-08-2023,275.00,281.95,269.00,269.65,269.65,"293,801","Aug 01, 2023"
31-07-2023,276.85,277.70,274.05,276.60,276.60,"80,347","Jul 31, 2023"
28-07-2023,270.00,274.75,265.45,273.90,273.90,"112,768","Jul 28, 2023"
27-07-2023,273.20,275.90,269.00,269.65,269.65,"61,755","Jul 27, 2023"
26-07-2023,276.40,276.90,272.10,273.20,273.20,"76,943","Jul 26, 2023"
25-07-2023,272.95,278.80,272.95,274.90,274.90,"110,390","Jul 25, 2023"
24-07-2023,289.00,289.00,270.85,272.70,272.70,"398,474","Jul 24, 2023"
21-07-2023,292.00,300.75,290.05,297.95,297.95,"156,517","Jul 21, 2023"
20-07-2023,293.20,297.20,289.85,292.05,292.05,"52,272","Jul 20, 2023"
19-07-2023,294.45,294.45,290.65,293.20,293.20,"39,851","Jul 19, 2023"
18-07-2023,298.00,300.65,286.55,291.15,291.15,"96,189","Jul 18, 2023"
17-07-2023,289.90,303.00,289.00,297.05,297.05,"274,298","Jul 17, 2023"
14-07-2023,292.30,292.30,283.00,287.00,287.00,"52,528","Jul 14, 2023"
13-07-2023,293.50,294.95,288.00,289.40,289.40,"68,662","Jul 13, 2023"
12-07-2023,293.00,299.50,290.60,292.70,292.70,"161,321","Jul 12, 2023"
11-07-2023,288.00,292.00,286.00,290.60,290.60,"93,900","Jul 11, 2023"
10-07-2023,283.60,287.95,282.90,285.80,285.80,"76,492","Jul 10, 2023"
07-07-2023,281.70,286.15,281.20,283.10,283.10,"73,395","Jul 07, 2023"
06-07-2023,283.90,284.15,278.25,280.15,280.15,"75,747","Jul 06, 2023"
05-07-2023,289.00,289.45,282.00,283.05,283.05,"94,520","Jul 05, 2023"
04-07-2023,280.50,299.90,279.60,288.00,288.00,"739,812","Jul 04, 2023"
03-07-2023,279.00,283.00,278.00,278.65,278.65,"49,472","Jul 03, 2023"
30-06-2023,281.00,283.45,276.10,281.10,281.10,"55,836","Jun 30, 2023"
28-06-2023,274.10,274.10,274.10,274.10,274.10,-,"Jun 28, 2023"
27-06-2023,275.00,278.15,272.50,274.10,274.10,"45,020","Jun 27, 2023"
26-06-2023,270.20,276.90,270.00,275.40,275.40,"39,147","Jun 26, 2023"
23-06-2023,276.55,279.70,271.10,272.70,272.70,"25,629","Jun 23, 2023"
22-06-2023,281.05,281.15,274.30,277.50,277.50,"39,388","Jun 22, 2023"
21-06-2023,277.40,283.00,277.40,281.05,281.05,"68,392","Jun 21, 2023"
20-06-2023,279.85,283.85,276.45,281.40,281.40,"48,022","Jun 20, 2023"
19-06-2023,283.00,283.00,275.30,277.40,277.40,"47,116","Jun 19, 2023"
16-06-2023,283.40,284.60,278.30,279.30,279.30,"44,377","Jun 16, 2023"
15-06-2023,273.90,283.20,270.05,282.60,282.60,"135,972","Jun 15, 2023"
14-06-2023,272.35,274.65,271.00,271.95,271.95,"25,510","Jun 14, 2023"
13-06-2023,268.40,273.20,267.10,272.35,272.35,"52,304","Jun 13, 2023"
12-06-2023,267.80,268.90,266.00,268.45,268.45,"38,893","Jun 12, 2023"
09-06-2023,270.00,271.75,265.10,266.80,266.80,"66,824","Jun 09, 2023"
08-06-2023,278.85,278.85,267.10,268.70,268.70,"96,884","Jun 08, 2023"
07-06-2023,278.90,278.90,274.85,275.65,275.65,"109,137","Jun 07, 2023"
07-06-2023,6 Dividend,,,,,,"Jun 07, 2023"
06-06-2023,286.00,286.60,282.00,283.30,277.30,"113,406","Jun 06, 2023"
05-06-2023,283.60,285.90,281.80,283.70,277.69,"130,571","Jun 05, 2023"
02-06-2023,281.00,283.20,278.80,280.70,274.76,"81,480","Jun 02, 2023"
01-06-2023,283.40,283.70,277.45,278.95,273.04,"57,262","Jun 01, 2023"
31-05-2023,280.00,288.80,278.00,280.60,274.66,"98,761","May 31, 2023"
30-05-2023,283.00,284.95,278.00,281.10,275.15,"57,784","May 30, 2023"
29-05-2023,276.00,282.15,272.35,280.55,274.61,"98,868","May 29, 2023"
26-05-2023,269.00,279.95,267.50,275.15,269.32,"114,407","May 26, 2023"
25-05-2023,268.00,269.95,264.35,267.10,261.44,"41,042","May 25, 2023"
24-05-2023,272.80,272.80,265.00,266.30,260.66,"72,645","May 24, 2023"
23-05-2023,274.00,276.45,270.00,271.55,265.80,"49,512","May 23, 2023"
22-05-2023,276.85,276.85,270.95,273.35,267.56,"68,608","May 22, 2023"
19-05-2023,282.85,284.25,272.55,274.20,268.39,"83,220","May 19, 2023"
18-05-2023,286.80,286.80,282.60,283.30,277.30,"22,750","May 18, 2023"
17-05-2023,288.40,288.40,282.00,283.65,277.64,"33,010","May 17, 2023"
16-05-2023,288.95,289.00,283.70,286.00,279.94,"35,498","May 16, 2023"
15-05-2023,287.70,288.45,283.50,285.60,279.55,"48,239","May 15, 2023"
