date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,14.80,14.80,13.40,14.25,14.25,"51,929","Aug 25, 2023"
24-08-2023,14.55,15.45,14.10,14.65,14.65,"133,334","Aug 24, 2023"
23-08-2023,14.25,14.50,14.15,14.35,14.35,"27,367","Aug 23, 2023"
22-08-2023,14.10,16.40,14.10,14.15,14.15,"75,364","Aug 22, 2023"
21-08-2023,13.80,14.90,13.75,14.10,14.10,"64,963","Aug 21, 2023"
18-08-2023,14.35,14.35,13.80,13.90,13.90,"14,712","Aug 18, 2023"
17-08-2023,13.90,14.10,13.85,13.90,13.90,"9,021","Aug 17, 2023"
16-08-2023,14.00,14.05,13.65,14.00,14.00,"24,314","Aug 16, 2023"
14-08-2023,14.20,14.20,13.80,13.95,13.95,"11,374","Aug 14, 2023"
11-08-2023,13.85,14.00,13.70,13.95,13.95,"18,765","Aug 11, 2023"
10-08-2023,14.10,14.10,13.75,13.85,13.85,"16,726","Aug 10, 2023"
09-08-2023,13.80,14.00,13.80,13.80,13.80,"5,314","Aug 09, 2023"
08-08-2023,14.10,14.10,13.70,13.80,13.80,"33,184","Aug 08, 2023"
07-08-2023,13.85,14.30,13.65,13.90,13.90,"18,467","Aug 07, 2023"
04-08-2023,14.20,14.20,13.80,13.85,13.85,"14,106","Aug 04, 2023"
03-08-2023,14.40,14.40,13.75,13.95,13.95,"10,535","Aug 03, 2023"
02-08-2023,14.05,14.15,13.90,13.95,13.95,"28,506","Aug 02, 2023"
01-08-2023,14.35,14.35,13.65,13.75,13.75,"11,523","Aug 01, 2023"
31-07-2023,14.75,14.75,13.10,13.70,13.70,"60,002","Jul 31, 2023"
28-07-2023,14.40,14.45,14.00,14.15,14.15,"16,564","Jul 28, 2023"
27-07-2023,14.50,14.50,13.70,14.20,14.20,"38,403","Jul 27, 2023"
26-07-2023,14.15,14.20,13.65,13.95,13.95,"10,732","Jul 26, 2023"
25-07-2023,13.65,14.00,13.50,13.75,13.75,"38,812","Jul 25, 2023"
24-07-2023,13.90,13.90,13.45,13.65,13.65,"28,480","Jul 24, 2023"
21-07-2023,13.80,13.80,13.45,13.70,13.70,"14,527","Jul 21, 2023"
20-07-2023,13.40,13.90,13.30,13.50,13.50,"36,378","Jul 20, 2023"
19-07-2023,13.50,14.30,12.80,13.40,13.40,"37,262","Jul 19, 2023"
18-07-2023,13.60,13.85,13.10,13.50,13.50,"82,889","Jul 18, 2023"
17-07-2023,13.75,14.00,13.30,13.50,13.50,"28,077","Jul 17, 2023"
14-07-2023,13.80,13.80,13.35,13.45,13.45,"16,417","Jul 14, 2023"
13-07-2023,14.05,14.05,13.20,13.50,13.50,"34,647","Jul 13, 2023"
12-07-2023,14.00,14.40,13.70,13.90,13.90,"17,086","Jul 12, 2023"
11-07-2023,13.95,14.30,13.90,13.90,13.90,"8,077","Jul 11, 2023"
10-07-2023,14.45,14.45,13.80,14.00,14.00,"16,249","Jul 10, 2023"
07-07-2023,14.60,14.60,13.45,13.80,13.80,"49,819","Jul 07, 2023"
06-07-2023,14.85,14.85,14.05,14.25,14.25,"25,027","Jul 06, 2023"
05-07-2023,14.60,14.75,14.20,14.65,14.65,"45,654","Jul 05, 2023"
04-07-2023,14.25,14.95,14.05,14.25,14.25,"82,474","Jul 04, 2023"
03-07-2023,13.90,14.00,13.30,13.70,13.70,"25,808","Jul 03, 2023"
30-06-2023,13.80,14.35,13.80,13.95,13.95,"14,210","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,13.95,14.40,13.60,13.90,13.90,"7,381","Jun 27, 2023"
26-06-2023,13.65,14.20,13.60,13.70,13.70,"6,397","Jun 26, 2023"
23-06-2023,14.45,14.45,13.50,13.65,13.65,"29,099","Jun 23, 2023"
