date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,2.8000,2.8000,2.7500,2.7500,2.7500,"826,718","Aug 25, 2023"
24-08-2023,2.8500,2.8500,2.7500,2.8000,2.8000,"748,432","Aug 24, 2023"
23-08-2023,2.8000,2.8500,2.8000,2.8000,2.8000,"901,639","Aug 23, 2023"
22-08-2023,2.8500,2.8500,2.7500,2.8000,2.8000,"984,355","Aug 22, 2023"
21-08-2023,2.8500,2.8500,2.7500,2.8000,2.8000,"602,407","Aug 21, 2023"
18-08-2023,2.8500,2.8500,2.7500,2.8000,2.8000,"776,482","Aug 18, 2023"
17-08-2023,2.8000,2.8500,2.7500,2.8000,2.8000,"730,556","Aug 17, 2023"
16-08-2023,2.8000,2.8500,2.7500,2.8000,2.8000,"1,437,604","Aug 16, 2023"
14-08-2023,2.8500,2.8500,2.7500,2.7500,2.7500,"1,513,230","Aug 14, 2023"
11-08-2023,2.8000,2.8500,2.7500,2.8000,2.8000,"2,473,242","Aug 11, 2023"
10-08-2023,2.9000,2.9500,2.7500,2.8000,2.8000,"6,972,478","Aug 10, 2023"
09-08-2023,2.8500,2.9000,2.8000,2.9000,2.9000,"1,239,122","Aug 09, 2023"
08-08-2023,2.8500,2.9500,2.7500,2.8000,2.8000,"5,183,003","Aug 08, 2023"
07-08-2023,2.8500,3.0000,2.7500,2.8500,2.8500,"11,840,600","Aug 07, 2023"
04-08-2023,2.9500,3.0000,2.7500,2.8000,2.8000,"5,467,344","Aug 04, 2023"
03-08-2023,2.9500,3.0500,2.8500,2.9500,2.9500,"1,874,636","Aug 03, 2023"
02-08-2023,-,-,-,-,-,-,"Aug 02, 2023"
01-08-2023,-,-,-,-,-,-,"Aug 01, 2023"
31-07-2023,-,-,-,-,-,-,"Jul 31, 2023"
28-07-2023,3.1000,3.1500,3.0000,3.0500,3.0500,"2,736,271","Jul 28, 2023"
27-07-2023,-,-,-,-,-,-,"Jul 27, 2023"
26-07-2023,3.1000,3.5500,3.0500,3.4000,3.4000,"6,986,857","Jul 26, 2023"
25-07-2023,-,-,-,-,-,-,"Jul 25, 2023"
24-07-2023,3.3000,3.5000,3.0000,3.1000,3.1000,"11,021,900","Jul 24, 2023"
21-07-2023,3.5000,4.2000,3.1500,3.4000,3.4000,"20,741,000","Jul 21, 2023"
20-07-2023,3.0000,3.6000,3.0000,3.6000,3.6000,"6,415,188","Jul 20, 2023"
19-07-2023,3.0000,3.0500,2.9500,3.0000,3.0000,"537,694","Jul 19, 2023"
18-07-2023,-,-,-,-,-,-,"Jul 18, 2023"
17-07-2023,3.0500,3.1000,2.9500,3.0500,3.0500,"857,204","Jul 17, 2023"
14-07-2023,3.2000,3.3000,3.0000,3.0500,3.0500,"1,761,355","Jul 14, 2023"
13-07-2023,-,-,-,-,-,-,"Jul 13, 2023"
12-07-2023,-,-,-,-,-,-,"Jul 12, 2023"
11-07-2023,-,-,-,-,-,-,"Jul 11, 2023"
10-07-2023,3.3000,3.4000,3.2000,3.2000,3.2000,"1,130,189","Jul 10, 2023"
07-07-2023,3.9000,4.2000,3.2000,3.2500,3.2500,"10,318,580","Jul 07, 2023"
06-07-2023,-,-,-,-,-,-,"Jul 06, 2023"
05-07-2023,-,-,-,-,-,-,"Jul 05, 2023"
04-07-2023,-,-,-,-,-,-,"Jul 04, 2023"
03-07-2023,-,-,-,-,-,-,"Jul 03, 2023"
30-06-2023,3.0000,3.0500,2.9000,2.9500,2.9500,"789,017","Jun 30, 2023"
28-06-2023,3.0000,3.0500,2.9000,2.9500,2.9500,"349,715","Jun 28, 2023"
27-06-2023,2.8000,3.1000,2.7500,3.0000,3.0000,"1,373,965","Jun 27, 2023"
26-06-2023,2.8500,2.8500,2.7500,2.8500,2.8500,"238,557","Jun 26, 2023"
