date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,708.80","1,729.85","1,686.00","1,703.20","1,703.20","6,145","Aug 25, 2023"
24-08-2023,"1,799.00","1,839.00","1,655.10","1,691.90","1,691.90","19,765","Aug 24, 2023"
23-08-2023,"1,737.25","1,795.95","1,701.30","1,785.35","1,785.35","14,427","Aug 23, 2023"
22-08-2023,"1,726.95","1,770.00","1,683.25","1,699.85","1,699.85","7,305","Aug 22, 2023"
21-08-2023,"1,637.25","1,750.00","1,622.75","1,726.25","1,726.25","32,980","Aug 21, 2023"
18-08-2023,"1,654.95","1,655.00","1,590.00","1,616.80","1,616.80","8,194","Aug 18, 2023"
17-08-2023,"1,631.05","1,649.80","1,576.00","1,627.20","1,627.20","20,128","Aug 17, 2023"
16-08-2023,"1,550.00","1,598.00","1,535.00","1,574.65","1,574.65","11,431","Aug 16, 2023"
14-08-2023,"1,487.95","1,549.80","1,460.35","1,538.15","1,538.15","36,963","Aug 14, 2023"
11-08-2023,"1,464.40","1,492.45","1,437.60","1,473.25","1,473.25","3,730","Aug 11, 2023"
10-08-2023,"1,500.00","1,515.45","1,448.00","1,454.10","1,454.10","6,450","Aug 10, 2023"
09-08-2023,"1,449.95","1,549.00","1,430.05","1,496.80","1,496.80","50,432","Aug 09, 2023"
08-08-2023,"1,339.95","1,377.00","1,326.15","1,346.40","1,346.40","1,420","Aug 08, 2023"
07-08-2023,"1,374.95","1,391.90","1,326.00","1,342.00","1,342.00","4,285","Aug 07, 2023"
04-08-2023,"1,387.45","1,387.50","1,340.00","1,348.25","1,348.25","3,408","Aug 04, 2023"
03-08-2023,"1,349.65","1,377.85","1,325.90","1,366.95","1,366.95","3,815","Aug 03, 2023"
02-08-2023,"1,329.00","1,348.75","1,310.25","1,335.95","1,335.95","2,851","Aug 02, 2023"
01-08-2023,"1,320.65","1,340.00","1,301.10","1,314.25","1,314.25","7,489","Aug 01, 2023"
31-07-2023,"1,344.95","1,344.95","1,310.00","1,328.25","1,328.25","6,753","Jul 31, 2023"
28-07-2023,"1,367.50","1,378.10","1,336.00","1,347.60","1,347.60","3,846","Jul 28, 2023"
27-07-2023,"1,391.20","1,407.95","1,360.00","1,366.05","1,366.05","3,244","Jul 27, 2023"
26-07-2023,"1,400.45","1,416.05","1,381.15","1,385.95","1,385.95","35,275","Jul 26, 2023"
25-07-2023,"1,422.40","1,425.75","1,398.05","1,401.70","1,401.70","7,288","Jul 25, 2023"
24-07-2023,"1,400.00","1,435.00","1,381.40","1,403.15","1,403.15","4,830","Jul 24, 2023"
21-07-2023,"1,380.10","1,429.80","1,380.10","1,400.85","1,400.85","4,544","Jul 21, 2023"
20-07-2023,"1,440.00","1,440.90","1,368.00","1,395.00","1,395.00","3,400","Jul 20, 2023"
19-07-2023,"1,398.65","1,450.00","1,390.85","1,433.85","1,433.85","3,032","Jul 19, 2023"
18-07-2023,"1,432.20","1,439.95","1,381.00","1,382.65","1,382.65","7,497","Jul 18, 2023"
17-07-2023,"1,459.00","1,464.95","1,419.80","1,431.25","1,431.25","3,559","Jul 17, 2023"
14-07-2023,"1,464.90","1,499.80","1,399.95","1,429.45","1,429.45","7,412","Jul 14, 2023"
