date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,327.00","1,327.00","1,285.55","1,297.65","1,297.65","82,114","Aug 25, 2023"
24-08-2023,"1,300.00","1,334.00","1,299.00","1,321.70","1,321.70","115,671","Aug 24, 2023"
23-08-2023,"1,309.00","1,320.00","1,290.80","1,299.20","1,299.20","63,247","Aug 23, 2023"
22-08-2023,"1,305.00","1,309.60","1,279.35","1,307.00","1,307.00","93,378","Aug 22, 2023"
21-08-2023,"1,299.50","1,305.00","1,276.35","1,300.60","1,300.60","107,126","Aug 21, 2023"
18-08-2023,"1,273.00","1,299.00","1,258.05","1,292.10","1,292.10","85,005","Aug 18, 2023"
17-08-2023,"1,269.00","1,279.90","1,250.00","1,277.40","1,277.40","74,435","Aug 17, 2023"
16-08-2023,"1,239.00","1,267.95","1,228.00","1,259.15","1,259.15","153,303","Aug 16, 2023"
14-08-2023,"1,226.00","1,241.90","1,209.55","1,238.95","1,238.95","84,206","Aug 14, 2023"
11-08-2023,"1,242.05","1,242.10","1,220.05","1,224.85","1,224.85","43,938","Aug 11, 2023"
10-08-2023,"1,250.00","1,254.50","1,232.25","1,242.05","1,242.05","23,315","Aug 10, 2023"
09-08-2023,"1,239.00","1,253.00","1,227.05","1,249.70","1,249.70","28,851","Aug 09, 2023"
08-08-2023,"1,271.00","1,271.00","1,226.30","1,240.35","1,240.35","73,483","Aug 08, 2023"
07-08-2023,"1,245.00","1,269.00","1,224.00","1,266.70","1,266.70","126,120","Aug 07, 2023"
04-08-2023,"1,209.00","1,243.30","1,200.05","1,237.65","1,237.65","83,194","Aug 04, 2023"
03-08-2023,"1,184.90","1,208.45","1,175.00","1,195.10","1,195.10","30,646","Aug 03, 2023"
02-08-2023,"1,199.00","1,201.00","1,180.05","1,192.05","1,192.05","44,181","Aug 02, 2023"
02-08-2023,6.5 Dividend,,,,,,"Aug 02, 2023"
01-08-2023,"1,209.80","1,209.80","1,186.00","1,197.45","1,190.95","34,138","Aug 01, 2023"
31-07-2023,"1,212.00","1,212.00","1,194.85","1,200.15","1,193.64","20,778","Jul 31, 2023"
28-07-2023,"1,200.00","1,203.00","1,194.40","1,198.55","1,192.04","21,968","Jul 28, 2023"
27-07-2023,"1,209.90","1,209.95","1,185.00","1,191.90","1,185.43","31,985","Jul 27, 2023"
26-07-2023,"1,209.95","1,209.95","1,170.00","1,190.45","1,183.99","76,030","Jul 26, 2023"
25-07-2023,"1,240.00","1,240.00","1,186.40","1,194.10","1,187.62","130,989","Jul 25, 2023"
24-07-2023,"1,240.00","1,250.95","1,228.65","1,235.75","1,229.04","43,536","Jul 24, 2023"
21-07-2023,"1,233.85","1,241.10","1,220.10","1,235.65","1,228.94","25,543","Jul 21, 2023"
20-07-2023,"1,230.00","1,244.95","1,215.65","1,232.35","1,225.66","35,244","Jul 20, 2023"
19-07-2023,"1,218.85","1,229.90","1,215.00","1,225.60","1,218.95","22,727","Jul 19, 2023"
18-07-2023,"1,214.00","1,239.90","1,203.15","1,220.65","1,214.02","95,549","Jul 18, 2023"
17-07-2023,"1,227.00","1,227.00","1,206.10","1,215.15","1,208.55","27,523","Jul 17, 2023"
14-07-2023,"1,217.00","1,230.00","1,205.40","1,215.90","1,209.30","48,248","Jul 14, 2023"
13-07-2023,"1,249.90","1,249.90","1,201.50","1,204.20","1,197.66","52,344","Jul 13, 2023"
12-07-2023,"1,246.80","1,250.70","1,235.55","1,245.85","1,239.09","103,532","Jul 12, 2023"
11-07-2023,"1,256.95","1,259.85","1,224.55","1,246.80","1,240.03","43,305","Jul 11, 2023"
10-07-2023,"1,239.95","1,255.85","1,231.30","1,251.90","1,245.10","33,348","Jul 10, 2023"
07-07-2023,"1,264.95","1,264.95","1,228.05","1,237.60","1,230.88","73,705","Jul 07, 2023"
06-07-2023,"1,290.00","1,292.95","1,251.30","1,259.50","1,252.66","117,232","Jul 06, 2023"
05-07-2023,"1,273.50","1,294.50","1,260.00","1,291.75","1,284.74","75,764","Jul 05, 2023"
04-07-2023,"1,270.00","1,284.25","1,261.10","1,280.40","1,273.45","43,806","Jul 04, 2023"
03-07-2023,"1,310.00","1,310.70","1,257.00","1,260.15","1,253.31","432,314","Jul 03, 2023"
30-06-2023,"1,304.45","1,319.85","1,284.80","1,307.25","1,300.15","81,793","Jun 30, 2023"
28-06-2023,"1,285.85","1,285.85","1,285.85","1,285.85","1,278.87",-,"Jun 28, 2023"
27-06-2023,"1,315.00","1,315.00","1,282.00","1,285.85","1,278.87","23,629","Jun 27, 2023"
26-06-2023,"1,292.00","1,319.00","1,285.05","1,307.70","1,300.60","96,219","Jun 26, 2023"
23-06-2023,"1,280.00","1,291.45","1,268.00","1,276.55","1,269.62","15,039","Jun 23, 2023"
22-06-2023,"1,299.85","1,299.85","1,284.40","1,286.30","1,279.32","15,989","Jun 22, 2023"
21-06-2023,"1,286.00","1,298.50","1,286.00","1,290.20","1,283.20","27,179","Jun 21, 2023"
20-06-2023,"1,290.00","1,295.00","1,284.10","1,288.30","1,281.31","25,981","Jun 20, 2023"
19-06-2023,"1,300.00","1,300.00","1,280.00","1,285.80","1,278.82","15,471","Jun 19, 2023"
16-06-2023,"1,299.95","1,299.95","1,285.00","1,288.00","1,281.01","27,522","Jun 16, 2023"
15-06-2023,"1,304.00","1,304.00","1,285.25","1,290.60","1,283.59","21,344","Jun 15, 2023"
14-06-2023,"1,289.00","1,304.00","1,279.95","1,298.50","1,291.45","69,412","Jun 14, 2023"
13-06-2023,"1,302.00","1,329.90","1,282.00","1,286.05","1,279.07","67,976","Jun 13, 2023"
12-06-2023,"1,300.00","1,309.00","1,289.95","1,304.60","1,297.52","77,521","Jun 12, 2023"
09-06-2023,"1,303.00","1,303.00","1,287.00","1,290.35","1,283.35","27,821","Jun 09, 2023"
08-06-2023,"1,289.75","1,302.00","1,281.40","1,300.05","1,292.99","86,834","Jun 08, 2023"
07-06-2023,"1,303.05","1,303.05","1,286.95","1,289.75","1,282.75","59,761","Jun 07, 2023"
06-06-2023,"1,316.45","1,324.65","1,293.05","1,302.25","1,295.18","106,565","Jun 06, 2023"
05-06-2023,"1,275.00","1,315.00","1,255.00","1,301.80","1,294.73","120,975","Jun 05, 2023"
02-06-2023,"1,300.00","1,300.00","1,268.80","1,273.85","1,266.94","24,881","Jun 02, 2023"
01-06-2023,"1,300.00","1,304.90","1,277.05","1,287.95","1,280.96","43,846","Jun 01, 2023"
