date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,770.65,778.00,752.55,757.60,757.60,"4,472","Aug 25, 2023"
24-08-2023,782.50,795.95,763.10,775.25,775.25,"13,595","Aug 24, 2023"
23-08-2023,778.00,790.00,766.15,785.50,785.50,"9,776","Aug 23, 2023"
22-08-2023,759.00,781.80,752.10,774.05,774.05,"9,853","Aug 22, 2023"
21-08-2023,750.00,774.05,738.10,751.90,751.90,"22,462","Aug 21, 2023"
18-08-2023,772.70,772.70,723.05,749.40,749.40,"21,596","Aug 18, 2023"
17-08-2023,787.35,807.90,755.40,764.25,764.25,"16,204","Aug 17, 2023"
16-08-2023,761.00,801.80,761.00,787.35,787.35,"11,539","Aug 16, 2023"
14-08-2023,785.65,796.85,762.20,768.65,768.65,"10,553","Aug 14, 2023"
11-08-2023,839.90,840.00,771.00,785.65,785.65,"47,519","Aug 11, 2023"
10-08-2023,850.75,860.40,827.70,832.30,832.30,"9,978","Aug 10, 2023"
09-08-2023,849.90,867.00,825.00,844.70,844.70,"47,548","Aug 09, 2023"
08-08-2023,878.40,878.40,823.05,870.45,870.45,"24,221","Aug 08, 2023"
07-08-2023,882.90,893.00,859.70,873.40,873.40,"40,482","Aug 07, 2023"
04-08-2023,835.00,885.00,826.80,864.05,864.05,"89,486","Aug 04, 2023"
03-08-2023,822.05,845.20,814.10,825.90,825.90,"16,826","Aug 03, 2023"
02-08-2023,825.00,860.00,806.00,815.65,815.65,"31,649","Aug 02, 2023"
01-08-2023,825.10,849.55,820.10,823.60,823.60,"34,049","Aug 01, 2023"
31-07-2023,801.85,829.90,790.00,817.15,817.15,"37,679","Jul 31, 2023"
28-07-2023,754.80,801.60,743.55,788.70,788.70,"54,902","Jul 28, 2023"
27-07-2023,785.00,793.00,745.00,748.55,748.55,"17,026","Jul 27, 2023"
26-07-2023,765.35,781.00,757.40,775.90,775.90,"8,684","Jul 26, 2023"
25-07-2023,772.10,782.90,754.45,760.35,760.35,"9,955","Jul 25, 2023"
24-07-2023,770.00,775.00,747.05,772.10,772.10,"4,425","Jul 24, 2023"
21-07-2023,778.40,783.95,756.65,761.15,761.15,"9,058","Jul 21, 2023"
20-07-2023,764.40,782.50,761.05,778.40,778.40,"11,859","Jul 20, 2023"
19-07-2023,746.35,765.95,730.00,755.35,755.35,"23,787","Jul 19, 2023"
18-07-2023,741.20,741.25,730.20,735.35,735.35,"7,982","Jul 18, 2023"
