date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,95.40,96.75,93.85,94.80,94.80,"576,266","Aug 25, 2023"
24-08-2023,98.65,99.15,95.05,95.70,95.70,"871,770","Aug 24, 2023"
23-08-2023,99.60,101.35,97.25,97.85,97.85,"1,750,092","Aug 23, 2023"
22-08-2023,94.80,101.00,94.45,98.80,98.80,"4,224,034","Aug 22, 2023"
21-08-2023,95.75,96.80,93.70,94.10,94.10,"1,223,306","Aug 21, 2023"
18-08-2023,91.20,97.90,91.15,95.00,95.00,"3,043,326","Aug 18, 2023"
17-08-2023,90.00,93.05,88.70,91.60,91.60,"1,428,457","Aug 17, 2023"
16-08-2023,90.45,91.25,89.25,90.05,90.05,"465,810","Aug 16, 2023"
14-08-2023,91.50,92.00,88.25,90.45,90.45,"694,308","Aug 14, 2023"
11-08-2023,92.90,92.90,90.70,91.25,91.25,"963,304","Aug 11, 2023"
10-08-2023,93.95,93.95,91.60,92.55,92.55,"883,496","Aug 10, 2023"
09-08-2023,91.35,95.75,90.50,93.55,93.55,"2,579,070","Aug 09, 2023"
08-08-2023,93.25,93.25,90.50,91.20,91.20,"1,359,119","Aug 08, 2023"
07-08-2023,91.85,95.00,90.65,92.70,92.70,"2,839,210","Aug 07, 2023"
04-08-2023,91.00,93.25,89.65,91.15,91.15,"2,061,762","Aug 04, 2023"
03-08-2023,88.00,94.00,87.80,90.25,90.25,"5,498,398","Aug 03, 2023"
02-08-2023,85.50,89.60,84.55,87.15,87.15,"3,858,208","Aug 02, 2023"
01-08-2023,84.90,86.75,84.70,85.20,85.20,"1,289,961","Aug 01, 2023"
31-07-2023,83.35,87.50,82.50,84.35,84.35,"3,450,824","Jul 31, 2023"
28-07-2023,79.05,82.30,79.05,81.25,81.25,"1,462,026","Jul 28, 2023"
27-07-2023,81.00,81.30,78.60,79.30,79.30,"962,189","Jul 27, 2023"
26-07-2023,81.85,82.55,80.40,80.70,80.70,"772,726","Jul 26, 2023"
25-07-2023,76.65,82.85,76.65,81.85,81.85,"2,301,336","Jul 25, 2023"
24-07-2023,77.70,77.95,76.45,76.70,76.70,"256,300","Jul 24, 2023"
21-07-2023,77.65,78.00,76.60,77.25,77.25,"299,829","Jul 21, 2023"
20-07-2023,78.85,79.00,77.40,77.65,77.65,"188,154","Jul 20, 2023"
19-07-2023,79.00,79.50,77.95,78.45,78.45,"323,341","Jul 19, 2023"
18-07-2023,78.55,79.10,78.10,78.60,78.60,"217,555","Jul 18, 2023"
17-07-2023,78.45,79.70,77.85,78.80,78.80,"408,167","Jul 17, 2023"
14-07-2023,80.10,80.10,77.70,78.10,78.10,"452,032","Jul 14, 2023"
