date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"23,820.00","23,898.90","23,611.00","23,852.30","23,852.30","21,989","Aug 25, 2023"
24-08-2023,"23,749.95","23,920.00","23,598.05","23,859.60","23,859.60","48,660","Aug 24, 2023"
23-08-2023,"23,869.70","24,290.00","23,625.00","23,670.50","23,670.50","40,294","Aug 23, 2023"
22-08-2023,"23,730.00","23,932.90","23,658.30","23,862.70","23,862.70","16,676","Aug 22, 2023"
21-08-2023,"23,669.95","23,775.00","23,524.25","23,610.20","23,610.20","24,001","Aug 21, 2023"
18-08-2023,"23,811.00","23,844.95","23,451.00","23,537.25","23,537.25","19,865","Aug 18, 2023"
17-08-2023,"23,960.00","24,038.75","23,720.15","23,791.15","23,791.15","22,943","Aug 17, 2023"
16-08-2023,"23,690.00","23,973.65","23,506.05","23,920.50","23,920.50","17,783","Aug 16, 2023"
14-08-2023,"24,101.00","24,129.75","23,651.00","23,720.55","23,720.55","16,303","Aug 14, 2023"
11-08-2023,"24,179.15","24,280.00","24,051.10","24,110.60","24,110.60","12,901","Aug 11, 2023"
10-08-2023,"24,200.10","24,395.00","23,926.95","24,174.55","24,174.55","37,905","Aug 10, 2023"
09-08-2023,"24,350.00","24,372.00","24,012.00","24,331.05","24,331.05","30,445","Aug 09, 2023"
08-08-2023,"24,300.00","24,377.50","24,120.15","24,270.05","24,270.05","20,046","Aug 08, 2023"
07-08-2023,"24,400.00","24,400.00","24,042.85","24,253.45","24,253.45","8,891","Aug 07, 2023"
04-08-2023,"24,230.00","24,286.00","24,102.50","24,224.20","24,224.20","18,589","Aug 04, 2023"
03-08-2023,"24,040.00","24,223.75","23,860.40","24,114.35","24,114.35","24,563","Aug 03, 2023"
02-08-2023,"24,100.00","24,100.00","23,905.00","24,045.10","24,045.10","34,126","Aug 02, 2023"
01-08-2023,"24,200.00","24,200.00","23,980.85","24,102.05","24,102.05","47,864","Aug 01, 2023"
