date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"3,806.00","3,865.00","3,779.60","3,786.95","3,786.95","391,006","Aug 25, 2023"
24-08-2023,"3,738.90","3,848.25","3,732.10","3,803.60","3,803.60","731,596","Aug 24, 2023"
23-08-2023,"3,665.00","3,738.00","3,665.00","3,718.35","3,718.35","322,157","Aug 23, 2023"
22-08-2023,"3,662.90","3,688.05","3,651.05","3,663.65","3,663.65","179,180","Aug 22, 2023"
21-08-2023,"3,632.80","3,666.45","3,613.30","3,652.85","3,652.85","307,091","Aug 21, 2023"
18-08-2023,"3,578.00","3,632.00","3,578.00","3,606.10","3,606.10","394,702","Aug 18, 2023"
17-08-2023,"3,624.00","3,629.00","3,565.50","3,576.05","3,576.05","225,812","Aug 17, 2023"
16-08-2023,"3,600.00","3,628.35","3,566.85","3,607.35","3,607.35","224,293","Aug 16, 2023"
14-08-2023,"3,666.20","3,674.75","3,567.00","3,602.60","3,602.60","272,162","Aug 14, 2023"
11-08-2023,"3,669.90","3,709.15","3,643.15","3,652.75","3,652.75","215,348","Aug 11, 2023"
10-08-2023,"3,736.00","3,749.95","3,654.25","3,668.45","3,668.45","295,237","Aug 10, 2023"
09-08-2023,"3,799.90","3,800.00","3,678.65","3,732.10","3,732.10","857,170","Aug 09, 2023"
08-08-2023,"3,846.00","3,846.00","3,722.00","3,779.35","3,779.35","380,453","Aug 08, 2023"
07-08-2023,"3,810.00","3,866.00","3,793.05","3,834.10","3,834.10","347,153","Aug 07, 2023"
04-08-2023,"3,810.00","3,828.75","3,763.45","3,776.00","3,776.00","262,969","Aug 04, 2023"
03-08-2023,"3,822.95","3,867.80","3,725.00","3,794.95","3,794.95","446,910","Aug 03, 2023"
02-08-2023,"3,890.00","3,897.45","3,787.50","3,819.00","3,819.00","322,264","Aug 02, 2023"
01-08-2023,"4,005.00","4,005.00","3,878.00","3,890.95","3,890.95","328,095","Aug 01, 2023"
31-07-2023,"3,939.40","4,068.85","3,902.50","3,983.00","3,983.00","1,607,883","Jul 31, 2023"
28-07-2023,"3,765.00","3,864.30","3,743.35","3,857.70","3,857.70","406,503","Jul 28, 2023"
27-07-2023,"3,764.95","3,792.95","3,738.80","3,752.00","3,752.00","175,794","Jul 27, 2023"
26-07-2023,"3,699.00","3,772.00","3,672.05","3,763.30","3,763.30","204,966","Jul 26, 2023"
25-07-2023,"3,699.85","3,729.40","3,666.30","3,692.75","3,692.75","338,623","Jul 25, 2023"
24-07-2023,"3,620.00","3,711.60","3,605.05","3,694.90","3,694.90","275,127","Jul 24, 2023"
21-07-2023,"3,637.00","3,662.95","3,605.55","3,613.95","3,613.95","349,749","Jul 21, 2023"
20-07-2023,"3,718.00","3,743.95","3,510.55","3,635.40","3,635.40","665,457","Jul 20, 2023"
19-07-2023,"3,684.20","3,750.00","3,684.20","3,710.35","3,710.35","298,054","Jul 19, 2023"
18-07-2023,"3,705.10","3,738.00","3,680.00","3,701.65","3,701.65","296,474","Jul 18, 2023"
17-07-2023,"3,724.00","3,734.25","3,687.05","3,702.10","3,702.10","328,623","Jul 17, 2023"
14-07-2023,"3,747.95","3,755.00","3,681.10","3,689.80","3,689.80","480,955","Jul 14, 2023"
13-07-2023,"3,840.40","3,840.40","3,704.00","3,728.35","3,728.35","437,516","Jul 13, 2023"
12-07-2023,"3,799.80","3,876.15","3,794.75","3,828.85","3,828.85","915,976","Jul 12, 2023"
11-07-2023,"3,666.50","3,776.00","3,651.05","3,766.60","3,766.60","401,637","Jul 11, 2023"
10-07-2023,"3,700.00","3,713.80","3,638.15","3,647.45","3,647.45","237,350","Jul 10, 2023"
07-07-2023,"3,711.55","3,748.75","3,680.10","3,690.45","3,690.45","181,797","Jul 07, 2023"
06-07-2023,"3,724.75","3,760.00","3,710.65","3,730.75","3,730.75","217,269","Jul 06, 2023"
05-07-2023,"3,702.00","3,759.00","3,700.25","3,710.00","3,710.00","229,547","Jul 05, 2023"
04-07-2023,"3,727.00","3,749.90","3,670.00","3,703.20","3,703.20","251,167","Jul 04, 2023"
03-07-2023,"3,770.00","3,788.00","3,714.45","3,727.45","3,727.45","136,744","Jul 03, 2023"
30-06-2023,"3,764.00","3,775.90","3,724.70","3,766.45","3,766.45","195,272","Jun 30, 2023"
28-06-2023,"3,706.20","3,706.20","3,706.20","3,706.20","3,706.20",-,"Jun 28, 2023"
27-06-2023,"3,695.50","3,722.55","3,688.50","3,706.20","3,706.20","205,417","Jun 27, 2023"
26-06-2023,"3,679.95","3,713.00","3,645.10","3,699.35","3,699.35","214,506","Jun 26, 2023"
23-06-2023,"3,697.00","3,705.90","3,640.10","3,675.70","3,675.70","172,186","Jun 23, 2023"
22-06-2023,"3,808.00","3,810.00","3,680.40","3,688.85","3,688.85","347,354","Jun 22, 2023"
21-06-2023,"3,835.00","3,859.90","3,780.10","3,802.25","3,802.25","359,152","Jun 21, 2023"
20-06-2023,"3,830.00","3,840.00","3,795.40","3,829.40","3,829.40","319,316","Jun 20, 2023"
19-06-2023,"3,802.00","3,838.00","3,783.35","3,807.70","3,807.70","228,208","Jun 19, 2023"
16-06-2023,"3,746.65","3,799.00","3,740.00","3,793.10","3,793.10","306,264","Jun 16, 2023"
15-06-2023,"3,768.00","3,778.00","3,730.55","3,751.70","3,751.70","249,510","Jun 15, 2023"
