date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,48.40,48.40,47.25,47.45,47.45,"13,707","Aug 25, 2023"
24-08-2023,49.10,49.90,48.25,48.40,48.40,"23,022","Aug 24, 2023"
23-08-2023,47.85,49.25,47.85,49.00,49.00,"29,918","Aug 23, 2023"
22-08-2023,47.00,48.00,46.60,47.90,47.90,"26,943","Aug 22, 2023"
21-08-2023,44.90,46.55,44.65,46.45,46.45,"21,993","Aug 21, 2023"
18-08-2023,46.45,46.45,44.50,45.20,45.20,"6,364","Aug 18, 2023"
17-08-2023,44.80,46.00,44.40,44.90,44.90,"25,735","Aug 17, 2023"
16-08-2023,44.20,44.95,44.00,44.70,44.70,"16,714","Aug 16, 2023"
14-08-2023,44.95,45.45,44.00,44.10,44.10,"14,892","Aug 14, 2023"
11-08-2023,45.95,45.95,44.00,44.35,44.35,"11,767","Aug 11, 2023"
10-08-2023,45.00,45.50,44.00,44.05,44.05,"40,047","Aug 10, 2023"
09-08-2023,44.80,45.45,43.90,45.00,45.00,"11,908","Aug 09, 2023"
08-08-2023,45.40,46.00,43.55,44.35,44.35,"24,473","Aug 08, 2023"
07-08-2023,45.00,45.50,44.15,44.65,44.65,"9,426","Aug 07, 2023"
04-08-2023,43.95,44.80,43.25,44.40,44.40,"22,463","Aug 04, 2023"
03-08-2023,43.60,44.90,42.55,44.05,44.05,"13,573","Aug 03, 2023"
02-08-2023,44.75,45.00,43.40,43.90,43.90,"10,448","Aug 02, 2023"
01-08-2023,45.45,45.45,44.00,44.20,44.20,"13,886","Aug 01, 2023"
31-07-2023,45.25,45.25,44.40,44.80,44.80,"19,423","Jul 31, 2023"
28-07-2023,45.80,45.95,45.00,45.40,45.40,"8,002","Jul 28, 2023"
27-07-2023,45.55,47.00,45.05,45.80,45.80,"8,786","Jul 27, 2023"
26-07-2023,45.65,45.70,44.90,45.30,45.30,"11,062","Jul 26, 2023"
25-07-2023,45.35,45.70,44.90,45.55,45.55,"10,666","Jul 25, 2023"
24-07-2023,45.20,45.90,44.90,45.35,45.35,"16,040","Jul 24, 2023"
21-07-2023,45.00,45.50,44.80,45.30,45.30,"8,773","Jul 21, 2023"
20-07-2023,45.60,46.90,44.60,45.00,45.00,"32,282","Jul 20, 2023"
19-07-2023,46.05,46.05,45.25,45.55,45.55,"12,587","Jul 19, 2023"
18-07-2023,45.25,47.80,45.15,46.05,46.05,"19,431","Jul 18, 2023"
17-07-2023,45.95,45.95,45.10,45.60,45.60,"9,880","Jul 17, 2023"
