date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"5,148.55","5,175.00","4,999.00","5,045.40","5,045.40","15,679","Aug 25, 2023"
24-08-2023,"5,179.50","5,179.50","5,055.45","5,148.85","5,148.85","19,361","Aug 24, 2023"
23-08-2023,"5,073.90","5,166.25","5,060.00","5,096.85","5,096.85","8,849","Aug 23, 2023"
22-08-2023,"5,049.90","5,109.85","5,002.00","5,053.40","5,053.40","12,869","Aug 22, 2023"
21-08-2023,"5,099.95","5,113.50","5,019.00","5,044.05","5,044.05","11,310","Aug 21, 2023"
18-08-2023,"4,934.00","5,128.00","4,895.00","5,101.35","5,101.35","20,392","Aug 18, 2023"
17-08-2023,"4,992.65","5,012.85","4,923.00","4,932.40","4,932.40","7,426","Aug 17, 2023"
16-08-2023,"5,030.00","5,040.05","4,965.15","4,992.80","4,992.80","5,740","Aug 16, 2023"
14-08-2023,"5,068.80","5,115.80","4,934.90","4,997.80","4,997.80","14,346","Aug 14, 2023"
11-08-2023,"5,130.00","5,130.00","5,039.05","5,068.85","5,068.85","9,966","Aug 11, 2023"
10-08-2023,"5,130.00","5,156.15","5,100.45","5,108.90","5,108.90","7,590","Aug 10, 2023"
09-08-2023,"5,165.80","5,186.95","5,102.00","5,115.45","5,115.45","5,721","Aug 09, 2023"
08-08-2023,"5,188.55","5,214.80","5,102.60","5,139.00","5,139.00","8,723","Aug 08, 2023"
07-08-2023,"5,339.95","5,339.95","5,140.10","5,162.70","5,162.70","15,860","Aug 07, 2023"
04-08-2023,"5,200.75","5,394.70","5,180.10","5,233.05","5,233.05","27,459","Aug 04, 2023"
03-08-2023,"5,222.00","5,315.95","5,115.05","5,148.25","5,148.25","39,753","Aug 03, 2023"
02-08-2023,"5,399.00","5,399.00","5,090.15","5,141.60","5,141.60","57,111","Aug 02, 2023"
01-08-2023,"5,485.00","5,534.95","5,305.85","5,335.70","5,335.70","25,324","Aug 01, 2023"
31-07-2023,"5,340.00","5,426.40","5,332.55","5,364.90","5,364.90","88,933","Jul 31, 2023"
28-07-2023,"5,100.00","5,348.95","5,097.75","5,312.50","5,312.50","101,450","Jul 28, 2023"
27-07-2023,"5,165.00","5,243.90","5,021.00","5,050.40","5,050.40","16,879","Jul 27, 2023"
26-07-2023,"5,251.80","5,277.75","5,115.55","5,185.00","5,185.00","10,337","Jul 26, 2023"
25-07-2023,"5,245.00","5,279.35","5,184.80","5,251.80","5,251.80","64,174","Jul 25, 2023"
24-07-2023,"5,285.20","5,289.55","5,187.05","5,237.40","5,237.40","10,676","Jul 24, 2023"
21-07-2023,"5,264.85","5,274.60","5,210.00","5,258.90","5,258.90","5,941","Jul 21, 2023"
20-07-2023,"5,266.95","5,353.00","5,205.55","5,237.30","5,237.30","13,743","Jul 20, 2023"
