date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,282.35,283.50,282.30,283.50,283.50,"11,052","Aug 25, 2023"
24-08-2023,282.05,287.80,282.05,282.05,282.05,"47,994","Aug 24, 2023"
23-08-2023,282.20,282.20,280.30,282.20,282.20,"26,983","Aug 23, 2023"
22-08-2023,286.00,286.00,286.00,286.00,286.00,"15,666","Aug 22, 2023"
21-08-2023,291.80,291.80,291.80,291.80,291.80,"6,616","Aug 21, 2023"
18-08-2023,297.00,300.00,288.05,297.75,297.75,"52,330","Aug 18, 2023"
17-08-2023,299.00,300.55,293.00,299.75,299.75,"128,050","Aug 17, 2023"
16-08-2023,286.25,286.25,280.00,286.25,286.25,"169,954","Aug 16, 2023"
14-08-2023,272.65,272.65,272.65,272.65,272.65,"5,625","Aug 14, 2023"
11-08-2023,256.00,262.50,255.00,259.70,259.70,"5,342","Aug 11, 2023"
10-08-2023,255.00,259.45,247.00,254.60,254.60,"14,903","Aug 10, 2023"
09-08-2023,260.00,261.00,251.00,256.75,256.75,"7,432","Aug 09, 2023"
08-08-2023,259.05,265.00,250.10,255.30,255.30,"9,798","Aug 08, 2023"
07-08-2023,271.25,271.25,258.00,260.45,260.45,"10,101","Aug 07, 2023"
04-08-2023,271.50,271.50,262.00,265.20,265.20,"5,380","Aug 04, 2023"
03-08-2023,269.00,272.40,264.15,264.85,264.85,"9,795","Aug 03, 2023"
02-08-2023,267.00,275.00,265.80,268.25,268.25,"5,745","Aug 02, 2023"
01-08-2023,267.55,273.40,262.00,265.70,265.70,"6,644","Aug 01, 2023"
31-07-2023,270.00,278.40,262.55,267.55,267.55,"5,249","Jul 31, 2023"
28-07-2023,277.00,277.95,262.20,268.95,268.95,"7,731","Jul 28, 2023"
27-07-2023,288.00,288.00,272.50,275.95,275.95,"6,105","Jul 27, 2023"
26-07-2023,288.95,290.00,280.00,282.00,282.00,"12,462","Jul 26, 2023"
25-07-2023,285.00,291.50,280.50,284.95,284.95,"19,705","Jul 25, 2023"
24-07-2023,272.00,285.00,267.30,280.40,280.40,"10,344","Jul 24, 2023"
21-07-2023,274.85,274.85,269.00,271.55,271.55,"4,230","Jul 21, 2023"
20-07-2023,274.95,274.95,270.00,270.25,270.25,"5,336","Jul 20, 2023"
19-07-2023,274.80,275.50,271.05,271.70,271.70,"5,481","Jul 19, 2023"
18-07-2023,271.95,278.00,267.00,270.35,270.35,"7,234","Jul 18, 2023"
17-07-2023,267.95,270.00,260.00,268.25,268.25,"7,455","Jul 17, 2023"
14-07-2023,262.10,265.50,255.30,262.00,262.00,"10,335","Jul 14, 2023"
13-07-2023,274.00,274.00,262.05,265.55,265.55,"9,679","Jul 13, 2023"
12-07-2023,276.00,276.00,265.60,270.00,270.00,"5,146","Jul 12, 2023"
11-07-2023,281.85,281.85,262.00,268.80,268.80,"10,321","Jul 11, 2023"
10-07-2023,282.80,282.80,271.80,275.45,275.45,"11,351","Jul 10, 2023"
