date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,256.40,256.40,246.50,249.90,249.90,"10,365","Aug 25, 2023"
24-08-2023,253.00,260.00,245.00,256.55,256.55,"8,527","Aug 24, 2023"
23-08-2023,260.10,264.00,249.50,255.15,255.15,"9,648","Aug 23, 2023"
22-08-2023,254.00,260.00,249.00,255.00,255.00,"10,549","Aug 22, 2023"
21-08-2023,257.85,269.90,250.00,259.30,259.30,"10,851","Aug 21, 2023"
18-08-2023,248.65,260.45,237.10,257.85,257.85,"18,347","Aug 18, 2023"
17-08-2023,243.00,248.65,226.05,248.05,248.05,"36,007","Aug 17, 2023"
16-08-2023,228.95,252.95,228.90,236.85,236.85,"48,059","Aug 16, 2023"
14-08-2023,240.95,240.95,240.95,240.95,240.95,"1,666","Aug 14, 2023"
11-08-2023,253.60,253.60,253.60,253.60,253.60,"1,520","Aug 11, 2023"
10-08-2023,258.75,258.75,258.75,258.75,258.75,"1,282","Aug 10, 2023"
09-08-2023,264.00,265.90,264.00,264.00,264.00,"4,231","Aug 09, 2023"
09-08-2023,1 Dividend,,,,,,"Aug 09, 2023"
08-08-2023,264.00,264.00,264.00,264.00,263.00,"19,403","Aug 08, 2023"
07-08-2023,258.85,258.85,258.85,258.85,257.87,"3,386","Aug 07, 2023"
04-08-2023,253.80,253.80,253.80,253.80,252.84,"3,369","Aug 04, 2023"
03-08-2023,248.85,248.85,248.85,248.85,247.91,"7,405","Aug 03, 2023"
02-08-2023,244.00,244.00,234.85,244.00,243.08,"22,137","Aug 02, 2023"
01-08-2023,239.65,239.65,239.65,239.65,238.74,"3,071","Aug 01, 2023"
31-07-2023,244.50,244.50,244.50,244.50,243.57,"5,291","Jul 31, 2023"
28-07-2023,249.45,249.45,249.45,249.45,248.51,"5,086","Jul 28, 2023"
27-07-2023,254.55,254.55,254.55,254.55,253.59,"1,414","Jul 27, 2023"
26-07-2023,259.75,259.75,259.75,259.75,258.77,"2,065","Jul 26, 2023"
25-07-2023,265.05,265.05,265.05,265.05,264.05,"2,901","Jul 25, 2023"
24-07-2023,270.45,270.45,270.45,270.45,269.43,"20,316","Jul 24, 2023"
21-07-2023,275.95,275.95,275.95,275.95,274.90,-,"Jul 21, 2023"
20-07-2023,275.95,275.95,275.95,275.95,274.90,-,"Jul 20, 2023"
19-07-2023,275.95,275.95,275.95,275.95,274.90,-,"Jul 19, 2023"
18-07-2023,275.95,275.95,275.95,275.95,274.90,-,"Jul 18, 2023"
17-07-2023,275.95,275.95,275.95,275.95,274.90,"89,092","Jul 17, 2023"
14-07-2023,281.55,281.55,281.55,281.55,280.48,-,"Jul 14, 2023"
13-07-2023,281.55,281.55,281.55,281.55,280.48,-,"Jul 13, 2023"
12-07-2023,281.55,281.55,281.55,281.55,280.48,-,"Jul 12, 2023"
11-07-2023,281.55,281.55,281.55,281.55,280.48,-,"Jul 11, 2023"
10-07-2023,281.50,281.60,254.80,281.55,280.48,"81,657","Jul 10, 2023"
07-07-2023,268.20,268.20,268.20,268.20,267.18,"45,133","Jul 07, 2023"
06-07-2023,255.45,255.45,255.45,255.45,254.48,"12,228","Jul 06, 2023"
05-07-2023,243.30,243.30,243.30,243.30,242.38,"19,150","Jul 05, 2023"
04-07-2023,220.75,231.75,209.75,231.75,230.87,"27,639","Jul 04, 2023"
03-07-2023,227.00,234.00,220.75,220.75,219.91,"19,134","Jul 03, 2023"
30-06-2023,244.00,246.00,225.00,232.35,231.47,"22,067","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,226.70,226.80,217.00,226.80,225.94,"10,219","Jun 27, 2023"
26-06-2023,195.60,216.15,195.60,216.00,215.18,"7,265","Jun 26, 2023"
23-06-2023,220.00,220.00,205.90,205.90,205.12,"14,363","Jun 23, 2023"
22-06-2023,228.10,228.10,216.70,216.70,215.88,"21,472","Jun 22, 2023"
21-06-2023,238.05,242.95,226.00,228.10,227.24,"64,664","Jun 21, 2023"
