date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,579.95,589.50,574.55,578.80,578.80,"37,081","Aug 25, 2023"
24-08-2023,591.60,595.75,567.05,573.95,573.95,"89,465","Aug 24, 2023"
23-08-2023,602.00,603.25,590.00,591.60,591.60,"39,833","Aug 23, 2023"
22-08-2023,597.00,610.00,595.80,597.05,597.05,"40,067","Aug 22, 2023"
21-08-2023,607.00,617.65,594.00,596.35,596.35,"88,106","Aug 21, 2023"
18-08-2023,618.40,627.85,594.00,596.60,596.60,"71,143","Aug 18, 2023"
17-08-2023,604.95,646.70,604.95,614.15,614.15,"163,079","Aug 17, 2023"
16-08-2023,646.05,656.85,595.00,601.35,601.35,"321,676","Aug 16, 2023"
14-08-2023,717.70,739.80,699.10,703.15,703.15,"96,448","Aug 14, 2023"
11-08-2023,787.50,791.80,706.70,716.05,716.05,"141,688","Aug 11, 2023"
10-08-2023,799.95,799.95,775.50,782.65,782.65,"61,188","Aug 10, 2023"
09-08-2023,788.70,812.75,777.00,798.10,798.10,"90,553","Aug 09, 2023"
08-08-2023,752.00,814.00,752.00,785.45,785.45,"233,260","Aug 08, 2023"
07-08-2023,745.90,766.95,741.60,752.00,752.00,"50,690","Aug 07, 2023"
04-08-2023,742.00,756.90,736.60,741.60,741.60,"38,687","Aug 04, 2023"
03-08-2023,755.00,768.00,735.50,740.60,740.60,"54,988","Aug 03, 2023"
02-08-2023,753.80,763.90,727.65,753.00,753.00,"42,340","Aug 02, 2023"
01-08-2023,766.50,771.00,744.00,754.60,754.60,"39,187","Aug 01, 2023"
31-07-2023,732.80,762.00,726.30,758.35,758.35,"53,347","Jul 31, 2023"
28-07-2023,749.45,753.55,720.00,724.80,724.80,"47,874","Jul 28, 2023"
27-07-2023,761.90,778.95,745.65,748.30,748.30,"28,631","Jul 27, 2023"
26-07-2023,750.00,765.00,745.00,760.25,760.25,"32,120","Jul 26, 2023"
25-07-2023,766.05,780.95,742.00,747.05,747.05,"48,581","Jul 25, 2023"
24-07-2023,736.00,785.00,735.00,766.05,766.05,"73,084","Jul 24, 2023"
21-07-2023,759.00,775.00,736.00,740.10,740.10,"54,496","Jul 21, 2023"
20-07-2023,772.95,775.35,757.65,761.30,761.30,"29,821","Jul 20, 2023"
19-07-2023,777.50,784.00,764.05,767.95,767.95,"37,283","Jul 19, 2023"
18-07-2023,789.05,799.95,764.35,777.50,777.50,"73,934","Jul 18, 2023"
17-07-2023,754.30,807.65,751.85,782.35,782.35,"133,949","Jul 17, 2023"
14-07-2023,758.95,768.70,736.00,754.30,754.30,"62,176","Jul 14, 2023"
13-07-2023,780.00,795.85,745.00,754.90,754.90,"85,598","Jul 13, 2023"
12-07-2023,777.85,778.60,765.10,769.75,769.75,"47,754","Jul 12, 2023"
11-07-2023,775.05,787.00,751.05,770.30,770.30,"105,092","Jul 11, 2023"
10-07-2023,723.00,798.00,711.90,764.35,764.35,"278,732","Jul 10, 2023"
07-07-2023,703.00,725.00,692.05,710.00,710.00,"84,921","Jul 07, 2023"
06-07-2023,702.00,713.80,692.90,700.75,700.75,"39,338","Jul 06, 2023"
05-07-2023,693.70,722.50,688.10,697.15,697.15,"71,949","Jul 05, 2023"
04-07-2023,723.00,738.00,690.20,693.70,693.70,"89,379","Jul 04, 2023"
03-07-2023,715.95,741.55,711.65,718.10,718.10,"75,340","Jul 03, 2023"
