date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,438.00,442.95,430.00,440.20,440.20,"229,047","Aug 25, 2023"
24-08-2023,427.35,439.45,425.20,438.00,438.00,"267,624","Aug 24, 2023"
23-08-2023,419.00,430.65,416.95,428.30,428.30,"355,623","Aug 23, 2023"
22-08-2023,419.20,421.80,415.00,417.05,417.05,"139,935","Aug 22, 2023"
21-08-2023,415.00,423.85,415.00,418.35,418.35,"220,654","Aug 21, 2023"
18-08-2023,425.00,426.40,412.10,414.20,414.20,"234,484","Aug 18, 2023"
17-08-2023,429.00,433.15,421.30,423.00,423.00,"213,155","Aug 17, 2023"
16-08-2023,441.50,442.25,423.40,426.20,426.20,"362,920","Aug 16, 2023"
14-08-2023,431.00,445.00,420.15,443.45,443.45,"406,725","Aug 14, 2023"
11-08-2023,440.85,442.95,426.50,430.05,430.05,"253,095","Aug 11, 2023"
10-08-2023,438.00,442.25,436.10,437.35,437.35,"375,120","Aug 10, 2023"
09-08-2023,444.40,450.05,435.15,437.35,437.35,"291,596","Aug 09, 2023"
08-08-2023,445.55,445.55,433.80,440.75,440.75,"339,598","Aug 08, 2023"
07-08-2023,451.35,451.35,438.30,442.50,442.50,"519,845","Aug 07, 2023"
04-08-2023,448.20,456.00,442.80,447.65,447.65,"466,868","Aug 04, 2023"
04-08-2023,1.5 Dividend,,,,,,"Aug 04, 2023"
03-08-2023,450.00,456.85,441.20,443.80,442.30,"486,627","Aug 03, 2023"
02-08-2023,480.40,484.60,443.85,446.00,444.49,"2,357,497","Aug 02, 2023"
01-08-2023,474.40,489.00,472.25,480.10,478.48,"1,156,766","Aug 01, 2023"
31-07-2023,465.00,473.95,462.20,472.15,470.55,"554,907","Jul 31, 2023"
28-07-2023,456.05,461.45,453.85,459.95,458.40,"497,326","Jul 28, 2023"
27-07-2023,441.00,455.95,441.00,452.45,450.92,"840,391","Jul 27, 2023"
26-07-2023,444.75,447.95,439.80,441.50,440.01,"207,575","Jul 26, 2023"
25-07-2023,442.00,450.00,441.45,445.25,443.75,"345,638","Jul 25, 2023"
24-07-2023,441.65,449.00,436.20,445.00,443.50,"464,582","Jul 24, 2023"
21-07-2023,441.55,443.20,436.25,440.60,439.11,"354,390","Jul 21, 2023"
20-07-2023,436.95,443.65,431.80,438.55,437.07,"547,536","Jul 20, 2023"
19-07-2023,440.40,443.35,431.95,434.20,432.73,"428,966","Jul 19, 2023"
18-07-2023,444.00,449.85,433.95,436.45,434.97,"403,199","Jul 18, 2023"
17-07-2023,438.95,447.00,437.45,444.00,442.50,"350,813","Jul 17, 2023"
14-07-2023,436.05,442.80,432.10,435.80,434.33,"268,129","Jul 14, 2023"
13-07-2023,446.80,446.85,433.00,433.85,432.38,"302,597","Jul 13, 2023"
12-07-2023,435.50,449.00,432.75,442.90,441.40,"515,079","Jul 12, 2023"
11-07-2023,439.50,439.50,432.00,434.00,432.53,"215,084","Jul 11, 2023"
10-07-2023,442.90,444.95,432.50,435.85,434.38,"359,544","Jul 10, 2023"
07-07-2023,443.00,458.00,438.85,441.85,440.36,"962,498","Jul 07, 2023"
06-07-2023,454.70,454.70,437.50,441.85,440.36,"1,160,627","Jul 06, 2023"
05-07-2023,472.00,472.50,448.70,451.55,450.02,"2,486,534","Jul 05, 2023"
04-07-2023,471.00,487.50,467.15,483.60,481.97,"1,838,808","Jul 04, 2023"
03-07-2023,450.00,474.85,448.05,468.25,466.67,"5,340,411","Jul 03, 2023"
30-06-2023,431.50,437.00,423.00,430.65,429.19,"458,991","Jun 30, 2023"
28-06-2023,430.85,430.85,430.85,430.85,429.39,-,"Jun 28, 2023"
27-06-2023,420.40,436.85,420.05,430.85,429.39,"1,507,434","Jun 27, 2023"
26-06-2023,412.95,432.00,412.60,418.70,417.28,"755,498","Jun 26, 2023"
23-06-2023,416.00,417.25,407.50,412.95,411.55,"352,430","Jun 23, 2023"
22-06-2023,415.20,417.40,405.45,414.15,412.75,"430,898","Jun 22, 2023"
21-06-2023,417.60,420.65,411.10,413.55,412.15,"390,325","Jun 21, 2023"
20-06-2023,420.00,424.05,413.00,416.80,415.39,"567,566","Jun 20, 2023"
19-06-2023,404.65,425.00,400.80,421.95,420.52,"1,957,588","Jun 19, 2023"
16-06-2023,403.75,410.80,399.05,402.60,401.24,"628,123","Jun 16, 2023"
15-06-2023,399.00,406.00,396.45,402.20,400.84,"510,180","Jun 15, 2023"
14-06-2023,405.90,406.50,397.00,400.55,399.20,"482,528","Jun 14, 2023"
