date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,212.90,222.75,209.00,221.30,221.30,"24,707","Aug 25, 2023"
24-08-2023,217.00,217.00,209.00,212.90,212.90,"17,359","Aug 24, 2023"
23-08-2023,207.00,211.65,205.00,210.85,210.85,"12,885","Aug 23, 2023"
22-08-2023,209.50,209.50,202.00,206.35,206.35,"12,489","Aug 22, 2023"
21-08-2023,202.50,216.15,201.65,209.60,209.60,"14,208","Aug 21, 2023"
18-08-2023,217.00,217.00,207.00,210.15,210.15,"28,465","Aug 18, 2023"
17-08-2023,210.00,215.00,207.25,213.55,213.55,"20,117","Aug 17, 2023"
16-08-2023,214.00,215.00,201.70,210.50,210.50,"13,367","Aug 16, 2023"
14-08-2023,208.00,217.00,208.00,211.80,211.80,"15,366","Aug 14, 2023"
11-08-2023,192.15,207.05,192.00,207.05,207.05,"20,996","Aug 11, 2023"
10-08-2023,208.50,208.95,197.20,197.20,197.20,"21,163","Aug 10, 2023"
09-08-2023,218.00,218.00,206.55,207.55,207.55,"24,173","Aug 09, 2023"
08-08-2023,225.15,225.15,214.80,217.40,217.40,"18,687","Aug 08, 2023"
07-08-2023,212.70,235.05,212.70,226.10,226.10,"77,493","Aug 07, 2023"
04-08-2023,225.65,235.00,223.90,223.90,223.90,"27,655","Aug 04, 2023"
03-08-2023,232.00,239.60,224.00,235.65,235.65,"140,400","Aug 03, 2023"
02-08-2023,225.00,239.00,217.60,232.70,232.70,"289,119","Aug 02, 2023"
01-08-2023,202.00,239.00,197.35,233.20,233.20,"1,438,407","Aug 01, 2023"
31-07-2023,188.70,208.25,180.00,200.40,200.40,"1,388,235","Jul 31, 2023"
28-07-2023,168.00,178.80,168.00,173.55,173.55,"221,747","Jul 28, 2023"
27-07-2023,167.00,170.00,163.90,167.20,167.20,"72,556","Jul 27, 2023"
26-07-2023,151.60,168.25,151.15,165.70,165.70,"70,829","Jul 26, 2023"
25-07-2023,152.00,153.00,148.00,148.75,148.75,"16,462","Jul 25, 2023"
24-07-2023,157.70,157.70,152.00,152.55,152.55,"13,790","Jul 24, 2023"
21-07-2023,159.00,159.00,153.85,155.35,155.35,"19,525","Jul 21, 2023"
20-07-2023,155.10,159.30,154.05,156.75,156.75,"16,807","Jul 20, 2023"
19-07-2023,163.70,163.70,151.15,152.80,152.80,"45,998","Jul 19, 2023"
18-07-2023,165.00,165.75,160.75,161.30,161.30,"9,404","Jul 18, 2023"
17-07-2023,167.80,167.80,162.00,162.55,162.55,"14,007","Jul 17, 2023"
14-07-2023,157.65,167.00,157.50,165.35,165.35,"30,194","Jul 14, 2023"
13-07-2023,159.00,168.35,157.05,157.65,157.65,"33,897","Jul 13, 2023"
12-07-2023,169.00,170.00,156.00,159.00,159.00,"60,527","Jul 12, 2023"
11-07-2023,165.70,172.55,163.10,167.40,167.40,"181,177","Jul 11, 2023"
10-07-2023,150.85,166.80,150.85,161.20,161.20,"295,556","Jul 10, 2023"
07-07-2023,152.05,157.00,147.65,148.60,148.60,"53,326","Jul 07, 2023"
06-07-2023,138.55,155.00,138.50,152.05,152.05,"92,925","Jul 06, 2023"
05-07-2023,140.00,140.45,135.10,138.50,138.50,"8,654","Jul 05, 2023"
04-07-2023,141.05,142.90,138.25,140.65,140.65,"10,119","Jul 04, 2023"
03-07-2023,143.45,143.45,138.55,141.05,141.05,"7,418","Jul 03, 2023"
30-06-2023,141.20,141.40,140.25,140.70,140.70,"4,832","Jun 30, 2023"
28-06-2023,-,-,-,-,-,-,"Jun 28, 2023"
27-06-2023,140.05,141.35,139.15,140.45,140.45,"4,786","Jun 27, 2023"
26-06-2023,140.50,141.55,139.50,140.00,140.00,"5,827","Jun 26, 2023"
23-06-2023,141.85,141.85,140.05,140.50,140.50,"10,398","Jun 23, 2023"
22-06-2023,144.80,144.80,141.50,141.85,141.85,"3,260","Jun 22, 2023"
21-06-2023,144.90,144.90,141.55,142.25,142.25,"8,490","Jun 21, 2023"
20-06-2023,142.80,143.85,141.60,142.20,142.20,"8,725","Jun 20, 2023"
19-06-2023,142.10,146.50,142.10,143.60,143.60,"7,812","Jun 19, 2023"
16-06-2023,146.20,147.35,144.00,144.50,144.50,"11,864","Jun 16, 2023"
15-06-2023,149.00,153.00,145.05,146.20,146.20,"15,591","Jun 15, 2023"
14-06-2023,143.50,154.50,142.25,146.40,146.40,"199,606","Jun 14, 2023"
13-06-2023,142.00,142.00,140.60,141.60,141.60,"7,187","Jun 13, 2023"
12-06-2023,138.85,147.70,138.10,141.85,141.85,"22,676","Jun 12, 2023"
09-06-2023,139.70,139.90,138.50,138.85,138.85,"5,719","Jun 09, 2023"
08-06-2023,142.05,142.05,139.20,139.70,139.70,"6,570","Jun 08, 2023"
07-06-2023,141.45,142.55,139.00,140.80,140.80,"7,307","Jun 07, 2023"
06-06-2023,141.70,142.45,140.05,141.50,141.50,"5,170","Jun 06, 2023"
05-06-2023,141.00,143.05,140.40,141.60,141.60,"6,396","Jun 05, 2023"
02-06-2023,143.75,143.75,140.00,140.50,140.50,"3,719","Jun 02, 2023"
01-06-2023,141.80,143.80,140.00,141.20,141.20,"17,210","Jun 01, 2023"
31-05-2023,140.10,142.00,139.70,139.90,139.90,"6,361","May 31, 2023"
30-05-2023,142.00,142.90,140.10,140.55,140.55,"13,988","May 30, 2023"
29-05-2023,143.90,143.90,140.10,140.50,140.50,"4,507","May 29, 2023"
26-05-2023,144.00,144.00,140.05,140.30,140.30,"10,823","May 26, 2023"
25-05-2023,142.00,143.80,139.80,141.10,141.10,"5,132","May 25, 2023"
24-05-2023,142.75,143.00,138.20,140.70,140.70,"9,689","May 24, 2023"
23-05-2023,141.00,144.00,139.50,140.30,140.30,"18,371","May 23, 2023"
22-05-2023,145.80,146.05,140.60,141.55,141.55,"21,467","May 22, 2023"
19-05-2023,146.90,146.95,145.00,145.85,145.85,"2,940","May 19, 2023"
18-05-2023,147.95,147.95,144.55,146.50,146.50,"7,602","May 18, 2023"
17-05-2023,148.05,148.50,143.80,145.95,145.95,"9,163","May 17, 2023"
16-05-2023,147.35,149.80,146.30,147.75,147.75,"2,727","May 16, 2023"
15-05-2023,148.30,150.90,147.00,148.15,148.15,"3,587","May 15, 2023"
12-05-2023,150.00,151.70,146.00,147.05,147.05,"3,880","May 12, 2023"
11-05-2023,147.20,153.00,146.60,149.85,149.85,"15,589","May 11, 2023"
10-05-2023,145.95,148.00,144.00,147.30,147.30,"3,174","May 10, 2023"
09-05-2023,149.10,149.10,144.00,144.30,144.30,"7,714","May 09, 2023"
08-05-2023,145.20,148.80,145.15,147.60,147.60,"6,836","May 08, 2023"
05-05-2023,149.00,149.00,144.00,144.85,144.85,"12,139","May 05, 2023"
04-05-2023,147.95,149.90,145.10,146.70,146.70,"9,972","May 04, 2023"
03-05-2023,146.00,148.45,144.10,147.80,147.80,"6,439","May 03, 2023"
02-05-2023,146.00,148.95,142.05,144.60,144.60,"8,834","May 02, 2023"
28-04-2023,151.55,153.00,145.00,146.30,146.30,"11,252","Apr 28, 2023"
27-04-2023,141.95,154.80,141.95,151.45,151.45,"61,269","Apr 27, 2023"
26-04-2023,141.60,142.90,140.80,141.35,141.35,"5,405","Apr 26, 2023"
25-04-2023,144.00,145.90,140.60,142.05,142.05,"7,992","Apr 25, 2023"
24-04-2023,140.25,143.95,140.25,143.25,143.25,"4,090","Apr 24, 2023"
21-04-2023,142.05,143.95,141.10,141.50,141.50,"2,229","Apr 21, 2023"
20-04-2023,141.50,143.45,141.50,141.95,141.95,"1,269","Apr 20, 2023"
19-04-2023,142.05,144.70,140.80,141.50,141.50,"2,435","Apr 19, 2023"
18-04-2023,143.45,145.95,142.05,144.75,144.75,"6,424","Apr 18, 2023"
17-04-2023,142.00,147.00,140.55,142.05,142.05,"7,434","Apr 17, 2023"
13-04-2023,144.95,145.70,142.55,143.05,143.05,"2,250","Apr 13, 2023"
12-04-2023,144.00,145.90,142.45,143.50,143.50,"3,506","Apr 12, 2023"
11-04-2023,146.95,146.95,141.05,142.30,142.30,"5,010","Apr 11, 2023"
10-04-2023,146.95,148.20,145.00,145.80,145.80,"3,327","Apr 10, 2023"
06-04-2023,145.40,147.50,145.40,147.15,147.15,"4,254","Apr 06, 2023"
05-04-2023,143.00,147.90,142.10,145.40,145.40,"7,365","Apr 05, 2023"
03-04-2023,148.00,149.90,144.00,145.55,145.55,"11,998","Apr 03, 2023"
31-03-2023,142.00,147.90,141.00,143.70,143.70,"12,653","Mar 31, 2023"
29-03-2023,143.45,143.45,137.15,138.00,138.00,"11,587","Mar 29, 2023"
28-03-2023,142.55,143.40,136.00,138.85,138.85,"24,047","Mar 28, 2023"
27-03-2023,150.00,152.40,140.15,142.55,142.55,"10,767","Mar 27, 2023"
24-03-2023,156.80,158.90,148.60,149.80,149.80,"12,708","Mar 24, 2023"
23-03-2023,160.70,163.70,155.10,156.80,156.80,"28,762","Mar 23, 2023"
22-03-2023,158.00,163.90,154.30,160.00,160.00,"39,872","Mar 22, 2023"
21-03-2023,155.00,155.65,150.00,154.20,154.20,"15,251","Mar 21, 2023"
20-03-2023,150.90,154.00,147.45,150.45,150.45,"17,241","Mar 20, 2023"
17-03-2023,153.55,153.55,148.05,152.40,152.40,"11,600","Mar 17, 2023"
16-03-2023,156.00,156.00,144.05,149.95,149.95,"15,460","Mar 16, 2023"
15-03-2023,148.35,152.85,148.15,150.00,150.00,"19,347","Mar 15, 2023"
14-03-2023,150.00,154.00,148.25,148.35,148.35,"24,358","Mar 14, 2023"
13-03-2023,150.35,152.90,145.85,149.90,149.90,"16,044","Mar 13, 2023"
10-03-2023,150.65,155.00,150.35,150.85,150.85,"5,027","Mar 10, 2023"
09-03-2023,159.90,160.75,152.60,153.10,153.10,"18,949","Mar 09, 2023"
08-03-2023,161.00,165.00,156.25,157.95,157.95,"28,223","Mar 08, 2023"
06-03-2023,169.40,169.40,156.55,156.95,156.95,"20,367","Mar 06, 2023"
03-03-2023,162.00,167.00,158.25,162.55,162.55,"44,791","Mar 03, 2023"
02-03-2023,146.10,160.00,142.10,158.40,158.40,"65,055","Mar 02, 2023"
01-03-2023,132.10,148.40,132.10,146.10,146.10,"35,559","Mar 01, 2023"
28-02-2023,136.00,137.00,135.10,136.60,136.60,"2,434","Feb 28, 2023"
27-02-2023,133.15,136.00,133.05,134.30,134.30,"12,285","Feb 27, 2023"
24-02-2023,137.00,138.50,134.15,135.75,135.75,"7,095","Feb 24, 2023"
23-02-2023,131.80,139.90,130.10,136.00,136.00,"1,786","Feb 23, 2023"
22-02-2023,135.05,135.10,130.30,131.80,131.80,"3,785","Feb 22, 2023"
21-02-2023,137.20,137.90,133.00,135.25,135.25,"3,195","Feb 21, 2023"
20-02-2023,136.50,137.90,135.00,137.20,137.20,"4,568","Feb 20, 2023"
17-02-2023,135.95,137.20,134.80,135.50,135.50,"3,294","Feb 17, 2023"
16-02-2023,136.95,138.80,133.55,137.35,137.35,"5,758","Feb 16, 2023"
15-02-2023,137.70,137.70,133.10,135.20,135.20,"1,630","Feb 15, 2023"
14-02-2023,134.45,136.00,132.85,134.25,134.25,"3,281","Feb 14, 2023"
13-02-2023,139.95,140.90,133.15,133.75,133.75,"4,904","Feb 13, 2023"
10-02-2023,136.00,140.35,135.00,137.05,137.05,"8,487","Feb 10, 2023"
09-02-2023,136.15,137.95,134.00,134.75,134.75,"4,142","Feb 09, 2023"
08-02-2023,138.10,141.00,135.10,135.70,135.70,"6,190","Feb 08, 2023"
07-02-2023,138.85,144.90,135.00,136.10,136.10,"10,519","Feb 07, 2023"
06-02-2023,130.10,140.00,130.10,138.65,138.65,"7,008","Feb 06, 2023"
03-02-2023,134.45,138.00,130.00,133.15,133.15,"11,535","Feb 03, 2023"
02-02-2023,136.20,141.00,132.00,134.50,134.50,"6,276","Feb 02, 2023"
01-02-2023,141.00,144.90,135.05,136.70,136.70,"33,197","Feb 01, 2023"
31-01-2023,141.20,143.00,137.05,140.85,140.85,"11,527","Jan 31, 2023"
30-01-2023,140.90,146.95,139.95,141.20,141.20,"9,564","Jan 30, 2023"
27-01-2023,147.30,147.45,138.35,141.05,141.05,"23,837","Jan 27, 2023"
25-01-2023,153.55,155.00,146.90,147.20,147.20,"5,218","Jan 25, 2023"
24-01-2023,151.40,155.00,150.00,153.55,153.55,"12,008","Jan 24, 2023"
