date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,347.95,349.10,343.05,346.75,346.75,"36,875","Aug 25, 2023"
24-08-2023,348.20,352.50,344.75,348.45,348.45,"43,588","Aug 24, 2023"
23-08-2023,346.90,348.30,343.10,345.95,345.95,"30,040","Aug 23, 2023"
22-08-2023,344.60,348.95,342.00,343.40,343.40,"30,720","Aug 22, 2023"
21-08-2023,340.35,349.50,340.35,344.60,344.60,"32,966","Aug 21, 2023"
18-08-2023,341.90,349.00,338.35,342.05,342.05,"38,430","Aug 18, 2023"
17-08-2023,352.00,356.75,343.80,346.10,346.10,"52,139","Aug 17, 2023"
16-08-2023,358.10,360.05,350.20,352.45,352.45,"50,371","Aug 16, 2023"
14-08-2023,342.60,357.70,335.80,353.20,353.20,"102,592","Aug 14, 2023"
11-08-2023,340.55,348.00,340.55,342.55,342.55,"31,725","Aug 11, 2023"
10-08-2023,350.70,350.95,343.50,344.75,344.75,"46,827","Aug 10, 2023"
09-08-2023,345.00,352.60,342.70,348.80,348.80,"41,196","Aug 09, 2023"
08-08-2023,351.00,353.40,342.50,344.00,344.00,"70,217","Aug 08, 2023"
07-08-2023,354.05,358.50,347.20,349.10,349.10,"63,582","Aug 07, 2023"
04-08-2023,362.00,364.80,348.00,354.05,354.05,"131,082","Aug 04, 2023"
03-08-2023,362.05,368.00,347.30,362.25,362.25,"316,025","Aug 03, 2023"
02-08-2023,354.90,358.35,350.80,357.25,357.25,"75,445","Aug 02, 2023"
01-08-2023,336.85,357.00,336.85,353.60,353.60,"147,309","Aug 01, 2023"
31-07-2023,349.95,354.50,329.30,336.30,336.30,"113,940","Jul 31, 2023"
28-07-2023,353.40,353.40,348.10,348.70,348.70,"19,874","Jul 28, 2023"
27-07-2023,344.10,357.55,344.10,348.75,348.75,"118,219","Jul 27, 2023"
26-07-2023,343.65,349.30,342.10,343.55,343.55,"25,198","Jul 26, 2023"
25-07-2023,347.55,351.00,342.25,345.30,345.30,"37,987","Jul 25, 2023"
24-07-2023,351.60,354.00,345.10,347.55,347.55,"35,427","Jul 24, 2023"
21-07-2023,349.00,357.15,347.55,351.50,351.50,"44,251","Jul 21, 2023"
20-07-2023,354.45,355.90,349.85,350.95,350.95,"53,558","Jul 20, 2023"
19-07-2023,355.00,361.00,350.35,352.35,352.35,"62,014","Jul 19, 2023"
18-07-2023,358.15,364.40,356.00,357.60,357.60,"44,179","Jul 18, 2023"
17-07-2023,362.00,364.90,357.10,360.20,360.20,"58,705","Jul 17, 2023"
14-07-2023,363.20,364.65,359.00,361.85,361.85,"28,306","Jul 14, 2023"
13-07-2023,360.00,368.00,358.00,363.20,363.20,"54,477","Jul 13, 2023"
12-07-2023,361.40,363.85,358.00,361.80,361.80,"42,955","Jul 12, 2023"
11-07-2023,369.95,376.40,355.10,360.15,360.15,"128,748","Jul 11, 2023"
10-07-2023,379.85,380.00,366.35,369.95,369.95,"69,389","Jul 10, 2023"
07-07-2023,359.00,377.40,354.05,374.75,374.75,"291,483","Jul 07, 2023"
06-07-2023,361.50,361.50,352.00,356.65,356.65,"44,000","Jul 06, 2023"
05-07-2023,353.65,363.50,351.30,358.35,358.35,"43,878","Jul 05, 2023"
04-07-2023,351.85,357.55,349.40,351.65,351.65,"50,157","Jul 04, 2023"
03-07-2023,362.10,367.55,350.35,354.20,354.20,"72,329","Jul 03, 2023"
30-06-2023,364.80,366.95,359.05,361.55,361.55,"52,966","Jun 30, 2023"
28-06-2023,372.35,372.35,372.35,372.35,372.35,-,"Jun 28, 2023"
27-06-2023,371.80,376.50,370.00,372.35,372.35,"42,591","Jun 27, 2023"
26-06-2023,376.10,381.85,368.00,370.30,370.30,"80,887","Jun 26, 2023"
23-06-2023,368.00,379.00,365.60,372.90,372.90,"120,067","Jun 23, 2023"
22-06-2023,373.20,376.65,358.50,365.05,365.05,"105,482","Jun 22, 2023"
21-06-2023,378.50,384.00,371.25,373.20,373.20,"159,509","Jun 21, 2023"
20-06-2023,364.95,377.70,359.65,376.15,376.15,"381,969","Jun 20, 2023"
19-06-2023,356.20,364.55,356.20,361.55,361.55,"108,620","Jun 19, 2023"
16-06-2023,355.45,357.15,353.05,355.45,355.45,"27,804","Jun 16, 2023"
15-06-2023,352.30,357.30,349.05,351.95,351.95,"79,935","Jun 15, 2023"
14-06-2023,361.65,361.65,345.10,348.85,348.85,"61,932","Jun 14, 2023"
13-06-2023,357.95,370.00,351.50,358.70,358.70,"119,615","Jun 13, 2023"
12-06-2023,354.95,357.50,348.65,352.95,352.95,"48,376","Jun 12, 2023"
09-06-2023,360.40,360.65,349.55,351.80,351.80,"41,928","Jun 09, 2023"
08-06-2023,358.50,364.80,355.00,356.55,356.55,"75,561","Jun 08, 2023"
07-06-2023,360.00,361.85,356.00,356.50,356.50,"46,269","Jun 07, 2023"
06-06-2023,354.90,364.80,354.90,359.15,359.15,"189,634","Jun 06, 2023"
05-06-2023,338.70,357.50,338.70,351.85,351.85,"416,232","Jun 05, 2023"
02-06-2023,339.70,345.90,334.00,336.85,336.85,"74,953","Jun 02, 2023"
