date,open,high,low,close,adjClose,volume,dateRaw
25-08-2023,"1,594.20","1,649.50","1,585.00","1,615.35","1,615.35","47,273","Aug 25, 2023"
24-08-2023,"1,614.00","1,617.30","1,587.15","1,594.20","1,594.20","13,798","Aug 24, 2023"
23-08-2023,"1,615.00","1,624.95","1,587.15","1,598.20","1,598.20","19,719","Aug 23, 2023"
22-08-2023,"1,589.95","1,614.80","1,585.05","1,599.10","1,599.10","25,133","Aug 22, 2023"
21-08-2023,"1,595.05","1,628.60","1,582.20","1,590.50","1,590.50","23,837","Aug 21, 2023"
18-08-2023,"1,603.15","1,624.00","1,580.05","1,605.25","1,605.25","17,607","Aug 18, 2023"
17-08-2023,"1,614.00","1,629.80","1,591.00","1,603.15","1,603.15","15,323","Aug 17, 2023"
16-08-2023,"1,600.00","1,630.00","1,581.60","1,610.05","1,610.05","28,850","Aug 16, 2023"
14-08-2023,"1,585.00","1,622.95","1,536.65","1,608.50","1,608.50","39,075","Aug 14, 2023"
11-08-2023,"1,625.00","1,625.00","1,564.00","1,574.15","1,574.15","38,142","Aug 11, 2023"
10-08-2023,"1,592.00","1,640.05","1,572.05","1,611.45","1,611.45","53,872","Aug 10, 2023"
09-08-2023,"1,590.05","1,679.95","1,577.50","1,602.95","1,602.95","80,361","Aug 09, 2023"
08-08-2023,"1,589.35","1,731.95","1,570.00","1,589.15","1,589.15","222,605","Aug 08, 2023"
07-08-2023,"1,695.10","1,738.40","1,555.45","1,589.30","1,589.30","172,353","Aug 07, 2023"
04-08-2023,"1,656.00","1,721.00","1,656.00","1,684.20","1,684.20","44,491","Aug 04, 2023"
03-08-2023,"1,620.00","1,699.90","1,620.00","1,655.10","1,655.10","48,171","Aug 03, 2023"
02-08-2023,"1,630.40","1,675.00","1,590.00","1,622.30","1,622.30","46,041","Aug 02, 2023"
01-08-2023,"1,625.00","1,642.00","1,602.60","1,633.40","1,633.40","28,353","Aug 01, 2023"
31-07-2023,"1,620.00","1,648.90","1,592.90","1,624.45","1,624.45","29,757","Jul 31, 2023"
28-07-2023,"1,579.95","1,624.00","1,546.15","1,620.90","1,620.90","40,367","Jul 28, 2023"
27-07-2023,"1,575.00","1,596.00","1,551.00","1,558.75","1,558.75","26,592","Jul 27, 2023"
26-07-2023,"1,611.00","1,621.65","1,579.00","1,587.20","1,587.20","22,246","Jul 26, 2023"
25-07-2023,"1,597.00","1,622.65","1,565.10","1,589.90","1,589.90","45,278","Jul 25, 2023"
24-07-2023,"1,669.65","1,695.30","1,560.15","1,590.90","1,590.90","77,017","Jul 24, 2023"
21-07-2023,"1,549.95","1,679.00","1,549.95","1,653.15","1,653.15","304,444","Jul 21, 2023"
20-07-2023,"1,512.00","1,558.00","1,509.95","1,521.10","1,521.10","106,483","Jul 20, 2023"
19-07-2023,"1,520.00","1,538.95","1,495.00","1,505.25","1,505.25","71,204","Jul 19, 2023"
18-07-2023,"1,531.85","1,534.00","1,505.00","1,515.05","1,515.05","72,584","Jul 18, 2023"
17-07-2023,"1,538.55","1,565.70","1,502.00","1,515.15","1,515.15","34,411","Jul 17, 2023"
14-07-2023,"1,498.70","1,557.65","1,497.35","1,521.80","1,521.80","105,444","Jul 14, 2023"
13-07-2023,"1,576.95","1,576.95","1,480.00","1,498.70","1,498.70","35,716","Jul 13, 2023"
12-07-2023,"1,518.95","1,533.05","1,501.00","1,518.05","1,518.05","38,500","Jul 12, 2023"
11-07-2023,"1,510.80","1,538.00","1,494.70","1,501.10","1,501.10","51,421","Jul 11, 2023"
10-07-2023,"1,577.50","1,583.95","1,491.00","1,518.10","1,518.10","64,307","Jul 10, 2023"
07-07-2023,"1,587.95","1,612.95","1,566.25","1,573.20","1,573.20","36,511","Jul 07, 2023"
06-07-2023,"1,555.00","1,625.95","1,555.00","1,587.95","1,587.95","44,541","Jul 06, 2023"
05-07-2023,"1,560.00","1,588.00","1,554.15","1,562.05","1,562.05","32,554","Jul 05, 2023"
04-07-2023,"1,550.00","1,578.55","1,521.25","1,554.15","1,554.15","64,116","Jul 04, 2023"
03-07-2023,"1,603.00","1,611.95","1,551.00","1,560.05","1,560.05","21,711","Jul 03, 2023"
30-06-2023,"1,592.00","1,617.00","1,574.00","1,587.15","1,587.15","64,888","Jun 30, 2023"
28-06-2023,"1,573.75","1,573.75","1,573.75","1,573.75","1,573.75",-,"Jun 28, 2023"
27-06-2023,"1,592.25","1,617.95","1,555.10","1,573.75","1,573.75","22,683","Jun 27, 2023"
26-06-2023,"1,600.00","1,609.25","1,570.00","1,578.15","1,578.15","20,293","Jun 26, 2023"
23-06-2023,"1,617.65","1,631.25","1,589.05","1,600.00","1,600.00","15,890","Jun 23, 2023"
22-06-2023,"1,639.95","1,649.00","1,588.00","1,616.05","1,616.05","24,302","Jun 22, 2023"
21-06-2023,"1,629.25","1,665.85","1,613.95","1,631.50","1,631.50","82,890","Jun 21, 2023"
20-06-2023,"1,609.40","1,629.90","1,606.05","1,613.95","1,613.95","26,802","Jun 20, 2023"
19-06-2023,"1,598.75","1,643.30","1,594.00","1,606.45","1,606.45","60,978","Jun 19, 2023"
16-06-2023,"1,641.20","1,728.70","1,584.40","1,593.90","1,593.90","144,168","Jun 16, 2023"
15-06-2023,"1,648.00","1,678.45","1,615.90","1,623.10","1,623.10","36,350","Jun 15, 2023"
14-06-2023,"1,675.00","1,703.00","1,622.15","1,643.70","1,643.70","80,588","Jun 14, 2023"
13-06-2023,"1,745.00","1,767.90","1,652.70","1,679.70","1,679.70","67,193","Jun 13, 2023"
12-06-2023,"1,748.80","1,790.00","1,730.00","1,757.55","1,757.55","142,005","Jun 12, 2023"
09-06-2023,"1,721.45","1,740.55","1,712.05","1,731.35","1,731.35","11,476","Jun 09, 2023"
08-06-2023,"1,735.00","1,749.00","1,698.60","1,721.45","1,721.45","38,057","Jun 08, 2023"
07-06-2023,"1,731.00","1,744.00","1,695.05","1,732.65","1,732.65","45,052","Jun 07, 2023"
06-06-2023,"1,670.00","1,723.00","1,648.55","1,720.70","1,720.70","53,489","Jun 06, 2023"
05-06-2023,"1,645.50","1,683.95","1,639.85","1,656.50","1,656.50","28,542","Jun 05, 2023"
02-06-2023,"1,679.00","1,698.95","1,636.00","1,645.15","1,645.15","23,453","Jun 02, 2023"
01-06-2023,"1,603.25","1,723.25","1,584.55","1,675.70","1,675.70","83,575","Jun 01, 2023"
31-05-2023,"1,590.00","1,610.95","1,589.20","1,603.30","1,603.30","21,092","May 31, 2023"
30-05-2023,"1,586.00","1,619.00","1,570.80","1,603.30","1,603.30","20,402","May 30, 2023"
29-05-2023,"1,570.00","1,598.95","1,565.00","1,568.95","1,568.95","23,575","May 29, 2023"
26-05-2023,"1,600.70","1,666.05","1,550.00","1,565.95","1,565.95","71,046","May 26, 2023"
25-05-2023,"1,613.25","1,624.05","1,577.00","1,600.40","1,600.40","25,108","May 25, 2023"
24-05-2023,"1,625.00","1,625.85","1,584.65","1,598.00","1,598.00","27,610","May 24, 2023"
23-05-2023,"1,565.00","1,650.00","1,553.10","1,622.65","1,622.65","68,155","May 23, 2023"
22-05-2023,"1,597.95","1,597.95","1,546.60","1,565.15","1,565.15","45,676","May 22, 2023"
19-05-2023,"1,598.95","1,618.45","1,573.50","1,584.60","1,584.60","63,371","May 19, 2023"
18-05-2023,"1,542.25","1,607.95","1,542.25","1,589.95","1,589.95","111,568","May 18, 2023"
17-05-2023,"1,490.00","1,549.75","1,481.05","1,527.65","1,527.65","67,985","May 17, 2023"
16-05-2023,"1,497.00","1,518.75","1,482.00","1,491.95","1,491.95","52,997","May 16, 2023"
15-05-2023,"1,512.25","1,535.00","1,475.10","1,496.25","1,496.25","149,325","May 15, 2023"
12-05-2023,"1,436.10","1,523.95","1,436.10","1,503.85","1,503.85","126,576","May 12, 2023"
11-05-2023,"1,390.00","1,488.70","1,390.00","1,433.30","1,433.30","158,301","May 11, 2023"
10-05-2023,"1,445.00","1,445.95","1,385.00","1,398.50","1,398.50","175,023","May 10, 2023"
09-05-2023,"1,257.00","1,449.15","1,251.15","1,418.55","1,418.55","592,287","May 09, 2023"
08-05-2023,"1,205.05","1,261.00","1,205.00","1,239.15","1,239.15","99,215","May 08, 2023"
05-05-2023,"1,209.00","1,245.00","1,185.65","1,202.20","1,202.20","229,951","May 05, 2023"
